,customer_id,user_name,ratings,review_head,review_body
0,review-eb5ba31c-57a5-4aba-9481-fd0fe56cf0df,Rohan Mehta,5,An amazing surprise,wanted buy bluetooth speaker take party wherever go wanted something loud portable yet sturdyi eye jbl flip 2 using extensively belonged friend finally 2 months flip 2 wishlist finally decided buy saw boat mentioned top page better cheaper alternativeinitially hesitant buy boat speaker bought zero reviews read
1,review-6178efaa-e9d4-4abb-b21e-12c5f71ffcb8,Indrajit Sahu,4,Worth the money,detailed long term review purchased january 2017 1199 sound awesome mid sized room play full volume cant bear high sound fall love bass produces feel vibration table super clear looks like rugby ball hanged anywhere buttons good quality respond well overall build quality good range also good tried playing music room anread
2,review-f9466239-6eae-443a-bf0f-6385b6abb69c,Prasanta Roy,4,Wonderful,using speaker since last two months really appreciate boat product excellent pricepros1louder 10watt sound2above average bass3 excellent sound clarity4almost 6 7 housrs bateery backup 70 volume5strong durable built qualty6 inbuilt mic call receivingcons1 sd card slot2no fm3single colour led light4 physical buttons much pretty comfortableconsidering price recommend product neread
3,review-d8d8d74d-8ebd-419f-a78d-0a22006415e9,SUMAN KALYAN BARMAN,5,Highly recommended,great product price range speaker rs1000 range create quality sound provides feeling lucky
4,review-bf71f59a-70d5-4a1d-a5a6-4898c027a607,Shiba Prasad Mishra,5,Great product,wow must buy got descent deal 999
5,review-a9922f1a-f616-4e82-af8e-6cd95c45ffd3,Flipkart Customer,5,Worth every penny,reviews trusted best example
6,review-d795085b-b239-4059-930e-f737351b1ad4,BINOY RAJAN,5,Worth Speaker !!!,prosawesome designvery much loudsuperb build qualitybass expect subwoofer quality definitely better jbl goflipwell balanced mids highsbattery life goodeasy connectivitybluetooth range also good promisedaux blue light turn red aux connected light indicator annoyingvoice messages switch onpairingdisconnectionwe could hung speaker corners nylon threadconsmic pracread
7,review-36bc6c8c-2938-4b88-9e47-84756dc41858,Gaurav Kr,5,Bass is awesome as i wanted.,got 1299 black colour weight something expecteddo know jbl go think better 2 speaker inside performance level amazing
8,review-5dc7730e-828e-4fde-a7c8-bef3f6b1a4cf,Abhiraj Hans,5,Super!,loved product
9,review-c8a803bf-6d22-4389-92b7-0657bd83cc11,nishant mishra,5,Great product,awesome producti using since 6mnths hvnt fpund problm itsound perfect bass beyond expectationgot 999 say best product even better jbl goso u r confused jbl go boat rugby go u getting grt deal got jus go grab without even thinkng onceu wnt regret
10,review-a879a919-cb1e-48af-b2d9-0b86f19ed3f9,Sriharsha Nori,5,Terrific,received bluetooth speaker yesterday package arrived one day really appreciate flipkart quick delivery nice clarity bass good product worth moneyjust go
11,review-6cb52ffa-7f02-445e-afff-c382bc29153a,Digbijay Shaw,1,Terrible product,battery signal displayed mobile always full confused know much charge
