,customer_id,user_name,ratings,review_head,review_body
0,review-3956f1ac-a498-4632-aad5-dc615c7b54ac,Shailesh Desai,4,Really Nice,writing review listening music attractive design nice build qualityit loud sound enough fill medium room sound clear bass dont expect thunder little box price point expectedplays music well sd card pendrive bluetooth aux bluetooth connectivity instantit remote especially control music pendrive sd cardoverall excellent buy 899if aread
1,review-41560c1f-9b0c-47c0-981a-56498eb95df4,saddam Hussain,5,Simply awesome,nice product
2,review-fda71471-3dc1-4137-a78d-b037638f1c05,Wilson joy Lakra,4,Pretty good,nice speaker loud sound good bass clear voicefast delivery flipkartworth money
3,review-6e0bf085-d467-43bc-b3e8-56f8599d3a28,Shubham Mishra,5,Mind-blowing purchase,nice product price range
4,review-c85457d7-ee62-40d6-a0e4-e0a408a56e9f,Rutvik Patil,5,Fabulous!,good one
5,review-4cfc2928-2926-4878-86f0-9b319f176ed9,Dulesh Gabel,5,Terrific,best product good sound bassflipkart smartbuy products amazing every time
6,review-f9f0a115-2bd5-42d0-8e0a-800f8d9c5250,Atul Dhadwal,5,Awesome,superb quality super bassnice product issuedont think go itnice backup sound quality good
7,review-06c12486-35e0-4265-915f-8ab708d82479,Aniket Kalra,5,Perfect product!,awesome product delightful voice really wonderfull experience
8,review-b12fc5de-5dbb-4133-b777-05b29ec426b6,Sourav Sarkar,5,Terrific purchase,good product
9,review-63584946-74fc-497e-91a4-f628dc568f3e,Sam,5,Mind-blowing purchase,okay real thought wireless speaker price couldnt possibly good honestly guys im quite surprised experience great sound quality unbelievable price umid like add review since ive tried bluetooth feature battery backup quite satisfactory well per se coz maybe ive playing full sound didnt last long supposed still id say 6 hours enough yeah bassweread
10,review-dfbb8145-d24e-45b8-b320-cdd63c360029,shivansh kumar gupta,5,Just wow!,superb product nice sound clarityoverall good
11,review-24db40f3-b8a1-4de2-943d-b68aa8780f4b,Washim Akram,5,Perfect product!,outstanding product
12,review-52eb6a0a-57a3-4c94-ab4f-5c28ad2508ae,SHIVAM YADAV,4,Worth the money,best sound quality
13,review-0fa47196-3652-4cee-a940-2c68767cad03,Anurag Bose,4,Very Good,sound good according price size u cant expect loud volume good sound quality produces awesome u actually feel bass coming small thing good overall built quality also nice plus point speaker every connectivity option ex auxpendrivememorycard course bluetooth like loud music u want listen good quality souread
14,review-6db4b246-b826-4cca-8b52-5758e874a333,Mohit Kumar,5,Best in the market!,1 listening songs 80 volume 7 hoursbut goodness battery discharged yet2 using last four days sound quality amazing bass good bluetooth connectivity awesome3 memory card usb support upto 16gb fat324 use aux wire flipkart aux wire good5 charge upto 5v 2aamperecharger
15,review-ff501f34-3de7-4eb3-be77-fb3812dd3b37,Flipkart Customer,4,Good quality product,good item
16,review-1b1b7cae-0ee2-4316-893f-a374b3e5201b,Flipkart Customer,5,Excellent,osm speker go nice sound nice bassrecommend looks aweosme multiple connectivity options
17,review-5135a37c-b9f4-4df7-962f-37f8f5319c70,Ranadip Dey,4,Value-for-money,flipkart becoming flopkart providing made china products banner speaker good justify price bluetooth speaker dont need chinese companythe 35 mm jacks quality poor usb cord short charging cant hang like bluetooth earpiece heavyin picture see made china branding swacch bharat also size wires
18,review-f1b3ece9-f4ec-470e-ac34-efa82fa6e8b5,SUNDARESAN D,5,Just wow!,nice product worth money sound effect higher expectation feel like twitter effect low compare bass play song increase volume songs voice clarity became low might fixed twitter effects issue get fixed also given fm radio option really great product
19,review-d4bffa6c-fb09-4ca2-b444-8c149deb39d0,Ruturaj Patil,4,Very Good,good productgood sound quality
20,review-5d744e5f-9fb3-433b-b28e-a964f24d6772,Sabareesh K P,5,Terrific,bluetooth speaker awesomecons button quality poor
21,review-790ac53b-89ea-42b8-a1a3-3dc6544741e1,Arpan Midya,5,Worth every penny,super product thanks flipkart smartby
22,review-ef330c37-542c-4ea2-a2a6-d91e00ed1423,LIKITH Liki,5,Mind-blowing purchase,best best
23,review-4c15ec3f-46fc-4b3a-8eed-0911ce0016fb,Anuj Sagar,3,Does the job,build quality good also good see sound good till hear low volume volume increases sound starts bursting stings ear
24,review-833bd021-f23d-4694-b4f9-10794bf10255,Avinash Avi,5,Fabulous!,value money product
25,review-c59b22f3-051d-4bae-afb2-726adcb26dc7,Shily gupta,5,Excellent,nice product small carried wherever go sound bass also amazing
26,review-4d158cfa-f44a-4dc3-b560-29a0411adb28,Parth Kumar,5,Mind-blowing purchase,quality product
27,review-4ac2fad3-1ce3-4a20-ad7b-e068b23b2e0d,Parag Nath,5,Fabulous!,sound qualitybass quality battery backup soo goodamezing product range thanks filpkart
28,review-b187da82-5cc6-4a1d-995d-e9e30b20ace9,Arush Ranjan,4,Good quality product,got 999 nd price point literally amazing productits worth moneyabsolutely go
29,review-16b2f349-2221-4a5a-bf4d-665ebaa84b68,Flipkart Customer,4,Really Nice,honestly rs 799 one best sound quality bass quality fantastic battery backup 4 6 hrs maximum
