,customer_id,user_name,ratings,review_head,review_body
0,review-026182d8-42b7-4c56-87d9-fc878dea7304,subhash scb,5,Simply awesome,fantastic output hdmi arc ur tv hdmi arc u njoy detailed music price range best best sound bar sub woofer bass sub woofer simply superb vol upto 20 enough go worthy product flipkart give like u think review useful
1,review-19260d7c-7f5c-45ea-ae95-6eb86d1bfd33,Atul Jadhav,5,You will pat your back for having this baby under your TV,room size upto 13x13 blast cost costbefore purchased jbl soundbar worth 25k amazon returned immideatly due good quality audio bass overall listning expereinceas flipkart return policy electronic items refrain buy flipkart unless 100 sure want buyby purchasing soundbar kind took risk 5k even reading watching reviews turned riskread
2,review-f7c79849-5b33-47bc-8444-ee21b1e2cbae,Jyoti Dubey,5,Best in the market!,let begin with1 flipkart delivery perfectly time polite delivery person product didnt external packaging apart brand packaging thats good since add less waste environment so10102 product packaging product packaging simply awsm great pack appeal also ensuring product remains intact inside pack10103 product build quality build quality product superb give 1read
3,review-da979e47-8084-490b-a3b4-b4194ec4a762,Rakesh Kumar,5,Brilliant,best design best sound
4,review-264c63aa-4776-453a-8659-ffb8d9d03875,Srinivasulu V,5,Great product,super product
5,review-aa28ad71-a928-48dc-86ca-767fe7ad070a,Rohit Singh,1,Absolute rubbish!,speaker good main problem occurs watching movie smart tv speakers connected lags sound becomes silent seconds comes againso quality worth priceand review also getting published marq customer care person called remove 1 star ratingthis unexpected flipkart brand
6,review-e271c84a-5a99-4a52-bc94-fd2fad94c8fb,Gopi Pagare,5,Excellent,good product marq
7,review-e48ac59a-c8ee-4095-97d8-773eb72cf6fd,Roshan t varghese,5,Wonderful,soundbar simply awesome love lot pretty loud decent bass value money con packaging even single raping box opened disappointed switching impressed lot go
8,review-30c40a28-b86c-4399-ae48-14add7208408,anil kumar,5,Best in the market!,super sound osm
9,review-58081920-29ca-4422-82f7-bb3a0e6f0644,SAKTHIVEL Customer,4,Wonderful,good product worth
10,review-a55b253b-e00c-4dbc-bec9-2b0903a2143c,Sreekumar R,5,Awesome,havent heard much company finally bought half mind built quality sound quality product great im completely satisfied product bass quality excellent audio bass quality makes us feel like premium soundbars even neighbors asked whether ive bought new hometheatre system hearing bass thumbs product highly recommend
11,review-d664127b-721d-4d81-9fb4-af788e2f81ff,Ravi Bagri,5,Brilliant,one best using last 3 4 daysmarq sound bar far better blaupunkt sound bar sbw01i brought blaupunkt sound bar sbw01 80w bb sale flipkart shocked see deteriorated quality terms performance product ordered didnt start allso power upthe replacement worked started showing problems within days sound bar went restart mode raise volume suddenly listening music bluetoothread
12,review-3dacb9ff-1ab1-4c04-b60f-951bcba20fc6,AVINASH MATHIALAGAN,5,Excellent,product first copy blaupunkt sbw01 soundbar sound quality produces awesome n crystal clear first product marq truth impressed product
13,review-fa63eb7c-744f-4c97-872a-f8b015586616,TEJAS MACHHI,5,Classy product,nice products power full soun 6000
14,review-76bc9fdc-e71f-4e18-bbeb-425866865279,Josharani Jena,4,Very Good,want give 5 star 4 star packaging worst packaging ever got seal cover speaker outstanding loved
15,review-c13d9aba-306c-425f-8872-47d97cb31078,Papul Bhai,5,Great product,awesome sound mega mega mega bass product good
16,review-844d3c92-5748-4d05-abb2-f4ccdbc19ae9,Baliram Hargile,5,Mind-blowing purchase,awesomei searched many product like home theatre soundbar finally book cant believe connected samsung led tv bassmusic perfecteasilya connected bluetoothsize big movie theatre like feeling another high price product betterpaisa wasool haiin days marq famous brand indiabefore order confused blaupunkt one bye fully satisfied
17,review-ea47fd3b-fd7f-4f42-8da7-9400434003ee,Kuldeep Singh,5,Awesome,wonderfully item music lovers amazing stuff decrbie below1 sound crystal clear awesome bass2 bluetooth working easy wide range catch around 20metre3 functuion usb enabledaux enabledhdmi supportoptical cabel support4 comtability almost android devicei big fan marq brand product really awesome compare sound bar really reasonableread
18,review-62cb6346-1551-4dac-be6b-16b0ae83cc2e,Amit,3,Nice,bought 65k got delivered second day itselfsound loud enough disturb neighbour also bass quality average detailed beats perfect dropscoming sound quality get 35mm cable low quality doesnt delivers clear sound expected hissing sound like fm enough irritate youin case bought hdmi cable separately get rid hissing sound bad hdmi port soundbar read
19,review-8fbf4e12-13cc-4422-b441-d850ca052e59,Vivek C,5,Awesome,wow awesome
20,review-8f728852-a4a8-47f8-b908-e40bcc214294,pushkar rana pushkar rana,1,Very poor,connecting samsung tvs
21,review-acce5e19-8b58-47d3-8916-b841682a228e,Flipkart Customer,5,Just wow!,thank flipkart recommend friend best best bass quality thankyou
22,review-4ae3d71a-cd9d-4382-9dea-cac9a9f83793,Shiv Khadawa,5,Terrific purchase,nice sounds
23,review-09498a3b-97dd-4559-bbb6-8ac42a680f4e,ranjit,3,Decent product,soundbar atall good quality subwoofer gives decent sound mostly noticed connects bluetooth soundbar creates noise ladies voice comes really noisyunfortunately didnt get replacememtn others gives perfect notanyone tried blaupunkt output
24,review-ffb1537a-3ff8-4d98-941d-bd70021947cf,sunil royal,4,Good choice,good problem vu 55 inch andriod tv connecting bia bluetooth sound via hdmi arc awesome nd fine go without doubt
25,review-d48fe182-b281-467f-898b-40cbf214e93f,Harish Kumar Veeranna,5,Mind-blowing purchase,marq say small wonder little tony ruyeah guy seems nano bmw performance excellent product amazing sound analogdigitalauxopticalhdmibluetooth inputs treble voice reproduction excellent hassle free features produce clear sound played using mobilelaptopdesktophdmi little creek sound using aux rest seemed working perfectlow frequency bass marka good choice flipkart choosread
26,review-fc63fdf6-d985-40c7-bc82-374c10d8cfd6,tushar joshi,4,Nice product,sound bar quality good crisp clear like premium sound bar got 5999 aux cable optical cable hdmi cable best go without hesitation length 43 inches tv looking perfect
27,review-02a95994-cd5a-4e1e-be21-589de045d8af,Sai Surendra,5,Just wow!,excellent super sound clarity best bass price range impressed flipkart
28,review-0f56e504-8674-4b06-85de-63e80f80d467,Flipkart Customer,5,Awesome,super bass exelant sound quality exelant finishing thanks flipkart
29,review-f40d0877-4cb9-4b27-8a6c-5bc2f91dfe9b,Flipkart Customer,5,Terrific purchase,awsm sound quality product quality toovery much impressed dis inhouse brand marqreally worth it5 5any one looking speakers go itits really awsmgreat work done flipkart
30,review-f3091c51-0e04-4897-8b3e-96ffd1b81be1,NareshKumar ghanta,5,Wonderful,good
31,review-da88f12b-2ad5-44fd-b9a6-d3f6f4d528d4,REDDI GANESH KUMAR,1,Not recommended at all,hdmi connectingsome failure model please remodifywaste money bluetooth conected
32,review-a596bc4f-b0db-4890-b85d-a7db972828c3,Anuj Mishra,5,Highly recommended,product good price bass quality low
33,review-b846f5aa-3768-4f47-b7f0-4241b669a434,Flipkart Customer,4,Pretty good,must keep mind sound bar subwooferin view performs goodbassbass subwoofer kind supporting sound barnot thumping bass could expect home theatre subwooferat high volume bass level quality bass deterioratesit limitationother rangesvocals mid high frequencies clearand loudness enoughconnectivityno problem connectivityeverything works fine hdmi arc bluread
34,review-3f6c6771-6eaf-4a0f-94b5-d3ccb81816c9,Saravanan M,5,Just wow!,awesome product bass ultimate clear audio lovely excellent hapyyy 2nd thoughts go best price place bass speaker floor best quality
35,review-0ecf16e7-ec9a-4848-9753-c383c2019659,Abhijeet Taywade,5,Must buy!,one best sound systems life powerful sound bass like multiplex theater watch dolby sound cinema buy daught dont trust negative reviews love
36,review-dcffd8f4-5042-445a-b84a-641ae8eb4159,Ambadas Wadisherla,5,Super!,good quality sound bar looks good sound experience brilliant perfect smaller house woofer size seems slightly bigger best part price cost wont get sound bar
37,review-bf42ad1f-d0cb-4e80-9fd5-e89aaeda2711,Rahul Patel,5,Best in the market!,awesome product flipkart thank much
38,review-ec2fd2d0-34d0-4505-8457-226afc67ea9a,Santhosh,1,Very poor,bluetooth hdmi connections working
39,review-64c3cfc9-9054-43f9-96e6-3343b863475a,Akash Sharma,5,Fabulous!,built quality good sound clear bass amazing watched movies trailers speakers give theatre like experience distortion sound even full volumes sound quality better bluetooth compared aux use bluetooth instead aux tried connecting mi tv via bluetooth sounds real good woofer huge takes bass next level im completely satisfied product would definitely recommend others
40,review-10034486-48fc-4470-a6ee-a12305bdd9a9,Surinder Singh,5,Must buy!,full ok aaa amazing bass good sound quality goodlove flipkart thanks sales marq sound bar owsamfeel mini theatre lovley home
41,review-b6207522-adbd-4984-b535-8415e67bff6c,Flipkart Customer,5,Perfect product!,research internet well stores believe best stuff buy price comparison incredible
42,review-284e7841-863e-4f88-b32f-23e9b93dd3f5,BAPI BANERJEE,4,Wonderful,sound bar size 3 ft 2 inch long wel match 50 inch led tvssound bar provide cristal clear sound 4 speaker twitterwofer box represent depth sound bess onlyloudness clarity nice matchit many connectives like oux pendrive bluetooth hdmi arc optical fibre oux cable provide sales pack connectivity cable purchase online offline marketbess trible operate remoteafter successful read
43,review-c9bb3ee2-94cb-42a4-a2aa-4628476e916f,Riyaz Ahamed,1,Unsatisfactory,worst product dont waste money dont buy marq product cheating customer care person respondingavoid purchase flipkart
44,review-7e3b01fd-39f2-48b9-b35a-583754eecd67,Sushma Devi,2,Bad quality,marq sound bar got spoiled within 30 minutes rubbish experience talking customer care filpkart assured replacement give another update replacement experience go fd sony jbl plz compromise brand bcoz brands product much durable also hv good quality flipkart packaging gooddate 50818 hi replacement good experience marq flipkart sound bar good good bass everything excellent onread
