,customer_id,user_name,ratings,review_head,review_body
0,review-b52fe595-1cbc-48e7-bd93-c1ccf5fd1423,Harjot Singh,3,Does the job,prospricedecent speakers moviesawesome connectivity optionsconsreally low bassno remoteoverall good replacement led speakers expect rock partyhit like found info useful
1,review-462ae46c-bf6b-4a3e-8816-628ab2926f26,Varun Hooda,4,Delightful,loud high bass lovers cinematic experience room
2,review-bc8360cb-b387-4630-8273-8501dd98ecae,Nitish Acharjya,5,Awesome,awesome sound system
3,review-29687d0b-caad-4459-9606-d90a1354d663,Sanjib Gogoi,5,Excellent,amazing product affordable price tag sound quality amazing wont get better product price range wow dont think twice go huge thank flipkart delivery system taking two days reaching
4,review-6d092a7c-43af-4517-aac1-6f1cfc1ae2b8,Glenn Rebello,5,Wonderful,ive tests speakers ive almost 6 soundbars id clearly marked one win jbl soundbar one amazing speakers ive every tie breaker budget delivers crisp clear audio dialogues delivered clearly audible sound quality even absence dolby digital greatbass thing really decent id say great considering price without option subwoofer overalread
5,review-0517cd56-d9b3-4b32-81f0-8c2a12f2fea2,Siva Shankar,4,Good choice,sound quality mi soundbar good build quality also good price rangeit doesnt inbuilt batterywe mount soundbar wallthank
6,review-35b21995-a815-4055-9d3c-11430e82ff7e,Sangeeth Unnikrishnan,5,Perfect product!,good quality product
7,review-9ca81a3d-a575-423a-8c9d-707842294fc1,subhankar mondal,5,Best in the market!,super sound feel like u r film hall u wish buy go head
8,review-825dd3f3-8a5e-4299-b887-9f5d9b3ad770,Biswajit Singh,5,Must buy!,amazing product rs4499 10 bank offer thanks flipkart mi soundbar best buy budget rs10000
9,review-69f7f862-e59e-4224-b986-c86eec76e798,Sajan Mullappally,5,Simply awesome,review one day usage price absolutely amazing product xiaomi dont compare bose yamaha polk bass expected type soundbar vocals clear want upgrade tv speakers one enough im residing flat cant put speakers loud disturbance others want good sound throw high quality sounds soundbar wise endread
10,review-48417d0b-0604-4725-ac40-41eff1194ea3,Deep Sagar,4,Delightful,good
11,review-ad03cdaf-7c52-4153-a613-4259e41da921,SUMIT ACHARYA,4,Nice product,nice product
12,review-583d0b83-3185-4955-ac60-ba7a1eced720,Saravana Kumar,4,Nice product,clear crystal sound quality
13,review-49d3aa90-e89b-4165-b2b4-b9113a3687f3,Rakesh,3,Decent product,expected sound bass levels low could build high volume high bass warranty mentioned anywhere
14,review-f66d2c4f-f74f-4c01-999b-a255765754fb,Hassan Tarique,5,Super!,super round quality best price
15,review-b526833c-5572-4660-a218-39d9ae93d061,Dalim Kr Choudhury,5,Terrific purchase,nice products
16,review-51da2997-0bc1-406a-b915-0d5aa3ccff43,Dinesh kumar,3,Just okay,fitted thomson 40 tv sound good 1010sqft roombass averagecost wise high 5000rs
17,review-686648e5-34a0-413c-98f1-9eeef7975d19,Udith Pavangat,5,Brilliant,really awesome product reasonal cost sound buzzes good quality people looking normal sized hall product simply fits perfectly doubt sufficient trouble bass designwise attractive nice finishing perfectly smooth balanced output easy connected connectivity thanks flipkart time delivery good movement drowback say battery backup decicedoesnt matter anyway remote control
18,review-77dceb00-7fc8-4765-92c6-0cbf2d5ba85d,Manosijo Hazra,5,Perfect product!,im write review 3 months purchase really good soundbar mi soundbarit comfortable home small hallits give enhanced bassit high bass soundbar think good home use high bass good health others senior personsits give cenematic sound like movie hallno need space easily mounted wall without stand etcsound quality good clearno need sub read
19,review-6a55c4c5-9d4a-4ce0-9295-365db2b0c93d,Vivek Tiwari,1,Does NOT support Mi TV range!,product incompatible xiaomis mi tv 4 pro 55 related tv range bluetooth starts flickering dies 2030 mins doesnt work spdif doesnt support xiaomis tv audio output aux input tv neither aux output opticali basically lost rs 5000 incredibly stupid purchase thought mi product launched along tv supposed work tv doesntxiaomi made tv andread
20,review-fd5b7899-d343-4d8a-9ac5-5f24468f6640,Raj,3,Nice,average sound quality
21,review-56c52af5-ea23-42eb-b555-f260a0a3b74d,Rijo Thomas,5,Mind-blowing purchase,pros1 sound quality great average user2 easy switch modes bluetoothauxspdif3 looks premium4 easy connect5 compatible almost tvs6 sound delay using bluetooth mode7 decent price 4499cons1 low bass sound quite crisp lacks bass2 surround sound soundbar tries unable create surround sound effect im fond big roomtested movie torque3 white unit attracts stains4 spdif cable read
