,customer_id,user_name,ratings,review_head,review_body
0,review-98131640-68a5-4bf6-9b63-91b7f1b75b7c,Arpan Mandal,5,Best speaker from philips.,best approach phillips always mark using two days im writing reviewbest parts1 best sound quality tried many device device sound quality mark2 playback time almost 6 hours took 2 hours full charge usb 30 usb 20 took 25 hours impressive3 dadicated aux port cable use mobile laptop also4 dedicated soft keys nice control5 aread
1,review-22ba9292-2324-4bda-8e67-ec80fef364ff,Sudhi K.S,4,Really Nice,good sound elegant design using item year still working perfect go worth spend money
2,review-40e42de5-59f7-4a9f-9745-781374bf963a,Rajkamal Kakoty,5,Super!,hi 4m assam dont think twice go rcv wat wr mentioned flkrt amazing sound high quality facilityu wl nt get better spkr price 1k really 5 star wala product
3,review-876f9581-339f-4b55-9e1e-b482d805d68d,Prashant Akotkar,5,Just wow!,awesome product sound bigger expectation like purchase itbut battery wrost
4,review-86ba7e47-b68a-40f9-81a9-87f4b86edb76,RAMESH VARMA,5,Perfect product!,good product better quality low price
5,review-fff1f74e-2228-400e-8064-8621b45d45d1,Jatan Modi,5,Must buy!,awesome
6,review-71c5ff6e-a2c0-4074-a4c2-7df12de98aa7,Flipkart Customer,4,Wonderful,good quality
7,review-7a3cc6f8-2e89-4cc7-9b4f-c7ac97074e29,Flipkart Customer,5,Mind-blowing purchase,first thanks flipkart fast delivery 2 days even village areanow cm product big blast small packsound awesome bass noticeable easyly cover 1515 room outdoor performance pretty well philips really great jobmy recommendation looking budgeted bluetooth speakers without second thought go itand merry christmas including flipkart
8,review-2ac06a7d-542c-45cf-b033-965b2efb94bf,Adarsh Pandey,4,Very Good,nice sound quality battery backup little less expectedoverall product good personal use
9,review-2df7e6c9-52d3-420a-8975-7f877cb08bfd,Flipkart Customer,5,Superb,really superb like much good sound nice product philips
10,review-f6b28cb6-1de2-468a-a980-e8841239ef7f,Sanjeet Kumar,4,Very Good,awesome product
11,review-1dcb7cba-0bfe-4bb4-939b-cce5803d9e92,Rizwan Ahmad Khan,5,Classy product,awesome productbass sound quality amazing pricebattery backup also good highly recommended music loversfast delivery flipkart
12,review-474e43e7-2a33-4a24-bf88-9323e6fc1bcf,Ujjwal Agrawal,3,Fair,soo bad product
