,customer_id,user_name,ratings,review_head,review_body
0,review-07152420-3212-41e9-9c9f-899c08310f08,Anil Mural,4,Worth the money,portronics sound pot boat rugby bought people already written pros cons product tried comparing sound pot first quality sound speakers sound pot sound drum amazing volume speaker bit louder sound pot 360 degree sound amazing bass definitely sound drum bass radiator worth upgrade sound pot sound drum definitelread
1,review-ca165810-6d0a-4960-a6b8-cd0455244af9,Rinku Bora,5,Brilliant,good product nice sound claritygood bassbuy
2,review-9cf0bb18-c6ba-4639-a594-abb423ab1ef5,ASHIK S,4,Worth the money,one best bluetooth speaker range bought speaker intensive research going reviews youtube love product go ahead buy
3,review-0d8fec7f-4688-4114-b55c-8cc9dca6e7ab,ANURAG MISHRA,5,Terrific purchase,searching bluetooth speaker looking jbl suddenly one day heard sound speaker become fan speakerlove bluetooth speakerand searching best soundgo portronics
4,review-ca69e096-f1b4-4012-9aca-07bf877e27be,Flipkart Customer,5,Terrific,good
5,review-f83d7cfc-be09-457b-bc4d-0e439ffeb75d,Anand kumar shaw,5,Classy product,best classbetter boat rugbyjbl flipsoundbotzooksartis etc 10w speakers looks premium handand handy u carry easilybass excellent cylendrical shape gives perfect surround soundpros1small handy2powefull bass3 surroundloud sound 4 waterproof 5 backup time6 inbuilt fmcons1sound shakes mobiles speakers volumn full2no bass fm radio modemore less best speaker tread
6,review-b15e258d-597e-470f-a22b-ef936b4a8a54,Rupesh kumar Sinha,5,Terrific purchase,got 1599 price super value money
7,review-151d11cd-6fc6-43f6-9eaa-d27f609e94d2,Mukesh kumar,4,Very Good,superb bass clarityamazing battery backupi using 3 months hv tested battery various volume levels results unbelievableit lasted around 45h 100 volume 7h 9010h 70 12h 50 18h 30bass less sony xb10 appreciable price increasing day day due awesomeness brought rs1249 around 2000rsso go without doubt
8,review-590c1275-b8db-4bca-916f-58eb7e73b78c,AAKASH DEV,5,Terrific purchase,whoever reading review listen speaker damn gooood im really stunned seeing size quality sound produces bass good vocals damn clear feels soft plays songs must buy product
9,review-efb3fe9a-35d4-4b96-b93b-cd3fa398c834,Kunal Khanse,4,Worth the money,nice built quality good sound well
10,review-c7f3cdf5-fca2-480e-9364-ec735a6cb69b,Amar Singh Thakur,5,Brilliant,great drum 2 k range
11,review-2dc6170b-9e89-469e-8086-dfc5d8c2f871,Mukesh Chauhan,5,Fabulous!,drum good cant explain really terrific sound bass like big blaster true experience portronics also posh 2 amazing
12,review-34f5bc93-f31a-4c68-a229-049c33d7587c,Aniket Kumar,5,Terrific purchase,awesome
13,review-857f48ca-f96f-40f7-8c1a-2959340598f7,Sambit Sahu,5,Must buy!,simply amazingthis product portronics boosted heart mind fun excitement true sound drum perfect thump playback surely take hearts away amazing performancebuilt quality accessibility features sound functionality every thing justifies word excellencei personally happy satisfied output productboom boom sound drumhail portronics
14,review-b20e9cd9-410f-4d01-8dc5-cee7d37d415f,amit prasad,5,Terrific,built quality premiumsound quality superb priceconnectivity goodgood small room partygood travelingmuat gadget
15,review-8d0bf8a6-0c96-4a89-81cc-1cf97d7a4642,Flipkart Customer,4,Wonderful,amazing party soundgood engineering absolutely love
16,review-3b15258a-a383-4f9c-aa85-95316f1a9d9d,Prasanth Degapudi,5,Mind-blowing purchase,superb bass vocal high volume also recommended
17,review-56739e54-ec7d-4d54-86e7-8bafa99a50b4,raju Bn,5,Best in the market!,home new little super staropened today loud crystal clear boom boom base long battery life battery status displaythis awesome feature like product much recommendthanks portronics flipkart
18,review-4b307e54-c365-4aa3-814c-b3ff97f10c3c,Soumyajit Dutta,4,Wonderful,going give honest reviewi using past 2 days want 1 room speaker loud enough hear next room bass sound clarity enough rock house party bass good much bassy dj concert sound clarity 55 battery till used experienced gives 56 hours 80 percent badyou wont regret price point potronics give thread
19,review-0d42992f-30d6-4a27-91f7-8887c5ebc0b8,Yassir Ali,5,Awesome,awesome soundrum
20,review-8847dddb-48a0-4f1e-8651-32a8164612b8,Flipkart Customer,5,Just wow!,handy lovely
21,review-1a7dd3c4-a839-4005-9356-7312cd0a7a9f,ADARSH B,5,Terrific purchase,best choiceexcellent product range perfect choice bass lovers sound quality also best distortion even high volumes battery life good play 5 6 hours approximately single charge go without second thought real beast portable speakers
22,review-b44c4677-7e9f-4a3b-8245-3cc6050c2e3d,Rajesh Shetty,5,Fabulous!,confused go boat rugby jbl portronics reading commens feedback decided go portronics n trust dint disappointed met expectation fm radio plus point sound quality good bass effect also awesome brought rs1449 u r looking compact speaker 2k good sound quality blindly go thanks
23,review-b4ef20b2-7eaf-4ba7-a3a5-b36165f8e86e,Rahul Yadav,5,Must buy!,perfect sounds bass quality
24,review-e9c331d9-f69e-4f69-a3fa-e19ebffeb0aa,Ankit Banswal,3,Good,expected sound clarity good loud enough bass punchy personally dont like bass highs higher mid bass low compared highs mids overall headache started sometimes listeningif like loud speaker go want quality sound please go jbl costly total worth single pennyotherwise youthanks reading myread
25,review-19e71c7b-7405-42bf-bb51-6dfdc4df8d1f,Arun Mohan,5,Just wow!,nice loud sound fav
26,review-c5bc6e60-5f62-4e17-b108-8463bff12bbf,Flipkart Customer,5,Must buy!,awesome product thank u flipkart
27,review-11d5ed63-b5dc-4e95-bab9-8bdc82f5996d,Resh Raj,5,Awesome,awsome sound deep bass also good room surrounding awsome listening 8d songs overall kidilan sadanam
28,review-5e739c72-e300-4f89-85c3-fe59132521e7,avinash yadav,5,Best in the market!,awesome sound beast device price rangeclear sound
29,review-b1f5a023-33dd-4d79-b925-d4cd6827d95b,Niranjan Hande,4,Value-for-money,360 degree sound effect bass effect also good top loud voice medium clarity overall good product best
30,review-4cf7fec9-fce0-4180-bb3e-e0f715838352,Ravi Kumar,5,Terrific,nice voice base super products beautiful
31,review-e623cb87-ff4d-40b7-b0cf-6285278e6e67,Kundan Kumar,5,Mind-blowing purchase,superr bluetooth speaker range im happy speakergood sound clarity basssbut good fmoverallbest product
