,customer_id,user_name,ratings,review_head,review_body
0,review-7e1c79f3-0674-4e00-91ed-677c7088b079,vaibhav giri,5,Fabulous!,nice thats tripod wanted purchase really good
1,review-a4549f63-7987-48ff-9e59-46aff2eb0451,Arun Shinde,5,Mind-blowing purchase,awsome perfect tripod dslr mobilefor mobile need buy clip bracket attaching mobiles
2,review-362b55a7-f6cb-4561-89bf-98c91031bf44,Vin Jendre,5,Worth every penny,nice product price vise best affordable product happy flipkart
3,review-1d4f60da-0622-41c7-a1ca-1f1491f1b456,Adharsh ML,5,Classy product,exactly described details good product fully stretched 6 feet height
4,review-2cbe544c-bed5-4baf-ba97-9b2bc499bb7a,Leon David,5,Terrific,height tripod good suitable decent shooting guess best tripod low budget height tripod 6ft fully extended see picture
5,review-d09196d1-7438-43c1-96bf-f95bc2b0326d,Flipkart Customer,5,Simply awesome,best quality ever receive reasonable price flipcart buy without hesitate
6,review-c9c747bf-e9a0-4c59-add1-a94ed662ba85,Asad Rizvi,5,Just wow!,good job flipkartvery well delivered
7,review-099e63d5-acc4-46c7-8338-a3bb1479afb8,Zainul Abid,5,Excellent,says fantastic tripod really deserves 5star thanks flipkart swift delivery
8,review-b21b6f0f-70f7-43a8-b43e-ef9e6c853969,Bibekananda Mallick,5,Great product,really product good quality best dslr camera supports nikon d3400 well thanks flipcart beautiful product first delivery 2 day
9,review-5d273be1-5875-434d-b325-2ca3109cb99a,Zainul Kacho,5,Terrific purchase,nice
10,review-6e15235f-838b-4c69-94de-6e674ff7ecaa,sushilkumar k,5,Simply awesome,really impressed service product quality first order flipkart happy continue shopping flipkart
11,review-99604b4e-9758-4a45-8237-b9f25c882f08,Flipkart Customer,3,Fair,good friends
12,review-72188082-cea9-4718-91b6-d0f13f25e934,Kumaresan P,1,Unsatisfactory,totally waste item made plastic broken week even shot video tube channeldo buy refer anybody please go quality product
13,review-0166d60d-5cb7-4b99-b1ba-3efb48699c42,Monish Borah,5,Awesome,superb tripod
14,review-122ea607-03fd-4384-a3ac-fe1b9158c594,Siva,1,Useless product,product bad
15,review-06e3eb76-027a-457a-ae97-c81c30cab6f0,Binoy mji,4,Wonderful,good
16,review-f4e47471-c912-46a5-828a-8d822c778828,Hitesh Rathore,5,Classy product,osm productty flipkart
17,review-9e76be11-f359-402d-ab62-ef03ca80ae13,Sunil Rawal,5,Perfect product!,light weight easy handling
