,customer_id,user_name,ratings,review_head,review_body
0,review-3404d64c-cde2-44a7-8ab1-7f588d2c5811,Krishanu Deb,5,Great product,good camera
1,review-19ed2619-8ed7-482a-99fd-fef35c30f5ba,Flipkart Customer,5,Awesome,price range best choice wifi option video quality good built quality good outlook good overall best product noise loved
2,review-abd2bdef-d19e-4bf6-9a54-f3620f478d07,Satyam Bhargava,4,Really Nice,goodfor learning beginnersplease dont compare goprobut price range superb great deal
3,review-9d08436d-26cf-4e43-967c-1ccd009cd061,Mahendra Kumar Malviya,4,Good choice,go ahead price range awesome check underwater normal pic taken holidays go get
4,review-2d485994-2205-4694-ac45-53e2cc908f96,Patel Darshil,5,Perfect product!,best waterproof cemera loved
5,review-90f439c1-d883-471e-9edb-79b729fa1113,vishal lotankar,4,Nice product,nice camera click noise play office photos
6,review-35bc9326-b98f-46b3-8948-e7a478ad7feb,Ajun Mohan,5,Highly recommended,outstanding stuff price range loved itflipkarts delivery lit
7,review-0e3edd22-bf52-4afd-bb4d-49b46ced9163,bharani b kumar,5,Its a steal. GoPro lil bro.,struggling find good cheap action cam experiment see works helps covering rides also dash cam cargopro way high options ok reviews less expensive sj cam option left suddenly noise launched tiny masterpieceyes really awesome product house gonoise really decent job launch 5000 action cam almost features oread
8,review-1d2e74fc-b72c-40e3-8177-2525b9c6556f,Flipkart Customer,5,Classy product,good productdont try compare gopro
9,review-de63201d-73af-4b8c-93dc-3fea970e6775,Somnath Dey,3,Good,4k 1080p recording upto markbut 720p recording really good
10,review-887e6333-a748-4a24-91a2-7786c70f635e,Sunit Sahoo,5,Perfect product!,nice productcomfortable size
11,review-6b8b5c21-7eac-41d1-9f7d-15fe35b8d47f,Gopal Krishna,5,Brilliant,love action camerabest bujet action cam price range
12,review-489c7ccf-b38c-4253-b953-e9dc3882ced1,Chetan Patil,5,Wonderful,ok
13,review-c6d624ba-59e9-420e-a6c0-4414a6644ce2,Joel Thomas,4,Value-for-money,product good beginners little tuff use overall oky
14,review-70b708d5-093a-4a9d-91e3-057236243c4f,Rishabh Batham,5,Terrific,good one sportis amazing vision night good price u say gopro brother
15,review-6d7071c2-6656-4f9f-a757-d6bd817a9235,Vijay Sharathi,5,Great product,nice product packing excellent camera nice
16,review-32c5c4b2-adfc-4c42-9071-cf204b558e35,Anup Dutta,5,Fabulous!,good action camera
17,review-159870b9-ae29-4340-9300-aa8cbb68e302,Flipkart Customer,5,Mind-blowing purchase,superb thanks gonoice
18,review-669ece04-9033-46a0-9194-816456729241,Flipkart Customer,4,Really Nice,nice camera
19,review-20771d13-df95-471d-acd4-a53a3c95008d,Himangshu Kalita,5,Best in the market!,worth 2hr battry backup 2k vdo 6gb 8min vdo recordingbut output vdo little higher dn 1080p price get better dn recommend looking action price note noisplay app work use gonoise instead thank
20,review-97e0731b-681f-4e2f-b3f5-8df8af0f91ef,Preetish Bhattacharyya,4,Really Nice,nice product u click pic appears like water color pic worry download pic device ur phone cristal clear pic
21,review-90c704fd-cc11-425f-a6cb-dd78cd3f0677,Aravind V Devan,5,Excellent,havent seen reviews bought product still high hopes noise play looks pretty awesome loved itvoice bit low give reviews weeks
22,review-5f554e1c-262f-4db0-b6c3-d4cfdb8c7db6,Rohit Bhanse,5,Awesome,budget action camera good pricing descent working
23,review-781760b9-c7bb-4801-9b1c-472b9883b4fb,lipu ranjan raj,5,Brilliant,nice camera beautiful capture
24,review-9f05a441-a850-4a65-80cc-f10beeb4e141,Naval Kumar,1,Absolute rubbish!,able see video phone laptop wifi conectivity worst
25,review-8147e2c8-53ff-444a-ae29-49d41ac6577c,Suvajit Mondal,1,Absolute rubbish!,doesnot give 4k picture quality allvideos gain itmic loud recorded caseits good cameraso suggestion buy cameraits complete wastewaterproof thats else qualities
26,review-e15955f4-1131-41ff-a9cf-3eab99cb993c,Flipkart Customer,3,Good,please watch unboxing video youtube product
27,review-dcddf06d-606e-470c-aeb4-ecadf2024a6a,Flipkart Customer,4,Good quality product,1st time buyrs buy good camera connect phone see video well like time pausing rrcording clearly good quality takes pictures awesome camera
28,review-390489fa-5c68-400c-91b8-9f2ada36ccb8,Dipesh Bhujbal,4,Pretty good,budget action camera beginners tested five days performance descent price picture quality also good getting issue connecting camera noise play app android
29,review-4c54bae1-33a2-4200-b04b-6551629adbdc,Flipkart Customer,4,Value-for-money,nice camera
30,review-5d120ead-6d26-4fe7-980a-5eff8f3aaef9,karthik kick,4,Good quality product,value money
31,review-7b30aeca-cc80-4a1a-8e9d-a95b50907f7d,Aditya Raj Gogoi,4,Good quality product,except stabilization everything pretty goodyou cant get better deal pricecheck youtube channel samplessearch aditya raj gogoi
32,review-37da6d59-12e5-423d-b020-476b39d25afb,Kaushik Jaiswal,3,Just okay,awesome works superbnice buildbest camera qualitybut app connect phone worstdont want connect phone
33,review-9b8b2caa-c2ef-4013-8706-d89a32365b6a,Somnath Sarkar,4,Wonderful,call depot get delivery day leaving trekking trip nutshell scale 51 delivery packing 352 camera built look 453 battery 354 accessories 45 could added mounts chest helmet strap tripod tad price carrying case5 picture video quality sound 456 water 45 seems sound within casing underwater housing truly water proof7 pricing 55 compared read
34,review-6d4dfbbe-1845-4285-8880-260552e0c93a,Nirnoy Paul,3,Good,value money indeed video quality par comparison professional cameras like go pro well good beginners
35,review-72133a8f-438e-4b2e-a354-da219c407b25,Bhabani sankar Behera,5,Wonderful,really awesome superb product
36,review-cdc03f0c-17c2-491d-b240-488c44764701,abdul majid,5,Fabulous!,100 good product rs 2999 nb 3000
