,customer_id,user_name,ratings,review_head,review_body
0,review-2dedf2b8-2375-43d9-a8cd-8204388009d0,Sabari Nath,4,Wonderful,bought 799 flipkartpros 1 small drivers anuggly fit ears2 powerful bass great mids3 inbuilt mic button4 good noise cancellationcons1 cable tad short2 highs bit underwhelming3 reccomendable outdoor useupdateit 9 months since bought headphones earlier mentioned cable quality good take back headphones still issues workread
1,review-ca8d0bbd-d3db-4b6b-9e58-ac76ea1d3396,Baiju C S,5,Terrific,nyc headphone
2,review-a17a5de6-7f62-4a19-96f3-3b955478504f,JITHIN KV,5,Simply awesome,satisfied product pouch provided avoid dust problems
3,review-be708dc0-952f-430a-b5ba-c0202346d2b9,Flipkart Customer,5,Classy product,frnds got product 1 year still awesome iam yuvanshankarraja fanhis music clean earphone suitable every type music love
4,review-79e3c0e0-b1ff-4b81-b725-f4703dee2322,ANIKET SINGH JAMWAL,5,Mind-blowing purchase,product awesomeive personally tried skullcandy n sony sennheiser cx 180 toobut earphones simply brilliantthe bass goodtreble nice toooveralla genuine producta lot people issues comparing earphones sennheiser cx 180 trust earphones win way plus got mic
5,review-259059b8-aa37-47d6-b1cc-c87eb2b30888,Shantanu Kumbhare,5,Highly recommended,gr8 bassmade harmango second thought buying
6,review-bbdfc69c-e43e-47ea-bb43-0d7280ad491c,Chiru Iglesias,5,Fabulous product.,basically im edm guy buy headphones start loving tracks love jbl
7,review-a2a0bee9-f7b8-4323-ba2d-6c84a4e207f5,Ananya Roy,5,Super!,product awesome
8,review-b20a7db6-ddda-4e2d-b7da-ce665b23638f,Rohini Ghosh,4,Value-for-money,lovely
9,review-a43fca88-a1e0-40a6-9293-84c164a66b28,Jagan Mohan S,4,Pretty good,working fine far
10,review-fdefdb39-f01a-4da2-ac28-9e9df74305dc,Flipkart Customer,5,Super!,better sennheiser cx180also mic works greatbut cost 200 cx180
11,review-6341afdf-99f8-4446-ba2d-94cebc7a276d,Ajay N J,5,Just wow!,harmanoriginal productexcellent sound qualitygreat bass treblegood one music loverslightweightmic buttonsmallmediumbig 3types earbuds included package
12,review-ade200ae-3ca2-4f5e-b7b9-026869f4b024,Swapna Gupta,5,Fabulous!,mind blowing purchase
13,review-9cab49cc-6849-4db3-bc7f-c2c95d5c4daf,Dr Bedobroto Biswas,5,Excellent,need good pair headphones sennheiser cx275 gave upi also pair sennheiser momentums although confused sennheiser cx180 jbl c150but still went ahead ordered good reviewsi heard jbl car audio setup knew brand pretty impressive sound signatures never heard earphones thoughokay coming product build seems good plastic body wires seem thick definitely less tanread
