,customer_id,user_name,ratings,review_head,review_body
0,review-cb42187c-b189-4144-bc5d-10ce8fa2bcc2,Krishanu Saha,4,Worth the money,pros conspros 1 light weight2 good sound extra bass3 ear cups arent huge therefore ears wont get heated4 mic another plus point rangecons 1 long time extra bass annoying2 soundproof good anybody bare ears closer person headphone easily hear whats playing
1,review-71a80a74-4c17-43fb-87da-545ad2ee0733,Laksh Sharma,4,Good quality product,okay youre probably confused buying youre comparing moto pulse 2 pulse max need read onokay almost 2 days torturing tough usage came pointspros1good balance treble bass2comfortable padding covers ears almost completely ear headphones instead ear ones3 really good quality microphone extremely sensitive smartly cuts excessive noiseread
2,review-d545548a-608b-4d0c-b0a4-37860b5a4087,siva sankar,5,Highly recommended,awesome productmatched phone
3,review-08144558-d7d0-4d2f-8318-70f3ac173eaa,Uday Pratap,4,Good quality product,sound quality great built design awesome base clear worth money match phone
4,review-7709353c-9053-40d8-947e-e2c735dcb8ef,Mohit kumar Banwari,5,Worth every penny,good quality bass high enjoy music
5,review-accc6dd0-6fd5-4cdd-aeb7-c724553fefee,muhammed aslam,4,Worth the money,good sound quality true bass
6,review-a9672e6b-1c2c-4df8-8198-990b91c92f55,Zoheb Sharieef,4,Wonderful,dad enjoys product satisfaction seeing father happy priceless
7,review-60fca63f-6fba-4bf2-b709-4af2acfd57c6,Afsal A,5,Awesome,good product
8,review-9f12448a-5755-41e2-84b3-12c6c0828a3d,Raya Ramesh,4,Wonderful,nice one
9,review-ccd6e5a0-6242-4925-a178-7ef188193557,ANKIT MAHAJAN,5,Fabulous!,awesome product
10,review-7a973421-cbcf-4551-89ff-40d8119fae0c,Mahboob Imran Shaik,5,Highly recommended,got wantreally superb headphones tested contionusly 5hrs bass awesome planning go it55
11,review-e0546467-a540-4539-abfa-5e1920ffca61,DIVYASACHI PAN,5,Great product,sound quality good adjustments head nice looks also attractive
12,review-06fefc59-7200-47dc-990e-3fd2605d8583,Aniket Verma,5,Perfect product!,good product
13,review-0de13c57-597b-4f3e-99f1-5c9367c8f797,Mridul,3,Great one from Sony,4 months usepros1great speaker quality2good bass3the side straps adjustable great limit4great inbuilt mic receiving buttonworkable android smartphones5foldablemakes highly portablecons1headstrap loosen long use2no extra headstrap cushion softenning experience3after long hour use ears become sweaty4the inbuilt mic headphone compatible laptops
14,review-e6a2a2ec-55f2-4d52-92b0-2c2e485c5c2a,Anushka Pandit,5,Brilliant,dont listen negative reviewsits 100 genuine sound qualityoh sooooo good
15,review-ce5f94a0-550e-4a8f-9c05-635b1fe55f19,Sourav Sarkar,5,Terrific,happy sweet sound qualityso exlient
16,review-db146a35-3ab8-4801-a057-e0fb12856f1a,Mrinmoy Sarkar,5,Terrific purchase,awesome base sound nothing say
17,review-cb1f2692-30dd-4b98-a5b4-c25eeb77df74,Rishabh Tiwari,5,Mind-blowing purchase,awsm
18,review-438c0663-be33-4226-89a1-bd86681f2988,Chidanand Baligar,5,Highly recommended,good product sony
19,review-0fcced82-135f-4496-ab75-3e84a975cb92,Badsha Khan,5,Terrific,excellent
20,review-7c20aad8-4497-409e-9bb1-6659ba86ca55,Flipkart Customer,4,Good quality product,headset good sound quality base also ok match mobile
21,review-5add10f5-cfa5-4ed2-833a-fb49e84455c4,adarsh,5,Terrific purchase,super product best deali bought headsetits amazingbest sound qualityand moreand also suggested friends buy itare looking headset low priceyou must buy
22,review-23843ee6-1910-44f5-a238-7d1a01464f48,Srija Chakraborty,5,Brilliant,grand productexpectations fulfilled
23,review-e6fe3c5c-3559-4f55-abde-9eb884d6cca5,Sagar Datta,5,Wonderful,nice headphone good bass quality awesomethanks flipkart
24,review-a8110b6c-35f1-4770-9042-22355b274fc3,pranav rane,4,My experience with Sony MDR,pair headphones worth price spend get job done adequate amount bass natural feel songs way songs intended listenedhave using past 6 months performed extremely well
25,review-ef3ed14b-d8ed-46eb-a680-8e9b0f7ac077,Shivchandra Kumar,4,Worth the money,nice sound also good
26,review-14ef5091-1814-4210-ad4f-67f27e69c085,Flipkart Customer,5,Just wow!,best
27,review-78500ea3-c287-40be-975c-76a14989635d,Flipkart Customer,5,Just wow!,find usefull worth price like way flipkart delievers product even day predict quite satisfied product online gamer product usefull affordable price thanks
28,review-32e0e896-0830-4bce-b9d0-cc3b556d5d6b,Lovepreet Bhatia,5,Terrific,awesome product perfect musicdoubtless buy go grab
29,review-3ab50a86-3c8b-4b11-ba92-87d7876c87f2,Abhishek,4,Really Nice,good headphones sony comes mic good calling
30,review-1c482e75-ed97-4636-8500-c75458435f53,Vysakh Rajasekhar,5,Awesome,using product last one week pros cons devicepros1 good sound production less sound leakage2 average bass output3 portable beacuse earpiece foldable4 tangle free double wired cord5 built mic controller button6 length adjustable bow7 attactive colour options8 weight less9 value moneycons1 continuously hearing high bass music full volume 30 mis may cause heavyness head2cread
31,review-c6f02119-6d82-4a57-a061-443615836fd5,Flipkart Customer,4,Nice product,good getting ear pain
32,review-b10b0c52-664d-4dc7-b46d-83d2ceb7e618,prince barnwal,5,Terrific purchase,good sound quality adjustable ear fit
33,review-a8e94c61-3302-4719-ac81-cf00a9c334d2,sagar Km,5,Must buy!,super base clear voice base awesome product feeling happy
34,review-a62f282e-39d5-44e8-af68-5bb9e7a820a1,Latha Veerabahu,5,Terrific purchase,really super semma superworth bought 799semma
35,review-babb1c7b-7729-4b45-aee0-8eb2a61bc978,Sachin Satija,5,Simply awesome,great sound bass loved comfortable also
36,review-635d560b-90fb-42a3-a3d3-7461b5edb36b,Abhishek,5,Super!,great product flipkart price 899 delivery time 1 day u ought satisfied purchase
37,review-e16b6fca-d619-4bdf-be19-74a5f2ad62a7,Manish Singh Rajpoot,5,Classy product,good
38,review-de13930d-bc6f-4aff-9f40-40616ced0c0b,yash varma,4,Good choice,sony developers best music engineer ultimate gear song lovers affordable pricebuild quality music experience bass handling range frequencies optimized productsome minor drawbacks like mic efficiency button function laptop comparatively less cusion ears
39,review-3c01ed8c-3cb9-4b91-9fb7-49a9447ffa3d,Prachur,5,Sony MDRZX310APRQE Sound Headphones,awesome headphones buy wont regret itsound quality awesome extra mic doesnt volume control button attached
40,review-d51d7915-9739-4cdf-a7c6-9859392d1ff0,Rubbal Mittal,5,Pretty good,buy headphonepros good sound bassgood lookingflexiblemoregood soundgood soundconslooseycheap plasticif u want headphone natural sound goes comfort headphone wow
41,review-98e5bb9b-b883-4c23-8a7d-9b80e1bd692f,Ashin vincent,5,Wonderful,nice qualityits original sony productand pros crystal clear audio average bass cons found one side becomes louder sometimes also cause variation plugged high volt devices like computer low volt devices like smartphone mp3and little bit smaller size expectedall best budget earphoneand go
42,review-417b638d-cab3-4f9c-8cb8-1220a8e7155a,Vamshi Krishna,4,Delightful,product amazing connected pc sound quality poor vocals ok base poor nice build quality earphones ear ear headphonesby last amazing product flipkart
43,review-304608f2-6022-4434-9638-ee5a94f79501,Anil Varghese,4,Good choice,liked headset offer price worth buy 799 big billion sale
44,review-a2fe19da-1014-435f-96bc-5a6caa3cec82,sachin mishra,4,Good choice,awesome baselocks good
45,review-4db6f368-ef18-49cb-969d-6fda351c23a9,THOMAS GURAL,1,Utterly Disappointed,uselessvery disappointedleft side stopped working
