,customer_id,user_name,ratings,review_head,review_body
0,review-58b2cf04-f798-48cb-bbb4-5a76f85048d0,Abhinav Rastogi,3,Gets the job done,summarysound good phone calls okayish musiclooks goodbuild seems good qualityworks well nexus 4 able control google features via button mici music buff always lookout good sound got headset primarily taking phone calls disappointed domain blocks ambient noise pretty welltried listening music set sound flat boringread
1,review-97b699c1-70b7-4a46-bf14-e9b6d8badb54,Anamika,5,Simply awesome,received product time packing fineso impressed earphones work great extra bass gives clear soundbut two cons found are1 cant put volume low youre call even turned lowest still heard person sitting next you2 one button mute unmute calls used pause play music notification barother wise product great wilread
2,review-c9ab3532-6ece-43fd-be68-1f8128066d39,Flipkart Customer,5,Terrific,good bass love skullcandy better brandin malayalam say polichu
3,review-1da30b04-85c3-4869-b0d3-7a149dfabeff,SHREYAS TL,5,Really Nice,good effective heatset good bass clarity
4,review-60b49406-719f-4b5f-80e9-025e71cf478c,Bindhu Subramaniyan,5,Wonderful,bass level fantabulous
5,review-f0496e78-4d0c-4340-bd1b-ba7c0be6be18,KIRAN Manwar,1,Not recommended at all,one side speaker goneits 2 months
6,review-dc3a2f19-0987-4b5c-9d61-70cc49da1053,Dinesh Patil,1,Unsatisfactory,wast money 2 months working one sidebad producti suggest u guy buy another onedont buy product
7,review-ecd1ff34-771e-405b-af9a-c560a31f1814,Heslin Davis,1,Horrible,genuine productfits wellremote buttons speakers workinggood materialflat cablelight weightnow 3 months earphone working one eari contacted brandeyes indian service centre skullcandy since product 2 yrs warranty got replacement product also stopped working 4 months experience product wouldnt recommend someone
8,review-1b084e67-97b0-4b43-a5ee-b327d8c81b4c,Flipkart Customer,5,Perfect product!,good earphones l like give awesome sound quality mast ha yaar
9,review-346bb828-eee2-408d-b1be-3a136ce17664,Anirban Saha,5,Just wow!,really gd head set n vry happy see tht any1 use wth care n proper way thn headset provide u almst 2 years lillmore longlasting duration
10,review-c9b8b519-376f-4c4b-9e5e-132bf235d6f0,Moumita Middey,4,Really Nice,good product expected happy wid purchase
