,customer_id,user_name,ratings,review_head,review_body
0,review-d8acec63-9b67-457e-bd43-cd212e2e48ea,Abin Mohan,5,Super!,honest review boat rockerz 400pros powerful bassno distortion full volumebass better sony mdr xb 450 apsometimes feel like ear vibrating due bass crystal clear sound sound muffled due high bass enjoy every instruments good bluetooth rangecompany says 10 meters dont bring phone listening music even move next room without phone good battery backup company says 8 hours read
1,review-a6510973-f0ad-4823-b57d-07125062c2f8,Anirudh Anand,4,Value-for-money,finally got product time best budget wireless headphonei serching since month bluetooth headset finally happy itonly shortcomin range enough price available 1100 also sometimes losses signal using youtube rest good working well
2,review-7796ec8b-d962-451d-ad4d-2ce6e8762b5c,Girish Fedram,5,Just wow!,super duper really rockingsuperr bassu feel vibrations u play bass boosted songs super batteryperfect fitsultra light weightnoise cancellation goodyou might feel tight earsbut 23 daysits perfectmic working good next person thinks ur little bit away ur phonenot issuecushions betterbut compromise price psuper price got 699go itif found review useful hit like button
3,review-5b534d4b-f4fc-4431-b227-1a0233af5338,Flipkart Customer,5,Wonderful,damn good headphone pricebass lover go brosis much loud speakers obviously40mm drivers even high volume doesnt affect damn good quality sound battery performance also mentionedmaybe 8but definitely get least 6 hours max volumecall experience good enoughyes sometimes connectivity gets affected somehowbut 10 days experienced thrice point view product ill definiteread
4,review-6efeef86-ae1d-435b-b341-68259e9dcd5a,Dinabandhu mishra,5,Simply awesome,wow
5,review-93311d99-1041-4fea-be17-c6aac2cacfd9,Jayaram R,5,Must buy!,awesome headphoneprosinsane bassgood claritysatisfactory range considering pricebetter experience auxgood battery performancecharging speed satisfactorybought rs 999constightbegins sweat sometimecan used 45mins get adjusted sometimebest budget headset
6,review-019e0417-f27d-4fd2-906f-72590d73b9ab,Nitesh Patra,5,Terrific purchase,awesome
7,review-27328276-f3a3-4f2c-ba6c-f6ff9d54d0eb,Abin Mathew Sali,5,Best in the market!,superb quality little bit tightbut price range 999 worthyou buy product 999 big offer daysso wanna add product cart price drops 999 place order
8,review-688d1744-3590-4e41-aae1-30b4e1ca0d7d,amal Jose,5,Classy product,nice bass bought skukcandy uproar wireless previously still better sound quality lvit go reasonable price nice quality
9,review-095f39e1-3a0b-4125-8f51-f5717cffa4f2,Narayanan v,4,Good choice,awesome sound qualitypros78 hrs battery life including 45 mins approx call timeawesome sound outputbass treble really clear without equaliser equaliser sound wary depends handset sound qualityweightless carry head toomic good traffic good 325535mm option really important mention really expecting leading brands implement thisconsvery tight ears adjusters ok tightread
10,review-0e6b87d5-691c-4496-9f70-6b19ef0689f6,Namita Das,5,Classy product,great budget friendly product boat really liked lets talk pros conspros 1 amazing sound quality bass notas much expected still verybalanced vocals excellent2 battery backup great forheavy usage low battery canuse aux cable3 design great easily carriedread
11,review-5720dbcc-7177-4b4a-bfac-cd26723df461,Abhishek RX,4,Nice product,poliii annee broooiiis
12,review-9dcf9fd6-4dd4-46b9-a9c1-62e2236e7f43,Arindam Mangal,5,Must buy,first want talk sound quality sound quality best price segment bass really punchy mids also good high volumes sound cracks bit otherwise really nice 910then come build quality build quality amazing cant get better headphones sturdy light made good quality plastic 9510the thing didnt like bit tight sometimes become uncomfortaread
13,review-9fee2d90-4d5e-45ba-b6bf-65ed0fba6fe3,Shilpa Nath,5,Terrific,awsome product
14,review-572b4c93-5501-45a8-88d1-58b3164a9ef3,Nihal super,4,Wonderful,headphone best bass perfect fit fixed headthat mi a1 provide large range bluetoothand mic working fine bluetoothwire also
15,review-7027d9e9-9078-4fbd-ae6b-bf70b6fbd4c8,Md Arzoo Azim,5,Worth every penny,look wise best
16,review-2e18387c-5fb8-458c-b860-936d89cd8160,Shubham Nath,5,Excellent,almost everything good one thing really tight cant wear 30 minutes
17,review-cddee306-f922-4737-b182-a842eb56d573,Murshid P,4,Very Good,superb sound quality love product
18,review-e1462f18-7deb-4a2e-adcf-1bac4b445b7c,Krupa Tresa Joseph,5,Must buy!,got 999 totally worth moneysound quality goodhowever bit tight placed headabout bluetooth range average
19,review-0a7e8900-2cd7-42ab-ad04-f216aefbcb6a,Bidyut Jana,4,Value-for-money,good product feels tight delivery also awesome
20,review-06200b9d-c6da-4424-91d6-1c37b1e8e0dd,Soumendu Koley,4,Good quality product,u buy thispros1 sound quality build quality awesome2 bluetooth connectivity average3 bass clear high 4 battery backup good5 u use wire headphone u charge headphonethis goodcron1 u use long u feel pain ur ear2 ear earif u need ear price go moto puls maxfinal opinionif u want good sound quality good bass wireless headread
21,review-a0240d88-a440-4eda-85bd-c9b2159645be,Snehasish Sadhukhan,4,Worth the money,amazing product delivery wrostly
22,review-c1762534-a5b9-4962-b28f-daa1da53d6a3,sai vijay,5,Terrific,awesome product got 999 bulid quality good bass creates real definition connectivity also quick bluetooth supports range 5060mand quick charge excellent battery backup
23,review-50a93f11-8e77-4918-b576-714d140ea1b1,Flipkart Customer,5,Great product,awesome soundvery pretty see nd sound quality goodi wish take product loved product
24,review-5091b775-96eb-4d1e-b9b8-17186481b051,Ram Chandran,3,Above-average product,best buy 1299 pls check unboxing videos well online shops purchasebe vice customer always
25,review-99513bc6-19d9-4445-a021-57c4ece00517,Anil Pooja,5,Simply awesome,good looking super fine clear sound power full bass
26,review-ca0525b3-1b4e-4873-a3d0-e92b938e24a9,James Mariyaraj,5,Best in the market!,truly great bass like home theatrebass really awesome looking greatsomebody says comments hurting 2 3 hri said noeveryone must buy productthank
27,review-d84e201a-8aa6-4b8f-9879-e3d23d8475f9,sagar jakkula,4,Pretty good,nice
28,review-909cd310-fafe-4f16-8317-f7ff821cc050,Dhiman Kalita,5,Highly recommended,really fantastic wireless headphone good bass battery life built quality bluetooth connectivity also looks good packaging also good little bit tight little difficult wear long time period till 6 days havent charged price tag 999 think best wireless headphone get want headphonewired check headphones bass really good treble uread
29,review-7d77332a-c874-496a-a4ce-53cb6eb843ce,Aman Goswami,5,Awesome product,hello guys name aman got product brilliant offer rs 700 flipkart sale 1618 may really happy headphones sound really amazing cannot determine words atlast got headphones best offer dont hesitate buy really really recommend purchase headphones really looking
