,customer_id,user_name,ratings,review_head,review_body
0,review-156f9cd8-3a80-4a42-ac6d-ff3f19e08bbf,Akarshit Dawra,5,Good Drive,purchased product 1st august 2014 recieved two days later 3rd august flipkart offers one fastest deliverypros fast drive upto 85 mbps usb 30 upto 22 mbps usb 20 normal usage ie lot small files folders backup softwarecons security software read mode prevent viruses expensivenote flipkart demands highest price product check sites better price options
1,review-bfcc5506-76aa-4893-ad8b-2ec8fc3c326f,nivetha annamalai,5,awesome product. higly recommended,hard disk best slimmest fastesthigly recommend product sleek design quite cheap 2tb hard diskthe transfer speed amazingand got amazing deal thank flipkart
2,review-ebd13162-b97c-4546-98e9-67f2438b5f4b,Shivam Shankar,5,Super!,awesome product reading writing speed really impressive hard disk connected usb 30 maximum speed reading writing 120 mbs 125 mbs hard disk connected usb 20 maximum speed reading writing 40 mbs 50 mbs really good product go
3,review-9bd62d19-8d6d-43e7-8fa1-486013706479,ABHISHEK SAHU,5,Great product,bought product 200517 sale rs 5400 generous design compatible user handling light weight speed 4050 copypaste 7087 mbs cutpaste 181 tb user space important used cloud mac windows android operating system thank
4,review-5a46e4c6-01e3-44ab-8b93-f94dfdc3faa3,surbhit gupta,3,Flipkart prices are not at all comparative,following product two months flipkart prices cheapeven selling eight hundred rs extrai dont know happen flipkart days offers good prices
5,review-79e55551-4545-482f-a78f-d29f5d12534f,Harleen Kaur,1,Utterly Disappointed,hard disk received workingtried connecting laptop unable
6,review-b4ebbfab-12c2-4d42-8a1e-9ecedce11713,nebu,3,Satisfied,slim hardisk fast transfer speedsflikpkart delivered timesatisfied producthowever original packing item little bit damaged product new condition
7,review-cb3752aa-c05d-4aec-96a9-d4c2e7c9b48d,Aditya Sonphavde,5,Lovely product,great product delivery done time expected use port care port usb wire connects hdd flimsy heard lots complaints becomes lose spoils hdd else looks sturdy great
8,review-acc8ab8f-26b5-4d16-b407-cd81ff5ce1c3,Flipkart Customer,5,Best in the market!,awesome producti got 5700
9,review-9574fe63-7393-48c2-89f1-ff00bc4169be,RAMAVATH GOPAL,1,Horrible,waste
10,review-8bf993bb-7cc2-496f-a59f-4646acfc8dcd,Shantanu Jha,5,great deal,today morning saw 2tb4599 couldnt believe rubbed eyes ordered two external drivesit yet delivered know sealed lightning deal
11,review-7a7d02f9-b172-48ce-9708-ce77e0a8adc0,Raghu Varma,4,Overall Good Product,1 received product one day promised date flipkart2 good transfer speed usb 303 light weight u assume4 easy handle carry anywhere use
12,review-5719fc9d-7bd4-4014-9fa6-b911dad36ef8,Flipkart Customer,1,Utterly Disappointed,plz dont buy big billion daythe worst product order list replacement
13,review-9a774c82-7085-4d97-b873-4c01b4e40e8a,sakthivel singaravelan,1,Worst to choose Flipkart Now a days,came buy hard disk flipkart tried check websites hard disk comes around 4k flipkart costly happens products flipkart selling guess time buy required products websites thanks flipkart
