,customer_id,user_name,ratings,review_head,review_body
0,review-d8808289-f506-4b4b-88fc-c30f5fc9f313,Mrinmoy Roy,5,Great product,bought cost emi bfl hdd compact taken jeans hip pocket cable however smaller desired package came robust securely packed delivery per schedule however gone many questions nd answers regarding product found many answers correct misleading thus want correct facts based observations 1 hdd connected witread
1,review-16eff3cb-5668-4c63-b5f3-50140eaf6953,Nandhu krishna V J,5,Wonderful,good productotg supportsuperb speed highly recommend
2,review-de633cb6-0da3-435f-a297-3f017e31a8ab,Subhradip Mukherjee,5,Fabulous!,really good one one buy one instead buying 1tb harddrivea impressive onei love
3,review-e5ca4331-1d80-438a-b369-3b74987ffb8a,Vinit Kumar,5,Simply awesome,fast delivery thumps flipkartcoming producti got 3999 15tb get around 13 tb usable spacetransfer speeds goodpc drive 100110 mbps single file 2 gb transferred multiple files total size 138 gb transferred lowest 60 mbps avg speed 70 mbpsdrive pc always 120mbps regardless file size little vibration touch rotating moread
4,review-91fb11c2-580c-47c6-9504-2f90c8af1289,Ajazz R K,5,Terrific purchase,nice product delivery verry fast free deliveryi booked 11th jan early morning says 17th jan delivery got 13th janseller packed good product totally value money product recommendi gave review 3dsys want give genuine review itits give 33mbs 36mbs speed copy past windows 7 20 port dont 30 port cant checked yet ill give review 30 featureverry goread
5,review-920ba224-9f1a-44ba-9303-98e2fde1d808,Flipkart Customer,5,Great product,fabulous
6,review-0975bada-bf20-4d8a-8afd-897d77814db1,ankit Mishra,5,Simply awesome,nice design simple best price u get 13tb
7,review-6e3b2db5-6f1e-4823-bcb7-0a985957014b,Ujwal Nambiar,5,Excellent,used one friends wd elements worked smoothly experience thing mine great product
8,review-99251fc5-dc1f-4913-a467-ae8d5c3d97f0,Ashutosh Birla,5,Awesome,original product transfer speed depends type files max 130mbps iso file problem overheating keep connected 2 days downloading forza horizon 4 usable size 137tb otg supported quality good four mini rubber grips also bottom led indicator light front created partition 30 extra operating system create many partitions install operating systems boot using hard drive
9,review-c20977e8-5152-4b96-8eca-0577249d8442,Varun Dalal,5,Fabulous!,completely worth every penny transfer rate amazing go
10,review-aaaea7ff-6806-4e4a-a6de-c99b28a41ecd,Manna De,5,Must buy!,good product useful
11,review-0a97f00a-4473-49f1-b8d5-64054aecfc47,Saif Alam Khan,5,Must buy!,excellent hdd good transfer speedgot 137 tb free spaceworth buy flipkart
12,review-a7fbd732-0878-4458-b647-f641afbe8c69,Imran Haider,5,Simply awesome,good drive 3 years warranty easily getting 100mbs write speeds usb 30 interface
13,review-1223cf3c-66a8-479a-9f2a-2b69ef9e506d,mohd atiq,5,Worth every penny,happy flipkart delivered time thankful flipkart good fast smooth working see look wise superior
14,review-5976d16f-e019-4abc-9076-9d52ad6c2a6d,Kalisankar Karmakar,4,Very Good,good product
15,review-dc60fe0a-0b68-44e0-ae1c-55d451b5ea62,Flipkart Customer,1,Worst experience ever!,little jerk stopped working data lost using seagate drive long time without problemdata loss cost disk completely useless
16,review-550fed9f-7054-42f0-9578-439e7ccb9e62,Flipkart Customer,5,Just wow!,compact worth price get 1tb drives cost prefer wd elements ove wd passport going use wd software provided passport dont need frequent data transfers
17,review-f5f15436-9388-4f0b-badf-c853dd048fef,Sachchida Nand Tiwari,4,Really Nice,nice one 13 tb usable space max speed 93mb sec
18,review-13434a82-9343-40df-a282-eff6c6169f19,Ajinkya Kabbur,4,Good quality product,purchased inr 4800the thing impresses form factor compact size carried easealso lightweight helps portabilitythe downside transfer speed little bit less build quality could betterrather good product price
19,review-567d6638-2f24-46fa-a916-e033f7ec971a,Shreya Mishra,4,Nice product,trustable
20,review-210636a3-66a5-4025-b59b-0fa0a7c1c0b5,Flipkart Customer,5,Brilliant,nice product
21,review-319c75ce-af02-43db-8213-eabc211531f8,Devender,4,Worth the money,nice transfer speed low overall nice
22,review-b3d7d3f4-e8f9-4d3d-a45c-f19538d616f7,Aravinth Panchanathan,5,Fabulous!,product flipkart delivery good
23,review-1ec98306-ac5d-4523-b995-a8ce23003bcc,Flipkart Customer,5,Terrific purchase,delivery time services make flipkart best india
24,review-4b0fb1a1-fb05-4ead-b6be-bbba1684c4da,Selva Kumar,5,Excellent,build quality superusb 30 max speed 117mbs ssd laptoplowest price4 rubber base available antifrictioni ever seen like usb cable quality
25,review-f4d3baa7-ef47-4089-90f9-ffbfd8182257,govinda deshmukh,5,Terrific,nice
26,review-bb88bb83-5aab-4fcc-b85a-d71344fff77d,Ashish Patel,5,Wonderful,good product
27,review-016ce657-bb66-46dc-85b7-4a3b3b22e615,shaik ansari,5,Super!,nice product thanks flipkart
28,review-e47d5e1b-1410-4212-9b2b-ea587ec9a7a1,Vamsee Krishna,5,Awesome,good product light weight
29,review-d4bc16db-bdea-4e82-9937-fca601528891,Rohit Mor,5,Fabulous!,nice best product
30,review-13bf1bcd-ce13-476b-8dd2-8aec4bc2a397,Amit Dahiya,1,Shameful act of lying about product features.,flipkart lying product features specifications flipkart mentioned hard disk password protected got hard disk disappointed know apply password search internet found wd element model password protected shameful act
31,review-3e3a909c-514d-4c1b-9fd9-a8492e0109fc,PRASHANT BAKSHE,5,Awesome,connected computer works fine stored data connected otg mobile phone problem came gives message corrupted hard disk need erase stage couldnt erase important data couldnt connect mobile phonethis issue encountered far mobile redmenote 4
32,review-0d5fa1b7-bcd9-4f40-a68f-5ed8d9324789,Jothi Vignesh,1,Worthless,purched hard disk january2019 month used one two times working properly two years warranty need replace hard disk help replace
33,review-bae4f8dd-4057-4e04-a22a-4b34e20057cb,Roop Kumar Mukherjee,5,Perfect product!,delivered one day old laptop usb 20 cant provide 25mbps easy handle comes 136 tb storage 2 years warranty overall good purchase
34,review-0696baf3-d07b-4925-8a23-6a870fd68450,Flipkart Customer,5,Brilliant,awesome product delivery u connect redmi note5 pro zenfone max pro m1
35,review-c9c2ae7d-501c-4c30-a166-675e54fe3033,Flipkart Customer,4,Really Nice,good product loss
36,review-90cb1429-edf4-45e4-8e66-8387f123734e,Vaibhav Vadolia,5,Mind-blowing purchase,1st time attach hdd needs formatworks best usb 30 port get write speed upto 80mbpsthe usable storage approx 35tb portable handly easy use
37,review-26ff0c0b-ad3b-47f8-90c1-bd83555fddef,Abhishek raj,5,Super!,sleek feel premium quality ofcourse offer great copying speed got reasonable price
38,review-6458d46d-2dac-492f-bd39-d45b6fdb459e,Lokesh Bhasin,5,Perfect product!,excellent product deleivery flipkart
39,review-f7b22d0b-7d9c-441a-9ffc-968736a03a80,Sandeep S,5,Brilliant,value money
40,review-dec7cad4-5961-48f1-b2bf-2378368acfa2,Sourav Paul,4,Worth the money,goof
41,review-f77d2108-3149-4e4d-b150-ca9400f8d92a,SANJAY JOSHI,3,Does the job,thickness expected
42,review-354a81e8-c226-4507-8ffe-ab1f8f235188,Tejo Jasti,1,Absolute rubbish!,low quality
43,review-0d4e0070-88ee-4fd6-bf03-609cc0eef5b1,"Bishnu, Sahibganj (jharkhand)",5,BISHNU SAHIBGANJ JH,useful brand good work also good thanks flipkart
44,review-283199e9-003a-4ef4-b9a3-6fdb35495f0c,Aritra SenGupta,5,Perfect product!,good exhdd due usb 30 transfer speed good recommend buy others
45,review-9e992564-c229-41b6-ad0b-74b35f9dd00d,Rajkumar Jangra,5,Wonderful,awesome cheap got only4409
46,review-9558c44a-b724-41f8-acd4-5b544f9b7b9e,Rahul S,5,Speed better than seagate samsung,proread speed 110 mbswrite speed 90 mbsmuch better seagatesamsung 30 mbs read write usb3conhigh price
47,review-1cf6fc4c-1d34-4244-b48e-693423fa4fab,Shivam Tiwari,5,Just wow!,great product speed good product handy
48,review-256e2514-b9df-4b02-bec9-4a6c61d394ea,akshay morge,5,Worth every penny,product nice thanks flipcart give cod product
49,review-072eb0e5-6e30-4b9d-b378-e36e33513f5d,Preeti Lohia,5,Classy product,nice performance recomanded buy
50,review-5d6c58ef-9b74-45c3-bdbe-0d10b0379422,Anjishnu Roy choudhury,5,Mind-blowing purchase,great product flipkart fast delivery
51,review-24d4d75d-82b4-4213-9310-703d692f9b42,Flipkart Customer,3,Nice,speed data transfer
52,review-fb1bdf3e-74f7-4476-9122-1b344ba018b7,saransh,5,Worth every penny,great portable hard drive
53,review-f22e4a48-d3ae-4a44-b01a-bb571fce9fff,KUMAR R,5,Brilliant,review help people confused buying wd elements seagate expansioni bought hard drives 15tb compared every possible way review help suit hard drive buy1build quality wd elements compact lightweight im impressed build vibrations max wd drawback device seagate plastic build goodmy seagate hard drive broken dropped itread
54,review-5729c2cc-d6d8-4c99-8438-8abe963aafce,JIBI Thomas,5,Terrific,nice one suport mobile phone asus pro m2
55,review-fba12bf5-3ede-4be2-9f93-46ca5b5f82bd,Abhishek kumar,3,Nice,hard disk data transferring speed goodbut one thing dont like built quality hdd made low quality producti expecting type low quality product wd
56,review-ce5afa16-9dc0-445c-867a-9957b26469fe,kiran bairagi,4,Delightful,nice
57,review-00498190-e21f-4ad6-8fab-7b57ea4c4071,Flipkart Customer,5,Best in the market!,niceruns smoothly
58,review-a00f2199-90e7-4c84-b52c-57a21f6f8f6f,Flipkart Customer,5,Super!,must buy great product reasonable price rather going 1 tb one much better option spending extra 200 bucks
59,review-87a7c463-fef0-4358-88d7-ef7d1e415543,Bhaskar jha,4,Worth the money,using 1 monthi use storing serieses like devo ke dev mahadevmahabharat old new star plusramayanvishnu puranshri krishna many devotional serials like theseworks fineif u want seriesu contact bksemilo gmail dot com
60,review-4aba46bc-a669-4e4c-b792-a14750f9fb40,Nitin jain,4,Nice product,stylish good quality product
61,review-73d9820b-5301-425c-8e72-03a677f62c1d,Deepak Negi,4,Wonderful,wd brand needs introduction new 15 tb simple sleek bold design gives thumbs option pick handy light weight got sale 3799 without second thought
62,review-fba5f33a-6b65-4c7a-ab01-d2fd815e34b6,Abhishek Kumar,5,Highly recommended,flipkart delivered product time wd element 15 tb great value product 1 tb price used found 36 mbps speed video transfer usb 30 product slim per specification recommended looking affordable external storage
63,review-c4528e11-db81-4d5a-b899-09a680912c89,Flipkart Customer,3,Fair,data transfer slow 14 mb speed bad
64,review-43baed2e-bcc5-4674-84cd-150a67a95219,Venkat Praveen Magapu,2,Moderate,gr8 product delicate transfer rate poor takes much ur time 2 even show da drive
65,review-c2db442f-98d6-4b4f-972b-14e54e8dfa12,Suhas GS,5,Terrific purchase,original product working great
66,review-d98b494f-df73-45b6-9750-63859b9913cb,Aman Patel,5,Wonderful,best condition
67,review-f03b0222-2633-48d6-a3ee-b9bcb163fa41,Arun Kumar,4,Good quality product,working nice problem connected pc getting vibrating continuesly
68,review-a98d9cf3-8dde-4872-809e-2f1b2f1d99aa,Chinmay Mg,5,Terrific,best buckthe transfer speed phenomenal compared seagate hard diskblindly go worth every penny spent
69,review-d3e11d4a-ea25-4e15-b17d-f29c1a414741,GOUTHAM KRISHNAN,5,Perfect product!,superb productgot rs 3999quality productvalue money13 tb available
70,review-ed0632e6-1607-4a57-a41c-eb108ea36d55,Flipkart Customer,5,Perfect product!,good one
71,review-cffbabaa-dacf-42c0-9c70-2ea6b1960da2,Bikram Prasad Thapa,4,Really Nice,wd passport 1tb drive really lightweight looks cool small cant believe hold 1tb data comes lot utilities help back data although suck uninstalled 10 minutes copying files manually drive evaluating better options available internetthe drive perfect backup easy carry around single usb cable unlike drives two enread
72,review-5b9ae77d-d428-4f04-9578-0636c60d63d3,Bapi Sarkar,1,Absolute rubbish!,worst product data lost completely
73,review-beee8981-ad1a-47a0-a0fc-75ae17c8c209,Amey More,5,Simply awesome,like much awesome product affordable price support usb 20 around speed 2530 mbps file transfer usb 30 around speed 5560 mbps
74,review-858229bc-c8dc-4ee2-b017-effaa4c67b9a,Flipkart Customer,5,Worth every penny,good one
75,review-727aa59c-ef11-4c0e-b14a-4250aedf7ea5,Raman Agnihotri,5,Just wow!,fabulous sixer
76,review-c57e37f1-8977-4b51-94d9-75031fa0cfbd,navneet singh,5,Simply awesome,best hard disk got good speed also light weight nice packaging flipkart wd name brand got big sale daye 3700go
77,review-95b220d4-ffa1-4b7c-a976-d7f1317343a2,Sameer Bhatkar,3,Good,speed really slow sometimes connection problem sometimes shows disk drive plz guyz think buying hard drive warranty limited 2 years seagate gives 3 years wd 1tb always 3 years think know failing product wd thats reduced 1 year warranty
78,review-712e0f51-2cb3-4600-9198-719603b1bd57,Yashwant Raj Verma,1,CHEAPER ONLY BECAUSE OF COST CUTTING,side cover properly fitted click sound coming hold near connector cable slot badly assembeld worst build quality
79,review-ab61a474-990d-48df-941d-3e705fde8f0d,KRISHNA KANT MISHRA,4,Pretty good,good product speed 20 mbs
80,review-e461fc8e-7ffb-4649-a50a-417f4e00f24a,mukhtiyar baig,4,Value-for-money,good product light weight compact
81,review-869c7d1c-6398-4ea8-8044-bc8e6c82ded3,Flipkart Customer,5,Highly recommended,far goodnot issues speed okay
82,review-833438cd-3d07-4d2e-9264-5d89b1c91e97,Jyoti Ranjan Rout,4,Good choice,product good transfer speed slow
83,review-c20078a4-0f5a-4e78-a9ce-a11715acdc4b,Heera Sherpa,5,Simply awesome,really nice product today got saw handy compact usb 30 also supported really like thanks flipkart
84,review-ed0e550b-2512-4eab-a956-4146c70ae221,Flipkart Customer,4,Pretty good,good prize
85,review-9d5ee5c5-2245-4df4-9a8c-10d01d3f7f43,Rahul Sharma,5,Classy product,order sunday 14th july get next day 24 hrs fast delivery good product light weight geeting 1 tb price go head buy product
86,review-92b06b06-c792-4706-9f26-427ffe2564d1,Venkatesh Mannava&#39;s,4,Value-for-money,nice
87,review-4e5bc012-a66e-4ed0-9048-d80add20d642,Flipkart Customer,5,Wonderful,excellent
88,review-9e794052-3654-407c-8754-ca00aa45a83a,Aju Vijay,4,Nice product,nice build quality small size happy far recommend buy carrying case
89,review-b3c43e4d-8ecb-43c1-8735-e631b15e9183,Flipkart Customer,5,Perfect product!,happy productthabkyou flipkart
90,review-2d73597c-85bc-43d5-8941-bde37ba03ae4,manish nayak,5,Great product,nyc product affordable price
91,review-d4a1da4d-65bb-4f17-a526-181a0375d615,KaushiK V Kalathiya,4,Worth the money,order first time wd product niceno issue found
92,review-c53efe72-a98a-40d4-ab6f-2e9a62458e58,P. Revathi Sree,4,Worth the money,quality good delivery quick
93,review-72d8dcc4-8b76-4fe1-b9e9-fafac3ff2b20,shabir sultani,3,Good,good works fast buy nice one
94,review-6955a716-f9b8-4717-ac72-409a2a06cefb,Saravanan Rajendran,5,Terrific purchase,good product
95,review-293210e1-20c0-4fab-a34d-5fd546fe999c,Flipkart Customer,5,Brilliant,excellent items
96,review-bfb88089-3401-4ca6-ab78-b0ee924af16b,Shailesh Pandey,5,Perfect product!,awesome value money must
97,review-48b048c4-ec59-4e01-89f9-bd8158a86182,Sejal Prajapati,5,Great product. must buy it...,good
98,review-ae303266-1030-4264-a939-886af3e7691a,KHAZIPUR HAMZA NAWAZ KHAN,4,Delightful,good
99,review-e84b548c-0c95-426d-aedb-0dcf29a70e35,Flipkart Customer,4,Very Good,good small storage datadata transfer speed 25 30 mbs
100,review-3171e023-503d-4810-bdce-81f70c64c09f,DHARMENDRA KUMAR CHANGERIYA,5,Just wow!,small sizespeed goodsmart lookhappy purchase
101,review-1ff035cf-bb18-47ba-a6fb-af90c1c5cec7,Flipkart Customer,5,Must buy!,slim sleek transfer speed got maximum 72mbps 40mbps 3 years warranty
102,review-cde9478c-a9fb-4c2b-a0e4-fb34549e69bb,Mannaan Khan,5,Terrific purchase,good packing good ergonomics design light weight comfortable handling let see functionally
103,review-c78cf0d0-3687-4d21-bcbb-437981e789d5,Mathuvannan S,5,Best in the market!,small fast copying able access mobile otg also phones need 4gb ram mobile able kept pocket also
104,review-0edd6607-644e-4754-a540-370037be49d3,Hari haran,4,Wonderful,good quality
105,review-18826da5-e57a-4a04-958a-ee07e61692e6,Flipkart Customer,4,Good quality product,space provide 181 tb
106,review-17e0cf6a-36eb-4b06-a246-429ffb78d71f,Chiranjibi Mishra,5,Excellent,nice
107,review-7e965be7-3299-4995-a10e-b061a7770e05,Saurabh Pathak,5,Classy product,nice product speed good
108,review-7d33ad9e-0071-46f6-8839-bab776871c50,prashant amaiy,5,Worth every penny,product awesome
109,review-7506edae-fcf4-4194-847e-3e92fff2b152,Junaid Rashid,5,Classy product,awesome product thanks flipkart
110,review-2a924f68-cf2b-4e63-992a-a13860a6e34f,Mr Rajz,5,Highly recommended,hard disk best price range dont thing product go
111,review-09b53abc-74f6-4e62-b5fd-5cb036ece403,V Balchander,4,Nice product,excellent
112,review-36485283-2306-47bb-9973-3a5562c73cd2,Lasya Sri,5,Best in the market!,good working
113,review-84c36e3d-4143-4c86-ba6f-f3155caea026,Abhishek Kumar,5,Super!,good product working fast
114,review-79e83bfc-c02f-46e7-a150-d391181a9c63,Ratnender Goswami,5,Classy product,excellent working issues yet 03052019
115,review-9e4ffca5-293c-4207-8b69-8070b748077e,swadhin sahu,5,Highly recommended,excellent product light weight data transmission enough good
116,review-fec95ab7-9238-4377-adef-4e872ab5bb54,Ravi Raj,5,Best in the market!,wire little shortbut good product 60 70 mbps speed usb 30 portlets see much days last without malfunction
117,review-5863eb0c-b6f8-4d61-81c8-135a3106f719,Surdesh Rad,5,Must buy!,nice productbut transfer speed low 2537 mbsusb cable nice
118,review-9071954e-77ea-48bc-b52d-7b8ef5e91d78,Satyajit Nayak,5,Wonderful,great product runs smoothly
119,review-00cd4675-6cfb-4716-b36a-aafd42fd858d,Flipkart Customer,5,Mind-blowing purchase,good quality nic product im happy products
120,review-2f70af9e-b56d-4348-895b-e518c3da11b5,Flipkart Customer,5,Great product,nice productgood speed
121,review-7943f156-c5cf-4811-a138-5e11f9a9f17a,Flipkart Customer,4,Worth the money,awesome product range dont buy 1 tb u get 15 136tb use
122,review-cd0b3547-45a2-430a-a0c7-c1105a4f46f4,NANTU HALDAR,5,Terrific,fast hard diskgood paking fast delebarythanks fkip kat
123,review-7740e999-6735-4efd-b33f-57e1a8dabece,Flipkart Customer,5,Best in the market!,good product
124,review-79fbf412-b621-45f4-82fe-44ef30d1388b,Piyush Kumar,5,Terrific purchase,works superfast got upto 130 mbps usb 30 compatible mobile otg plug required also compatible mi smart tv cable short complaints product manufactured malaysia build quality good p buy cover protection overall nice product reputable company go blindly
125,review-c6e853b1-815b-49aa-8119-274bbbb62c87,Lovely,5,Classy product,excellent product
126,review-ffbeb70e-5583-418d-9b54-068c87b82b1a,Rahul Jain,4,Wonderful,product good read write speed also good upto 100 mbpsthe thing concerned television support rest everything fine
127,review-25913a4d-8d15-476f-b30f-df9de2f585bd,Rahul Mazumder,4,Good choice,good
128,review-fd867972-c7dd-4787-beb4-9fee88f56727,Aneesh Aneesh,5,Best in the market!,wd good product using last one year
129,review-77189f40-522c-4cdd-ae15-902c666dcae6,Abhishek Jana,4,Good choice,worth value
130,review-49f45525-ae93-4352-a32c-369877dec0ed,Roshan Kumar,5,Good service,nice delivery product
131,review-66bad75e-0bdb-4306-99e5-aba1139f5d91,vignesh war,5,Highly recommended,worth
132,review-926f92b9-f835-48ff-a18f-6eb1342c692c,Sanskar Nayak,5,Perfect product!,aswm delivery
133,review-91ef02d7-d2ae-42c8-a7f3-8ac8ee4ac016,Jaiprakash Jeliya,5,Just wow!,nice product
134,review-3ebb2f70-1a7d-42d5-9a74-49e516b9240f,Flipkart Customer,5,Simply awesome,good quality
135,review-97efb11f-2ea1-405c-a46e-9b3850fdfff2,Rahul Deb Aru,5,Excellent,hassle free transaction received genuine product registered wd website successfully works fine
136,review-c3a76c34-273d-4965-8b99-8c2ae358cfec,Flipkart Customer,3,Good,thought 1tb 931gb
137,review-cdd226b5-8494-43ab-a1a8-e965d704c4fa,Vishwas Kumar,4,Delightful,best product
138,review-faa75472-dd9b-47f9-a7c7-498a1c1596a4,Subham Ghosh,5,Awesome,nice product best found average copy speed 72mbps times touches 102mbps
139,review-3b3f34e4-2dce-4c24-ad80-2a29e9791721,Jayakrishnan Namboothiri,4,Pretty good,packing worthy 25 mbps speed tops usb 20
140,review-80360785-ed14-4cc5-8da6-50d478dc6e1b,Flipkart Customer,5,Excellent,excellent service flipkart 24hrs received ordered item flipkart hats flipkart
141,review-633a157f-5c00-4a55-a4b5-879341b433be,Flipkart Customer,5,Excellent,nice product
142,review-03d43b4a-682a-4cac-b2c7-2a2142dd1929,Dr Sagar Dutta,5,Terrific purchase,wonderful
143,review-d5f85623-3b31-4898-894f-5e15d470fae3,dhruvraj malik,5,Terrific,hard disk delivered good condition us working perfectly
144,review-aa5ba69b-0b44-4c2f-9a83-60dea8967046,Vinod Sethi,5,Wonderful,using wd products several years others brands well already using two wd 1tb drives going another one grabbed 2tb drive soon offer appeared go ahead buy quality unmatched
145,review-8796922a-8dce-4dfb-804e-1381ad650495,Joyjit Sett,5,Great product,superb
146,review-61d07341-af50-4097-b6c4-245a6520cf46,praveen guna,5,Highly recommended,excellent product
147,review-ee58bb81-5b51-4d35-9a46-b7d5399ecbac,Sumit Basak,4,Really Nice,lightweight small 181tb available space sure worth money wish transfer speed slightly better
148,review-4c5428f9-c46c-4a14-a561-52750a76f125,Yogesh Jagtap,3,Good,supported led tv drive connected mobile draining mobile battery fast
149,review-5e52e169-64b1-4956-a9ab-e4e1ae872506,Mayur Kakani,1,Don't waste your money,stopped working 2 days wprst experience
150,review-269dab91-7232-4ea2-9739-52a8a35a749c,Flipkart Customer,3,Just okay,good performance
151,review-4f3384da-adcc-4924-a2f5-0fc9f05b8803,bimal kumar sahoo,5,Great product,good quality one seller easier use compatible windows default transfer phone laptop
152,review-65d3ca8c-5bde-452f-a235-334f77527e4b,Flipkart Customer,5,Worth every penny,great service retailer delivered 24 hrs placing order 100 genuine product got registered wd support site warranty
153,review-82bc795b-64a1-40fc-b400-e518120b44ac,Husain Khan,4,Worth the money,outer body quality poor rest good
154,review-fa6dbd79-efe4-4a34-bdec-55f8ad7e633e,Flipkart Customer,4,Delightful,seems ok use better experience
155,review-0072fe8f-d2ff-445d-b217-470515f8e152,Amit Singla,5,Classy product,fastest
156,review-fe5f90bd-774f-4556-804f-be5a18422075,Sandy Koppal,4,Pretty good,good looking tq flipkart
157,review-97b91ad7-a72f-4207-be9b-6097cf527c08,Flipkart Customer,5,Must buy!,thanks flipkart team
158,review-4d9ea79b-32d7-4f92-9e9d-fc1dd4fead59,M Pavan kalyan,5,Terrific,awesome
159,review-4c58f91e-09f0-48af-8eef-1304c6fe0ab6,RAJESH DUTTA,5,Worth every penny,nice
160,review-56cea31a-76c8-4ef3-898e-6c925933f9fd,Flipkart Customer,3,Fair,gud storage data connected led tv directly
161,review-55de7ad2-63f9-4db8-b83d-0ac0b18843a6,Kokkula Ashok Kumar Kokkula,5,Terrific,good
162,review-48deccbe-2423-4d4f-b064-3f432e774508,Flipkart Customer,1,Utterly Disappointed,smart tv worksnot tv
163,review-ea1447a7-a30f-4b1e-a754-4fda62574538,Vicky,2,Could be way better,worst experience flipkart packing really disgusting worst review usage 1 month speed rate copying bit slow lags sometimes also body external hard disk smooth delicate much strong like give 2 star ratingits okay product
164,review-abe2392a-ce63-4168-9657-c9b6731e49e0,Jaswant Verma,1,Useless product,looking ok performance slow
165,review-740de08c-f273-48df-9f74-4139ceff786d,Sayan Das,1,Hated it!,purchased product lighting fast delivery truth comes transferred 50 data first day device working dont know happened flipkart assured product exceptable lost data way get back lots memories demolished
166,review-780b0c82-c42b-464d-a55c-3dbe59c56894,anirudra maiti,1,Useless product,cable bad
167,review-f202bec8-2ed2-4d55-be8c-5b999242a404,Eshan Chattaraj,5,Brilliant,truly good specified fast delivery within 2dayswrapped wellfound 4gbps speed transfering datagot 08tb memory using
168,review-4ed6f535-4cb5-4be1-b5f0-5fc4eb8240f9,Flipkart Customer,1,Very poor,product good delivery procedure disappointing rather pathetic waited extra 2 days product mentioned regarding delivery boy product pathetic delivery process goods since last 2 delivery
169,review-ed83684c-c449-4186-bd45-dd459c603a4b,Flipkart Customer,1,Useless product,ok
170,review-7a87ca78-07c5-44b9-8088-68c50817ce21,BIBHU .,4,Pretty good,product delayed deadline nice looking sleek hard disc using many hard disc times saw hard disc slight low transfer speed good hard disc remember isnt ssd use backup device upload important photos video google drive u must register device wd website acess warrenty
171,review-e3c8009a-fa29-4660-bfc8-6d7c3b48e123,Sandeep Kapali,5,Fabulous!,received within 2 daysnicely packedfast deliveryoverall good servicenow lets come productguyz 15tb hard disk u get 136tb space occupied device programmingno damage productwell packedbut u use 20 usb port 30 usb cable data transfer speed low around 25 mbps u use 30 usb port 30 usb cable u get actual speedgo western digital devicethank youthank flipkart
172,review-316620d3-5b70-4e1d-be4b-287d3dff1d7c,Flipkart Customer,5,Best in the market!,really awesome hard drive 15 tb average speed near 70mbsthanks flipkart delivered 3 days
173,review-b95281e9-c881-4625-a9d8-d71e0c4d89c6,Flipkart Customer,1,Don't waste your money,failure satisfac
174,review-708217a8-42c9-4739-ae99-3e55ddf8a2b3,Shivam Pathak,1,Hated it!,hard disk didnt work worst product ever please dont puchase
175,review-6d61ece1-066c-4070-897b-4a9186557fac,Soumya ranjan Maharana,4,Pretty good,harddisk drive performance good full thin plastikthere safety like hp hard disc drive fully 2 mm aluminium metal covered
176,review-88492d07-eb6d-44c9-914f-15948e3cc74d,Flipkart Customer,1,Waste of money!,worst productproduct working satisfactory
177,review-a07f8040-0e4a-47da-9944-89b597e4f710,Vikas Sharma,4,Really Nice,happy 3900 though 13 tb free space said 15 tb lil bit disappointing price low dissappointment manageablespeed fine
178,review-252a8db1-629d-48cd-92ac-00c045b2ecf5,Soumyajit Chatterjee,3,Does the job,fair
179,review-696ca496-5cb0-4bc8-b929-a008573dfca4,Ashok Divakar bhai,5,Perfect product!,hard disc veri smooth good looking
