,customer_id,user_name,ratings,review_head,review_body
0,review-c687bff0-dd16-498d-b5ee-800805c50b92,Himanshu S,4,Value-for-money,got freaking hard drive today although looks plasticky low quality build quite sturdy surface glossy immediately registered wdcom serial number provided 3 year warranty exact total space available 18 tb write speeds copying big files 7585 mbps thats kinda okay bit noisy thats natural hard disk spinning also something worth mentioning mildly heats connecteread
1,review-f2850e6f-a0a0-40cb-b332-241458cb8c35,Bibhash Bora,5,Highly recommended,bought 2tb orange model 5899 packaging good thanks flipkartpros1 best class readwrite speed2 hinges bottom better surface grip3 preloaded software backup encryption4 cable quality premiumcons1 used copying files hours starts heating little bit much2 bit expensive
2,review-6e166189-11c5-4f41-a19b-5e317430b6a2,vijayaselvam Ceemon,4,Nice product,yellow lovely color going work ir
3,review-0ac10895-153d-4f08-8bfd-60749c134411,Alan Jose,5,Terrific purchase,good productyou get backup softward
4,review-aed6bea7-7b85-49e6-a8ca-c42671be7f12,Sai Prashanth,5,Wonderful,great product love compact light handy build quality could better made plastic easily prone scratches get good case protect readwrite speeds awesome expected getting around 135mbs averages around 120mbs total available space get 930gb comes 3 year warranty kudos wd thanks flipkart fastest delivery 12 hours dont forget verify serial rread
5,review-d18ab779-fe64-482a-babc-9ff05eda61e4,AKSHAY BARE,5,Satisfied,wd passport 4 tb wired external hard disk drive redgot 9999 next day ordered thanks flipkartbased 15 days useits really good said companysmallcompactlooks gooddoesnt heat much100 mbps speed big fileshavent used wd security software afraid might forget password myselfoverall negative points say
6,review-ec8c4537-2e1b-46cb-a911-588755cba097,Anup Viswanath,5,WD All the way,western digital name look sggest comes harddisk never owned brand till date dont know whether obsession wd logo companynope always performance performancewarranty credibility 4 external harddrives320gb2 1tb1 2tb wd 1 internal2tb comes first 4tb wdthe 1st thing always opening western digital cover go site login account check whether serial read
7,review-d2abbd26-b232-4ced-91fa-5eceb44af0c9,Shafat Ahmad,4,Value-for-money,purchased product much thought received 4 days prompt delivery next package quite good well wrapped build quality good connected usb 30 read 126mbs write 100mbs crystal disk mark score overall im satisfied warranty 3 years registered feb 2018 make
8,review-8619f697-ef26-495f-a410-a1c80ae73faf,DEBASISH DAS,5,Fabulous!,wd name one trust ontruly speaking market wd level ahead seagate two seagate hard drivesthey get corrupted n needs format case wd rare chances problem since one wd earlier also working excellent conditionread write speed markthere vibration heat issuebut delivery took 10 days satisfied n ekart logisticsmoving ahead willread
9,review-a4a04123-f1c4-41f9-a2fc-73f539dcb8ab,Spirit Soul,5,Beautiful.,grateful happy timely delivery flipkart ordered yellow one truly beautiful lightweight made america perfectly syncs works well macbook pro would highly recommend
