,customer_id,user_name,ratings,review_head,review_body
0,review-cbceaf45-721c-460d-9c85-ff5f54e60914,Durgesh Patil,4,Nice product,bright screen best quality display good heat control aero 3d dual fans battery backup less satisfied fps ultra settings upto 50 60 high graphic games like witcher 3 pubg fortnitefar cry 5 thing play without power conntected laptop upto 3035 fps without lagkeyboard quality goodsounds good less bass speaker loud thoughwe install predator sence externally want work properly even u overclock gread
1,review-0ac58a22-fa1a-41b2-ad72-c0387b27269b,Arun Gupta,5,Classy product,observations1 plays curent games easily even core i5 cpu sufficient gaming8th gen core i7 obviously overkill gaming 2 display screen ips chasis well protecting one even accidently hold lift laptop pressing damage screen3 backlit kb simple good bad4 cpu fast screen brightness bad sound loud ok ok close distance movie watch sound actually haread
2,review-5e81e7ae-0e24-4063-abf1-e3203383cbd8,Flipkart Customer,5,Awesome and beast,first laptop gaming beast best price everything competitorsnow doubts regarding product people said got nitro acer body got nitro sense installed packaging poorbut everything expected nothing messed got predator sense installed specs packaging mark received predator box carton flipkart covered bubble wrap enough think asking wasread
3,review-de714f31-a171-41fa-8174-405d393a1a73,Madhesh Rt,5,Must buy!,machine could extract maximum potential gtx 1050ti
4,review-e27f2d46-c677-4960-bd30-15c42bf3e4a0,Flipkart Customer,5,Just wow!,must budget gamer got 64k ita battery everything works fantastic
5,review-51f9bdfe-5580-479b-85e1-27093fad2ae8,Avinash Kumar,5,Excellent,using 6 daysfirst amazing deal flipkart model nowhere stores ecommerce sites pricedelivery average packaging goodi open outer box yesit seal packpros1amazing build qualityno compromise quality plenty metal2amazing displaygood quality ips pannel good viewing angle3good keyboard traveltype ease4overclockable nvidia geforce gtx 1050tiit almost play games likeforzread
6,review-fceec37b-990a-41e0-9c05-54f3562f9965,Irfan Sheikh,5,Highly recommended,beast totally worth
7,review-17cd638b-8c26-421a-a10f-0d6570732268,Gaurav Mishra,3,Good,describe various aspects socalled gaming laptop1 build quality perfectit uses surfaces aluminiummetal finish top mean front surface keyboard chassisthe bottom screen surfaces good build quality plastic metal surface good build careful dont connection ground home office power supply however feels premium laptop metal finishaluminium read
8,review-dc9a83ce-015c-410c-aabd-419f61cf1f83,vikram raj,5,Mind-blowing purchase,laptop perfect combination blazing fast performance awesome pricing looks specially red colour backlight keyboard gaming laptop design con laptop little heavy ok laptop beat price specially buy sale timeif want know full review go youtube channel gadget home watch unboxing review video
9,review-423aa4e8-5112-42b1-ac2a-efe8ebc0944b,Awal Raj,4,Worth the money,great laptop amazing specsi received 40 hours packing simply awesome box thrice size straight away unboxed inside laptop simple logging first time didnt take much long felt laptop bit heavy course gaming laptop expected next day installed gta 5 fortnite started playing detected highest config got constant 6070 fps gta5 8090 fortnite aread
10,review-cefa300e-8718-450b-8c44-0fed1c1604c9,Chaitanya Gubbala,5,Excellent budget gaming laptop,beautiful excellent going laptop seen low cost
11,review-1f714cd0-e4a4-4536-8111-2a988785d746,GAURAV Srivastava,5,Awesome,best laptop awesome features
12,review-9cd3560f-a95b-4f90-9086-0d80acf329b7,Keith Caeiro,5,Perfect product!,brilliant product acer
13,review-e91d7a7f-e1f5-49b9-8286-8465b820acac,Flipkart Customer,5,Terrific,good performance
14,review-98ceeb95-781f-46d6-bce5-c24a234e75d9,Shivaram J,5,Just wow!,best laptopsuperb perfomancei5 8th gen power full i7 7th generationover clocking mindblowingyou need buy vaccum coolerextrato save hardwaremaking thermals coolfor normal browsing reaches maximum 4350c gaming high reachers around 7580cthe cpu gets heatrdand gpu gets upto 50c onlyoverall performance goodthe battery backup normal browsing 100 0 gives around 5 hours6 hourspredator lub
