,customer_id,user_name,ratings,review_head,review_body
0,review-41e4675c-f8f7-4917-b622-1e80ffbe06ec,Flipkart Customer,4,Wonderful,good laptop budget
1,review-46ff9136-dfa2-48f5-9bb2-7a35c8a1d050,Flipkart Customer,5,Classy product,good laptop cheaper price good designit ubuntu software already
2,review-6642ef39-520d-4c99-b14b-e6e6c9c5881f,Aalekh Srivastava,5,Wonderful,best budgetcharging battery really fastaround 15 hrsit gives output around 530 hrs heavy usedoesnt heat lotthanks intel i5 8th gentrackpad smoothkeypad much delicatepacking seller retail net poorand also ekart logistics partner flipkart worstthey dont behave properlyand didnt deliver product doorstepinstead go warehouse receive manuallyits worst delivery experieread
3,review-95b3a118-2add-4d34-81de-6e94a1d56404,Prashant Verma,5,Worth every penny,except display angle type c port rest perfect got rs 37k ubuntu version diwali sale
4,review-384d5c75-313b-4bcb-aacf-b474c8f21678,Mihir Dalal,5,Great product,delivery flpcart amazing product isup mark thanks flpcart giving product unbelievable price
5,review-b417b422-3688-4fb5-aca2-d38966433900,SHIV SHANKAR HEMANT,1,Don't waste your money,review 1 dayschecked1 battery poor 97 estimated time remaining 1 hour 16 min uploaded screenshot see2 30 min laptop full heated3 fan sound coming4 material much durable low quality plastic bodytill checked1 performance till checked2 camera till checked3 speaker sound till checkedgood laptop1 price good 36kdelivery also late come timefinally read
6,review-498b223d-71fb-4174-8fcc-275cdf112551,Arpit Khaitan,3,Does the job,good laptop battery life good
7,review-e19ca67e-1229-4874-abb3-9f3d5d2c7357,siva undapalli,5,Brilliant,excellent product performance fast delivery quick flipkart allover product good
8,review-6fb54394-c1cc-472e-9382-a23a26ae45c1,Flipkart Customer,5,Mind-blowing purchase,loved thanks flipkart
9,review-1c7a4a12-c0fb-4c6f-a87e-123fb8280c23,Flipkart Customer,5,Great product,excellent laptop features core i5 8 gen8 gb ramfull hd displayhighly recommended
10,review-616d0f3a-33be-438d-b62a-5b978954e393,Subhadip Samaddar,1,Worst experience ever!,finger print scanner availablewhen call dell customer care told us model dont finger print scannerso selle dont fraud us
