,customer_id,user_name,ratings,review_head,review_body
0,review-a12424bf-879a-4560-9052-1708b9f66614,M R RAVI,1,Absolute rubbish!,flip kart teami placed online order hp laptop flip kart website 2012018 order nood114481412168982000 flip kart delivered laptop mon jan 21012019 opened andswitched day laptop found defectivedamagedsince product 10 days replacement guaranty applied returnreplacement day 21012019tomorrow 30012019 last date replacement timeline thing conveyed earlier flipkaread
1,review-657edcd1-4851-4824-ae0c-9f80d980a8bd,tHe eViL,5,Great Purchase!!!!,bought lappy normal usage big billion days lot search found one best price 27k bought week usage giving review thispros comes windows 10 preinstalled way better cracked versions design really beautiful light weight gives good performance normal usage heavy gaming battery backup 4hrs charges fast takes 100 min full nice read
2,review-1d4d5701-6d28-409f-9bff-d93d642c5a5a,Jashpal khati,5,Worth every penny,super productsexy designamazing performancebougt rs28500 compare product lappy price rs50000 people wrote negative commentspls stop comparing like wayin segement u get product went hp showroom cost price 3000000 saved rs 2500 gst 12however got warrwnty productfrom flipcartdont follow choose product wiselythanx
3,review-6a2a1e79-a8f6-4ccb-b12e-bf8e209b58b6,syam mohan,5,Must buy!,superb
4,review-6f7312ff-6f80-432a-8825-a4793c14e7d0,Amit Jain,4,Really Nice,costly good
5,review-bbc4dc33-9272-440c-a216-88d55440207c,Siva,4,Nice product,good product good price rich display
6,review-e537a501-29ff-429a-8f4d-a80559ab381b,Anil,5,Mind-blowing purchase,fabulous
7,review-0f729606-096c-4592-bace-86280f6e627d,Digvijaysinh Dodiya,5,Great product,really unacceptable design softness
8,review-3603320b-099c-4234-bf5c-ec97f751ecb9,Keval Chouhan,5,Highly recommended,god laptop sexy
9,review-c1a58613-7ac5-407d-a3fe-f877e0dae514,Flipkart Customer,5,Super!,excellent product awesome looking best price range
10,review-4093fca7-3de3-469e-a06f-8a9bb49792a8,Shruti Kalpatri,5,Fabulous!,sexy laptop loved good packeging didnt get bag
11,review-5f334ad1-7e45-4f9e-8902-b0400a48ca8d,Kundan Thakur,5,Wonderful,best price sexy look good battery backup quick charging good performance
12,review-79435a9e-2978-4cad-82a6-f9bb1716fd1d,Flipkart Customer,4,Delightful,expensive product packing protective waterproof damageproofproduct excellent
13,review-89c56872-366b-4d19-94bd-de6ce2978322,LALIT CHANDRA,5,Mind-blowing purchase,dont buy flipkart items cardless credit cyber crime branch select 3 months 0 interest automatically convert 12 month emi 25 horrible experience
14,review-77f42467-b64b-4301-8ce3-a4d69d43b21e,AVANEESH SINGH,4,Worth the money,better performance best good students
15,review-6b39e79b-a6af-4f52-b1e3-b0f687af7d82,chethan U M,5,Wonderful,good product thank flipkart time delivery
16,review-900ff198-69bf-4889-a548-80f814c14b5b,Nilesh Manwar,5,Simply awesome,good producti bought big billion days sell price 25590laptop looks premium attractive good sparling black colorscreen size view nicefull hdsound quality clear loudspeed also goodbut sometimes slow little bitcamera decentno microsoft office pre installed trial version available 1 month battery good stay long charge quicklyno hanging issue still got itall apps software works performed better speed laggread
17,review-c505210f-8496-4313-8661-f05927217aa3,Flipkart Customer,4,Value-for-money,price 500 1000 rupees high otherwse prfct
18,review-208d2e0e-b89d-4fe3-889f-e3776a5dcb60,Ashish Yadav,3,Good,product good delivery fastest time two daysi love itbut 3 months use problems started
19,review-79160657-652d-4d0e-aaaf-3fa5e2e00044,Shahid Azam,3,Does the job,product good shown picture
20,review-d5e83fa8-08ee-46f1-8707-a4bad20f296a,Nutan bara,5,Best in the market!,awsome prodect price
