,customer_id,user_name,ratings,review_head,review_body
0,review-799d34d7-de94-4972-a397-4e2b13ffe6a4,SIVA SUTHAN,4,Really Nice,flipkart delivery amazing got within 18 hours orderthe first thing take pendrive download microsoft usb creater tool microsoft website create windows 10 bootable usb wipe os installed laptoppre installed version lot bloatware kill dreams owning gaming laptop depressed performance make clean install windows 10 dont worry warranty wont void bootablread
1,review-9cfd76f2-ea52-4321-8eca-1e1511e5918e,Elliyas Ali,5,Classy product,great look light weighted awesome glowing msi dragon logo good cooling system high level gaming performance improved upgrading ram replacing hdd ssd hard drive nice viewing angle cool backlit keyboard slowing installed os pain reinstall os install driversif use installed os thn may able separate hard drives desire overall good laptop ill adding depending experienceeditread
2,review-660412e6-c585-4323-9771-e62a502a8779,Vysakh M Nair,5,Simply awesome,best laptop ever laid eyes onhard plastic aluminium like finish really catches everyones eye laptop looking sleek thin mac book thin gaming laptop thin glowing msi logo lid adds another wow aesthetic wise would give laptop 55 update laptop finger print magnet annoying clean laptop everyday order make laptop look good newperfomance another area thread
3,review-c8fc23bd-356e-4dc1-8b93-30aab7f53d3b,Abhinav Bansal,5,Must buy!,awesome laptop great display good keyboard ok battery life awesome gaming experience sound quality nicethe build quality solid expected msi
4,review-02624818-aab3-44f8-bdae-deebdc33d85c,Hmangaihsanga Ralte,3,Good Product but..,receives product perfectly packed good perfect condition signs outer handling lappymy points view lappyprosbuild quality good material best choice since places handling seen cannot cleaned easily without help damped cloththe perfect laptop price range since latest components time along i5 8th gen processorhexacore gtx 1050 4gb 8gb ram read
5,review-723e7be9-9851-40e4-a737-e3c933133de4,Kriminal Kartik,5,Excellent,amazing laptop
6,review-bc429b31-6aab-4938-bebd-caacddc66a76,dhanu milmile,5,Awesome Product,good product value money best part sell flipkart flipkart service good face issue receiving product sound coming laptop shake means carrying sounds like screw inside flipkart giving replacement way following pros cons updated days1 performance good2 cooling extremecool quickly3 keyboard layout familiar buread
7,review-49d7fa12-9e6b-41e8-87a1-c17e183313eb,Tharun Shivdas,5,Excellent,beautiful laptop price flipkart really came delivery delivered day laptop advertised around solid build proud tag msi intel core i5 mistaken 8th gen processor better 7th gen i7 7700hq gaming smooth experience geforce 1050 handles aaa titles without issues pubg fortnite gta 5 assassins creed name id suggest getting lread
8,review-5863af21-80dd-442e-9a93-1cca613e5c58,Shriiyansh Pandey,5,Awesome,firstly laptop 60k buy blindly without hesitationpros1 performance good performance intel i5 8 gen processor lags works fineno doubt it2 cooling best class cooler booster 5 king laptop 2 fans 7 heat pipes thermal throttling3 keyboard steelseries keyboard make worth buyingvery sturdy good quality keyboardrgb lighting perfect4 sound going fell iread
9,review-114cfac4-5410-457c-8ca8-0982e349602a,Arindam Ghose,5,Terrific,writing review exactly one month purchase research buying product turned start writing would typically like tell prospective buyers general tendency within people biased product spent 70k towards laptop try unbiased1 display nice watching hd content clear crisp right edge2 performance superb still read
10,review-f47a6fb0-34c4-4991-a76c-b72d4f929417,Manoj kumar Meena,5,Terrific purchase,amazing laptopbest thermal system better acer predator
11,review-467776d0-0166-44ae-82d8-1a7766f35475,Flipkart Customer,2,Slightly disappointed,brought 75k im unhappy price decreased 54k 1 week purchase
12,review-4ee39954-7e01-43db-b74b-a528088086d9,prasanjeet jena,5,Perfect product!,excellent laptop absolute bang buck record i5 8th gen faster thani7 7th genso makes bad boy faster older generation laptop terms computing power dont believe said check msis official page detailed info comparison 7th gen 8th gen processorsvery little heating ofcourse laptop heating occur gets warm absolutely heating look moread
13,review-a4015158-e7cb-4447-90a9-d8863b434700,SUMEET GUPTA,5,Fabulous!,best get 60kpros1 i5 8th gen matches capabilities i7 7th gen cases2 8gb ddr4 2400mhz ram785gb usable3 gtx 1050 dedicated graphics 4gb handles aaa titles easeplayed far cry 4 ultra graphics average 4548 fps easily get 60 fps ultra gta54 cooling system great price segment got little warm playing 3 hrs thats ok gaming lappy5 steel series backlit gaming keyboard 4 brread
14,review-4739d8d5-c91a-45c5-8e20-a46d0c9a19a2,Nallusamy Raju,5,Highly recommended,good product bought 59k good gaming performance best cooling fans
15,review-84a7da31-f871-4b2e-99f8-75e80341819c,Azeez Azeem,5,Mind-blowing purchase,super gaming editing experience loved performance
16,review-a81ba68f-5eb4-42c7-a641-671e07adf3c7,AJITH,5,Wonderful,since old laptop dead wanted upgrade looked value money laptops shortlisted laptops finally ordered beast msi gl63 8rc 54990 onlyfirst impressions1 build quality never expected nice quality feels hard rigid2 steelseries keyboard awesome yes swap windows functionfn keys bios dragon center youre comfortable position it3 screen although vertical angles screen greatread
17,review-c4e34b62-7703-4cdb-8559-7f335a6670ae,Somnath Clare,5,Simply awesome,overall good laptop task satisfy batteryit run 3 hours normal usage like watching youtubebut gaming sucks run games 45 min 1 hour even normal gamingso generally play games plugging chargeri dont know play games charging good plz tell okto play charging
18,review-be88cfe0-4f13-489e-9ef9-47aaae164952,Navneethan GN,5,Brilliant,geniune review trust go click buy button totally beast machinemainly would diffrentiate review prosconsprosbuild quality solid matte finish machine built superior quality great rough usage whole machine fingerprint magnet except bottom laptop lol keyboard 04 brightness levels red backlit topnotch keyboard steel seriesdisplay tntwistedread
19,review-cfbf5ab3-0098-4a4d-8013-2a1b36276040,Flipkart Customer,3,Decent product,bit slow got laptop reinstalled windows remove bloatwares wonderful gaming experience professional focus purposes dont go product sound great laptop good colour accuracy red tintthat cant corrected
20,review-3cc5414f-9d9e-4632-a98b-e4016f85469f,Ayan Saha,4,Delightful,using laptop 10 months purchase one issue still present keyboard spacebar key sometimes dont work faulty manufacturing nothing else since used external keyboard dont nay issues apart another issue buggy windows 10 suggest everyone remove factory os fresh os installation
21,review-46fac4ce-0dab-4f75-9731-c1de6bb23d4a,Flipkart Customer,3,Just okay,provided warranty card
22,review-dc63154b-a2d3-4d42-9eb3-3942bf8a8c4e,Kamal Raj,5,Mind-blowing purchase,laptop good power plug indian style system became slow need reinstall os
23,review-75e74816-0dd4-4b14-b4b9-b3277598c369,Pramod Thapa,5,Worth For Money,laptop worth price tag system fast handel game nicelyhere experience using monthpros1 processor good2 nvidia 4gb 1050 graphics handel game nicely3you play game need speeddota fifa ultra setting4 keyboard nice typing give different experienceand red backlight5sound quality nice dont need sound box it6 cooling system thread
24,review-78abd971-1212-4d7f-8d34-d7cbc988c2fe,Soumya Subhra Sinha,4,Good quality product,got 61k nice design would loved 128gb ssd nevertheless played fifa 18 gta v worked solidworks 2016 autocad 2017 worked fine high settings cooler boost 5 works great nahimic 3 audio awesome vertical display angle could better tn panel screen ssd slot 1050 gpu works well dragon logo glows dark would loved rgb bacjlit red color backlit keyboard great cooling vents absence optical drive slot dont forget read
25,review-1277e777-212e-4138-9daf-583de1260a6b,Anil Prusty,4,Good quality product,purchased59990inr 24th dec flipkart delivered time 26th deccoming laptop one best looking gaming laptop within range buying register product msi website support warrantypros best cooling featurecooler boosterin segment awesome performance seamless system utilization toolmsi dragon center clocking steelseries keyboard optional slot ssd audio goodcons hdd conventional 5400 rpm thats whread
26,review-6a0cdabb-5aac-4e31-8192-099addb864a5,Flipkart Customer,5,Terrific purchase,beauty absolute beast sexy handle steelseries keybord one best budget gaming laptops great hours gaming playable fps max aaa games dota2 120 fps max settings csgo 120140 max settings pubg 100 max settings heating issues awesome cooling
27,review-6fa07d15-795d-41d6-ab50-9ce7f19213bb,Deep Raushan,1,Waste of money!,laptop work slow performance also good complain flipkart dont even respond
28,review-87ffe4ce-7796-4b51-bb4f-d6f79adeab75,Abhishek,4,Very Good,good entry level laptop gaming multitaskingperformance good tried aaa games giving 30 fps high settings 50fps medium settingslaptop cooling upto mark cpu temperature rarely exceeds beyond 75 degree better acer predator high end games cpu temperature reaches 94 degrees game starts freezeif used ips display laptops find display good ips display much better tn display lread
29,review-d920b0a8-7d25-48e7-9817-419caeee47e6,Ujjwal Mishra,5,Best laptop around 60k,beast best performance best sound 60k budget 60k want buy laptop gaming gpu related work dont give second thought go
30,review-83922d11-18a4-42d8-9599-ef58c9775e77,Sagnik Singha Roy,5,Classy product,awesomethey delivered day ordered itwithin 24 hrs cooler booster r pro problem update apps dont work properly
31,review-931259d3-8886-457b-b260-89c5bcd71493,Sharin Anchal,5,Perfect product!,good performance need ips display display clarity good side view good straight view perfect
32,review-ef14c427-4a9c-4a9f-856f-a7953b029633,vaibhav sharma,4,Delightful,dont buy casual gamer battery poor hardly last 15 hour power saver mode performance good keyboard awesome battery everything top notch programmer college dont buy unless wanna play high end games beacue gotta keep power chord always plugged
