,customer_id,user_name,ratings,review_head,review_body
0,review-57427585-2680-4aa7-96bd-e802e8a49320,Flipkart Customer,5,Awesome,looking device must fulfill necessary aspects good battery backup simply go ituser interface flawless battery backup good gameplay smooth enoughlast least every penny matters hard earneda great job asus great delivery flipkart received within 20 hrs
1,review-e90c0ee3-083a-43a7-832c-3a5f38e01ad5,Anuj Shandilya,5,Super!,value money phone nice
2,review-892ac15f-ca54-42d2-ae36-e32b59299e52,Flipkart Customer,5,Awesome,awesome experience
3,review-9f3d60e8-d014-4250-90ad-3d1ffeeef359,Dharmadas Mondal,5,Just wow!,nice product delivery time good
4,review-aab6395e-88eb-4b31-8e54-c1782a9b10e9,Moin shaikh sunny,5,Simply awesome,nice price renge
5,review-dbe9b92f-7e57-4780-a3a7-5ac28f8012aa,Flipkart Customer,5,Fabulous!,awesome price rangenew sd 632 performing bestram management goodbattery also goodnice camerastock neat simplelook also good
6,review-35170edc-0c3d-4156-b367-ca6e135d651d,Rajan verma,5,Awesome,awesome cameralook speed good nothing better
7,review-2af8f9f7-ad07-4b4d-90dc-fdaee5ad41f4,Flipkart Customer,5,Terrific purchase,good product price
8,review-8bfd3007-48aa-481a-bbb6-23b11c2629be,Manas Kadam,5,Terrific purchase,value money phone
9,review-60b0526e-e2e3-422e-80d2-4b4a14774f81,Mohan K,5,Excellent,good phone good performance
10,review-a4dd5d65-754b-48af-933b-5a4b7c8aefeb,Abhishek Vashishth,5,Brilliant,nice phone stock android experience
11,review-bdd941e9-f993-4e4d-bc8b-bc7f278a2c5b,Uzzal Saha,5,Perfect product!,really asus done great job
12,review-8c5aebec-c666-4876-bb7a-e9c06e413da4,UJJWAL ROY,5,Awesome,good
13,review-2af574f7-7fc7-43b6-a57f-c14657ddc5d9,Sayan Karmakar,5,Perfect product!,wow impressive
14,review-e3078d5a-2e58-426f-9358-c80888737e32,Aftab Alam Ansari,5,Brilliant,looking smart stylish phone value moneyvery fast delivery expecting timephone design really good
15,review-44bc7065-d372-41b4-9d19-0a3b3ba7a38b,Flipkart Customer,5,Terrific purchase,xcellent asus gaming product nice
16,review-7639f35f-b73d-4d74-bcbb-c35714e725f3,Imtiyaz Khan,5,Mind-blowing purchase,well budget phone
17,review-bbb4e4ee-20ba-477e-b740-e3cc36ac0d52,ANURAG CHAUDHARY,5,Best in the market!,best purchase dad bcoz overall performance really good eis price segment really good front camera avg overall good
18,review-ca193b03-88b8-409b-876e-93adda08f9ee,Ashutosh Singh,5,Super!,value money
19,review-d686b3cd-6231-44c3-9d29-fef9da4da92b,Chitransh Bhatnagar,5,Highly recommended,purchased mom best smartphone get 10kwe options available price range 1 zenfone max m22 zenfone max pro m1 3 gb variant old design avg camera 3 nokia 51 plus dont like big notch display also good camera avg except portrait mode battery also avg 4 redmi y2 3 gb variant dont like mi phones 5 realme 2 old processor snapdragon 450 dont like color os analyzing pread
20,review-7a52b015-c573-4b63-9ebf-15e6dce7c30f,Suraj N,5,Terrific,best budget phone asus
21,review-0aff970a-4cec-432d-87a5-52790fe061cf,Abinash,5,Simply awesome,value money
22,review-a5b1279e-f287-4534-af8f-f96d6ceb384b,Ujjal Sarkar,5,Excellent,nice photography
23,review-3fb60330-97ee-4c42-bf6f-0ea87d5ca713,shubham jangir,5,Best in the market!,camera 54performance sd 632 55display 54
24,review-ef548907-46ec-4ea5-9919-cfbda4788631,koushik chakraborty,5,Great product,good mobilebut video quality poor
