,customer_id,user_name,ratings,review_head,review_body
0,review-b06e7a77-0901-4f80-83e4-d14edcd07bc7,Suresh Baliga B,5,Just wow!,guys please like comment others may know get help1 phone blue variant comes good quality transparent back cover dont buy back cover along sideblack grey color phone variant doesnt come back cover 2 phone doesnt corning gorilla glass display really good resistive scratches day day items like key doesnt get scratches level 5watch youtube video proof3 blue colread
1,review-90791cd0-63f9-46af-adfe-e8e9bc2a3a9f,lachitbhuyan01 .,5,Highly recommended,lucky got hands 1st launch delivery good flipkart asus zenfone max pro m1 great phoneat amazing price much better mi note 5 pro sims work 4 g simultaneously camera stick body like mi colour recognition photos better android oreo face fingerprint recognition fast charge fast startup fast responses touch pad great micro sd expandable 2tb 5000mh battery dual camera awesome bread
2,review-01d1bcb3-d17e-4de4-a660-9f6335d98b9f,Zeeshan Khan,5,Must buy!,cellphone fast lot update come mobile future also good work asus things awesome mobiledont listen others go
3,review-0d273a08-781c-4d5d-a3ff-2521fcc240b5,MOOLCHAND PANWAR,5,Terrific purchase,awesome
4,review-6b156ac3-8b5e-4c19-9a74-20289420253f,anurag singh,4,As expected...!!,actually give 45 stars first delivery flipkart amazing fast within 48 hours received parcel talking packaging fine mark talking box contents box include smart phone wrapped plastic also including paperwork charger brick including usb micro usb cable also box unexpected utility known sound box according asusnow talking handset thread
5,review-c2c5683b-dff2-4877-8e40-10c4508a78e4,ashok kumar,4,SuggestPhone Review: Great Phone with Bad Selfie Camera,ordered review purpose first sale 3rd may updated device first boot added face unlock writing review 3 days usepros good build beautiful display powerful chipset stock android lag free performance heating massive 5000 mah battery great audio decent rear cameras dedicated microsd slotcons average front camera quick charging typec port weird camera interface casecover providedratingsread
6,review-35d5c7dc-d296-4187-8d6c-991d2b20f649,vikash chandravanshi,5,Brilliant,nice budget phone great camera quality
7,review-6f52b02e-a185-42b0-884a-7bef44d39026,Jitendra Suthar,5,Super!,super value money good battery backup
8,review-96b6e3eb-095c-433e-b356-fe2c6fee11a7,Sanket Patel,5,Terrific,nice mobile camera phone asus
9,review-25beff72-f014-451b-84c2-8b0de9f9bad6,Atan Tiwari,5,Perfect product!,nice phone price rangehighly recommendable
10,review-b53a988b-1cd1-48cf-89c7-85b02077cd57,Junaid Khazir,5,Must buy!,camera wonders good lighting condition plus battery backup superb also runs smoothly due sd 636 latest android os better rn 5 pro coz lower price looks
11,review-b21dce2c-5124-4f2d-8ed1-2bdc1701a33e,Md Rafsan Jani,5,Terrific,awsm mobilehappy itdont listen otherbelieve meit really unbeatable
12,review-32a9422d-6f7b-43c5-8c17-3311c0478a11,Raj Hussain,4,Nice product,wonderful dont need dslr bcoz azfmp1 go
13,review-c75548cd-46b6-40db-a32b-44af3e6e191a,Abhay Walekar,5,Terrific purchase,powerful machineshot asus zenfone max pro m1 beast
14,review-27c31fdf-943e-44a5-b853-29c8f8140d1d,subham bhattacharjee,5,Perfect product!,awsm phn cmra quality good
15,review-f2d43a8f-9be8-4b4d-80cc-5ab2bef64658,DINESH KUMAR,5,Fabulous!,product steal deal price regret buying product
16,review-db3b14db-4ddc-4967-9134-3de3dbfca17b,Suresh Raj,5,Classy product,value money productstock android long lasting battery
17,review-09c06f64-1a28-437f-8100-7047009b9fba,Kailash Pati Dangar,5,Excellent,word say must buy
18,review-3867d169-e635-4255-b853-0efd558cf8d2,Dipankar Mondal,5,Excellent,battery life fabulous 36 hours battery life gaming browsingand heavy usingcamera awesome gave sample imagesfront camera also goodbut low light performance disappointedall budget phone good thing needbuild quality also goodloud speaker also awesomeyou feel beat songs alsoallover super value phonedont think twice go ityou fall love device
19,review-cb8b7a8a-dc83-4617-93c1-99dba328e928,kailas S,5,Terrific,dont stuck negative reviewsjust go itthe major issues talking fingerprint camerasfingerprint sensors improving much updateshope fix soonboth cameras phone nicethe problem appthat wasteif installing google cameras feel difference major issue done rootingfront cam improvingbut also im satisfiedbut future updates may improve iread
20,review-03a73dbc-a5d4-4e36-ab1b-705225826d0d,Akash Patel,5,Must buy!,definitely best specifications price range look practical usageprosbest class displayspeaker awesome said asus much louder clear 15k segment smartphonesgreat battery lifethamks huge 5000mah batteryon even heavy useage easily last whole day normal usage lasts 2 daysclean ui runs stock android get ota updates fasterdesign good still looks slimmer dispite ofread
21,review-0d8b5c1a-bb53-40ef-bef8-97ea6165d9fc,sambhav arora,5,Terrific purchase,awesome device 12 flawsfirst thanks flipkart excellent delivery received saturdayupdate week use complaints except front cam everything working like charm battery life main pro device getting 1 day 14 hours battery life almost 12 hours sot 4g enabled fact stream lot online review almost 3 days usepros1 vivid display great colors2 great battery life read
22,review-03b96adc-ae34-4c68-973b-83b39985b324,Trisha Biswas,5,Brilliant,perfect budget friendly phone youth awesome asus zenfone max pro m1 best according camera quality awesome zero lag issues till date using 20days flipkart thanks super fast delivery
23,review-a1f637f9-73e6-4db7-81bd-cda35c194407,Sk Kabir Haidar,5,Great product,got today awesome look everything good need improvement front camera didnt get face unlock update yet happy asus zenfone max pro
24,review-df33cf50-f41d-4d92-8e97-f6cdae308e57,Abhijit kar,5,Just wow!,got fatherhe fully satisfy battery performancebest phone budget
25,review-4193e06c-2c47-4cbc-8095-7fc17afcccbd,Aman Kumar,4,Nice product,good phone
26,review-b0c5f460-1d52-48b2-9871-4d61a177b115,Sovan Bayen,5,Must buy!,say one word phone awsm
27,review-91fef75a-80cd-45b3-931d-1586065ea6fc,TAPASH KARMAKAR,5,Brilliant,awesome phone
28,review-376670b3-4079-4a83-b832-bed8205e5586,Sachin bhatt,4,Pretty good,great phonefront camera need improve bettery goodface recognition working fine gaming experience awesomesuperb phone rang
29,review-7e160ee8-a43c-4581-8bc0-ea61fe03ee25,Nithin Kumar,5,Excellent,super mobile flipkart delivered late
30,review-c779344c-6d73-4b9a-b62e-4f46546b8d01,Shubham Hate,5,Great product,best phone budget superb battery good camera crisp display
31,review-f1028f10-ed3e-436b-83ca-86ab324568dd,arinjay agrawal,5,Fabulous!,cons front camera good note 5 probut still great cameraother excellent everything elseespecially battery performance rear camera also good attached images rear camera
32,review-ff923300-c720-474d-81c4-c52ba2e4c10a,Shiva Kumar,5,Terrific purchase,exciting
33,review-34b0bc72-ae8e-45c0-b84e-dd552125d21b,Prem Bk,5,Just wow!,one best mobile phone price rangecamera 810battery 1010display 910value money 910performance 1010
34,review-149fa21a-d025-4908-bd46-02790f4ca9d8,Simanchal Sabat,5,Simply awesome,price segment nowadays best phone must saylooking awesome best part phone display attractive display ever seen rear camera quality good front camera mark one best thing battery 5000mah best phone lighter feeling using 5000mah wala battery lighter like phonesyou get snapdragon 636 price segmentin brand first time asus useread
35,review-20ceb210-afa8-4bb6-94ff-4e020018730d,Ankita Datta,5,Great product,liked everything till though havent used much lets see worksexcited nervous hope everything goes well thanks flipkart
36,review-e120fb76-cca3-4612-bad2-0eb4334760fe,PRAJWAL B,5,Would recommend this if you don't bother much about camera,id really recommend one buy phone look factors camera 45there problem quality photos taken front camera doesnt seem like 8 mp camera sure asus improve ota updatescoming rear camera performance pretty good par redmi note 5 pro except low light condition performance 55no words amazing get see absolute amazing performance theread
37,review-d649eabb-a34b-47ba-8602-2ffacbf6e050,Flipkart Customer,4,Good quality product,nice looking great budget phone
38,review-5526f345-e641-420b-8bf9-4f1fa46ce351,Abhilash Sreeramula,5,Awesome,good
39,review-30a9ae82-e456-439c-9e8b-f32e33d7b46c,Flipkart Customer,5,Good quality product,every thing fine sometimes gets heated battery backup isnt goodbut according price best product
40,review-e7165843-3f1c-484d-b96e-95d9d0b6ea65,Abhilash Arukonda,5,Simply awesome,awesome mobile better redmi pro comparing mobile manly battery backup sound gaming
41,review-e97d20f5-8064-44ff-9e7c-a21d94ea3c5e,Ashutosh,5,Brilliant,awesome mobile price range camera goodbut overall performance mind blowing
42,review-c062532b-f203-4400-8bb6-0f9fb8097f4a,Shaikh shadab Shaikh,5,Wonderful,beautiful mobile unique features simplycamera awesome osm mobile
43,review-62d94128-8975-40e7-a807-700deb04e895,Amit Negi,5,Awesome,amazing phone good looking love
44,review-97ed3074-03e9-4398-aaeb-0e53657ecfe5,Suraj Singh,5,Classy product,superb phone battery life good smooth display superb quality camera face unlock budget phone want buy budget phone 10k 15k buy without worry
45,review-95ef7bd0-7178-4b24-b552-448957697745,varsha,4,Good quality product,looks display good battery decent expected backup normal userno gaming 60 general browsing 4g download browsing speed fast camera good given pixel hope improve camera performance future updates switching windows android couldnt find import export function copying contacts old phone fell short expectationsafter ota update battery working properread
46,review-d00f0419-c4ed-4a86-8ebf-9853f7e61cd6,Nitin Sadhukhan,5,Fabulous!,good product within 11k range
47,review-63833936-e846-4a7e-a9c9-c1b10780a687,Bishal Jana,5,Terrific purchase,great producti buy phone first sellget 11may mobile nicegameing performance goodrear camera also goodbut selfi isnt goodbut bad also1gaming 552 display 553rear camera 454 front camera 355sound 456 network stream 55
48,review-08e2cf05-b174-450a-bac6-aa67350fa31a,Sukhendu Bikash Giri,1,Worst experience ever!,flipkart complete mobile protection delivered till although last date 22 feb showing details ie order details showing account bad service castomar care responding
49,review-97562901-8e78-44d0-a509-2ffe6914242c,Khirul Pegu,5,Brilliant,nice
