,customer_id,user_name,ratings,review_head,review_body
0,review-f5efbbee-15b9-4837-a4af-ebbf54b3afc6,Sukant Mohanty,4,Delightful,comments using 2 days1 vibration speakers loud easily hear busy street2 speakers loud one person listen phone conversation side you3 battery good bluetooth working fine radio good listen song using memory card found music okey price range4 value money5 due small size 1 pocket smart non smart phones accessing easily
1,review-f8fb4261-cc09-441b-a8ef-85c61fd86a5c,Flipkart Customer,5,Highly recommended,fantastic products
2,review-11c13324-5881-4618-a743-24e3e564a91e,Shekar Eppapally,4,Delightful,amazing nice phone volue money
3,review-6b53105e-82b2-4909-890d-bb0f97a71996,ABHIMANYU PRATAP SINGH,5,Terrific,good
4,review-ab885d34-73ab-4447-a618-f27c6431cc9c,Basudev Das,5,Terrific,good mobile lavaalso thanks flipkart fast delivery
5,review-37074d13-9b98-42e1-8519-fb285c54d6fb,soumen barik,5,Mind-blowing purchase,price mobile greati liked muchsound quality superb
6,review-c5b78db2-2504-4c26-bd57-5046782607f8,Sunai Dey,5,Just wow!,jst loved
7,review-51d42ffd-e54b-4ebd-a49c-075da58d3750,Siddhartha Santra,4,Delightful,everything good vibration earpiece speaker high sounded everyone hear far distance
8,review-14d2f910-7ac9-4503-8ccb-37c2b4b1721f,Subodh Patel,5,Awesome,good product price features like dual sim wireless looks preety nice product
9,review-8507ee99-1f0c-4fde-b34e-7a7cc1317b4a,Saboor Ali,5,Must buy!,nice look worth rate good delivery
10,review-bfd40822-68e5-4033-8487-edf651f9ffa8,Aravind Adepu,4,Good quality product,super
11,review-1154468e-3646-4e0a-ac3c-bc9a7de5aa20,Himadri Banerjee,5,Terrific,good product happy buy hope experience vibration price best company challenge
12,review-adff001f-0e87-440d-aabf-850c8ce57bf3,krishna kumar,5,Perfect product!,quality keypad phone amountgo buy sounds good long lasting battery clear voice tone speaking phone calls sayseller recommended
13,review-85b62eaa-53ae-4fb8-9265-d162ae3dfd4b,Pintu Kumar,5,Terrific,nice
14,review-b1b9eab1-a708-4f78-8a01-19e2eeb9c80d,Surya Pratap,2,Could be way better,good defines price vibration function fm radio works without earphone pluginslightly disappointed vibration function compulsoryits super battery mode excellent thanks flipkart fast delivery within 2 days approx
15,review-923e82f6-37c9-40c9-99b3-50bafd66fb65,Flipkart Customer,5,Perfect product!,first good product consider price good enough surplus made india let us discuss others features double sim supports sd card well sound quality banged one marquee feature save battery awesome compare kind mobiles lags one placeif anyone says provided vibration mode havewell good option built quality also worthy enread
16,review-52e8ec2f-2943-4ca7-9346-ba7e5989421e,Flipkart Customer,5,Brilliant,great value money mobile
17,review-e5f21587-6e9f-4bd3-9753-a353b19824e7,Bhaskar Netha,4,Delightful,im giving review using mobile dont check n dont compare go fr gives value fr mny
18,review-217b0151-d78b-4684-98f1-f1ee5459ed13,Thippa Durgasuresh,5,Wonderful,good
19,review-77c751ec-c19b-4a3c-9f5a-c3bde525d272,Flipkart Customer,5,Mind-blowing purchase,wonderful phone
20,review-ad0a249a-f854-4b45-92ac-d437ae39010b,Flipkart Customer,4,Very Good,super fast delivery also packing good enough mobile good working nicely satisfied according purpose
21,review-0c6c5ed1-12e0-423d-a089-3bd7062e7b9f,Arun Das,5,Excellent,nice phone
22,review-10998d57-c096-4456-8de8-d4ebe2c42a08,NIKHIL MOTTAMMAL,5,Fabulous!,super product
23,review-ab68d76b-5275-49e8-896d-d1573a522b3f,KV,5,Perfect product!,worth money
24,review-0a9438d4-4810-4dbf-81f5-e2f212050573,Flipkart Customer,4,Value-for-money,mobile body strong
25,review-1e884cb9-8cb9-4ac4-8e8e-fd4fe1f8743d,Sadasiva G,4,Wonderful,value money feature phone segment serves purpose basic calling music 32gb sd card fm radio works well head phone signal ok without head phones best suitable indian market made india
26,review-628a8d2e-aab2-46ee-a329-d165d60d94c3,"Sangita Pathak, Darbhanga",4,Good choice,value money phoneu cant find marketfull vfmsound output good
27,review-a1e67dbf-573d-4ded-82d8-777289ad9a84,JAYANTA KUMAR MISTRY,3,Does the job,nice one
28,review-7e0bb7bc-a471-4906-b364-25a8a3fd06b8,Flipkart Customer,5,Super!,nice
29,review-f1419222-0012-484d-960f-4c8cdf217515,vivek likki,3,Fair,though phone really good voice call high even neighbour people distance hear caller talking pathetic
30,review-1e7f85e6-0cfb-4133-acc2-927236b13914,Flipkart Customer,1,Very poor,phone call time caller sound loud volume low time increase volume loud speaker also working
31,review-667b7769-bf4a-4d5c-acaa-28b81d819c7d,mahesh p boricha,5,Classy product,good mobilesmall nice looks vibration option available thanks flipkart
32,review-9d75bed5-78dd-4252-b8cd-bb464b01c7a9,Manoj Praveen,5,Excellent,worth money
33,review-8427167d-1b24-4f99-8488-2c05c7e60ab0,Sanjay Kumar,5,Terrific,nice product ilove
34,review-c47c6a63-5a4b-4a15-bea9-66e436163222,Madhav D,5,Must buy!,super phn battery life good display super value money
35,review-9acc804a-acd0-479a-8369-cea589dcec99,Flipkart Customer,5,Classy product,amazing product
36,review-31aefdd2-0d9f-4bef-9c69-75058e3fe32b,riyaz ahmad,4,Good quality product,good luck phone
37,review-dd15eba7-4620-4ff5-b203-3e591ad61d00,Sreehari S,4,Wonderful,nice
38,review-edb20b5e-48fc-41ce-8d6f-61dede527902,Tapan Kumar pop,4,Very Good,mobile goodthanks flipkart
39,review-531a51c3-0557-43a1-989a-73088da91fe2,Flipkart Customer,4,Very Good,good
40,review-f244eecf-6b5f-4823-8cab-4c0c3f75e8fa,Chandan pandey,1,Absolute rubbish!,difficult open battery give solution
41,review-20908c93-f651-432a-96dc-1e7133e00f83,prashant kumar,5,Best in the market!,good phone speaker hd volume
42,review-1daaf5fd-4ed1-4fab-bb85-0de8a16aef88,Kavindra Patel,5,Wonderful,good product low price
43,review-56ebf2c7-378f-4d5a-81ae-3257077f9720,Flipkart Customer,5,Fabulous!,super phone thanks fipkart
44,review-17124c41-8e92-41a3-9224-d243d3e81769,Tarun Kumar Nayak,5,Terrific,good
45,review-f0a2f3b1-59e8-420f-82f7-18157679b49e,Sukhwinder Singh,3,Nice,looking good calling performance good call everyone listen ur private talk
46,review-17761b22-6a32-448c-affb-648e9bbc5e4c,Pertin Oitol,5,Excellent,value money
47,review-8db95852-9a5e-413b-8f33-01f4653fca31,Nutan Mallick,5,Fabulous!,nice phone
48,review-d3282a73-4552-41d8-9240-d6982ad67e88,Rick Ali,5,Super!,super phone worth money
49,review-158b2c8e-c643-4c20-991d-4ef71306a62e,kirankumar nalla,5,Excellent,best mobile best price
50,review-edf97beb-5800-4536-a007-6e98674a76f9,Development pr,4,Pretty good,value money
51,review-1467fecd-590d-4717-8976-0d5eb886d772,Virender Kumar,1,Did not meet expectations,waste money issue functions like contact save option available
52,review-12fd07cb-8e30-48e3-9476-a726717a21ed,Mamoni Brahma,5,Great product,really nice mobile
53,review-307564c9-9551-4c09-acb7-afdd735be513,vinoth d,4,Delightful,quick delivery flipkart
54,review-2205246b-653d-4cbc-bae5-580340b63356,MukeshRaj Maurya,4,Very Good,looking lovely packing manner good love long battery life sound louder good product lowest price
55,review-f9bb394e-0776-41a8-8570-b669c37a0326,Ajay Kumar Rajput,5,Terrific,good price
56,review-86a599ec-bf92-4870-a573-a5f10753bc46,renjan chinju,4,Worth the money,good product pricelike itbut headset included package
57,review-d2b7f14d-aeeb-48ad-9313-516bae0ee757,Rupesh Waghela,5,Highly recommended,really good mobile great features compared mobile higher prices youre looking phone low budget go phone wont b3 disappointed
58,review-39c796b2-b394-400a-994b-9fafe19c5ba1,Ayan Hait,5,Excellent,awesome mobile father easy use
59,review-492944d1-1cd6-4bbd-a0a2-db03dbaa7ce3,Vedant Tiwari,4,Delightful,best budget mobile super battery backup
60,review-8d2f8376-2500-41f1-b256-1cefd410478a,Flipkart Customer,5,Best in the market!,good
61,review-4395d62d-d29b-453e-b59d-50b406665c5d,Amit Visani,5,Awesome,value money
62,review-a7f586f7-dcb1-43c1-af00-9de979fb058a,Saiparasad Ganji,4,Worth the money,today got product initial impressions goodcamera okay able click photo show storage full thats giving product 4star
