,customer_id,user_name,ratings,review_head,review_body
0,review-38c1040c-f758-43f0-8976-718291779d9d,nripen ghorai,5,Must buy!,nokia bestsmoothcamera awesomethe speaker loudquick chargegood battery backupthe nokia branding blackthe phone comes gorilla glass 3awesome ai camera
1,review-98a0abf2-17b2-4833-816b-641cc9da73c3,Parag Deshattiwar,4,Value-for-money,stunning value money
2,review-ced17780-e283-464b-a3f1-65988e195d72,Pankaj Kumar,5,Just wow!,awesome nokia 61plus handset
3,review-f11f3d5b-930f-4b2d-b9c6-59e8ae83805a,Flipkart Customer,5,Terrific,awsome camera
4,review-1296034f-82ae-445e-ba46-9c3802a7d4ea,Veera kumar Nakka,5,Worth every penny,good mobile
5,review-4ef41bac-1a5c-4e63-a980-16e7e242f1ad,Chinmay Pradhan,5,Terrific,ordered nokia 61plusbluevariant 30th august received 1st sept using 22daysi writing reviewpros1android one box 81 oreo andoid p andoid offing smooth fluidic os bloatware unnecessary apps design regular security updates2designabsolutely premium glass back stunning looks well compact 25 curved glass seamless look feels good hand used one hand thread
6,review-13fe9712-c5d8-4bb0-82bf-0af14ae6273e,Satyesh Tripathi,1,"charging port issue , google this problem before you buy",substandard product bought 1 month charging port issue lot people charging port issue google search youtube lot peoplehaving issue
7,review-906799dc-cb2c-45e7-ad5a-1d676c37fe31,NILUTPAL DEBNATH,5,Classy product,awesomeall specifications good price external design excellent everyone knows nokia hardware reliabilityfinally always like nokia brand engineering college lifei happy getting nokia 61 plus
8,review-fe9c128c-4b06-4e79-8551-34ffb63235da,jaya chandra,4,Really Nice,superb mobile
9,review-53ba5cc5-4d2b-46ec-b1a6-a1315563822c,vivek kumar,5,Terrific purchase,looking buy go today received nokia 61 plus mobile phone phone amazing performance build quality loving
10,review-a47d8d26-b409-457f-80ad-062669fe25e1,Rashith Gowda,5,Terrific purchase,nokia best must buy product nokia
11,review-808fb2cb-f1bf-4d3d-b840-55689c40dc54,Flipkart Customer,5,Perfect product!,good camera performance
12,review-75b2ae1e-ae72-4e56-9e8e-b5660cfcb564,Amogh GN,5,Fabulous!,prosawesome ai cameracrispier displaygood battery backupmultitasking topnotch lagshybrid sim slotthe nokia branding backthe speaker loudawesome gamingno heat issuequick chargeandroid one platformconspoor earphonesno silicon case screen protector
13,review-564206e1-c34c-41ea-9d4e-4ca5d489e90c,Aravind D,5,Awesome,loved nokia
14,review-7aff4e55-52e8-43c7-a7b4-719cefb0a073,Ankush Rajput,5,Classy product,best phone everfabulous job done nokia
15,review-7562cc14-61e0-414b-b4a6-4945aa7afa08,T S Yashwanth,2,Expected a better product,one good smart phones rangedesign feels premiumcamera kaybattery drains quickly normal usage lasts maximum 1820 hoursusb charging port lot issueeven getting serviced work timesnever expected quality nokia especially service bad service centres worsttrying change mobile
16,review-94d78518-c0d1-438d-a373-a2cbd3475740,Hari Mohan,4,Worth the money,good job nokiaeverything good camera little bit poor low lightbattery backup bad work okklookwise awesomespeed also good
17,review-844352ac-23c5-4f07-8434-dfa27232bb3d,Monalika Adhikary,5,Perfect product!,actually good phone fully happy phone trust buy without hesitation buy check attached images click phone suggest everyone please go
18,review-b408c8b6-762b-4142-831f-93d5084793cb,Hamza Ansari,5,Super!,awesome phone price range camera superb android pie update liti bought 2 unit different colour
19,review-b6c4b59e-92f4-41b5-9904-5f013ed2daa6,Lakhinath Barman,5,Must buy!,good product
20,review-c1d796b5-bdd4-452d-ba16-62eb004052b6,Anuj Rawal,5,Super!,one stylish design durable phone provide value moneyboth camera great daylight sometimes front camera provide flaunting image lowlights due absence flashlight display sharp phone easy handle single handedly use battery ok 3000 mah thanks fastcharging provide charger ordinary
21,review-230689a7-a9a5-4759-810c-ed2adcfdc4ab,Ranit Pal,5,Must buy!,awesome phone nokia means build quality
22,review-ef2d079c-c6aa-4cab-8b14-881bd066f3b9,Rajesh Thapa,1,Waste of money!,2 months charge point working properly 4month back chagre working mobile change phone
23,review-8de8bb78-2d6b-4c91-b50d-4b2c2a9d482a,PRAMOD MAMIDALA,5,Simply awesome,awesome phone far better redmi note 5 pro terms built quality premium looksscreen quality also many terms1 nokia 61 plus 58 inch sreen terms phone dimensions far lesser redmi note 5 pro interestingly lesser redmi note 3 makes light weight easy carry less bulky2built quality premium terms looks honestly makes surrouding people jealous redmi users even iphone user feel jread
24,review-bb3b8248-58ff-47f2-91de-cbf032cd0284,Ajaydev H,5,Worth every penny,nokia name back good phone everything perfect
25,review-da58fd8e-63c9-429e-9291-dad0a8c7c576,Nitesh Singh,5,Wonderful,best looking phone everu fall love single glance4gb 64 internalmorover snapdragon processorand endless featuresn finally nokiait got everything
26,review-9187a654-8098-49a3-8482-f81ddedb7411,Mohammed Mujahed Ali,5,Excellent,nokia best absolutely premium design nice built qualityno heating issues
27,review-bcf9951e-0b6a-4e97-a7d6-3117a41b5c3f,a customer,5,Worth every penny,awesome phone week test phone feature good display fantastic build quality superbaudio quality good
28,review-73702a6a-ecb5-429c-a7ca-6a50b6424c6d,Pratikesh Patharwat,5,Best in the market!,using month say literally beast every department jst go
29,review-4f84b940-c892-4383-80d5-8327af178285,Murali Pandurangan,5,Perfect product!,last 3years used lg nexus 5 first nokia smart phone cant expect build quality camera display sound sony lg phone lovers try dont hesitate one word say awesome
30,review-0d90299c-1990-4744-b03d-916b342747cf,Sachin c,4,Very Good,excellent camera
31,review-99ab91b8-2bbd-43b2-8319-cd0c8755bcdc,KAVITHA T A,5,Classy product,black colour variant awesome lookingnice phone lite gamers
32,review-48536751-9a47-4e28-a4f7-bac9647916b8,Bapan Samanto,5,Classy product,awesome mobile love colour white love display quality amoled feels love nokia thanks flipkart
33,review-6d2d9658-40e6-4caf-919a-d036176f2cc3,Ismail,5,Excellent,great mobile thanks flipkart value money1 great display2 premium look3 good camera4 powerfull processor5 lagging6 sometime heat7 average battery
34,review-27994fcb-098c-4aaa-ad6e-13175a044434,kedar nath,1,Hated it!,dont buy phone hardware bad issues phone are1 charging slot worst wont work 3 months2 display issues3 earphone slot issueplease dont buy person experience dis problems friends many people experiencing bought dis phone seeing specifications brand dat realised dat worst brand dont buy
35,review-4c7fe091-42d2-4afc-8668-197484356224,Flipkart Customer,5,Perfect product!,good phone superb camera awesome display like amoled screen
36,review-61100dd0-e5b3-4692-899a-eb247de70059,Rahul Kumar,1,Not recommended at all,really phone designing impressive dont buy phonebcz manufacturing defect charging portdont waste money phone
37,review-a4510627-aab7-4108-acd5-51e75f1bb6dc,Vaibhav Kanojiya,5,Terrific,georges phone
38,review-7e7a9b80-c2af-4e54-94af-923dd811fee7,Shubham Kabra,5,Just wow!,best nokia budget phone everprosdesign classic absolute beautysuper slim sleekyamazing ai powered camerano lags even 15 apps opencrisp stunning displayreally good resolutionno heating issues alldecent batteryfast charge 30light weightconsno face unlock really matterlow light photography goodno cover screen protection providedworth buy without thought best part android oreo part android one program
39,review-5e8f14ae-47eb-4fcf-8452-d083c7354a7e,Ankit Khanna,4,Value-for-money,delivery done 24 hrsswapped samsung galaxy s7 phone display good good amoledi scared nokia square phone design similar galaxy easily handled 1 hand heavy premium looking phonenotch smaller lower bezel cause brandingphone mirror finish quality feels good hold slipperyandroid one light fast screen isread
40,review-f392bf42-30ea-4d26-8eb5-17f769acea9b,Suman Karmakar,4,Really Nice,nice phone bokeh effect good look beautiful
41,review-fd8c4a53-7ad5-42ba-88cb-060cfe47bd50,Akash Mishra,5,Brilliant,one word beast definitely xiaomi killer device everything need smartphone simply go usual good flipkart service
42,review-38d0bb04-c4c8-47a1-ba9b-6ab8c26cc3cd,Mehulkumar Rupala,5,Awesome,stunning gorgeous phone1 build quality awesome2 display excellent3 dual voltecamera goodif planning buy phone close eyes purchase
43,review-e7510e80-e87f-4f3e-bdde-2d062c8283e2,Vinay Chittiprolu,5,Brilliant,im waiting mobile launched china last worth waiting considering price worthy
44,review-dfe3e860-d0c2-48eb-801c-5c19b8b07440,Prakash R,5,Brilliant,stunning design
45,review-8cadb6b6-9d7f-4026-90c7-320cf6ee7fa2,Abhishek Srivastava,1,Did not meet expectations,review 3 months using itinitially intrigued phone loved soo much gradually problems camei software updated beta version official nokia websitemy biggest mistake since many bugs way go back stable updatethen days later phone fell replace new screen theynokia service asked 11000 rs replacement 11000 rs kidding methen charginread
46,review-3e4c7b6a-7dee-4637-898c-2892f5931b64,Krishnakumar Ks,5,Pretty good,buyed 30th augustreceived yesterday 1st septemberused 1 full daybattery lasting whole daypremium look hand feellag free performancelight weightalso heating issues
47,review-b9353979-d20f-44e7-a4db-8b11e081024d,Chidananda Panda,5,Perfect product!,glossy glass back design notch design gives royal look phonein side stock android performance sexyhere sample portrait shots
48,review-22f19bbf-08ed-4093-9379-68dbdb9e30c1,Flipkart Customer,5,Best in the market!,genuine reviewprosphone looks super premium like iphone x cutescreen awesome love screen sizeperformance super one ota update fix bugscamer good natural normal indians wont use low lightvalue moneybattery life good best love fast charging type c stock android feels gud miui custom romso light weight phone like many honor phonescall qualityaudio output besttouch amazing best iread
49,review-e0f6b63f-7ae8-4dee-8dda-b1fac7958388,appireddy t,5,Wonderful,awesome phone 16k excellent built quality performance amazing ram management everything awesome mobile especially ui bit camera u manage google cameravalue moneynokia bestwe say boss backhe concqure marketdont fall chinese market go brandnokia give u best updateswhile using mobile u feel like samsung s8the best phone budget go enjoy premiuread
50,review-1f4f016e-e924-44f5-8f15-246d380d13c2,samit,5,Wonderful,wowgo guysi loving itawersome
51,review-8a42634f-6f46-47e9-8064-1dc1b9df5df7,Flipkart Customer,5,Terrific purchase,awesome
52,review-607a58dd-c682-4b96-9b06-7f7c05c68b7f,Supriyo Das,5,Super!,fan compact size phones options 5 screen size iphone budgeti quite confused size58 inches saw many phones size 55 6 found bulky get handson samsung s8 similar screen size searched size comparison youtube nothing helpedfinally took risk ordered guess exactly looking for1 extreme handy compact2 camera quiread
53,review-8d486996-2661-46ed-ad76-5774f6b16122,deepesh sahu,5,Terrific purchase,perfect mobileif u want better photography install google camera results awesome feel u mini oneplus attach pictures gcampremium lookawesome cameragood batterysmooth performanceram management also goodawesome feel u using ur childhood brand nokiathanks flipkart thank nokia
54,review-c9229d38-2f38-4753-81fa-c24dd393b1c0,Ankit Pandey,5,Perfect product!,best phone looking premium
55,review-ab2c34ca-5e44-4922-a45f-90554dea3321,Ramanjeet Singh,5,Best in the market!,believe guys one best phone price awesome performance nice build quality camera excellent chinese phones days numbered big daddy back finland
56,review-cb85e880-87a0-4e5b-8e80-ff063b9d3646,Kumaresh Chowdhury,5,Must buy!,7days usage must say phone gives allover great performance 16k budget segment dont know people giving lower rate camera personally feel camera phone really powerful capable stunning photography battery backup okey 1 day usage much powerful think nokia focusing battery less design phone still cant feel lags although gives snapdragon 636 gaming heavy usage laread
57,review-e6633129-dd54-4508-a83b-dfaaaf08fcb5,UDAYAN MONDAL,5,Best in the market!,amazing phoneand great camera crispy displaya day life battery overall great looking phone
58,review-36854dd9-7566-47a9-8fe4-f93c9cf62d93,jani pasha,4,Nice product,love u flipkart fot fast deliverynokia desine fabulous display suprb performance gaming battery every thing supbut camera little prbs ofter installd google camera camera also good tnq nokiaboss back
59,review-23f95098-55eb-4a54-bdbe-239744c8bcef,FAZDAR K KASSIM,4,Nice product,camera clarity awesome good detailing using google cam nokia 61 plus
60,review-0256fa67-c3c3-4ada-9ec5-9b565fc3f93c,Surendar S,5,Worth every penny,awesome phone flipkart fast good delivery
61,review-dbab4f7a-abd4-4f25-8cd9-e35e294d1605,Flipkart Customer,1,Useless product,worst packing fm flip cart risky packing sended without safety mobile
62,review-db1fe871-997e-48b0-9f27-2cd2fb89ec46,Anand kumar,4,Good quality product,good experience lastly mobiles father backafter long time
63,review-533468c5-de84-4174-8e8d-45d9b494e032,Trinayan Bhatta,5,Brilliant,good phone
64,review-52777689-4cea-42ab-9c8f-eeb6482121ca,Syed Khundmir Mansoor,5,Fabulous!,best phone available market today 20000 phone even compete flagship phones everything good phone usp phone look built quality looks classy premium display amazing battery paper 3080mah terms performance easily beat 4500mah brands super smooth buttery using android one interface pure camera excellent price brread
65,review-59537289-1ea0-4f30-b251-0a8dd03ab872,Aditya pratap singh bais,1,Waste of money!,horrible experience flipkart delivered returned product request return cancel rerurn request 34 daysdont buy anything fraud site
66,review-25dc0988-d807-46d7-a555-fcbd29cb4782,Pranit Ovhal,5,Mind-blowing purchase,think till best phone looks best specifications think ppls reviewed battery backup phone low dont believe best battery backup phone super ya camera little bit offbit ok much cameraholic person ok dont believe check phone battery performance
67,review-09849957-42b1-4485-9bfa-b9f5176d16a0,Deepesh Biswas,5,Super!,better redmi note 5 pro
68,review-f65b9adb-8fa5-462e-b341-401e71f0891c,Anil Gangwar,5,Just wow!,really nice mobile phone
69,review-df4f7120-aee4-47cc-8ad4-023d8451d2be,Mallikarjun B,3,Good,nice mobile good lookingbatery ok ok
70,review-69521a99-aac3-42a3-8ce8-476d66fd020c,Varun Gulati,5,Wonderful,nokia leading backbest phone range plus nokia tags embarace situationgreat designsmooth fast softwarevery good battery lifegood sound speaker earpieceusb typeclight weight 79mm thickfast fingerprint recognise easilyfront cam nice back cam averagebundled earphones cheapno notification leddont update aug security patch u dont like notchno proper face unlockoverall good device
71,review-68c2e768-f424-4f29-8bc6-6b84f1c29f29,Amritpal Singh,1,Unsatisfactory,damaged arrival
72,review-4e9fe1b7-1394-4403-9e9d-98e1df13fb13,Sanket Raj,5,Best in the market!,nice product
73,review-1996a7d7-d330-4eb6-a7e8-8ae3b50dbaa4,Archita Mondal,5,Perfect product!,awsm phi like coz hv order yesterday flipkart deliverd today 20hours
74,review-1bcd1a31-7cb2-43a2-8337-a8c7a775c4cc,Flipkart Customer,5,Highly recommended,nokia father phones
75,review-9bc8f42a-567f-48ba-aa89-4779138f1d3e,Nikhil Garg,5,Wonderful,first thing phone feels really premium durable nokia known screen awesome camera really nicestock android awesome easyhas alot featuresgo
76,review-246e0759-2b24-41eb-b229-f5bd0f4db2e1,Souvik Mondal,5,Super!,phoneits complete round performancedesign build quality superbcamera good specially front camera better mia1android one betteri using mia1 runs android onebut one nokia brother using certain minor features added missing mia1 even though runs 81fm radio therethere issue performance lcd display goodas runs lcd generally consumes less chread
77,review-e4d125be-5d61-4b42-8338-b23df658cb62,Uma Mahesh474,3,Nice,stock camera average using gcam shocked amazing results
78,review-8af32a56-f7b5-46d6-8ee0-cc60ce72be31,Natarajan PM,5,Highly recommended,best phone ever nokia stunning look good job done nokia team dont even compare redmi phones far better loved sooo much
79,review-cc63fd5f-3672-4142-91e6-da14dfbfde3d,Dhiren Maru,4,Really Nice,nokia always making great phones nokia blasted phone marketthe important phone price lowslow motion shoot 120fps
80,review-b2c93da9-791c-40f8-82a2-cb9b873b828f,Bipro Das,5,Best in the market!,great phone buy performance really smooth cameras also satisfying
81,review-fc866ed6-e0b5-44b2-af68-039e97d36ca7,chenna krishna reddy,4,Good quality product,simply excellent
