,customer_id,user_name,ratings,review_head,review_body
0,review-f4ed586c-446e-40b9-983e-69e9ea5b43f4,PHANI KUMAR,5,Highly recommended,excellent camera selfe good happy using mobile thank u flipkart
1,review-c284d358-e601-432f-97e1-5781cf9f0939,Sharbani Dey,5,Perfect product!,excellent product love love flipkart
2,review-9cf26ee9-bf85-4afe-997e-677b8ea49a29,Satish Sankpal,5,Simply awesome,mind blowing camera phone go buy one compare mobile phone lets oppo f11pro gorgeous mobileim happy product thankyou much flipcart oppobest camera 55 n features available phone go buy itthankyou much
3,review-cfc4f8dd-1544-4c62-a4e1-94d3f18c1b98,SUVENDU MOHANTY,5,Great product,fabulous one go
4,review-4477f6c9-2e9d-4748-9560-b0b352705028,Soumyajit Paul-JANTY,5,Simply awesome,best beast
5,review-be08e37d-4c34-412b-85a7-11973c75e5c2,Hari Srinivasan,5,Terrific,oppo f11 prodesign 55 screen 55 resolution 55face recognition 55 finger print 45camera 45 performance 45charging 45 sound outside 35sound headset 35 ui 45value money 55pros best design good camera fast charging 8 93 takes 1hr 10 min ui cool many features fast face recognitioncons memory storage 64 gbsound quality greatfinger print little always confusing use youll touchiread
6,review-bbd8a886-0a85-4b92-b045-4cfcca9a92bd,Akash Khude,5,Excellent,awesome phone great camera
7,review-3da65578-d5fa-4ec4-81c9-a3f6b5fd278e,SANTANU DAS,5,Excellent,mobile awesome quality superbattery backup also greatgo
8,review-a42740b5-2a2b-478f-813a-56c8304f8a3c,Flipkart Customer,4,Good quality product,awesome phone
9,review-681ae692-b9ac-4fed-a4fa-1c8807584dee,chanchal Mandal,5,Simply awesome,nice camera value money
10,review-45bdde7e-0f3b-4ae0-a4b8-59e765269ba7,Shomya Raj,5,Excellent,go itgreat phone
11,review-ab155323-6880-4600-bb0b-3ae02752f04c,Flipkart Customer,5,Mind-blowing purchase,best product ever purchasedd
12,review-bce9c81a-055d-4fca-b213-75d3ee90de7f,Soubhik Basak,5,Classy product,awesome phonevery gd camerabig displaygo
13,review-b8f8f1dd-3629-489c-9bbc-528946adb0ee,Akash Dey,5,Super!,awesome
14,review-8e909385-d445-4d15-bce2-9f4a11c5b1ce,guddu dalvi,5,Must buy!,awesome product happy flip cart oppo f 11 fro good looking smart phone giben flipcart
15,review-3d349f60-ca7c-4046-96e7-a49bccc754bf,Golu Kumar,5,Perfect product!,good product
16,review-40a2131b-727b-4538-8e96-4446303eba93,Rudranarayan Dash,5,Mind-blowing purchase,awesome product oppo really like
17,review-5564ea91-ee8f-48da-920a-188281055aec,Hritu Mukherjee,5,Must buy!,excellent elegant
18,review-45b5b61c-1037-40b0-977b-edc62b8375e5,DEEPJYOTI KALITA,5,Super!,gentle mobile battery backup good camera excellent night mood gooddisplay ok better go amoledgaming performance awesome fullhdpop camera cool make black face white love oppo f11
19,review-b456312b-fbc6-4164-9f4f-a4c02398e3a0,Flipkart Customer,5,Best in the market!,everything elegant whether camera looks fast charging im fan using samsung oneplus previously tried luck oppo didnt let go
20,review-0d35f02b-2624-4eaa-854d-864021dc45e6,Yashad Ashtaputre,4,Really Nice,ive using phone almost 3days nowhere feelpros big display permium looksgreat camera good gaming experiencepop camera looks elegantcharges quickly vooc 3 chargingcolor os 6 beautifulcons type c port would made phone ultimate allno dedicated dual sim slotseems extremely delicate especially camera pops future hardware failure could possibilityand confused thiread
21,review-b74e9ea8-6ef2-45f3-a2a1-f8730b95f797,Tina Das,5,Classy product,camera good
22,review-8cb56baa-1159-4252-b2ac-ccc9dbfdaf67,Neha pithale,3,Fair,nice phone love buy 14990 rp
23,review-a512d893-a384-408d-89d3-e6a49a578d07,ROHAN BHATKAR,5,Super!,device screen good viewing angle powerful battery backup vooc charger battery lasts easily 15 days camera superb captures enough details day light well night mode speaker grill provided bottom loud enough crisp colour os 6 good enhanced security features app lock hence need install separate appsoverall worthy package
24,review-8bd9dc37-8eaa-44d2-b97a-32734d509c44,Flipkart Customer,5,Great product,great experience great mobile outstanding
25,review-d2a7126c-77aa-4985-8994-400d1383edae,Harshith Yechuri,5,Simply awesome,good phone camera
26,review-213eba1d-6344-4fa7-821c-316ff9adf943,Mamon Nath,5,Perfect product!,good mob really good
27,review-9f001945-4df6-4f34-8479-36a7d46fdb6f,Sampriya Singha Roy,5,Highly recommended,superb phone camera quality amazing superb performance massive battery excellent camera make phone amazing
28,review-ca4a8212-77d2-4b60-a9a8-cea8ec8d59fd,Bibhas Biswas,5,Mind-blowing purchase,picture quality aswm
29,review-155a824c-ee6c-4f16-92b0-5b7a87073858,Adhuaith Sreekumar,5,Excellent,good oneworth money
30,review-830bcc95-64d6-41bd-94ae-73022b43c339,Bishnu Rath,5,Terrific,perfect mobile current generation far better photography low light
31,review-3832414b-3396-48a7-ade9-24e8a6d82f04,Flipkart Customer,5,Terrific purchase,superb marvelous osm phone
32,review-33bf904d-7317-4281-9bad-deb5b78a47ea,akbar sadiq,5,Worth every penny,amazing purchasecamera 55performance 55look 55oppooppo
33,review-fb9c9a0a-a79e-4762-988b-f34ef9fd6c66,Hrishikesh Sonar,5,Classy product,awesome performance
34,review-b84fd7bf-11e4-4ff8-ae75-f6cdb5364685,Rajesh Marothia,5,Excellent,excellent phonecamera quality awesome
35,review-78340628-7157-45cd-83db-e89852bed68f,junaid alam,1,Worthless,seems like flipkart expects brand new phone exchange disappointed exchange policy
36,review-266775bd-bfe6-449f-a42f-6f44bce97966,Dr.Neha Naz,5,Mind-blowing purchase,best phone segment
37,review-2545efbc-24d6-4cd8-aed0-58cbdee14120,GAJENDRA KUMAR VERMA,5,Mind-blowing purchase,function good
38,review-8ff2488d-ec3c-4d0b-a5d4-08087c7321c0,Kousik Sarkar,5,Excellent,awesome nice quality
39,review-4b4af6e1-32ef-46ce-943b-666e75626245,Gurujeet singh,5,Simply awesome,exclent front camera back camera
40,review-8aa7799d-3658-4133-b57c-9dc307a5600c,Harjot Kaur,3,Just okay,speaker goodvoice clear calling timepicture quality awesome
41,review-fb69f687-2858-422b-81e0-5c09cdb4790e,Flipkart Customer,5,Simply awesome,nice product happy
42,review-d237d7e3-6ffa-45f7-bc4e-1ee3a618f35e,Chiranjit Banerjee,5,Awesome,good camera
43,review-902eff9a-7d57-4624-8441-c970cb8f7113,Hiren Pranami,5,Awesome,nice products
44,review-b7382148-ca77-47a0-853f-76c1c4d6161d,Sidharth S,4,Delightful,mobile ok price high processor good price
45,review-e88d7790-84fa-4f3b-8c81-8aa81d2c1b0d,Flipkart Customer,5,Worth every penny,loved phone vooc charger super cool camera quality wow
