,customer_id,user_name,ratings,review_head,review_body
0,review-1de99e6d-6859-4881-989c-35d6ad1a76dd,Flipkart Customer,5,Must buy!,evidently smartphone ka champion surprised found outer box 8 mp camera given takes great quality pictures got mail company confirming sticker print issue 13 mp needless say realme best market right features offered sales service havent said enough camera quality superb go highly recommend ones looking classy budgread
1,review-6e59c662-80e7-4ce7-ae0d-96add984b4ec,BALU B A,5,Awesome,iam giving 5stars realme3iplease read full patience given 5starflipkart delivery quick got handset within 2 daysi got diamomd cut red design say simply sooperbcoming cons first1its full hd display cant except budget2ram management much greateven phone setup showing 500mb ram free 3gb variantand nearly 1gb free 4gb varient also3boread
2,review-3e85d5ea-e3d5-41aa-851b-36b307b5a33e,Sumit Mondal,5,Wonderful,doubt best phone 10k best camera price battery performance perfect phone performance awesome150000 units sold first day thanks realme thanks filpkart fast delivery
3,review-539353b6-0a38-4b33-8e05-48542b0d61e9,Flipkart Customer,5,Excellent,nice product good price things superb camera indoor superb
4,review-4d16fab4-884b-4e07-b8e9-44bc1122aeda,GAUTAM GUPTA,4,Delightful,awesome
5,review-22f68fc7-5a44-4ac4-8ac6-561115e8a310,Sk. Shabbir,5,Best in the market!,good phone
6,review-9cd6617f-1788-4112-bcb4-5de7b6747ec4,Rakesh Mallick,5,Great product,love impression fantastic
7,review-284d3e52-74bf-4972-90e9-319a0693f07d,FAIZ ASLAM,5,Great product,value money backside poly carbonate
8,review-a29f3a8b-1686-49b1-aedf-014fc39cbaf9,Sandeep Chauhan,4,Worth the money,much good mobile
9,review-3c8c304c-8f39-449d-8a91-4057f32f297c,amol gujar,5,Classy product,buying dont think much definitely buy
10,review-7ff90292-1399-44bd-9fdb-adb3c67729f0,Satyendra Rathour,5,Wonderful,excellent phone budget range osm look great performance super fast delivery thank u flipkart
11,review-e7e52c7b-f105-4ce8-9027-86c931c16934,Flipkart Customer,5,Brilliant,cmaerabattry performance osssmm
12,review-bb26f358-9c62-46de-ad08-8b576b1ea4bc,FAIZAN,5,Just wow!,fantastic
13,review-1a7a1be3-4f42-41bc-ad48-3b159a72903d,Ashu D,4,Really Nice,awesome phone price flipkart mention front camera 13mp box mention front camera 8mp
14,review-5a5d8bf2-0035-4092-98b3-d85638ce4522,Purnava Chakraborty,5,Mind-blowing purchase,awesome first day experience flawlessly running lag heating great battery backup true value money budget
15,review-55cecbc0-0abf-495d-8ae7-21f2d0a66fac,Devendra Gour,5,Fabulous!,value money thankyou flipkart realme
16,review-3602ea28-e8a9-49cd-b736-f65451ee71b9,Inzamam Ali,5,Highly recommended,fabulous phone rangeabove average cameradisplay performance awesomebattery fantasticvalue moneyfast delivery 1 day
17,review-9b72526c-09d7-4faa-858c-aae5fef8b042,NITIN KUMAR,5,Just wow!,superbgood qualitybattery 55charge55camera 55looking55quality55
18,review-5b548fe1-094b-4716-b58d-80b202caa39c,Manirul Mulla,5,Terrific,nice mobile
19,review-6bdc08bb-1ba8-481e-9f3e-1f558d29d529,Saurav Ray,5,Mind-blowing purchase,good use
20,review-602886cc-bc63-4c85-8030-5bac81b03a28,Radhe Sharma,5,Must buy!,good
21,review-096ea452-b044-42ba-b027-68832ad92728,Juthika Das,5,Best in the market!,awesome phone
22,review-1ae57451-dd33-4bf1-9805-cb56d49a83bb,himanshu dubey,5,Mind-blowing purchase,best range mobile camera
23,review-474f844d-feda-414a-8ba7-1a4d8bfc755e,GANESH SALUNKHE,5,Wonderful,awesome
24,review-838d2b07-1c1f-4a1f-8339-73efc64ca5ef,Stalin Ansary,5,Awesome,nice phone display nice excellent
25,review-ad051b40-476f-403e-a2a3-eb74e723909c,KHAN Sahab,4,Wonderful,beautiful mobile love
26,review-f65a5ef2-8459-45b1-8653-d8103d222113,Abhishek Kuamr,5,Fabulous!,nice products
27,review-06a1a796-52fb-4a63-95e4-2db5d2fe4407,suresh,4,Good choice,fast delivery within 20 hours onlyphone also looking good
28,review-86f3d022-c51d-40ed-9d2d-03267364af78,Shriram Bhat,5,Perfect product!,superb phonea must buy price range
29,review-03282520-e89e-46a8-89ca-8215a19b9be7,Sujit kanrar,5,Terrific,value money nice mobile overall good segment
30,review-7d6c511d-57e9-4c5c-9988-e6ba5dbfd45e,Pappu Pandit,5,Classy product,wow fall love love u realme
31,review-67f92e2f-439d-4e24-8b7d-780c2b8c419f,Chintamani Nayak,5,Simply awesome,rights
32,review-ec49fc4d-5831-4a5a-b641-c5d40171e92a,Flipkart Customer,5,Terrific,excellent mobile
33,review-4e7be1cd-72fd-48d0-8697-f18e05be707e,Srinivas Joshi,5,Fabulous!,osm mobile
34,review-93f3450d-702a-4edc-ae3c-5b441ecaa09a,Thakor Haresh Kumar Karnshinh,5,Mind-blowing purchase,super
35,review-89a2af1a-002b-4804-91f3-3853aafaa912,Vaibhav Nagarkar,5,Fabulous!,beyond expectationsdisplay although display 720p wont notice major difference fhd hd panel conscious ordering device coz hd panel thinking real u1inferior camera poor battery life honor 10 litegood camera fhd panel poor battery sales support service software used honor 6x poor battery sales support software updates trusted fhd device rangeread
36,review-6f0f0ed8-2cd3-4bed-aa4c-a038c8f69eb2,chinmaya nayak,5,Perfect product!,owsm camera clarity
37,review-43fbf66b-7a59-4ba7-b9b5-510f2394e563,Rajesh C T,5,Simply awesome,good mobile
38,review-85e4378a-eed9-46f1-a171-c3a0fa003642,Samadhan jadhav,5,Perfect product!,1 mobile priceno company provide features 8000 front camera box shown 8mp print mistake 13mp
39,review-2416903a-e347-4e4f-9095-c3d66c42c3df,Marikannan Perumalsamy,5,Excellent,money saved nice mobile life battery
