,customer_id,user_name,ratings,review_head,review_body
0,review-4a80c1fb-e616-4a18-922f-478add47b808,Amey Mahale,5,Awesome,fast delivery got 24hrs fast charging point charge mobile 5 60 30minamazing camera micro lens could better software updateultra fast response processornice display colourful bright
1,review-fc2347e1-fd24-4c56-b317-b542ddafaecf,Prateek Chaudhary,5,Awesome,device simply left stunned simply stunned smooth performance beautiful design excited capture moments 48 mp x 4 quad camera along macro portrait lenses adding complete experience vooc 20w better vooc 30 20w 18w fastest charging phone price recommend device
2,review-3ad1b6ff-d3c8-4290-a9db-c2069ed68968,Rohit Maurya,5,Awesome,one best smartphone range best thing phone camera awsome quality performance good battery back depnds upon usage average usage gives day battery backup
3,review-3f9e3bbe-9d3f-4b12-bc2d-e8a2f1724c4d,Chandra Kiran,5,Worth every penny,confused note7pro mi a3 samsung m30 vivo z1 pro overall comparison things like 1 quad camera2 48mp3 snapdragon 712aie processor speed4 built quality5 fast charging 1 hr 15 mins full charge6face fingerprint scanner fastbased parameters realme 5 pro best mobile segmentprice speedcameragames priority phone need buy
4,review-4e1035f3-2f34-44ba-809c-06f3e5bd8ad5,Suresh Kumar,5,Worth every penny,nice mobile price range good camera fast charging overall worthy product realme fan nowthanks flipkart
5,review-8e49b154-0a22-4bf8-9ab4-4152b9b819cc,Santosh Sharma,5,Best in the market!,beautiful phone realme flipkart played important role keeping updated phone delivered estimated time impressed product untampered properly packednow phone nice beautiful handset latest features impressive one line would say true value moneyunder 15000 get quick charging c type cable charges phone within 2 hours second camera 48 megapixel crystal read
6,review-abed391f-d70a-4304-bff0-158066361deb,Ishika Gupta,5,Fabulous!,worth moneyi got realme 5 pro first flash sale first time using realme phone much impressed realme 5 pro per me1 camera excellent every mood2 display nice display3 battery full day use photography still 45 remain 10pm night4 speaker great decent5 processer fast smooth6 face unlock fast7 charging excellent vooc charger8 looks crystel green coming witread
7,review-aaa501fe-81c3-475b-ba45-2ebef038d2bf,Prakash Bana,5,Just wow!,best phone price range1 cameras awesome im adding shots phone look2 display good 3 performance awesome sd712 4 battery performance average youll get 20w fast charger box issues battery performance 5 design awesome allover perfect phone price
8,review-ee70f077-e98e-464a-ab0c-4ccfcc74e762,Prashenjit Karmakar,3,"rear cameras awesome, but lacks in few areas",great rear cameras3 star offront camera mark need improvement update realme 1 front camera better productbattery mark need improvement battery life update
9,review-71d7ccbb-b1e2-42e1-8274-d5dc06ddf511,Milind Konde,5,Classy product,got 1st sale awesome quad camera quality love vooc flash charge superb handset price overall worth money
10,review-ec84f785-f9c0-49d4-b371-fa43f0a20a31,Flipkart Customer,5,Best in the market!,amazing phone camera liked performance pubg mobileit runs smoothly without lagit comes vooc fast chargerwhich charge extremely fast must say paisa wasool phone
11,review-34bd7651-f02d-4675-8e2b-cb055994a084,Ashutosh Tomar,5,Awesome,phone camera good thanks realme really selfi good make change selfi camera mrashutosh tomar
12,review-b7b4920c-371c-44e0-ba49-454fc0359e4f,Dhirendra Ray,5,Brilliant,camera quality excellentnice performance midrange killer phone
13,review-118ea594-1702-4e3b-bc80-d1eb65c42577,YOGESH MAURYA,5,Worth every penny,delivery fast thanks flipkart1look ossom 2 smooth performance3camera 10104 display 910
14,review-544bf7d2-9678-43ae-b9c7-6826d7e0932f,prakash choudhary,5,Great product,realme 5pro best good workingi want buy best product flipkart
15,review-690d29c1-04ae-4722-bffe-86cf50259ea3,Rajesh,4,Very Good,quick review really cool 15k would best choice anyone perspectives preferences good cam battery gaming display charging time yes would say excellent
16,review-09e9d011-7e35-4fd4-998a-a0f18d3bd108,Mohd. Waseem Bihari,5,Super!,nice product
17,review-36cc9536-2abe-4e6d-8b69-5e0f548c1906,Flipkart Customer,5,Brilliant,good
18,review-0e8da20b-799b-483d-9af6-50fdc2c1af11,aditya prakash,5,Terrific purchase,best phone 15k reviewing redmi note 7 pro thisits best
19,review-4136b6c9-add5-4dce-a801-18015de048aa,Sk. Wasim,5,Super!,performance camera superb display like
20,review-e1dbafa5-8ce9-499a-8995-22724109f7ef,Rachit Shah,5,Best in the market!,super fast delivery flipkart loved phonelooks premium hand crystal green colourcharging fast good see price segmentcamera quality good initial impressionsdisplay looks bright outdoors toooverall perfect phone
21,review-7e57aeca-7371-4d56-9f01-f859d85c9225,Pushpak Patil,5,Great product,superbbbb productcamera quality awesomethanks flipkart realme
22,review-afdb3140-38b7-460d-825b-224b7cc616f2,Dibyendra Sahoo,4,Value-for-money,nice camera good fast charging look could better
23,review-8d13c9c8-3649-4f90-b96e-aa95d00ddab1,Dinesh Dhinwa,5,Awesome,really amazing phone
24,review-eef1a0cf-7e1e-4f36-a4c1-ad270844c0f8,Mayank,4,Worth the money,flipkart delivery quit goodrealme 5pro review1 camera need kind improvement good price segment micro cam need much improvement2 display good colours punchy3 battery also average vooc made excelent4preinstalled apps present also 1 browser also present removeable5pollycarbonate backpackwhen phone box look amazing use marks get easilly look bad time onwardsso last givread
25,review-59cb661c-eed0-4e84-8e68-e54cc6971047,malatesh malatesh,5,Brilliant,mobile made camera phone super camera battery super display smooth proformance totally super
26,review-0334dd2d-f3c5-4e6d-983f-8e11e9a2d575,Ritendra Singh,5,Excellent,wait tough decision redmi note 7 pro realme 5 pro phones value money worth reason buyed realme 5 pro 1 performance get know real speed qualcomm sdm 712 associated aderno gpu phone best gaming since realme gamespace optimization app2 camera outstanding camera especially rear cam 48mp camera plays outstanding role camera performance tread
27,review-58c7afdd-269e-4706-97fb-0879301e1214,Lavi Chaudhary,3,Good,reviewing 34 days usage let give unbaised review pros good battery fast charger good processor games play pubg ultra high defination high frame rate runs smooth better samsung s8 plus cons camera biggest disappointment company claims best camera class true s8 plus performs better single camera quad camera device another cons display decent good oread
28,review-73ad07e5-3dc6-4666-b343-4452ab0518f1,Jefin Joseph,4,Good quality product,realme quality level smartphone overall performance goodbest phone price rangeultra macro camera doesnt work well normal camera good good packaging company got fast delivery flipkartpoor battery backupbut vooc fast charging helpfulgood quality design case screen guardi felt 4035 mah battery always availableoverall software processor awesomeselfi technology realme much appreciatedadaptive brightness isread
29,review-25ff50a6-2306-454d-a4d8-28c749be5ca0,Raghavendra Hegde,4,Nice product,got 11600 4gb64gb including 10 axis card 1000 prepaid orders including mobile protection scheme 13 months 1 rs bbd using redmis product past 3 years switched realmeprosvooc charger provided inside box amazing takes battery 0 100 1 12 hourscamera optimization good doesnt lags even take photograph ultra 48 mp modecoming front facing camera iread
30,review-87481e62-38b5-4b7b-87ce-bc115a88ee95,Mohammad Huzaifa,5,Super!,thanks flipkart
31,review-4e2bf663-8b4a-4e70-b101-e398dab01d7c,Satyajit Swain,5,Highly recommended,awsm
32,review-4f85fe6d-1325-4f1e-bce2-e13d0214c1a8,Shubham Kumar,5,Fabulous!,nice phone
33,review-b4a664a4-0cff-485f-bfe8-6a8684b3ee09,Gaurav Sahu,5,Simply awesome,fast delivery one dayphone awsum dis rangecamera good u get cool picturesprocessor really gud display awsumi liked color os coolbattery performance good comes vooc fast charger makes product worthyoverall good believe realme product blindly go range
34,review-b2e8a6ae-9d83-4f31-93f1-1e17c8120d21,Pankaj Kumar,1,Terrible product,bad experience flipkart exchange less price without reason
35,review-d10240a8-ed13-4e32-8137-4dc37161b8db,Jagan Prasad,5,Awesome,realme deserves big thumpsupthe first point camits really awesomethen think performance far better phones price rangedescent battery life crystal green wowoverall good phone awesome features
36,review-c546cf23-a122-4ef4-bcfd-ce58a1388e0e,Narottam singh Mahor,5,Terrific,awesome gud beautiful rounder
37,review-443b1dbf-2474-4d63-bd82-d61973417f43,Arindam Khan,5,Great product,superb cell phone range camera fantastic operation also smooth charging best part phone got charge fast vocc charger liked phone
38,review-bddb7e89-0562-4dc5-8281-08201de85dd4,vishnu vinod,5,Must buy!,malayali da phone kiduki thimirthu best phone 15k
39,review-f9b44359-cc38-4277-8120-f44067d496d6,Sreekanth,4,Delightful,camera super night mode also good battery backup one day vocc charge fastno hanging heating issuesbest mobile 14k
40,review-d2f3f54e-741a-4b39-a48f-42339086f21c,BHAVIN PRAJAPATI,4,Really Nice,cons1 bass effect listening music ear plugs less comparatively mi phones equilizer like equilizer2 portrait photography accuracy front camera background blur done software camera lens image stabilization moderate3 4 cameras useful picture quality moderate may find grain spots image zooming in4 lil bit bulky phone5 notificationcharging light negotiable6 device back side polyread
