,customer_id,user_name,ratings,review_head,review_body
0,review-d42c7942-d7b8-434f-bc32-645493fef5c8,Amarjit Das,5,Terrific purchase,nice performance price range also google looking style display performance average battery backup also super realme thanks flipkart good fast delivery
1,review-a8a83b7f-1716-4a3b-b31a-48652335f844,Jagdeep Sharma,5,Mind-blowing purchase,good phone excellent performance good camera beautyfull back designed love n
2,review-586297eb-c833-46e9-9895-c163ef0b9597,MD AZAM,5,Excellent,good mobile good battery back
3,review-8762920c-53fa-4b00-9288-bc77718881c5,Ramesh singh,5,Perfect product!,camera 4battery 5price charging speed 35performance 45
4,review-c18f1416-e7e5-4d2d-882e-bcfad40f05d3,Vishal Singh,4,Good quality product,valu money
5,review-db353c7d-d811-48a0-b4cc-a5e86a9b6ea6,Anusri Sarkar,5,Wonderful,osm phone
6,review-9f8c5ddf-91d5-416a-aecb-07d04076f49d,Flipkart Customer,5,Just wow!,really good phone good price realme super thanks flipkart fast delivery
7,review-9286b6d2-5654-4e51-acc0-037c6489edfd,Prince Yadav,5,Must buy!,awesome phone price
8,review-d32a8e3a-277a-4b27-8f63-33bcec7f062d,Jitendra Swain,5,Awesome,nice products
9,review-ac6e6661-5a8b-4bae-a74f-9c6261af3dd0,rahul pandey,3,Fair,nice 48mp camara
10,review-9612bf63-36d8-428f-b74d-588ee492add0,Karthi Azhagappan,5,Great product,good
11,review-67dec0f6-e157-4aeb-ac07-4f5f9c207843,Rahul,5,Worth every penny,purchase products ossam device lookinga good
12,review-66b5f004-f8c4-4fba-97d1-407a57dc74cf,Santu Chakrabortty,5,Fabulous!,camera good 48 mp best performance overall good battery good
13,review-4334e653-3e39-4758-8c3c-cee96b83de8a,Anurag Jaiswal,5,Great product,nice phone budgetmust buy productbt vooc charging missingbtwall good
14,review-a7430d99-b710-47d4-a2a9-8109160317fd,9140160617 Rja hasan,5,Best in the market!,awesome
15,review-b5f9ee1e-b1c4-42fe-a6e9-083bac0634ab,Mahantesh Yalavatti,5,Excellent,super awesome phone
16,review-24a64b1a-d6d7-4457-9a3c-6742f24fae42,Flipkart Customer,5,Just wow!,nice phone
17,review-ff66f400-cf58-4d00-93f1-88aea39a1d08,Prabhat Kumar,5,Just wow!,awesome fast working phone pricing attractive value money feel royal realme 5s first 5000mah big battery quad camera setup phone
18,review-68af4d57-e152-43b4-9ae7-a92d98ae93a7,Jit Mistri,5,Excellent,best phone 10kvalue money
19,review-3d9146f2-3ebb-41ad-adad-8ca259750916,Nikhil Borkar,5,Fabulous!,awesome
20,review-cad299fe-f0bb-4241-a615-35833b8941fe,Akash Kumar,4,Wonderful,realme 5s really awesomethis phone consisted latest features camera nicebut perfect click
21,review-cf68a141-4e1b-41da-8e13-bd4db03947a0,Manjunatha L Naik,5,Terrific purchase,fabulous really loving realme 5s mobile good camera good battery backup
22,review-6ac8e280-3b49-473e-ba6f-ff7e72d3f8cc,Prasenjit Ghosh,5,Highly recommended,osm vary nice product
23,review-986576a2-64f5-4580-a113-b498d6d8736c,Gnana Prakash,3,Just okay,good
24,review-15a37de5-fc3c-404d-b533-9391d812c884,Flipkart Customer,5,Best in the market!,nice mobile camera quality
25,review-a89049d1-5134-4603-93f7-443c382715fe,Shubham Kesharwani,5,Simply awesome,nice
26,review-bac38d2e-aa3f-4994-9a32-966db29d482c,Rahul zion,5,Must buy!,superbvalue money
27,review-82f56182-4849-440c-80f9-37676b01e47a,Diwankar Singh,5,Super!,happy realme 5s price happier realme 5s offers youcamera nice performs wonders light conditionsdisplay awesomelook faband dont complain fast charging 1 ghanta charge k liy chor hi sakte ho nale lo bhai acha h mast h
28,review-a314bbbf-43e3-45b9-acd6-ad95b6222c93,Sulekha Goswami,4,Good choice,camera quality verry good
29,review-7d893094-5dd1-4bea-932a-46818aa7b8b5,Aadi,5,Fabulous!,cheap best
30,review-137c6f83-132e-48e0-a610-2ef05de78d76,Flipkart Customer,5,PLEASE REFUND,dear sirphone good purchase hdfc bank debit card 10 refund credit account please refund 10 credit account
31,review-0b98863c-7247-4502-b76f-5360b953cd7c,Prasa Rko,4,Wonderful,good value money
32,review-422686b9-5799-4335-ae9d-151ae30cfa5e,Flipkart Customer,5,Super!,camera 55 battry 55 performance 55 display 54
33,review-85b929c6-7247-4994-a2a1-696e6f47decd,Ankit Singh,5,Mind-blowing purchase,satisfied
34,review-2c0fc528-227d-4cab-bb6a-b599978fae7d,Flipkart Md movin,5,Perfect product!,best phone
