,customer_id,user_name,ratings,review_head,review_body
0,review-a9f0be28-2f5e-4d26-9a2b-e4c04533d506,Flipkart Customer,5,Superb phone,truly top class design phenomenal performance using last 23 days really beats competitors segment shifted realme xiaomi great choice overall realme c2 handles daily tasks efficiently even great multitasking one thing sure optimization ram management done really well fallen love powerful beautiful beast
1,review-194b377b-a9fb-435f-9f2b-ea8d8ea0d4da,Amlan Pati,5,Excellent,honest opinion would cannot get anything better price range back camera battery performance totally awesome screen quality decent considering price point know design beautiful totally takes points away competitors definitely give thumbs realme great product
2,review-8508b046-3c68-4205-9598-5e16a04b26b3,Robson Jani,5,Awesome,amazing device diamond cut pattern looks amazing textured finishmatt feel gives perfect grip hold rarely slip hand display gorgeous bright vibrant surely amazed first boot surprisingly device doesnt feel heavy though massive 4000mah battery usual photos coming nice sharp budget really cant complain color os 60 much much better preread
3,review-a9d5a517-6f7f-4074-a0b4-561bdb18d4c7,Flipkart Customer,5,Great product,super product battery performance great using device heavy multitasking easily last day battery left black color daimond design back appealing go blindfolded truely masterpiece realme budget segment realme rocks
4,review-8fd15ac1-3369-419c-9b1e-d6cfa2b9688c,Flipkart Customer,4,Worth the money,nice phone performance really good battery quality owsom ping playing vary smooth like phone
5,review-9da9b22f-9241-4ecc-8f0a-9f5b57f47ce8,Pitama Kurli,5,Best phone ever with amazing build quality,brought younger brotheras needed specs budget phone ordered wanted big performance phone didnt money loved phone runs neccesary things big phone runs minimal price loves watching movies web series phone ps run least 2 days casual user guysmy persoanl advice gift someone tight budget wont regret
6,review-cf818440-c197-4ca6-8a04-d1ce3263598a,Pradeep Kumar,5,Highly recommended,wowamazing phonecamera 910battery 1010look 1010performance 1010game 1010 tested pubgi must say dont hesitate buy phone
7,review-2b04e47d-d21d-4cc0-985f-f2d100b6fbec,Dipra Das,5,Brilliant,total value money best phone price looks really premium good spec configuration good camera quality performance satified thank flipkart veey quick fast delivery packing really good must go budget smartphone
8,review-cc278cd8-2277-42c6-b8aa-a6fdbd01ae37,Nitesh Patel,5,Terrific,awesome picture
9,review-ee0adc52-50bb-4db2-add6-54fafad88f1c,Himanshu VeRma,5,Must buy!,range good phonei got first sell next day delivery thanks flipkart
10,review-e4f5c6c6-b8fd-429f-b758-f875e2f889e7,Vinod Yadav,5,Wonderful,worth money
11,review-4412849b-08f8-4632-bd0c-00d5301fa122,Kamal Kumar Saikia,5,Just wow!,love received todayin price range superb colors yuniqe shining like navy blue thanks flipkart realme 455camera 55bettry 55look 55our upcoming no1 brand
12,review-57f498af-b9b5-4ec0-bc63-10525c730861,Sharabindu Sadhukhan,4,Worth the money,good phone
13,review-2f9e5379-0af3-46a6-8ac1-d79e5b2fd0b3,Flipkart Customer,5,Brilliant,wow nyc phone
14,review-70857512-6c37-4be0-a2ef-1df0dc5eb543,Soujanya Kali,5,Wonderful,good productcamera good
15,review-60d7f59f-1ed9-4413-9c8a-7e6ac4b2ab0b,yunus malik,5,Terrific purchase,fallen love awesome mobile feeling crazy recommended buy mobile
16,review-51aaba6c-3dde-44f7-abe4-eaa960038246,Nishad P A,4,Value-for-money,buying father mother u trust oneportrait photos worth price decentnot gaming phone normal day day usage phoneprosgood battery backup 2a charger good charging better compare 3000 mah battery oppo devise spre applied screen filim buy tempered glass handsetlooking cute diamond black perfectdont worry slipperygripping perfectcons charging time phone slightly heatupcamera timinread
17,review-d655481c-7317-43a0-82a6-8df37c8d022b,Rajesh Pathania,4,Pretty good,look wise product good value money first look nice one
18,review-dce488a5-452b-4f34-85be-1a1bb7af5936,Flipkart Customer,5,Perfect product!,awesome
19,review-636de4cd-ad91-4898-8274-9f6e6e5a00f6,Flipkart Customer,4,Good quality product,osm mobile priceit get good look oppo mechanical transparent back covergood look slim heavy phone
20,review-b6c9c3af-593e-498c-9b51-fbe14742aac7,Rais Ahmad,4,Good choice,nice phone
21,review-8fe51c9c-d771-4a8c-9cdc-79a747fb1170,Nabaghana Murmu,5,Just wow!,wow good product
22,review-5d91ef76-7556-4e59-9fea-c59037771fad,AKSHAY KUMAR,3,Nice,nice phone budget camera beautiful
23,review-545713b1-a7a0-4a0a-a88a-47947cafce3a,Mani Kanta,5,Great product,super mobile
24,review-8314466e-9793-4aaa-8af2-0ceaff4cc8c2,Flipkart Customer,5,Terrific,nice phone
25,review-ca15af7b-137d-47de-9960-145ef078c9b6,Flipkart Customer,5,Terrific purchase,nice
26,review-3046c07f-d546-4b56-8312-53e6275cab62,SHAHID ANSARI,5,Mind-blowing purchase,phone awesome perfomance everything else face unlock super quick camera great even low light dispplay battery works super fine
27,review-77314f9b-0a80-4736-bf8f-7d92e4c97f82,Flipkart Customer,5,Mind-blowing purchase,amazing product range omg lagging play gamesamazing camerascreenbatteryetcin one hour 100 chargemust buy product
28,review-7525eb12-4d40-4028-8196-375d49fea685,PARMAR MIHIR .A.,5,Worth every penny,nice perfect
29,review-30ff7b60-c096-400e-b9ff-57ee35b19b0e,SHANTILAL SHARMA,5,Perfect product!,good mobile price
