,customer_id,user_name,ratings,review_head,review_body
0,review-0f78e7ac-ac82-41ed-888e-08681a695180,PRALAY JANA,5,Super!,best market price segment classy design super amoled display makes phone standing crowd camera amazing thought hyped details camera quite similar 16 mp camera dynamic range really awesome battery average depends use overall good package price point
1,review-f07d8e49-76d8-407c-85d8-c35552c811ed,Samrat Nath,4,Value-for-money,nice phonei like soo muchguys go without doubt
2,review-1571d6f1-8da4-4210-816f-d5218c29039c,Rabishankar Barik,5,Terrific purchase,beast
3,review-c47a7eb0-3800-4407-9f91-491290196b86,Flipkart Customer,5,Excellent,nice camyaavude chinte illade mobile purchase madbodu
4,review-25d140d4-cf35-4771-b3a4-cc8b737d0274,satyaki samanta,5,Wonderful,good
5,review-d95c765d-47b2-4f80-8884-42ace49e9078,Flipkart Customer,5,Must buy!,superb quality awsome purchase thanks flipkart light speed delivery
6,review-99ee8dd0-f373-47a3-9e12-fc1e0e69a4d9,rashmi tyagi,5,Mind-blowing purchase,phone beast price segment super amoled display sub go
7,review-18a861d1-b355-462f-a583-80594ebb75c8,Krishanu Pal,5,Wonderful,great cam
8,review-14879b37-fc6f-4a01-b100-70361688c727,Vikas Tyagi,5,Must buy!,nice product fully complete
9,review-107e2f5c-3076-4a29-b992-58dbb1cc6ca7,Suthar Kuldip,5,Best in the market!,amazing camera result overall good phone
10,review-a2788e06-b417-41a2-a9ca-fe350e939f30,Ankit yadav,5,Simply awesome,one word camera beastone word realms xt powerpacknight mode unexpected powerfulbina kuch soche samje pahli fursat khareed dalo
11,review-4fccafb4-e8cb-4b1c-93ca-2b04cecbca47,Prajjwal Biswas,4,Worth the money,superb camera zoom clarity ok
12,review-3dd22667-54db-4fd6-94f4-bbe52712048f,AJAY Sahani,5,Highly recommended,awesome phone
13,review-fd58ee1e-bedc-4f10-945d-8d985cd157ed,Sumit Biswas,3,Good,nice one far
14,review-01ebc092-f5d9-47ff-8e4e-7e4c35f7d5f1,Lob Das,5,Worth every penny,really awesome phoneand vooc charging made extra special
15,review-86f5b206-cb7e-4e91-ad07-50c2a055f123,Kamal Sekh,5,Brilliant,nice camera
16,review-0eefc3a4-d81a-4271-b280-42833fcc8adb,Pritam Ranjan Roy,5,Best in the market!,one word awesomeness
17,review-3276449b-91a2-4b21-b99b-3fcc87fa52f3,Amit Ghosal,5,Great product,mesmerizing display feel premium hand pearl white color looks gorgeous total value money good job realme
18,review-730552d8-7f72-44aa-aab3-b0c52a7ebac7,Amiya Betal,5,Must buy!,midrange king
19,review-202b0e2a-c936-45c4-b41e-e0588397011f,Pronoy Paul,5,Mind-blowing purchase,phn yooo
20,review-8caffbab-4074-40d3-b4ad-0bdae481f3ea,Pranjal Biswas,5,Highly recommended,performance 9 10 display 9 10 dolby atmos 10 10 camera beast 64mp detail quality photos vooc charge 30 awesome best market 16k
