,customer_id,user_name,ratings,review_head,review_body
0,review-a57aa2fa-955d-4676-b77b-d0943aebee8d,KEDAR PADHYE,5,Wonderful,excellent device people shifting smartphone 2gb ram looks enough meant gaming solitaire candy crush finethis device 199 aspect ratio bezels good beginners used hold drop notch display phones kind messcamera average purpose video calling occasional photography fineout box 52 ram occuiped 22 gb space availablethere ir blaster speaker alsread
1,review-5f762044-108c-4661-91ff-da00172393e8,Ravi Swami,5,Highly recommended,nice camera quality better battery backupperformance also improved 6ami better job
2,review-cad538a2-48de-41ee-829f-cacb047a9cc8,Nilesh Lakhan,5,Terrific,rear camera amazing
3,review-0bbd0553-f948-490b-aed9-0982d98aaa4b,sahitya raju,4,Good quality product,decent phone parentsgrand parents first time android userscamera pretty good im using max pro m1 camera able outperform m1 easily comes photography however video recording doesnt eis kind bummerdisplay nothing much say gets job done ample brightnessbattery pretty great however mi provided 5w1a charger box though supports 2a charging given battery 4000mah shouldve atleast 2a chargerread
4,review-4b6f5b3c-ac09-4f91-9ace-af4a687edc42,Dilnawaz Ansari,5,Wonderful,absolutely mobile phone
5,review-d8d611fb-4581-4ca0-9a33-5dbc4fcc2457,Jaya Kumari,4,Value-for-money,thanks flipkart sunday sale fast deliverybest budget smartphone inthis segmentthis phone better realme c222gb memory free 32gbpubg mobile jhksss chala maja aa gayahighly recommended phone
6,review-6b201c67-f19d-47ce-8d0a-fe566d3fdb73,Mahendra Nikam,5,Terrific,nice
7,review-e9e12af0-bf70-42b5-9c75-fa9988b9d482,Ravi Kumar,5,Best in the market!,nice pic
8,review-ab55d6fa-b045-48c5-93c2-e148e12ac5aa,Rahul,5,Just wow!,awesome phone weight little bit high compared redmi 6 redmi 6a design camera good phone also come 2 year warrantyoverall good phone price segment
9,review-90770083-f395-485b-9a95-c0f74949e681,Bibin Babu,4,Wonderful,7a better performance camera quality good bcoz sony sensorfull screen display value money
10,review-1c084bcd-9289-4a40-a0ca-41c3bddaa4b7,Arup Changmai,5,Terrific purchase,good
11,review-58a75112-3dee-4628-a537-75474035e300,Chandan Singh,5,Wonderful,best among price range
12,review-d5d4df2e-dc80-4cf6-b3bb-bbf4d8cd3b9b,Nikhil Sonar,5,Great product,need review redmi 7a rounder
13,review-ac870a5c-c629-4b71-8686-58e99b056473,shaik azhar,4,Very Good,great mobil
14,review-1357ab87-2ed0-4c25-ac08-6bc8b8adb264,Jay Prakash Yadav,5,Fabulous!,brilliant phone
