,customer_id,user_name,ratings,review_head,review_body
0,review-ba79f25e-5846-4b99-9409-6e21e002238a,Flipkart Customer,5,Wonderful,note 7 wonderful phone camera awesome
1,review-b63c41b7-640e-43c5-b4b2-df4288d559a1,Spicyboy Sai,4,Good quality product,good
2,review-e62cae39-0d6b-43a5-ada0-12f266cc56a2,Emad Hamood,5,Simply awesome,great camera phone super photo
3,review-5320727d-ea33-418c-bc6a-b0c31a482a62,Ashish Chauhan,4,Worth the money,phone camera really awesome caputuring beautiful natural beautyi big fan redmi
4,review-e329777d-a81c-4c1f-935b-c5eaedceb98c,Flipkart Customer,5,Wonderful,awesome
5,review-dcb0a62e-cafe-494b-97dc-1b008b5912dc,Sharath Kumar Naik,5,Great product,super photo
6,review-bf9c7f8d-d0b9-407f-9097-d0e09c8e644e,Sujit Mahata,5,Terrific purchase,picture quality super
7,review-f8a39582-d1bf-4af2-b5d2-1ebef764383e,DSJ CHOUHAN,5,Perfect product!,good camera
8,review-c4d01528-947f-4353-a205-dd7c92719e12,Flipkart Customer,5,Fabulous!,super
9,review-199d472a-2923-488b-ae52-ce6fb2065e9f,susmita saha,5,Best in the market!,ph excellent
10,review-bfaaf984-fe40-4ef4-8ea0-8c53eb4aa167,Saikhul Islam,4,Wonderful,nice
11,review-7d28b34c-da33-4e09-85b9-5e3aeefaefd4,Ajith Kumar,4,Wonderful,camera good performance also super
12,review-57a4dfcc-04f1-4ff7-89c9-cc0ca747812d,PRASHANT PANDEY,5,Excellent,phone good look also goodcamera also goodbetter option note 7 progo itcamera 45battery 4display 4value money 48
13,review-64896744-6c92-454f-b249-5e5eca370038,Durga Chettri,5,Wonderful,nice product love
14,review-e9bc2574-aabe-44f0-a6ca-5bb1078e762b,Puja Das,4,Worth the money,im writing review using 7days really awesome phone camera cameras night mode woww
15,review-3f9c4ba0-5bc7-4ad0-a824-c3f17b9953f0,Flipkart Customer,5,Perfect product!,mobile good problem mobile temperature mobile charging hot
16,review-cc7d0b5c-4c34-4bef-8a16-9d19a39df691,Sandip Biswas,5,Mind-blowing purchase,supparb phone
17,review-d50dda58-3efd-47da-9f1c-3844ff38b13c,Aniket Mandlik,5,Classy product,fast delivery got phone 48 hours camera good clik photo see
18,review-5b06fd5e-e86e-4a04-a46b-df85d6c4b8d4,Flipkart Customer,5,Excellent,awesome niceeverything niceoutstanding performance
19,review-dcd89f0c-83ee-4454-adb5-4bf5796c72ee,Abhilash Guha,5,Terrific,new colour looks really good
20,review-b21c0b10-672b-44d3-a06a-753745fe9bb8,Flipkart Customer,5,Terrific purchase,phone amazing good looking
21,review-4e742992-054b-433d-9269-8e2e8b5fa870,Ratnesh,5,Perfect product!,loved itcamera awesome
22,review-edc8f0b9-cbdd-4279-8be3-3f48075a9578,Flipkart Customer,5,Just wow!,awesome camera perfomance
23,review-92b13b55-9525-4076-a09e-a6bd6c121ef2,JISHAN PATEL,5,Perfect product!,excellent cameraexcellent performanceexcellent battery lifephotos clearer48mp awesomelove flipkartgo doubt
24,review-214786cc-37d2-4301-a210-d4f20cbdff9a,SANDIP CHOWDHURY,5,Must buy!,awesome perfect smartphone
25,review-490524b4-4967-4eda-abc2-b6aaff91a846,arnab saha,5,Perfect product!,nice phone
26,review-a2fc20fc-c572-4941-a874-486170acad24,Princy Singh,5,Terrific,good phone
27,review-a9f3f74d-8a8e-4192-9247-699960699962,Sangita Bhardwaj,4,Worth the money,bought phone 3 days agoit took almost 4045 min setup systemandroid setupnot happy battery performancei matches one comicstan episodeand drained battery 16 89camera quality best thing likedoverall smooth performanceno hanging issues battery issues one comfortable
28,review-2ea53a7a-c3a8-4b99-9604-52ad4bdc6737,Bala AERO,5,Mind-blowing purchase,awesome protectvera11
29,review-dcdd407f-f9dc-47f8-8e4c-5164b184ae01,Sabanna Reddy,5,Best in the market!,veary nice camera
30,review-df7fde0b-6b29-4c2b-9542-80db3763cfc8,Vicky Kumar,5,Wonderful,best camera phone
31,review-e234dde9-cedd-4afd-be95-101351e752af,Sameer sahoo Raja,4,Good quality product,best phone
32,review-de19b458-827e-4ee6-a2a2-b05ce58d5b02,Ruhul Amin Hussain,4,Wonderful,awesome
33,review-a0b4c5da-b0e9-4909-b5f3-495be85bf427,Samir Biswas,5,Wonderful,nice products
34,review-9c61c63a-d0c5-4f70-8f69-e4ee375f4e3a,Shubham Chouhan,5,Fabulous!,super camera quality features goodi clicked first photo clear captured rain water
35,review-8e401aeb-181b-45a8-9db1-80c12ebe0100,Anjum Khan,5,Worth every penny,good mobile
36,review-fd58ff08-2495-4cc4-be28-31d58f7f6596,Puneet Kumar,5,Highly recommended,first impressions days usage redmi note 7s mobile phone bought 4gb ram 64gb storage variantpros build quality redmi note 7s great considering price overall fit finish impeccable metal glass make note 7s look feel hands premium phone corning gorilla glass 5 protection front well back display sports full hd 1080x2340 pixels resolution read
