,customer_id,user_name,ratings,review_head,review_body
0,review-840bf7e2-1613-4e6c-9f0e-251eeb5f502d,Ankit Koli,5,Excellent,nice product xiaomi powerful performance long battery life outstanding camera perfect reasonable price
1,review-a8fa7e53-a1b5-459c-a36a-4cd990687d47,Aradhna Singh,5,Classy product,nice phone good back camera front cam avgbattery backup quite good screen good little bit disappointing og bezzels performance also goodoverall nice phone price
2,review-c4c32f00-abb1-4c6c-84e8-a26df9d1118e,ARUN SUDHEESAN,5,Perfect product!,absolutely great device structural integrity worries performance top notch aspects goodthe main concern device arelow earpiece volumecamera 48megapixl mode takes ages process results goodmiui blotthe positives arelooks sleek performance top camera normal mode fantastic lag except ads popupsthanks flipkart faster delivery
3,review-ed367d60-eb8a-47b2-97bd-7983e0b943df,Gaurav Singh,5,Terrific,got first sale thank mi good phone loving
4,review-3b64b429-ffbe-4824-98bd-d04cf5f81025,Flipkart Customer,5,Awesome,writing review usage one monthpros1 great camera especially night mode2 battery good lasts around day half normal usage3 processor good price absolutely lag free4 superb face unlock unlocks low lights well fast5 type c port great comfort around 2 hrs charging time provided charger6 notch small week two dont even notice aread
5,review-864dc38b-49e7-4da8-ae99-fdf18f44fc18,Abin KS,5,Excellent,using mi a1 device impressed one pure android experience hardwares implemented xiaomi deviceafter extensive use 2 years mi a1 somuch expectations new device thats choose note7pro xiaomi managed fill expectationsthe hardware much appreciated price range sd675 type c connectivity stunning design display ofcause camera im mobile photographread
6,review-c28f1ae6-2fbe-436c-b9fc-826322b03e1d,Radeesh rrk,5,Terrific,performance wise awesome lag gaming speed good eg pubg play hd modeprosbattery backup awesomeperformance snapdragon 675design gradient colorwater drop notchquick charge supportconsone thing rear camera good ratings3 5 front camera goodoverall performance worthy money 1010
7,review-0b7e84c9-a4af-4cd2-832d-d64a49e1bf09,Moumita Middey,5,Mind-blowing purchase,awsome reviewed loved picture quality absolutely love phn colour nd outlook
8,review-11f2001c-bfd8-429d-b2e3-a01aa00b433c,Triveni Reddy Chennuru,4,Good quality product,good product value money
9,review-793a2010-6294-4655-ac0c-c8db97a2e758,Abhijith P nair,4,Delightful,reasonable phonecamera hangs
10,review-2609299c-4630-4cb4-a621-293f7a914d9c,Rishab Kumar,5,Terrific purchase,osm phone price nice
11,review-ec7e1e6a-37c7-4c9e-9cdf-5269b5e8c0c0,Souvik Samanta,5,Excellent,black beauty pros1 elegant design classy looks black 2 camera excellent 12 5 back enough portrait pics come excellent night mode also captures detailed 3 4000 mah lasts long 2 days normal usage 10 hrs sot average4 display good good super amoled using samsung galaxy s75 4gb ram snapdragon 675 processor handles day day task efficiently 6 network reception good mread
12,review-7892463b-8697-4b96-bf7e-9190d988e1f7,Uday ganta,5,Awesome,nice product xioami
13,review-278fabbe-f887-40a2-8038-c77c1eebee3a,Rahul Ramanan,5,Mind-blowing purchase,got redmi white color editionwooww nyc product loved
14,review-82f4d83c-e2ea-47e2-b834-299b0a2ac19d,chandan swain,5,Brilliant,phone best price segment full hd display awesome camera mind blowing capture marvelous shots gives flagship features best price
