,customer_id,user_name,ratings,review_head,review_body
0,review-b0547200-7933-4310-a530-f4eb3cb397c9,Rajveer Singh,4,Delightful,quality sandisk really explicit speed transferring data company claimbut biggest problem pendrive heat 5 minutesi observed ill connect led play song 3 minutes finally great product
1,review-331de022-66c4-40f1-a740-8d4a06f9254f,Mohit Sethi,4,Delightful,good
2,review-82e74166-743e-483e-ad03-f5e0d6daf4df,mohit kumar,5,Wonderful,everything beyond expectationsjust go guys
3,review-a204d53c-92d1-464c-bb49-abf04394dae9,Aravind Ponugoti,5,Terrific purchase,quality product data transfer speed really awesome heat issue neglected body metallic
4,review-83249feb-ca37-4071-b415-b0df05c17612,Flipkart Customer,5,Classy product,good product fast delivery
5,review-9cd366e9-b612-4e2b-8291-a55917a8a47d,Gautam Kumar Jha,5,Highly recommended,good product sandisk remember 1 thing device heats little bit data transfer still thank u flipkart 1day delivery
6,review-f59d72c6-f298-4e37-8064-0326e14be3a5,Udbhav Vikram Singh,5,Classy product,good quality
7,review-70890d21-da72-4cd0-9035-032bf2db67af,Rishikesh Devarmani,5,Mind-blowing purchase,excellent speed great performancebut heats may due high speed transfer data another advantage dual nature typec port fast usb 30 port also transfers data rapidly posted photos check speed superb speedy pendrive price range
8,review-e59c8f9a-35a4-49e8-85dc-056938e2872f,Srikanta Bhaya,4,Really Nice,nice products good speed
9,review-f2b08160-b991-4bea-9428-60f514135bf7,vijaya Kumar,3,Good,okbut heats upin mints
10,review-65ad6dff-65c4-4dd6-a5cb-bb28c51d2d7c,Flipkart Customer,2,Could be way better,nice slow
11,review-d88faf0c-c822-4188-866d-785dd736687d,Aditya Tomar,3,Good,build quality poorspeed goodslider poor
12,review-e7409c9d-0ab0-4728-b77c-cefd8a7ba5af,Raja Dakua,1,Not recommended at all,32 week uses1 heat within 23 min uses2 read write speed good3 sometimes showing write protected error
13,review-967b6c52-b7dd-4925-b1f4-d6be9dc94365,Akash Mallick,1,Very poor,worst product sandiskusb c type doesnt recognize mobile sometimesfiles goes missing within pendrivependrive gets heated soon
14,review-939cd492-8e29-45bb-9554-11dedcc40974,Chandan Shah,5,Perfect product!,thanks complete order good
15,review-c6ea0187-9581-4784-a1c1-0d93269f9435,vikas kushwaha,5,Great product,nice one shouldve ordered 64 128 gb
16,review-d84b8966-eaf8-4a30-9174-7520633367c4,abhijeet tiwari,5,Highly recommended,good product
17,review-887895a3-1091-46fd-82f6-aa6a5387fc4e,Ritesh nayak,5,Super!,nice pen drive
18,review-a3acdf25-4644-48e4-b807-6be22efcd335,Raja Gupta,5,Worth every penny,transfer speed avarage like simple pendrive
19,review-03b90ae8-3fcd-4411-8d4b-e6ddc93a63b9,murali m,4,Good quality product,super
20,review-92f18cef-cb6f-45da-bba1-ad94caa6fddb,Flipkart Customer,5,Awesome,good speedgood build qualitypaisa vasul product
21,review-577d2b9d-7abe-4e2a-8459-587c52d90a4e,Soumitro Sarkar,5,Highly recommended,good product hitting
22,review-65d3ccec-35cd-43af-87a1-094ed475e045,Priyanka Kumari,5,Just wow!,good quality product
23,review-cfdfa117-57e3-4fab-a261-bf4f23342cfb,Kiran Panchal,3,Good,1nice portable c type pendrive2poor plastic casing3 speed write medium expected4over average5
24,review-075d133d-0989-4516-94a8-877aa6f1c8c3,Suvodeep Chatterjee,3,Good,good
25,review-a9b12486-3340-4f4d-b369-fe48abdde973,Aminul Islam,5,Mind-blowing purchase,best product50100 mb per secondbest price 599
26,review-18344748-d951-4da6-a9f1-0fe11125df77,Jatin Patel,3,Decent product,easy use
27,review-ded634b9-35b8-4a29-b2a2-45b2b71b567a,Surendra Surendra,4,Value-for-money,nice products recommend
28,review-af939ed2-591e-41b0-963c-c78d5e6e4217,Nadivinti Uday,4,Nice product,goodapart speed going heat within short time using
29,review-18ea37ae-acfc-4d7d-a1e4-6419a59fa27f,Cholavardan 396,4,Worth the money,bad
30,review-90d557b4-a769-47e9-8294-6ccda6947021,Vaibhav Tambat,4,Value-for-money,good
31,review-1e406362-80bd-4fcb-b942-fd54efbcc76c,chandramohan R,5,Classy product,good
32,review-3ba90fd5-c581-49cc-9fef-fcd74c63adfc,Flipkart Customer,1,Absolute rubbish!,heating problem
33,review-597f633f-ab5c-449a-bb1b-bf4ac1ffea6f,Ranjith Kumar M Stella,5,Highly recommended,quality product best expected well data transferring speed also high thanks flipkart
34,review-25a6aa42-4816-4f03-841d-5e95d7d2ccdc,karventhan K,1,Worst experience ever!,usb otg working mobilenot expected sandisk
35,review-362781ff-5c4f-42d0-99ee-2ef539e97c36,Neeraj kumar Chawre,4,Really Nice,achha good speed good work
36,review-4ba9eae2-0196-4bdf-98a4-4d48667ea0d5,Krishna Bhattarai,5,Classy product,nice productesy use
37,review-1d57e460-5926-40b2-b634-f601e302806f,Ilayaraj S,5,Fabulous!,good
38,review-12f4632a-9ca7-483d-9040-307adf50aa4c,raj shekhar,3,Good,working fine laptop buying type cotgbe aware go sandisk website check compatibility device given listi mi a1 gionee s9 supported samsung galaxy s9
