,customer_id,user_name,ratings,review_head,review_body
0,review-129464fa-5c5d-4faf-997e-93ae5cdd1cb3,Prafulla Rajak II,1,Horrible,read full comparison u place order 64 version sandisk ultra 64gb ultra dual 64gb otg sd2 version comparison sd3it mentioned usb 30but maximum writing speed 16mbpssd 2 otg version writing speed 48 mpbs reading speed alsoaround 120125 mbpsbut sd2 version reading speed 140 mbps build quality cheap looks classy pic trust cheap quality plastic used sd 3and getting hot minread
1,review-758196c4-45c5-4cdd-99b1-deb5c4a12c0b,Nagarjun nagu,4,Wonderful,good
2,review-90b0667b-3c9b-4fde-a2de-c0e7b5b45245,prakash sonawane,3,Does the job,hiting problem
3,review-8fbf5ae3-9dc4-469c-84bc-4b203fcf8e4c,Sappa Satyaharsha,5,Fabulous!,nice tq flipkart
4,review-5f655211-5211-452e-8ae7-ae6072a15e46,Srikant Behera,4,Pretty good,goodworkingbutsome time hit generat
5,review-027a369f-6f37-4580-8dd7-deae38b64073,Abhinav Kumar,4,Good quality product,item received nice u provide small cover keep safe small item valuable items overall nicethank u
6,review-1a598a6a-7fdb-47b7-8583-0419ecb129f5,Flipkart Customer,5,Simply awesome,nice space 5784 speed ok
7,review-176446d0-72b8-4499-a7b8-1facb2ac1053,Nirav Patel,5,Fabulous!,good product
8,review-e9556876-b57f-4452-8055-c86649272f52,Amit Chauhan,5,Brilliant,lovelyjust recieved morning
9,review-c462b245-3d72-40d5-86ad-a7e4a4052e79,Dushmanta Thakur,5,Mast,good memory saver
10,review-5e0f3ca8-0637-4349-a94b-f6229c2de858,Subhadeep Das,4,Value-for-money,getting hot using
11,review-1123dd46-73eb-468e-9647-3490792ad210,Flipkart Customer,1,Utterly Disappointed,working please exchange product n give new one please
12,review-def3802f-5e42-4e3b-9e08-45b9e4128b31,Vishva Vijay,4,Really Nice,colour change theotg pendrive
13,review-1f0b1119-22e6-440b-9154-680a149c0840,Rishabh Singh,5,Must buy!,really nice value money product theres heating problem new use fine second otg ive bought using 32gb one good product plus fast delivery flipkart go
14,review-f74865df-7db6-4920-bb00-30258bfc8109,Mayank Dinkar,3,Good,product locked properly insert laptop mobile always pushed back giving 3 star else good design good lock system stay good
15,review-c11360ad-d9b9-43c0-bfd7-395f4d3406a1,Karthik P,3,Met Expectations,heating problem atherwise ok
16,review-03ba0cf4-1005-4e53-b158-3028fe52052b,Ajit Vishwakarma,5,Perfect product!,niceeee product easy shopping
17,review-fe6ae13f-4501-4f56-89d5-436c1bda8347,Janu janu,4,Wonderful,good working build quality poor
18,review-bc2e72c2-8f8b-4468-a108-ab066227ccf2,Ravishankar Rss,4,Really Nice,awesome product lowest price
19,review-a067161e-4bd0-4b45-9929-0b855031c9e1,Parthiban,5,Worth every penny,well product
20,review-34f1b00d-ef50-49f8-acb5-8c8ba20b58bd,Flipkart Customer,5,Best in the market!,nice pendrive
21,review-be840e83-37a9-4fb7-ac0c-0b242b54c403,SHAIKH SADIQ HUSSAIN,5,Fabulous!,fast
22,review-6e354d60-87d6-4258-b917-3c0cb1938ff1,Flipkart Customer,4,Good choice,good
23,review-b1f0a4d9-11b2-4305-b9cb-0707ddfd8dc9,Arvind D,4,Value-for-money,highly useful ergonomic isnt bad compromise size
24,review-93e4e06b-276d-4dcd-aaa7-58f93136eef6,Javeed Ahmed,5,Mind-blowing purchase,nice awesome delivery also good fast thanks flipkart
25,review-99068b64-8c46-4528-9bb3-3ac720119ee8,Raghav Gadgil,5,Highly recommended,excellent pendrive easy use works perfectly redmi note 4
26,review-48d82a18-0a25-4d08-996d-30dfc4517a37,nagendra prasad,1,Worst experience ever!,30 slow
27,review-19133f68-188d-4817-836e-7a7cfb613d06,Naga Yadav,5,Simply awesome,product goodvery good
28,review-250724a6-8d8a-4e85-8303-8b8d53668bcf,Md Shoaib Akhtar,4,Delightful,best product satisfied
29,review-b6e7a81a-b1b5-4a16-860c-ad79705b252a,Mukesh Shivarkar,4,Wonderful,nice nd good
30,review-e5cc40eb-0b5a-4e80-950a-9432a70a6a1c,kailash pal,4,Very Good,nice product
31,review-368f332b-94e3-4873-ad9f-06bec3b0c081,Suleman Basha,4,Pretty good,nice cool
32,review-9acd46a4-0281-40f5-bb5e-34c6dbfa1ce8,Suman Dey,2,Slightly disappointed,otg drive getting hot connecting drive phone 5 minutes
33,review-bf236804-506c-4a20-bd3c-47fd7e06b38e,Praveen Trivedi,2,Moderate,working fine little heating issues thats okay owing glass body bit frisky body nd gives 57 gb storage
34,review-5eda2ca0-c226-465c-b4ef-c33cf712859d,rupesh ryan,2,Slightly disappointed,heating issue use 56 min heats quickly think bought wrong product
