,customer_id,user_name,ratings,review_head,review_body
0,review-b160fafe-1c91-4d64-ba7f-a70bdd369eda,Moiz Rais,4,Nice product,heymy name moiz purchased sandisk 32gb pendrive big billian days sale rs449pendrive good speed transferring data great consistentso review feel information useful please like itthanks
1,review-60574a0a-483b-4f2e-9922-0b18309c6647,Avee Raj,4,Wonderful,good storage
2,review-c71175c7-6ad6-428a-b9eb-06b926bb53bb,Nasim Nasim,5,Highly recommended,good pendrive working fine mi tv 4a 43
3,review-ccedfac6-dc16-47d0-9011-f4e5254af36e,Rohit Fadte,5,Worth every penny,nice pendrive good quality 1 year passed still working fine frony plastice broked
4,review-a8dcfc3e-4413-4536-bd7c-a3a5173e6491,Masanam Mass,5,Awesome,super 1sc 10mb speed like sandisk
5,review-dd2ff837-a395-4e16-a5bd-ca24f1623903,imteyaz ansari,5,Excellent,mind blowing produced value money
6,review-373968b2-d345-4c52-b319-2ea2c4b8cfd3,SUMAN JASH,5,Best in the market!,good quality
7,review-2849a558-e0db-4119-b929-10519eab6978,Ankur Bhola,2,slow speed,rate kam data ko write karne ki speed bhi bhut kam heitni memory ke sath data fast store hona chahiye nhi bekar hi
8,review-80616f2f-2475-4dba-b04d-5614f2280f9f,Wagh Chaitanya,5,Perfect product!,mistake prdct like
9,review-3e31b7b6-8aaf-4d7d-8484-13221aa1b740,Sudipta Bal,2,very very slow,used primarily backing windows 8 osbut say slowgave speed 3mbpsother flipkart delivered time
10,review-d45dd471-337f-4a53-a75f-42a95026b214,Jinesh K,5,nice one,amazing product packaging worth money
11,review-c9958a5c-db28-4475-b266-ce165fc5b155,Ammyy 0002,5,Must buy!,exlent product buy 32 gb 379 thankyou flipkart
12,review-4746d7a5-ebe1-4c06-be9e-c1f782ec6faa,srinivas Rao,3,too slow performance,giving 29gb aproxx speed slow compared onesit tiny onethey pre installed sandisk secure setup
13,review-16037caa-9e5d-492d-abd2-32c31d3dda15,Flipkart Customer,5,Classy product,nyc
14,review-6927a259-5f16-47fa-b817-c1623aa37511,Aman Sikarwar,5,Fabulous!,nice product awesome
15,review-1fccea1c-53d4-4395-9aea-f691c0b93de6,amulya murambikar,5,Best in the market!,good product
16,review-eb380fbe-febf-4c13-8027-f8533f8a8dfb,Zubair,1,Useless product,connecting led tv
17,review-dd73fe85-7aeb-4301-87ef-f1a3d0cc8dbf,Sujit Mahata,4,Good choice,good qualitymove copy fast transfer
18,review-e3e0cc07-ee02-4cfa-9217-ee03258f0b87,Zuby Aman,5,Worth every penny,awesome must buy
19,review-9a8d0a99-1c33-4732-bd66-d5c2add2ebb1,Indrajith Rajan,2,Slow Rate Of Transfer,build product good delivered fast rate transfer slowgot around 4mbs write speed
20,review-9a01b1b5-620a-49b2-88b6-f741b390ab4b,Venkatakrishna Madina,5,Simply awesome,good product low price
21,review-61e4191c-658e-4243-9d21-1b6effa539c9,Flipkart Customer,1,Terrible product,flipkart cheater company per terms get mmt boucher purchasing item gone back doesnt look good company like flipkart fulfill promotion keep dirty publicity
22,review-66a9120a-bf6c-4cc8-97f3-709bb8fedba7,Akshay Krishna,5,Slow transfer speed...,bought pendrive days back usual flipkart delivered within 24 hours mention packing good packingwell product gave 298gb ntfs fat32 actually disappointing part speed transfer gives max speed 575mbs fat32 417mbs ntfs okay type pendrive common transfer files would recommend go usb 30 series pendrive want better spread
23,review-86424132-9884-40ef-b7c3-7563b590b6d7,Hardeep Kumar,3,Fair,easily broken 23 months use low quality plastic used mouth pendrive got broken 23 months better go steel pendrive long term use transfer speed good
24,review-5ed1d507-8a84-436a-9107-225f1fa8cbff,Ahmad Suhaib,1,Slow Transfer Rate,thought deliver good transfer rate highly disappointed rate delivered goes 2 mbs write speed 10 mbs read speedi might bought hp v 167
25,review-d21b2f08-a4d6-44e1-848c-5723560c8658,Gaurav Sharma,4,Good for all purpose but not for taking Windows Backup,advance product uses advance storage technology due computer consider hard drive removable flash drive technologically great thing hear breaking purchased take backup windows new lappy looking 32 gb pendrive take backup windows go hp pendrives people go worthy product gives speed 1520mbps build quality read
26,review-40dde9f5-8df3-4e6c-aa9b-ac61c0d5023a,hitesh jindal,5,Brilliant,good
27,review-cb353937-15e8-427b-ab9c-6a5b722c1c20,Ibad Usmani,3,its ok.,received two days nice packing u may buy copy paste speed standard looks good ahhhhhhhhh
28,review-5559dd10-451a-4347-b6f0-ceffba27e450,Biswajit Guchhait,5,Excellent,good
29,review-53a608ed-2334-47da-b33f-b796384e9e22,Murari Prasad,5,Awesome,worth every rupeegood write speed tooi transfer 9gb file speed 75 mbps 12 mbps problem made plasticneed handle little carei suggest go
30,review-9fa9b63b-4a7c-4a0a-a3af-3a8c15ae4fb6,Ajay Meena,5,Great product,nice productgood price
