,customer_id,user_name,ratings,review_head,review_body
0,review-b5a68dc1-5e5a-4035-b377-5fa84bef7414,Flipkart Customer,5,Simply awesome,nice product
1,review-d65c02b2-eba9-487c-bece-cd66c14d770b,Rohit Kumar Singh,5,Must buy!,think one best product intexit last long phone 6 inch screen battery work need charge intex full run 5 daysplease buy product micromax intex lava support indiadont proud indian something worth feel also
2,review-7a5ce3a0-3071-44b6-91e7-a11735a03c56,Shashee Kumari,5,Worth every penny,good product cable short
3,review-bbcdb1dc-cf78-494e-bd07-cb61b5bf3414,veera mani,4,Pretty good,best
4,review-90a81896-204b-42d4-a37b-87d2a0808f66,Pawan Nehra,5,Just wow!,product good
5,review-bb8dc5b0-6076-4135-9943-898022f44928,Flipkart Customer,5,Just wow!,great charging ability
6,review-570995ec-bb68-40e6-bba6-e2cc9c8cd234,Fasil Panthirikara,1,Utterly Disappointed,dont buy product heating problem battery capacity 10000mah
7,review-b7a9569f-8ea5-468e-ba33-3fc9d01c3f50,Flipkart Customer,4,Worth the money,nic love
8,review-76a01afa-4f8d-45f2-8fba-0a1ffd28943a,Vikash Kumar,1,Absolute rubbish!,disgusting battery backupsaying 20000 mh battery even giving back twice full charge
9,review-b71a13f7-c88f-4508-ab6a-5f76d65e09d9,Sachin Kanchan,5,Awesome,innermost product packagingiethe cover box power bank seal opened suspected used damaged new lets see battery backup
10,review-41c85ef9-02e3-4514-a057-8cda77909d12,Flipkart Customer,4,Really Nice,vry gud product nice design one problm weight heavy overall worth
11,review-adb56eed-7b95-441c-aee2-44a2325eb15c,Flipkart Customer,4,Good choice,ok types phone charged fast power bank
12,review-2383b086-4eba-4450-8098-c3bf1f2853c9,Aditya Newalkar,4,Nice product,good powerbank power backup also good one best intex product bought intex indian company disappointed know product manufactured chinathe weight reasonable 20000 mahits less gripping hand plastic body used rubber material hold firmlythe product tampered seal opened plastic case powerbank torn
13,review-30bb73d0-ac1b-492e-bf7d-aa340217a2bd,Dhiren Bhue,3,Just okay,good product
14,review-54069409-6070-4f57-9417-27d99c8db34d,Vijayashankar Aruchamy,4,Good quality product,good productcan used 5 times 3000 mah battery worth money nothing bad last 8 days
15,review-c410e200-3ec1-4d9a-89d2-a956617ebdf4,Raju Mondal,2,Moderate,bad product takes much time charge full charge keep without using automatically discharge suggest everyone waste money buying low quality product rather buy mi brand though little bit costly quality best
16,review-76f7e19e-f92c-4f21-8359-955eea0c63fe,Karupusamy Srikanth,5,Brilliant,good battery 7time full charge mobile phone6
17,review-0bbb9172-4cb1-4017-9ecc-6127d740240b,Mohan CG,5,Excellent,good nice
18,review-4edfd59f-d0bb-4ebf-b2b5-32a0343a8d83,Bir Singh,5,Great product,nice product
19,review-419e2077-ed93-4bd2-8b66-9346fa158cd2,Nitish Kumar,1,Did not meet expectations,2300 mah charge 4 times
20,review-677758dc-a42a-4e44-a653-70d817ad6c2c,Dipika Mishra,3,Does the job,nice power bank charge 2 mobiles time take long time charge wise good work also used tourch light crucial phase extra facility
21,review-877fdc0a-c3d7-4ed7-a533-e26caafc8a77,Sandeep Kavety,2,Bad quality,really happy backup providing
22,review-a8f2e924-2a86-427b-8641-15ea920b3f0d,Flipkart Customer,1,One Star,giving enough battery backup expected even full night charging
23,review-22bd705e-9cc4-4818-9e21-924e0c4db2f4,Pranav Goyal,5,Mind-blowing purchase,best power bank lifethank youflipkart
24,review-39ba642c-34b3-41f5-b402-31b62c44666e,Flipkart Customer,1,Utterly Disappointed,solts 1amp wrinte 21amp
25,review-6348ed4e-0b8a-4179-8549-f4796268c584,Rahul Raj,5,Mind-blowing purchase,nice products
26,review-d1215e07-442c-46c6-9ae7-f8ddfeb793dd,Ashish Bhatia,5,Best in the market!,good back 3 days uses hopefuly remains afterwards also
27,review-a94a1e72-0d00-4fc7-a5dc-90ba799ec4b5,K.baig,4,Very Good,nice product
28,review-1d9163d4-2266-4c74-be34-2146e81da33b,Karunakaran K,5,Excellent,nice product
29,review-10070443-90c5-47ed-ba2c-b5970533936a,User,1,Utterly Disappointed,working one week
30,review-26bc9beb-f277-4147-abc8-c573d20ca98a,Arnab Kar,5,Fabulous!,im received power bank used single time heavy like smart phone physique use smartphone easily also well built specifically delivery product flipkart outstanding good
31,review-b898486f-f08e-44be-81fd-e8d516d7aa60,Mahendra Gupta,1,One Star,dont ever buy power bankflipkart selling damaged products name brandi received defected power bankand called officials refused return ittrust u place orderu fooled return ityour power bank damaged inside surely damage costly smartphone alsoso advice everyone never buy power bank online especially flipkarti ur ordering ready faread
32,review-342644f1-0a6f-48bd-9bc6-1f383a4778a1,Sagar Anchal,5,Awesome,good quality 0 100 1 hours 50 minutes
33,review-37e69336-8486-4e16-a93a-bd1b375a46fe,Jithin T Jacob,1,Terrible product,iam using 1 month capacity 14000mah didnt get
34,review-8d59a304-f30f-4c62-88c5-acbc4b71d3d9,Kishor Kumar,4,Good choice,power bank best battery backupbut bank charging time long
35,review-4571fc36-0290-4242-9f44-180739544cfb,Amar Anthony Tirkey,3,Decent product,power boostergood product
36,review-9d560cb3-f836-4582-8b9a-f8c57fdc9e0b,L.RATHINAKUMAR,1,Don't waste your money,wrost backup
37,review-931a01f0-9723-4ea3-b498-34ead07483f7,Rajiv Prasad,2,Could be way better,night charging charged till 2nd light looking return station cannot
38,review-1472a212-f3b5-417f-a4be-43497c8bf25e,Dharma durai,5,Highly recommended,thats good
39,review-5f8171b0-0389-47a2-bf81-aa8fadd98c5b,Ravi Kumar,1,Hated it!,verry bad product 15 min 1 charge
40,review-677e7e7a-adb8-473f-9e86-192844c02cd8,Flipkart Customer,1,Worthless,slow charge
41,review-c8c043c8-0936-4ddc-a0f0-e616d907d767,Flipkart Customer,5,Best in the market!,fabulous quick charging
42,review-ab58a4fe-37d5-4293-9bec-44f1555b2b75,Bikash Patar,2,Moderate,excellent products
43,review-31809eaa-ba42-46fd-9dd3-ce24f5d0710d,Saddamhusen Qureshi,5,Highly recommended,good intex 20000 mah battery power bankgood power back upgood lookingand good productthanks flipkart intex
44,review-70f1c931-7646-461a-8773-2667a7722b34,Flipkart Customer,3,Decent product,average product 20000 mah
45,review-e5252817-2ee9-4a5a-83f9-824a021f5c8e,Abhi Ram Palacharla,1,Unsatisfactory,say power bank good cable gt spoiled month
46,review-a744bedb-ae67-47a4-84ce-70963bcd87a3,Flipkart Customer,1,Worst experience ever!,power bank pirnted 20000mah charging capacity 10000mah j7 mobile 3 time full charge battery blank already used syska 20000mah j7 mobile 7 time full charge
47,review-caec4f9e-7bb5-42e4-961e-0ec98c2f3b03,Amalendu Mukherjee,5,Great product,good product fast charging
48,review-71975c47-bef4-4c62-83ae-c392de139062,Flipkart Customer,3,Does the job,battery power bank 200000 man given product details 10000 man
49,review-4f1ecd48-ee3f-4c52-892e-ce479c22280e,Flipkart Customer,1,Worst experience ever!,bad product comfortable
50,review-49ddd9e9-87c9-49cd-b8fa-dada0d43c356,bhavesh mitaliya,1,Utterly Disappointed,heavy weight wrong information flipkart site weight given flipkart site math gross net weight given product box
51,review-649e5727-5d03-4b8b-b9b3-60867d8cfade,Sonu Shukla,5,Terrific,nice original product
52,review-43a23077-8d15-426a-a60b-e45766056819,Flipkart Customer,1,Don't waste your money,good productcharger also good
53,review-55ec2146-a017-4fcb-8eb5-47c78aee1a7d,Ajit Thomas,4,Good buy,good product 3 days using able charge 3000mah phone 4 times even first battery pack charge seller service also good good packing delivery time drawback weight ok considering battery packs capacity
54,review-6f16ebc9-3386-43da-b7b6-2493ef79e584,Ganesh Boss,5,Must buy!,worth every penny super product amazing look handy
55,review-d390a821-3122-4d87-b48f-bea24b8a9033,vikas kumar agrawal,5,Must buy!,white colour fast charging make value moneysweight also average cable little short
