,customer_id,user_name,ratings,review_head,review_body
0,review-38c6e5e3-e30b-4d2e-be08-f2e7df0b20d2,Bhavin Lakdawala,5,Perfect product!,pros1 nothing complain abt power bank less size weight 20k mah power banks2 2 way qc 30 supports charges qc supported devices fast self charge 7 hrs 0 1003 4 led light indication extremely accurate4 aesthatically good means hv good finishing high quality polycarbonate outer surface5 value fr money like mi productscons1 available white colourverdictmust buy product means
1,review-1a796571-7661-45b8-a382-1a99e658c31f,Anuj Pandey,5,Highly recommended,got today yet test thoroughly first impression good maximum output 18w one port support qc3 time charging two devices 5 volts get 18 amp current devices average total 36amps enough fact fast get 2amp charging one device charge 12 volt 9 volt supports fast charging took 525 hours get half charged via 10w5v2a charger ordered quick chread
2,review-631ceb73-8f49-4d53-94b8-19414b9049f8,vibin kumar,5,Brilliant,best power bank
3,review-682830e0-b39b-4817-a3f0-95d8b55718ab,Soham pal,5,Highly recommended,awesome
4,review-b087020f-f8e7-4f60-8609-a45cfc4c128d,Mohammad Arshad,4,Really Nice,good power
5,review-2d83383a-8f73-495c-8f74-deaa1855255a,SUJATA RAY,5,Delightful,good product fast 20 charger else get one wait 11 hrs charge standard 5v 2 mi adapterno adapter given better get one mi store 9volt 2amp fast charger easily charge within 7 hrsbest powerbank available market momentreal conversion rateabout 13000mah net outputget mi adapter mdy 08 ew
6,review-6a8d8bb1-96f8-44a6-b021-8ab1d51e9e8a,Puku,5,Terrific purchase,awasome product like product design sexy finally happy product
7,review-d17bd927-70fa-43c8-8c48-deb62fc4216b,Visal Valsan,4,Really Nice,good product
8,review-28d5dc5d-00f9-4649-a8d6-9183075839f3,Aditya Bhaskar,5,Terrific,nice items yar
9,review-4eb1d01c-686c-4224-ab78-c3c21fd4fded,Flipkart Customer,5,Awesome,nice product automated charging discharging system need frequent button
10,review-16d363e7-c31e-4691-a59c-d89bab409933,Sasi Kanta,5,Highly recommended,nice
11,review-d137031d-b8cb-4229-a161-66e6aba4e6e9,Sutapa Maiti Kar,5,Great product,1 quality2 price3 appearance4 charging speed5 delivery timinganyone wants buy good power bank buyer suggest perfect product original one issue cant understand exact time full charging power bank
12,review-db0d49ad-5d18-4134-a681-846496b343f1,laxmi Tope,5,Terrific purchase,nice power bank worth money
13,review-e72b44a7-7562-41fc-9947-3f9b73111431,TAMASA ROY,5,Terrific,useful productbackup quite good
14,review-ec94da6e-3b86-497d-aad5-40d17e034cb0,Shubham kumar Pandey,5,Super!,good product
15,review-49f7c9a1-5137-43e8-8905-18cb44489853,khalid bava,5,Perfect product!,super product
16,review-7973af03-745f-4fdf-90ca-fd15aa22d7af,Sonalika behera Sonali,5,Simply awesome,good product nic warking love thanks flipkart
17,review-c205320b-06ab-4057-bdeb-cf2c28b7455c,RAM MADHAN,5,Simply awesome,good quality product miblack colour 20000mah awesome
18,review-41e1e83c-c2ba-4f34-8de6-b15a1ecb0ae7,Sk Sajjad Ali,5,Just wow!,good
19,review-fed19947-aa13-4e01-af73-9555547142b6,Jomit Jose,5,Simply awesome,charge 3000 mah battry carrier moto g4 plus 4 half timesfast charging availableto charge power bank takes 45 hoursthe power bank much helpful charging mbl phonesit dual slot connect usbthe white colour becomes easily dirty u buy guyztoo good power bank
20,review-a9b1dfb2-bfd8-42d6-8353-785e2c36d2c5,Hrithik Karthik,5,Fabulous!,2810201818082019working properly
21,review-594babe5-28c6-4a16-9d34-dabe2a516b2d,Rashidul Ahmed,5,Excellent,quality superb battery performance also superb bole ekdom jakkas
22,review-5d34f222-66a1-4e79-b0e9-840aa89c5916,Rohit Kumar,5,Wonderful,super hit
23,review-241031d6-1b96-43f0-8a9f-ace051d2edcc,Ravi pratap Singh rajput,5,Super!,good
24,review-386b0165-891a-448d-815a-646d020c2ea1,Flipkart Customer,5,Classy product,excellent product charges pace qc fast charger charge s7 edge 4 5 times good quality product recommended
25,review-a6d02aaf-d538-4f05-a5d4-c551a9e9daa2,Kuswanth Reddy,5,Terrific purchase,nice product talking much time charge
26,review-445b1b46-1ab9-4cd1-8fcd-023352efe238,Anusha Vankdoth,5,Great product,good best powerbank thank flipkartfast delivery
27,review-f62dbd03-dff3-4185-bc18-b4ea3d959b65,K R Gagan googly,4,Really Nice,product good white colour gets dirt fast one day usage u see image
28,review-acc461c7-cb3f-4463-8eb2-c3336f6daee7,Tapankumar Dave,4,Powerful and Beautiful,well designed powerbank lots battery storage nice cost effective one mimy first power bank received defective came know first 10 days flipkart replaced immediatelyso learning use power bank extensively first 10 days know whether defect notcharging time fully discharged approx 20 hrfull charge 2300 mah battery mob approx 67 timesgood design mobile fully charged power bank disconnect poread
29,review-9325b756-a289-4f8f-897c-0a06ec08436b,Abhishek Gurjar,5,Classy product,power bank power full like power bank fast charging 10 hours full charge use mi note 4 charge mobile 5 time
30,review-061dc369-f992-4b9c-ad7d-66ffd5822ece,Kalyan Neogi,5,Perfect product!,good
31,review-ca0570d0-2c25-4d72-82fd-e935b5be2de3,Dhavalkumar Vishnubhai parekh,5,Just wow!,good product
32,review-0f777a5f-2106-40e1-9c7e-c46667991c47,Sahil Kureshi,5,Must buy!,nice mi power bank fantastic nice charging awedome
33,review-4c5cb3f0-0d0b-44b8-98c1-242336129830,Nikhil Kangirathinjal,5,Awesome,awesome
34,review-68d0e9a0-5ad8-4d15-baa9-8291c7e04d61,Soumyasesh Maity,5,Best in the market!,black power gaint arrived slight heavy carry pocket
