,customer_id,user_name,ratings,review_head,review_body
0,review-8d52c5ca-5bd4-42a7-ad85-9f2cde7db2ba,Ashish Zungare,5,Super!,awesome productpower back good fast chargingvery fast delivery flipkart thank flipkart
1,review-ec302880-9a27-489e-9a3c-180ca49994ca,Akshay Anand,5,Must buy!,nice productgood packing digital screen cool stylishlooks premiumfast deliverythanks flipkart
2,review-2d6a4398-b055-4fc7-9a5a-15afe7d47360,Flipkart Customer,5,Simply awesome,nice device good design
3,review-6fd23be3-3be8-4e54-9b72-2b2753c370f6,Flipkart Customer,5,Simply awesome,good super product
4,review-6cd5e74d-4066-43dd-86f5-6c675a3b8d06,Girish Saxena,5,Fabulous!,excellent choice
5,review-d60d62c4-c254-43c8-9a79-fe83ff21985d,Flipkart Customer,5,Perfect product!,good deliveryproduct recieved thanks flopkart
6,review-9cd52861-5b28-4f01-97a8-be0115e21996,Tanmay Tripathy,3,Decent product,loog wise good connect upto 3 devise problem 2a output fast charging possible forced use 1a output normally take double time
7,review-28269943-36b9-4b85-bf6d-866c6f3711a0,Flipkart Customer,4,Really Nice,super
8,review-70b9eb82-ccf3-416a-a1c6-95b74f685726,Manas Mondal,5,Best in the market!,hello friends ami khub khusi darun products 24 hrs madhya delivery pelam loved flipkart
9,review-845ae13c-9bb2-4e5b-84c3-79d9985ba874,Gomaram Narnaram ji Chaudhary,5,Awesome,thank much
10,review-a4e18bd7-5a4c-43ec-861b-3810750534c3,Flipkart Customer,3,Just okay,slow charging 1a
11,review-5892d024-5c3f-4a16-8930-df2f2f9ff13c,PRAJWAL RAJ ROHITH,3,Decent product,look good charging time late 230hr required change 3000mah battery 0to100and ports delivers 1 ams current
12,review-d18c555d-ecb4-440d-924a-9ff1f3f1e581,mdrizwan rizwan,5,Terrific purchase,good
13,review-3d720d26-eb03-43c7-b357-ca164e9226e9,Flipkart Customer,3,Does the job,power bank thick n slim shown photo led working power button seems show button working
14,review-47850e50-ae65-4a28-8fe2-39b674f360bf,Ramesh Reddy,1,Did not meet expectations,bad product
15,review-a6453530-e7ea-4721-8ca2-ebdc01695c05,Asish Shah,4,happy,good product good battery life stylish
16,review-d03a3bff-cf54-4776-8945-59d32abfb1fd,Raghav Patel,4,Really Nice,fast charge better phone use traveling mode best back power bank
17,review-9dad970d-70bc-4d62-9f85-9e275d608868,kishor veera,4,Pretty good,nice good product
18,review-28ba2985-30cb-453f-b162-529e744900f6,Flipkart Customer,5,Worth every penny,good productoriginal phillipsfully satisfiedthanks flipkart
19,review-6aa6b8a8-8a71-4e70-b5f0-4c912e926f3d,Flipkart Customer,1,Absolute rubbish!,charge 4000 amh battery
20,review-3a580a0f-7c3e-4e0c-a19c-099159892a9e,Karthik Reddy,2,Could be way better,taking time charge satisfied charging time
21,review-2a55c707-aaf2-4cbe-84a2-0e24a9155987,Thanshith Kannedari,5,Simply awesome,really loved asowme product thank flipkart
22,review-a9121919-c580-469a-bd9a-8e15feda63b6,Santhosh Rajashekar,3,"Not so good in capasity wise, it looks better",charge iphone 7 twisei feel 11000 mah power bank
23,review-08c45dc8-54d8-4621-9d45-b4834d5e10e1,Pankaj Sharma,5,Highly recommended,product best
24,review-c4c5cbb2-23d5-47fe-b088-f00ba9938ba9,Rannvijay Singh,2,Not good,6s 7 charge pwrbnk sufficient im think worth 11000mah
25,review-6e60148f-9d46-4bcc-be0f-bf5e34eae630,Sourav Dutta,4,Wonderful,1 good packaging2 fast delivery flipkart3 good power backup4 small easily portable5 overall nice experience flipkart
26,review-8c0803bd-b57e-4b0d-9531-3b8a9a63472b,Flipkart Customer,5,Worth every penny,simply good
27,review-43465251-3b2b-4b15-a0c5-79a7e500b2da,Debanjan Adhikary,3,Fair,normally product good doubt using found one problem ie cant fast chargetakes lots time charging
28,review-69767375-bdc3-40cd-8129-311aee710924,Shivam Verma,5,Terrific,received powerbank 2 days beforethe design compatible attractiveit takes around 2hr 30mins charge honor 9lite 3000mahi charge 2 time full charge upto 50 3rd timethe powerbank takes around 7hr charge completelythe powerbank weighs 280g approxone thing like round wire usb cable flat wire wud better flat wireat last bought itread
29,review-9bd63aad-3549-4249-a203-d974c78ec337,PRASHANT SHARMA,1,Very poor,power back lowonly one time phone charge power bank 0
30,review-dfca05ea-5849-4a64-9a12-6587089fd64a,Johnson M,1,Horrible,seems local productno philips logowritten syle also different genuine productcharging takes longer timeswhen full quickly goes charging cellphone
31,review-ccd92d18-7ce5-4651-b253-c5a988e5cdd9,Flipkart Customer,5,Terrific purchase,looks like excellent product designwhen unboxed showing 100 charge packed dec17 tht charge charged moto g4 3 times n charges fast like motos turbo charger also looks like take around 68 hours get charged 100 wall mount included packall good producti purchased brown one
32,review-45d06054-d725-438a-a201-6ccf557423df,Soumen Khan,5,Highly recommended,great product thx flipkart
33,review-d21cbed3-daee-436f-989a-ed11e58c949d,ashish,3,Good,recieved product right time however takes lots time time charge taking 78 hrs charge heating problem dont know recieved today
34,review-bec536dc-02ff-4867-adca-737d8e48a10e,Akshay Jade,2,Moderate,slow chargingcable supports mobiles buy one outside
35,review-313a3b98-2af4-4bea-9358-84d78312a417,SOMEN SENGUPTA,4,Really Nice,philips product never disappoints methis one value moneythe look also greatwhile recharging getting 75 recharged fast taking time reach 100so far troublei satisfied
36,review-8c27dbfe-dd6d-4fe3-b884-2d5ad19e52a0,San Ju,5,Terrific,awesome product amazing features charges like turbo loved suggested buy range
37,review-28e48c33-6253-4ac4-84c5-a0e75c711220,MALLIKARJUN KOMURAM,1,Did not meet expectations,badits taking long time get charged power plug finally connect samsung phone one hour changed 3 bad performancewaste money didnt expect philipsproduct
38,review-bdd19b11-8fc0-47ff-9670-c4ac6c321b10,Flipkart Customer,1,Worst experience ever!,satisfied 3000mah battery two time charge 11000mah means 35 time charge battery possible
39,review-5de541f9-6ddd-4063-b4a5-38fe2aa27e59,Flipkart Customer,4,Nice product,good product
40,review-bc99f2b4-ffbc-465a-ae74-3feda2c31ab1,akshay N.R,5,Best in the market!,best price range
41,review-d27e46d0-b89a-4f6b-b703-cae71b533e7e,Vamsi Krishna Darapu,5,Perfect product!,nice original product
42,review-59be98ab-4dd3-429d-8ab4-30f47eef8012,Flipkart Customer,1,Useless product,dont buy product within 4days totally blank charging moreover service people r responding properly
43,review-3be739ed-1c1e-4b31-923d-cd445bfacffd,Nijan Shaikh,5,Fabulous!,good quality
44,review-3d9fe0b6-24a4-4263-858d-5c1c4d24a0ee,Rajesh Michael,5,Terrific,best products
45,review-b354a9d9-eaa1-4657-8a84-fd1497efe7fb,NUR ISLAM,5,Just wow!,nice product
46,review-fa1a98e1-8c55-4966-94a1-2377c55dce2c,Flipkart Customer,5,Classy product,good
47,review-d408bbc0-f59e-470c-8653-b34206434886,Flipkart Customer,5,Terrific,nice one im soooo happy
48,review-94881bf1-f90b-4e96-8888-c5b711301c78,Flipkart Customer,5,Classy product,good
49,review-e5a69f47-e904-46e6-8565-092185280232,Arun,5,Wonderful,super
50,review-a25107e2-49bc-46ef-85fd-f9ae66b04e1f,Sakthivel Indrakumar,1,Terrible product,chage slow
51,review-c5181cfd-aaf1-4645-8628-79ef883e74da,Flipkart Customer,4,Good choice,good
52,review-6a1b67da-1eed-43e1-9a69-457d25426e78,Flipkart Customer,1,Waste of money!,awesome product charging good phone charge good
53,review-62be492a-367d-471a-87eb-9e57566f6ce0,Soni Yadav,1,Waste of money!,satisfied product quality data cable working
54,review-796dd6c4-5dca-413e-b6b4-158801ef15e8,Abdul Anees,3,Decent product,takes lots time charge phone
55,review-6c46b67f-c127-4e73-b122-e63b5b5f24fa,Flipkart Customer,5,Worth every penny,im satisfied
56,review-687fcc38-70fd-4c7f-9a36-b8b17fd6a88b,RISHI ROY,1,Waste of money!,byu bbd first able charge 3000 mah mobile 2 times went replacement 2nd one also able charge 3000 mah 2 times onlyi dont know whether real philips powerbank 6000 mah dont go looks go performance say big nogoing refund thank
57,review-95014729-dc31-467a-b7d6-b988aabac3e3,Flipkart Customer,5,Highly recommended,superb
58,review-eba9d151-981d-43a4-a0e1-4cc07f764e90,Anirban Bera,4,Good choice,nice product
59,review-065e7018-49b8-4cc2-b021-da4eca99ec62,Rohit Kumar,5,Simply awesome,nice
60,review-1e5a1562-f185-42cf-9ded-ed9daa8c25db,Vamshi Krishna,1,Hated it!,worst product ever waste money
61,review-92b97236-8c1f-441f-a8b6-975f86ebc30a,sudhakar. S,4,Delightful,good quality product nice worth money durability also good
62,review-04794b15-53b1-4246-8896-5a24bacf6c72,Advait,5,One of the best,philips done excellent job easily better several power bank portable chargers 3 usbs charges fast light weight convenient carry great indicator power left good looking
63,review-f7d8d98b-ba1f-4368-9c2d-12dadcdba149,jones josel,5,Best in the market!,beautiful product delivery 3 star product 6 star good charging super
64,review-0f815173-9ae2-4d59-9cc4-d864d474b6ae,Flipkart Customer,5,Simply awesome,awesome product good looking
65,review-cf1645ca-c30b-4ec7-b54c-d127ac6d63bb,Flipkart Customer,1,Don't waste your money,internal image
66,review-09d153a4-3c0d-4db5-a0d5-d99b7e97b815,Flipkart Customer,5,Mind-blowing purchase,happy product delivery late
67,review-a0501d69-5944-4ccd-ac80-381acb647160,Akhil Madhu,5,Highly recommended,nice product fast delivery like
68,review-e261b675-e85e-4af8-9c72-472e3188de8d,NIKITA Talekar,5,Classy product,charges fast using 2 ampere usb cable like turbo charger go
69,review-41637539-d723-4c45-af36-9c921fc0d90c,Bappi Sarkar,4,Good quality product,great power bank 3 usb power output 2a1a1a stands ampere although says 11000 mah battery easily charges 4000 mah battery twice still juice left eventually get discharge stand wastage form heat 2a charging lacks qualcomm quick charge ic technology may used needs improvement improve standby time got standby time 4 days charge get reduced 75 fully charged
70,review-0aca0aad-9e5f-4415-8c0e-c6196f2da9f9,Flipkart Customer,5,Terrific purchase,product excellentbut little heavyproduct stylishits battery longlastinggg 11000 mphgo
71,review-d5f48816-78bd-439b-8ff6-15d05fa49adf,Nishant Raj,3,Good,good product buy good power banks
72,review-e7acfed9-c0c8-4f59-ac8d-c5f70b6ddd40,swapna behera,4,Delightful,nice productthank u luv
73,review-03d202e8-130f-4775-aa79-097e07071976,Kantesh Patel,3,Does the job,using 15 days charged completely many times takes 6 hrs get fully charged according testing approx 6250 mah capacity charges redmi note 5 pro 15 times got 630rs wont complain atleast 7500 mah capacity labelled 10000 mah power bank 3 stars side
74,review-6b161b08-8357-4141-b5ca-b20e9793652b,amrit kishor,1,Hated it!,flipkart worst platform online purchasingit delivers dummy product returning make irrelevant excuse
75,review-a49b2ec6-8e8e-47d1-93d7-2eddcd7c457f,Muneer Rawther T,1,Horrible,capacity power bank around 8000mah charge intications also wrong
76,review-4de82f8c-f864-4b03-85d5-c137a01a1125,Flipkart Customer,4,Good choice,nice productaswme designvallue money
77,review-864b88fd-fc73-436a-9057-4a257f6592e8,Nilesh Tapas,1,Did not meet expectations,worst product within one month port damaged need 10 hrs full charge charge mobile dont buy
78,review-9cc1a169-b0ba-4f54-8eae-9848ece8b528,Flipkart Customer,1,Terrible product,poor quality dont buy product
