,customer_id,user_name,ratings,review_head,review_body
0,review-1f1d093f-cd31-475b-a112-b67ecf98d249,Flipkart Customer,4,Nice product,nice productgood screenvery good touch response32 gb memory card supportnice audio qualitymic also good call reciever hear voice clearlybattery life okeasily get paired bluetooth devicenice lookany one needs smart watch cannot afford apple watch samsung gear must buy thisa value money product
1,review-f2263d4b-544e-4bbc-818e-6386945ddb52,vinayaka gani,4,Pretty good,product good satisfied inserted sim memory card found problem smart watch try open file manager telling please insert memory card dont know doso please tell solve
2,review-424291ed-11b0-49c5-857e-327fdae378a1,Rohit Kumar Rajak,5,Super!,product almost good put doesnt pair jio phone sound quality good used product 8 months battery also good doesnt connect bluetooth ear phones also changed fast thanks flipkart thanks
3,review-69029de1-5ebf-4cfd-bcdd-6fd0376bb2c2,Robie,1,Hated it!,flipkart didt refund back satisfied product still acceplting refund policy thisguys dont buy worth
4,review-5ddf116a-10a3-49a7-8316-0a65f0c0a679,falak,2,Slightly disappointed,cheap watch looks like smart watchpros1 looks like smart watch2 bluetooth connectivity good3 play music take calls smoothly4 battery life goodcons1 health apps dummy values step count sedentary alerts hard coded increase automatically2 compatible iphone app available bluetooth works
5,review-d736ca94-59ae-4357-a29c-d27699735cab,Rakesh Kumar,2,Moderate,good checking current time also need 2 hand operation need press button activate screen watching time cant drivingmotion sensor doesnt work properly need manually start reseti tried mobile notification worked well call quality decent greatbattery backup great watch works background app connect bluetooth reduce drastically
6,review-b73a9c7d-290d-44d3-a6ab-a6566514af1d,vaishnav prasad,4,Delightful,think like toy came looks super price think options big sound like smart phone came dead battery small screen
7,review-8bb7a21a-9729-4f6b-bcbb-128be9be2238,Sachin Patil,4,Delightful,nice sd card watch dont sd card half features enabled like camera file manager whatsapp browser twitter etcso also need sd card orelse theres fun rather everything satisfactory watch 1000 rs
8,review-2f312a06-ee06-41f3-ba06-9849d0b2c254,Syed Arib,5,Simply awesome,nice product money useful better satisfaction watsapp dont work without memory card
9,review-cbb7e870-0b0d-4f96-8bc0-da5b7dac2b61,Adil c,5,Excellent,nice
10,review-7d38e451-2e9f-4db6-acbd-149d9447d7d2,Varun Maheshwari,4,very nice,nice
11,review-b9500339-0ba9-4e2f-9574-f6e6c67939f1,Anoop Kumar,5,Must buy!,good product
12,review-2af2a782-23d3-4bc9-91e6-621ed49087cc,Mayank Mathur,5,Perfect product!,nice
13,review-024f2138-2607-4581-b61a-c5620a629ca5,AALIYA BAIG,4,Worth the money,nice watch gift brother loved much also delivery service good packing superb
14,review-8a6d5bb1-746d-40f8-be4c-a198cc37a5a0,ravindra suryavanshi,5,Great product,good
15,review-45adda5b-1222-4275-b0e2-cfff53475e7c,Kanchan Verma,5,Awesome,good watch ever seen life
16,review-3e0832a1-ae25-4bb7-8134-1062dde6396d,Dinesh Mishra,5,Excellent,guys good smart watch low budget
17,review-a17b6260-5af5-47a9-89ac-f51e1e123aff,Moniz Das,4,Good choice,good good product
18,review-c061e573-19eb-47f0-bd04-3ae8fe58a756,manuj mandal,3,Met Expectations,nice
19,review-ec7ebae2-f62f-4828-b649-51c035fb4fde,Aryaman G Singh,4,Worth the money,good watch whatsapp facebook twitter connects syncs mobile phone
20,review-13720f0e-2d03-411a-809f-cdddec2c026c,Perugu Rajeshwar,4,Really Nice,nice product love watch
21,review-cfda53f0-db1d-4108-9517-5dec8b8ff3c4,Flipkart Customer,5,Simply awesome,nice watch
22,review-bc38e2c0-f571-4244-bf5a-b43ed05514a9,Himanshu Rao,3,Good,low quality1st time got damaged watch exchangedthis time ok features goodbttry power low
23,review-c4925729-c648-4d13-a556-6b97c9f16130,Flipkart Customer,5,Awesome,like
24,review-9263ecb6-8cb3-4593-a421-b1aeb3d20160,Jyoti Kaku Doley,4,Really Nice,nice
25,review-f41ded8b-ba95-4756-a8bb-edcf83db9d8c,Flipkart Customer,5,Best in the market!,nice
26,review-2f75d186-7f40-4d77-a782-256535480a3e,pramod Krishna,5,Awesome,nice product
27,review-4295d05d-e4b8-4be7-9367-418e13934628,Prasad Vijayan,1,Absolute rubbish!,useless item cheap china make product buy chance worth 700 also refund item trapped
28,review-3273fdd8-837e-4546-b3a4-3ad4dff1187a,Flipkart Customer,3,Good,nice product improve tracking system
29,review-0b67f494-f403-4ad7-afa3-d07ff3ed2aff,Flipkart Customer,5,Perfect product!,nice
30,review-9bd50660-edfb-47c6-957a-fb12e2546c9f,Flipkart Customer,5,Must buy!,best watch good
31,review-028a133e-fa8f-4743-9bcd-dde0979be9dd,Flipkart Customer,5,Best in the market!,nice
32,review-76488df5-2f9a-49f7-acf3-5540b50a0994,Jayshankar Prasadshukla,2,Not good,battery back poor remans 4 hours bluetooth connection without bluetooth 8 hoursone week passed writing actual fact watch seems seller sent old battery watch 120 hours written specificationshealth functions 100 dummyi bought 899 without charger charging port enough space every normal charger use bought new 1 amp charger rs 200 charge 1read
33,review-7a8b254a-b486-411b-9b42-1c23d964ec71,Flipkart Customer,5,Awesome,brother gifted clock happy
34,review-3289b7bb-ecf0-44d5-b8c0-1d5649b5ebd3,Vasava Jigar,5,Highly recommended,good working
35,review-22cceb6f-e648-4a02-9cb2-cea55862f9c2,Vishnu Swami,1,Terrible product,bluetooth connectivity issues onlybut fine good look
36,review-c6282ec1-353d-4d2f-9300-3e8799d09a70,Bharti Bhagat,5,Best in the market!,nice watch im great experience
37,review-af7a506a-963f-4197-b883-a62de899a637,Flipkart Customer,4,Good quality product,average quality
38,review-dda50e43-65dd-4444-87ef-259a44927956,Hanumagouda Patil,3,Good,good watch whatsapp working
39,review-b7198880-3db0-4399-b477-c2b63b0f8768,Balaji E,4,Good quality product,everything fine expected except bluetooth connection saying prohibited adavnced audio allowing files via bluetooth connection also watsapp facebook chrome options shows downloading icon click
40,review-144aa8b1-8ff6-4c5f-ab81-b5ed23529de4,Flipkart Customer,5,Brilliant,good
41,review-8b7e6ea2-d39b-461d-90cf-7bee1e9cc8c4,Flipkart Customer,1,One Star,battery life less
42,review-172e8ea1-53c9-4e3e-92c9-402781bf3ca2,Sachin Sachin,5,Super!,goood smartwatch price
43,review-b3169003-4289-42f1-a2e8-d23f3eaa362e,Rutvik Apte,5,Awesome,nice product good touch response quality product nice audio qualityeasily get paired devicesnice look really nice watchits awesome
44,review-831125e1-3ee0-4c3b-bd6c-0b7f29221c7c,Flipkart Customer,4,Value-for-money,good pedometer working withouti walk video recording
45,review-21ecae11-9901-40be-a520-032fb15d1781,Flipkart Customer,5,Best in the market!,nice saml happy
46,review-a3b4249f-9b67-486a-82cd-cfd9a345bc45,Nabin Karmakar,5,Terrific,cool product easy use
47,review-20480e97-cb17-42d2-8e99-43d96bc1af6b,arshdeep singh saroya,1,Very poor,bab product outdated
48,review-8d715ea6-e707-457c-a676-9bcc32117f22,Soneswar Boro,4,Very Good,superbtyping lil problem
49,review-6fdae6f0-b39b-4f7e-bb28-353c5a9e4ebf,Flipkart Customer,1,Utterly Disappointed,ok
50,review-a03ea902-a2ca-4f27-83c5-ff2dddd4a979,LOKESH SAVANTRE,4,Really Nice,nice product
51,review-bcbecd85-7b6b-40e4-96de-035b9ffd6c3d,Flipkart Customer,3,Nice,satisfied lacks basic things like calculator stopwatch battery saverchromesim toolkitwifietcwhich smart watches haveanti lost feature good
52,review-0e993d96-b9a7-4ffa-b5ee-ec9a8fb124c6,Babai Paul,1,Hated it!,bad
53,review-ac9abdcc-fda1-495e-91cc-c2c7ab7ccb24,Flipkart Customer,4,Four Stars,good watch
54,review-430a22dc-3840-450e-a05c-b01035b4dfc7,Sunil kumar .u Kumar .u,3,Good,nice product
55,review-d542f27c-f810-4615-9834-76db9d2d2b61,Tannu Sharma,2,Could be way better,working condition bad product
56,review-073fb145-28e6-4442-b559-74a381bd294f,Vijay Chaudhary,5,Awesome,good product nice qualty love
57,review-a5ab3dcb-c940-4f2e-949d-0708b59b85e8,Ramsvath srinivas nayak Srinivas nayak,5,Excellent,super
