,customer_id,user_name,ratings,review_head,review_body
0,review-c4616ad8-fdf9-4e66-a4e8-4af80c826bb9,Harith Hussain,5,Terrific purchase,first decent watch decent pricepros1 good looking2 better heart rate tracking3 almost 30 days battery backup4 good buildin quality5 magnetic charger6 fast charging takes 1 hour complete charging 7 app notifications8 5 alarmscons1 sometimes takes lot time track heart rate2 could alarm sounds instead vibrations3 button sounds4 normal watch displayplease dont compare smartread
1,review-717bcead-e162-43f0-a43f-63b388ab2b7f,Peeyush Negi,5,Classy product,recieved watch minutes ago box nicely packed watch light weight built quality enough price 26 days since bought watch working fine soon 12 hr format new firmware update life good charged 4 time never 100
2,review-4efff5ee-92f0-4cc0-8afe-fabcf449ec4f,Rishi Pathak,4,Very Good,provides costs thats aforementioned features work perfectly except remote camera doesnt support default camera app use watch app notification etc pretty accurate amazing cost youre getting watch looks like regular digital watch surprisingly light comfortable bit worried going sleep chunky watch didnt issues use well going fread
3,review-77e57384-06a6-4d75-86be-1fed87a15348,Raja Gopalan,5,Fabulous!,lenovo ego1 decent watch fits formal casual outfit2 fits wrist nicely3 backlight nice4 one need install lenovo life sync mobile watch5 accurate capture footsteps heartbeat stuff6 camera function use doesnt support primary camera7 charges quickly long lasting battery8 vibrates user gets call message wont pop name mi band calls display shows call mesread
4,review-05c8e298-e6dd-4984-9d09-1ec048692ced,Anbu Raghu,3,Fair,u ask mi band 3 thisdefinitely mi band 3it fair compare one band 3 rather compared casio digital watches price pointthen went though less feature touch lenovo egoi never liked fitness band band size looks odd hand lenovo ego looks like digital watches smart watch used exams also gives notification calls never shows message
5,review-9963c986-9d89-4c52-8d17-c452355a0713,Aishwary,3,Decent product,using product since last 2 weeks good product looking smart band different vertical rectangle ones yes fitness band avg one term smart watch misnomer quiet like though pros cons arepros1 good battery life charged arrived havent charged since2 rugged look3 gives silent alerts vibration calls messages4 shows time 12 hr format5 hread
6,review-22b3a56f-2dc6-46f8-ba58-27c36d781bd7,Akshay Na,5,Brilliant,watch superits going well got yesterdaylookwaice getting simple lookits looking like normal watch smartwatch heart rate sensor continuously taking measurementif conected lenovo life app enjoy additional functionality including step countingkalorymetersleep monitoringthe watch magnetyc chargerand loved one
7,review-fd496f0c-7b20-43f7-9cfd-b67c1ee9a0ed,Keerthi Ekambaram,5,Worth every penny,good watch take price consideration basic functionality place like heart rate monitor sleep monitor calorie meter call whatsapp etc notifications steps counter better option dont want charge smart watch everyday also liked bombard information coming ex android watch user
8,review-23ab823a-aaa1-4e2f-b5c3-cdd1c6b72a1b,Flipkart Customer,5,Excellent,promising fast two days delivery product works amazing1 charge watch reaches 1002 connect watch mobile via lenovo life app3 submit accurate details weight height4 good go ego
9,review-f09a7c8a-f67e-4a02-9e5e-78a4b71e88f1,MUKESH DUBEY,1,Don't waste your money,watch good got swimming purpose 1 use workingwater seeped inside even though promise watch water waterproof till 50mnot good experience
10,review-a09f2dc9-d570-4408-b3a2-41fc0141a28b,Ganesh Srinivasan,5,Excellent,heart patient heart rate tracking crucial lenovo ego accurately compared fitbit bp instrument oxymeter etc kudos lenovo wonderful device value money price ive seen reviews mentioning doesnt sync phone case sync ipad similar issue fitbit android phone started syncing ipad
11,review-deaae0f1-7c86-4452-bfb4-1d6dd853cb3d,mukesh srivastva,5,Brilliant,price smartwatch looks good thelenovo ego gives similar smart feature set lookout entrylevel smartwatch heart rate tracking good battery life lenovo ego highly recommendedfully paisa wasool smart watch
12,review-4c650490-8b82-47e5-8ab0-e8e1345ee1ff,Flipkart Customer,5,Wonderful,excellent digital cum smart watch good price looking kind combination decent budget instead fitness band came real surprise kudos lenovo team bringing kind combination price range build quality solid bigger display heart rate monitor simply superb notifications also good go looking digital cum smart watch price range
13,review-62d490f8-d439-48b0-aac9-1a8893b2ba29,Arun bharadwaj,5,Terrific,awesome watch battery biggest plus continous heartrate monitor approx dip 10 everyday wise surely come month single full charge takes almost 90100mins one full charge basically fitness band smart watch rugged look digital watch style may attract bw displaypros1battery2 heart rate works really well compared along apple watch almost similar time3 styling opinon othersread
14,review-857f57ec-3d81-467a-b54d-62ac633e0900,Flipkart Customer,5,Terrific purchase,lenovo smart watch iscompetitor mi band 3 honour band 3 amalgamation watch fitness tracker display look good daylight compact fit wrist heart
15,review-7c4e9414-78b3-441f-9bf6-69fb0755d200,Vivek Kumar Srivastav,5,Best in the market!,good smart watchbattery life good attractive product value money activity tracker working accurate
16,review-ebf55547-6767-44c7-90e3-56d3a841178f,Jinu Nair,5,Brilliant,watch looks stylish well build battery life seems promising one day usage battery life step count hrm accuratethe notifications neat notifies notification
17,review-8a8ea8e7-6740-4291-9a55-2a6bd4a7a9eb,Flipkart Customer,1,Terrible product,buy bought thought lenovo good reliable brand good looking smart watch doesnt work smartly advertisement says battery last 20 days doesnt last two day hardly used day dead buttons working expected please dont buy waste money got customer care contact number flipkart working wasted money app pathetic everytime rread
18,review-b786f9af-0baf-49e3-a577-839478c17796,Rajit Shankar Ghosh,3,Just okay,watch good build nice matte finishit useful fitness tracker push move activeits smart notifications basic provide informationfor indepth information watch ultimate review youtube purecast 9
19,review-52c5512f-7aa1-47f7-9a77-d267766b93e5,Amyth Joshi,1,Don't waste your money,heart rate sensor working correctly open product 2 day receiving watching problem requested returning lets see also product functional shows app good go honor band 4 mi band 3 instead
20,review-fe1f1feb-2811-49a1-8140-9784b0bb459c,ANA Nair,3,Decent product,used band microsoft stopped working couple years bought mi band 2 happy wanted band looks like normal watch thats reason went watch however overall im disappointed dont much complains looks feel looks cheap rubbery like normal 100 rupees roadside watch looks individual preference hence complains coming functional aspects added 2000 sread
21,review-9b4a451b-87c9-43f4-894c-a12f15e6d110,Mithun Obulampalli,2,Slightly disappointed,used mi band 3 watch would suggest mi band slightly better performance well features watch notifies call message arrives neither show message sendercaller name build quality quite poor battery back marknot worth price sold
22,review-9fc5f5f0-0d75-40bd-98d9-15e3f51d3636,Satyajit Das,1,Horrible,looks like kid watch look smart watch black n white screen recommend
23,review-65860be5-2659-4964-bde3-4dfa60d2905d,Shreyas D,1,Waste of money!,doesnt work mentioneduseless watch digital watch works smart watch whenever mood work doesnt sync mobile time lags need sync manually every timedoesnt show heart ratein simple words digital watch smart watch
24,review-3b385c03-a55a-4081-9331-91302d42ed44,Flipkart Customer,4,Good choice,nice product main feature like camera control phone got little bit small screen however product good nice reached upto expectations
25,review-9406fc57-95fd-4685-82b4-e9da0f8b30a9,Flipkart Customer,4,Good choice,lenovo ego black smartwatch using 1 week found following pros cons watchpros1 battery life good 1charge still using continuously2 looks good 3belt material goodcons1 step counter give accurate results walking medium speed starts running gives wrong counts almost 25of actual steps2 heart beat counter give accurate results even running shows lesser count 5camera function doeread
26,review-da8ff32f-44cc-4172-926a-ae1ab029be60,Mintu,4,Good quality product,youre looking smart watch instead smart band one go looks like conventional digital watch design loved sports men default watch light weight build tough enough survive rough usage battery life really long watch seamlessly performs function
27,review-383b5f3c-8828-4ff8-8595-b502d11acd6a,Gunturu Srinivasa Reddy,5,Highly recommended,nice watch value money need charge every day like smart watches simple efficient useful people strive fitness
28,review-b20c2f52-b237-4d13-bdae-b18680ac6220,Anthony Machado,1,Worthless,using product past 5 months watch lot negatives positive favorpositive light weight comfortable ti use water proof used working water bold digits decent backlitnegatives watch 1 day memory one forgets sync data lost time function accurate lost 1 minute every day use battery performance degraded fast ie working nearly 3 weeks read
29,review-fe6b24f1-2fda-4334-9340-a74c2137f9aa,RAVI KUMAR,1,Terrible product,watch doubt innovative introduction house lenovopros good looking comfortable wear easy buttons nice display light fast charging longbattery lifecons bluetooth connectivity awful lenovo app helpful display glass scratch prone expensive
30,review-1567ff13-231a-4fd9-bd53-e5e787bd7c7b,ANURAG SINGH,5,Super!,heartbeat monitoring watch looks like normal digital sports watch wear apparel looking fitness bands looked like bangle personally disliked perfect battery life around week full charge put features otherwise last longer overall good smartwatch hr sensor
31,review-048e5909-4edb-4cfb-87cc-9cb81953d676,Flipkart Customer,4,Worth the money,heart rating system doesnt works nice except every thing fantastic displayit charges fast within 30 mins lasts 20 days good design distance tracking also good average according price best product heart rating problem rest
32,review-74c87970-151f-497d-8a35-cdde77d6f129,Rishabh Daga,3,Does the job,looks stylish watch product worth easy get features less price battery life 20 days hardly run 1012 days heart rate feature also works properly many times show 100150 bhp times watch even cannot count
33,review-fc0e5756-3b4b-49dc-ba34-c5fa036e1c30,Kamalanathan P,1,Horrible,within weeks purchase display gone wrong displaying numbers fullyi tried look information website surprise information smart watches lenova websiteno online troubleshooting information watch exists lenova websitei called lenova customer care ivr menu option smart watchesi called service center bangalore dont support smart watchesi chatted customer care thread
34,review-7dcefbfe-840a-4634-b3d6-3ac22410b886,SRINIVASA RAO MUNAGALA,3,Fair,product delivered time without charge later replaced good one 3 days thanks flipkart proactive looks normal watch smart function awesome memory less cannot store 2 days data synchronise every day time accurate delay showing need improve deficiencies better go honor huawei smart bands
35,review-e1261f75-7aee-4de5-80c7-597fb3e41eb1,Aashish Barua,4,Good choice,lets come main points1 heart rate sensor works great2 watch dial good strap not3 range around 3 metre small compared mentioned range4 good battery life last average 9 days5 water proof
36,review-ac73fe0b-aac3-4e3c-bab2-c48f2e2f64fe,Arup Pal,4,Pretty good,good product buy price range battery good holds 15 17 days easily without continuous heart rate monitoring step counter shows accurate counts additional camera feature phone finder features add ons good list overall satisfied product
37,review-8816e3f8-7958-4659-b1de-72bd533d52b7,Flipkart Customer,3,Nice,nice watch category smart watch nothing like smart must say lenovo needs improve connecting apps
38,review-4997baaf-18ea-4064-b16e-6e30d7ef5974,Arya Aditya Dash,5,Fabulous!,superb quality smartwatch lenovo affordable costpros1 watch feels sturdy comfortable wear2 strap materials made good quality feels premium hands3 heart rate monitor pedometer sleep tracking features accuratecons1 dial measurement watch feels smaller size compared smartwatches segment2 glass covering dial scratchproof gets small scratcread
39,review-d1423321-ef7d-49f7-8084-b1cc51d2d87b,Mp Kumar,5,Perfect product!,good looking watch works properly rate snsr good n accurate
40,review-127e3259-fb28-4f85-8247-d5165b5a313b,Thanigaivelan Govindhasamy,5,Super!,look like rugged watch step count heart beat monitor worth buying popular brand like lenovo
41,review-e5847ccb-34a0-469a-b8ee-da02846ac3a9,Flipkart Customer,5,Must buy!,great product moneythis first smart watch loved track steps caloriesits easy usenice product
42,review-2d10a94e-6a88-43ac-a439-bdc642551317,Magesh sadasivam,4,Worth the money,like old style display liking step count accuracy sucks like bluetooth connection feels like smartwatch two green leds flickering take watch hand digital watch sort smartness illusion loved call message alert cost awesome
43,review-123fcfde-d35f-4c6e-9809-70dde4eda045,Ashu Mahendru,5,Simply awesome,good watch great combination watch smart band got watch 1499 great indian sale son happy excited get much features ok considering moderate use highly recommended
44,review-8839cd5e-06a8-4ca1-a6af-2a2a042179bc,Ralph Dass,5,Awesome,good model watch ultimate design refers friends price worth prduct rich look ultimate color
45,review-eb997eba-c8e7-43e6-ac00-7fa3ac27044e,Flipkart Customer,5,Terrific purchase,smart watch price band good battery life accurate activity tracker looks nice
46,review-0f928cec-f9ad-4f59-b24f-234af5100bae,Sunita Rana,5,Just wow!,super product happy buy product great looking best battery full ruff tuf body
47,review-f8431d7a-27e7-46a1-9391-8b1197e8f08a,Flipkart Customer,5,Perfect product!,good smart activity tracker hear rate monitor sleeping monitor working good good battery good product recommend fitness lovers
48,review-b9aa8a8a-1c8b-4b71-a4a4-fcce9117957e,Flipkart Customer,5,Terrific purchase,best smart watch price band battery life good easy charging fat charge also night time display good 100 water proof great going
