,customer_id,user_name,ratings,review_head,review_body
0,review-d248518c-7e97-4de4-9f74-d7d90e033f10,Flipkart Customer,5,Brilliant,powerhouse bought thing gaming especially pubg mobile everything smooth butter play like mortal using know many looking gaming reviews thing best gaming smartphone tablet segment let game a12 got back complaints
1,review-d204b80c-db18-48d3-8172-c89e111e882a,Ashish Fatarphekar,4,Wonderful,bought 14th april 2019 amazing experience using itplaying gamesmusicreading booksbrowsing internet a12 bionic chipset kicks anything given 4 stars apple given support apple pencil 2nd gen flash speaker sound average chassis design revampedpros1 amazing performance2 great display3 battery lifecons1 average camera2 flash3 speaker sound average4 top bottom wide bread
2,review-ddb3923c-cdb6-47e6-aa4d-842d210973e0,Indrajit Munshi,5,Excellent,good product gaming digital artbattery performance goodcamera quality decent good
3,review-a0f61cf2-4678-446e-90ca-8a0793a06ab7,Raju Singh,5,Fabulous!,first apple product best pubg
4,review-af16bd5e-2bc6-4a1e-b013-dfbf826a9d30,Nikhil Kumar,5,Perfect product!,bought days flipkartapple pencil 1st gen works flawlesslydevice smooth battery life great tooperfect designing go
5,review-0562fe77-feb0-4708-8b42-272db4ecd70c,Sai krishna,5,Wonderful,love itperformance equal friends iphone xs maxand running fortnite 60fps smoothly without lag
6,review-6a855520-3e17-4b9e-9470-fdd6cb599341,Vinay Karanam,5,Highly recommended,else say beast performance exceeds expectations forget money best mini tablets find market worth every penny spend navigation smooth butter playing games man man plays every game throw
7,review-db8f3056-b76b-48d7-b687-06d4e8e3499b,Nikhil Palem,5,Perfect product!,awesome experience product feel quality involved start using pocket sized best ipads according size price con support apple 2nd gen
8,review-ae9be62c-45d0-499f-8e0d-1b09ad4b0cdb,Aditya Ahire,5,Fabulous!,purchased ipad mini 5th gen august 2019 december 2019 gaming reading problem play pubg everyday plays game breeze lag disconnection problem battery good gives backup 2 days normal heavy usage sound quality headphones loud crisp fingerprint sensor works nicely without delay picture quality good camera quality average good tabletsoverall read
9,review-d069efef-ae9a-4b94-968f-fea9fc8247cb,Arghodeep Saha,5,Highly recommended,bought pubg gaming totally satisfied awesome product gaming streaming recording lag feels like premium touch hand check gaming videos livestream done using ipad mini youtube channel youtube bengal gamer arg
10,review-e88af0a2-da3d-4b98-a2ef-39833022d2f6,Ravi kumar,5,Must buy!,awesome beast power house destroy anything u throw itapple soc custom made apple graphics chip power u need design cute complaints improve everthing awesome coming ipad pro 105
11,review-357e5cb5-44eb-42bc-825d-f948d29c5669,Anuj Kumar,5,Highly recommended,amazing performance buy variant available stock
12,review-76888c7b-bf0b-46b2-9a1e-45289f0dfa90,Ashish Ayushman Mohanty,5,Perfect product!,awesome product applethough lacking features elder siblings like probut perfomance wise beast pubg mobile running buttery smooth device lags
13,review-c812c582-f196-4b50-af52-8e6fc1f0a899,Mikael Chuaungo,5,Simply awesome,may say expensive dont forget getting fastest soc price 2018 a12 bionic chip still outperforms 2019 snapdragon 855 smartphones certain tests remember optimization ios helps perform better real life usagepros1 perfect size weight helps hour long reading surfing specially playing games try playing pubg ipad pro 1 hour bet arms start giving away2 a12 bionicread
