,customer_id,user_name,ratings,review_head,review_body
0,review-bc6c0308-f684-4e58-a45c-28232f11365d,Mahesh Kolekar,5,Wonderful,honor mediators t3 10 best vfm tabletfollowing features aluminum alloy body96 inches ips hd display quad core cpu 14 ghz processor 4g ready 4800nah battery android 70 3gb ram 32gb internal storage sd card dont know max capacity currently using 16gb card works flawlesslyfollowing details found using device info appsoc model qualcomm snapdragon 425 msm8917core architecture 4x arm cortexa53 1401 mhzmanufacturing proread
1,review-57b8dea7-2f4d-45e8-a08b-d4e4bbeb68f9,Raghu K,1,Slightly disappointed,1 heavy hand2 sound quality poor3 display quality also poor almost like tab purchased 4 yrs back4 huaweis custom android makes feel like still us gingerbread os one worst experience5 worth 15kplease invest
2,review-73057228-d5d5-4bc8-ab3d-69bc5b2dd8b3,Soumyadeep Chakraborty,4,Value-for-money,first impressions would say decent tab students bought reading purposes serves good media consumable device also speakers loud enough screen 720p thats drawback 4g lte works well battery would better gives decent performance custom ui bit heavy heavy games would surely lag sd 425 chip said day day task done easily device cameras average thread
3,review-c5c1aaef-a326-4507-a87a-c617e073d8a6,Rohit Gaikwad,5,Worth every penny,flipkart1 first really thankful flipkart delivery systemas per estimated date delivered 8 days got delivery product withing 2 days5 star delivery system2 packing product great single point damage happenedfor product honor t3 10 pros 1 awesome screen color production2screen size good reading documents movie3offcource preinstalled office tools makes us easy office sturead
4,review-14a17a3d-fa68-44c6-98bd-7f316d35bcc3,Triguna Mutuguppe Sripathi,3,Average product,goodness1 elegant sleek design2 less weight easy carry3 heating issues big plus inspite using charging4 display awesome crystal clear images hd qualityflaws1 auto rotate doesnt work sometimes apps esp myjio2 tab horizontal tab instead vertical one side vertical power button keep high chance touching screen get locked thats annoying caread
5,review-85c7bf09-9c47-4098-a51d-186cfd72af38,Mukesh kumar Dash,4,Good choice,good performancelarge displayaverage resolution battery averagecamera goodoverall value moneyfor watching video reading pdfs good price range less amount tablets available india market good brands
6,review-43b33ccd-edf9-4022-a2d0-ac08897091f4,Harish Kottapalli,5,Terrific,bought tablet big billion days 12k worth 12k actual price 17k get old ipad better display quality performance better camera gave rating 5 12k 3 17k
7,review-eb0ca9b5-fbfc-48bd-9bcd-2d39c26743b3,Flipkart Customer,4,Delightful,good looking average product price point display fantastic nice design fresh marketpoor camera fingerprint sensor little weightyoverall good purchase use watching movies social media readings email games etcnot photo freaks
8,review-b0ae836a-c7d5-48e1-947c-71b42ab07cd6,Er. Pradipta Kishore De,5,Worth every penny,honour mediapad t3 good product resolution display good hd reading purpose good product battery 4800 mha decent
9,review-9eaafc40-7528-4e04-83d7-773e1f7da7d9,Arghya Roy,4,Worth the money,best tablet studying internet browsingbought bbd offer rs 1199900build quality glass top gorilla glass aluminium body back probably painted plastic rim big screen well supported tablet doesnt look cheap plasticky doesnt bend dent pressed two fingers tempered glass attached weighs half kilogram bezel thick 10mm 14mm would prefer tablet sizescreen sread
