,customer_id,user_name,ratings,review_head,review_body
0,review-77999215-9679-4b9c-b637-95d7fdc242f7,Vimal Sri,5,Great product,perfect product
1,review-c0d3fca0-9e8d-4cd4-912c-ee4f7dd672e7,Flipkart Customer,5,Perfect product!,nice product
2,review-7938ea98-e435-47a6-b95f-2c4aaf246474,Ajith B,5,Highly recommended,got 8999 value money
3,review-b08d9578-7690-4e0a-b21e-d7c3456d5ac5,Rishabh Pugalia,5,Great product,nice
4,review-70a101e3-ecce-450c-be31-5bd304a8cc3d,bidhan barik,5,Brilliant,vry nice product value money good quality
5,review-f313433d-490b-4acc-89b2-1312d98dd27b,SAJU M P,5,Mind-blowing purchase,good tablet honornice workingbattery backup awesome
6,review-610368ca-986f-405a-bc71-0d6a4433ddca,shalu,5,Super!,good good heavy gaming though
7,review-a1cf84e4-bf82-45c2-bca6-4e79d7bf0a44,Anugandula Aditya Goud,5,Mind-blowing purchase,nice product
8,review-568c9a55-fe7f-46cd-8c9d-94195e3b2287,Jegin Joseph,4,Value-for-money,writing review using tablet month kind mixed reviewcontaining pros cons u might read whole review thatinitial impression doesnt look cheap kind feels like holding standard tablet believe screen quality average good contrast ratio mediocre sun light readability makes apt media consumption browsing internet thanks 8 inch ips grade displayperread
9,review-270ff549-73cc-442e-a02d-deee8f86374b,Arul dasdas,5,Must buy!,superup
10,review-19d4b91e-a34f-4589-ac18-204f363fa3d7,Abraham P K,5,Terrific,nice worth satisfied performancereally awesome
11,review-5caaf3b7-b34e-49b7-96db-60b70b754156,Flipkart Customer,5,Awesome,really great tab everything great expect
12,review-91b96c97-ea4e-4bba-a5bb-ba794db4fde6,amit arukha,5,Awesome,nice battery backupcamera improvedled flash required sidesperformance moredisplay goodscreen protection required
13,review-5fdeaf03-08b5-4bd3-bf2d-d76466882052,Deepak Jha,2,Not good,little bit dishappy 15 days use face hanging issuego one dont buy
14,review-7cb234ed-753f-43eb-b864-cf9f8347628d,Roopkumar Adhikary,4,Nice product,flipkart delivered within 48 hours value money tab three things didnt like tab 1 day usage review1 display quality bellow average display brightness also less2 sound quality average due single front firing speaker3 fast charge support 1 amp charger supplied box takes almost 45 hours charge 0 100performance good price rangetried medium gfx intensive games handle wellbattery perread
15,review-975ff300-161f-445b-80f7-ff9cb9b51098,Sangeetha Subbu,1,Don't waste your money,flipkart customer friendly anymore wanted return product ordered wrongly permitted anymore reason stay flipkart customer retention flipkarts purview
16,review-637d6bb9-7842-4e6e-a70c-9b096bb12596,Monaj Shahabadi,4,Value-for-money,actually u r used octa core processor thn u hv suffer work slower mob time screen becomes totally black lots app running together backgroundbt worry work good rest good
17,review-6e825ff7-af87-4ba7-900c-fa1657db5d75,Syed Ahmed,4,Really Nice,support volte lte mode option times connecting calls jio dialing app youre going use jio sim right jio u use networks tab need
18,review-8c70e287-9833-45d4-9484-189e0e919101,Flipkart Customer,1,Terrible product,screen resolution good gaming dont buy tablet support volte technology jio
19,review-ea001551-abf5-461e-ac7e-c14c0e21c1fb,Vivek Dwivedi Vivek Dwivedi,4,Really Nice,perfect battery backup
20,review-7221de1c-db97-4bac-ae41-5ac2042232eb,Flipkart Customer,1,Horrible,much software problem spoil money
21,review-60ccfebf-8bc6-4baa-8fc6-7696c1528d0b,Ashish Chauhan,5,Just wow!,high class performance price
22,review-e5266c3d-5eb6-453b-9058-bbcf0233a802,Flipkart Customer,5,Must buy!,tablet really awesomethere storage problem 16 gb internal memory 75gb free usebut memory card slotwe insert memory cardi think expandable 128 gbso overallthis tab good compare one priceit smooth compatible apps playstorejust go
23,review-4cf556d2-72f4-4249-a3cd-4f394dc36078,Pragya Gupta,5,Classy product,completely satisfied product 3 month usage battery life really good like eye comfort mode
24,review-f9320cfd-c30a-4455-ac83-8cdc48074914,ritesh kumar,5,Awesome,good tab display performance best loved product
25,review-3993ac96-a551-4980-bdf8-f01e6b3af2eb,Flipkart Customer,4,Nice product,using since six months wonderful performance good battery cool display paisa vasool
26,review-240aa54e-36d7-4bc5-ba6f-cb930f861e6f,Tejappa Badiger,1,Very poor,bad product getting struck every time flipkart tab check person anything dab baby playingdummy tool
27,review-5ba90ffb-11f0-479d-a88e-18fb5cfb5918,Dharani Natarajan,5,Brilliant,good tab doubt buy
28,review-618a6beb-6e1c-4b4d-be53-e470cdabc75b,niraj tiwary,4,Delightful,outstanding performancevalue money table battery backup nice
29,review-363027b9-b4ef-400d-8657-c15c678bfa64,Anuj kakati,5,Highly recommended,except camera everything finevalue moneyno lags heating issue
30,review-bc0add94-f851-4c2a-aaa1-c794dd880d9c,Aman Goel,3,Just okay,cons 5v 1a charger box charging 0 100 45 hrs internal space 7gb free new bootup support kind fast charging tested 21a qc 20 speaker loud dual speakers great price highpros best display love great battery backup problems call quality used airtel 4g heavy colour tablet something white gold pure gold looks great notification led cread
31,review-d5dc373c-2b82-47c8-b6d9-42fb9c1ce29f,Ajay Meena,5,Must buy!,nice tablet
32,review-0a9dca99-e98b-4886-879d-6f7dd45b5e41,Gourab Ghosh,4,Good quality product,superb charging takes much time display good camera average little lagging overall okgood
33,review-ae8711e2-b8ff-44ce-9e55-654b7239e7f6,anup padhi,3,Just okay,tablet doesnt support jio 4g volte calls even jio4gvoice calling appso dont buy u want use jio sim devicebecoz u wont able returnreplace product based criteria
34,review-0db4f9f0-c6cf-4586-9326-fc37be94f78e,Flipkart Customer,1,Absolute rubbish!,worst item hate tablet money gone flipcart cheating take tab day fixed return refund option one option replacement
35,review-960fc8c1-6964-4c3b-912a-1051890ce453,Rajesh Jaiswal,1,Horrible,touch screen good like china mobile u get 3000rs also slow worst item n option return
