,customer_id,user_name,ratings,review_head,review_body
0,review-a0df83fb-5417-4dc1-8d1a-479937ad153b,Dharmesh Keny,4,Very Good,good flipkart u cheat stylus stylus present box shown image tablet strictly ment entertainment purpose good display sound amazing four speakers battery also good fast charger 18w provided user interface ur using huawei phone stretched icons thank
1,review-96adefd5-538c-4864-b5e0-e4626e536ce0,Pranav Muktibodh,5,Terrific purchase,best tablet available market right directly competing samaung tab ipad 6th gen camera awesome secondary camera placement wrong centre cant use secondary camera hidden case touch display awesome also ordered huawei pen stylus today rs1 promised flipkart earlier happy satisfied jio sim works perfectly lag quite heavy could beread
2,review-8a98bff3-4ac5-428b-99f7-b169e9857958,Flipkart Customer,5,Wonderful,camera average photography purpose video call also looks poor compare phone camera claritystylus pen supplied along tab disappointed purchase flipkart separatelyhuewai keyboard available hence need purchase third parties huewai keyboard support provided worth usbattery capacity found excellent average use expect last long day single chargeprocessor found ok budgeread
3,review-038e750a-9c4d-41bf-ab71-607363a14d6c,Aldrine George,5,Must buy!,looking basic laptop working ms office stream youtube netflix well switch preference tablet itespecially considering price 21000your getting 10 inch full hd display7000 mah batteryslim abd eleganteasy carry around plus sim card sd card slotit even support stylus included package
4,review-0332556c-8c15-477a-8a26-618affbc1236,Deepan Kumar,4,Value-for-money,received tablet without stylus well main reason buying tablet stylus support bundled package couldve gone mediapad t5 samsung tab 101 flipkart assured resolution saturday give update tablet great price screen good sound quad speakers excellent build quality good volume rockers power button bit flimsy battery life surprisingly good read
5,review-15e9e057-89d7-435b-85b5-ee202847e2bc,Rongsenyanger Longkumer,5,Fabulous!,finally getting hands tablet really engrossing reorder since first time cancelled seller reasons unknown value price wait pen flipkart assured available later date fully use tablets potential far good received re1 coupon pen placed order today e 26th october promised flipkart
6,review-f7a22ad5-cad3-438f-babe-fb1280986c4f,suresh g d v m,5,Just wow!,nice value money tablet budget stylus support useful feature started working simply loving experience
7,review-34923eb2-9842-46bb-b525-088c0bc0958d,Flipkart Customer,5,"Great product, mind blowing purchase",really ipad killer performance amazing looks u class apart huawei put handwriting mode every text box enhances productivity another level use stylus taking notes job pretty wellif looking really pafomant tab dont believe lugging laptop everywhere serious contenderfew conslack accessoriesthis pad number 1 product huawei reseller stupid job read
8,review-dce61976-410a-4acd-9dd3-a594f473a28e,arun arun,5,Classy product,sensors works good display awesome camera capture quality improvedthe battery stand good overall 42 5 star rating
9,review-71ad05ac-ab82-47a0-9f23-fba47a39b871,Flipkart Customer,5,Worth every penny,nice product rightly mentioned doesnt comes desktop mode misunderstood probut nice tab better ipad
10,review-6a756d61-b9c1-45fa-bad6-59c62876f386,Pankaj Kadel,5,Awesome,pros screen battery processing build quality pricingcons design tab landscape mode makes bit unusual use especially cover cameras average like tab emui good well optimised personal choice like
11,review-bd310cf3-5087-463b-bec2-da9e4bb73318,Govardhana Rao,1,Don't waste your money,user friendlythey put home button bottom landscape apps support portrait mode rotate thatflipkart deserve rating option return refund quality good product product user friendly definitely think refundi purchased elders home make video callswe need rotate landscape portrait vice versa across using different video call apps
12,review-e3b6978a-ecc0-4964-85b5-708a40a8fa1f,Ranjan Mallick,5,Highly recommended,great value money purchase students used note taking reading books pleasant experience battery backup really good emui interface settings similar apple ipad mpen bought separately gives smooth responsive note taking experience screen 25d toughened curved glass overall great product studying browsing preparing notes making presentations superb product
13,review-5d6bcffe-42d4-49a1-9846-e81276fc3bcd,Uttam Mitra,5,Super!,got stylus pen promised flipkart product true value money sound battery screen quality excellent stylus works well huawei nebo software needs improvemen happy buying product
14,review-b6f6b2ff-68dd-45c5-9698-d358c50a6912,Ashish Prasad,3,Fair,tablet really good entertainment usepros sound quality awesome quad speakers battery looks slim tab con button positioningcons storage 32 gb 10gb occupied os problem use lots apps storing videos pics use sd card performancegaming meant gaming pubg runs low graphics mode camera good video calling video recordingnotefor customers brought bread
