,customer_id,user_name,ratings,review_head,review_body
0,review-1ede4c62-e6f3-4672-bb01-4fbd48226634,Amit Siddhartha,4,Defintely the best tablets with calling features,lenovo fan ever since started using lenovo thinkpad earlier using lenovo yoga 8 inches used 2 years kept working without glitchesso previous lenovo yoga stopped working one fine day thought buying another yoga tablet time black color 2 gb ramtechnically product best tablet category lenovo proved compromises functionality procread
1,review-3533429f-da49-47ef-b4b2-04d1b414a9f8,Raja Sekhar Bogu,5,Value buy - 8 Inch display Size,bought big billion day sale children study always flipkart ekart rocks good packing communication deliveryas tabpros good price rs 11691 sale 2gb ram configuration sites incl lenovo 1gb model long lasting battery 1st time charge lasted 15 hours usage browsing reading books decent screen size 8inch ips display good design allows good grip like book reread
2,review-4c922841-d54d-43d1-b429-ac39f1268198,Kiran G,5,Unleash the beast!!!,yoga 3 8inch 2gb ram awesomecompared yoga 3 1gb lenovo done good upgrade 2gbmultitasking smooth without lagbattery superb dolby atoms speaker rockscamera descent 180 rotating camera useful video callsscreen resolution goodmy main usage watching videos playing high end games far gamesincl rr3 played running smoothly watcing videos cool experience different modes displayoverread
3,review-b6265d5a-4db8-4e78-92bd-0773e5b79c96,Saikat Roy,5,Awesome,market tablet long time might aware tablet market india almost shrunk point nonexistence past years amazons fire good range affordable tablets american market amazon decided discontinue india sometime 201415 left options choose apple ipad mini 2nd generation great interface limited usability mipad xiaomis beast many complaints read
4,review-45d2e935-53b2-4da6-9ba0-90b4edeb155a,PRADIPTA PRAKASH SARANGI,5,Terrific purchase,6200 mah battery really atleast performance wise unmatched tab doubt given price point overall performance upto mark user interface dull better download asus launcher better experience specially battery far 6200 mah concerned great charging also issue takes almost 5hours full 100 status better use fast charger 2amp available market however multimedia experience worth prread
5,review-99bf2366-0586-4e32-bf78-5800906ec64c,Saritha R,5,Highly recommended,using tab 6 months also got android marshmallow update 2 gb ram good option portable tab 10 inch tab tab doesnt support pokemon go apps works without problem marshmallow update shows problem tablets performance 8 mp rotatable camera shots well bright light low light good battery performs well tablet definitely worth checread
6,review-ddb217d4-3fca-4b9e-9556-31d48cbf55b6,Atan Tiwari,5,Simply awesome,nicely performingvalue moneyperfect watching movies streaming videosvery useful watching live cricketsound quality goodthe camera rotated thats nicedoesnt get hangsdisplay crispy brightbuilt quality unique attractiveit looks premium deviceyou cannot get better tablet price rangei took much time read many reviews finally went iti happy satisfied performance firsread
7,review-abd14a23-e33f-4ef2-9fd7-6f3fef06fe70,tushar singh,5,Worth every penny,superb tablet purchased 13499 best price range smoothly runs applications heavy games touch awesome pen technology fine dolby atmosphere key features waat gr8 sound hayonly disappointment camera low quality pics videos seems 8mp camera like ordinary 4 mp price happy screen superb could compromise camera go
8,review-bc2b6035-df90-4905-99fc-83218cf67542,Mithun Nambiar,5,Delightful,great product bought rs 11500 worth every penny smooth touch great sound good battery backup ideal ebook readers professionalss strongly recommend ram less gamers dont choose one
9,review-93f1bc15-e654-4942-a8d6-c87719224216,Flipkart Customer,4,Worth the money,everything fine tab except1 4g sim jio cant used calling whereas data works smoothlysame sim works smoothly handsets2 though ram 2gb playing mp3 winamp surfing net song hangsrest positive tab
10,review-f347fd7a-b03e-4b27-a663-ddb2c10c2edd,Milinds90 .,4,Lenovo Yoga Tab3-8Inch_Superb !!,express delivery flipkart received tab next day purchase superb design battery bar along side makes easy grip hold reading hold long periods time clear brightcrisp resolution 2gb ram 13 ghz quad core processor gives awesome surfing experienceworth buying price
11,review-aac034b0-7a28-4aa7-bef1-48aed8d02b9c,Husain Adenwala,5,Satisfied Customer,1 received yoga tab 3 8 2gb ram promised date2 packing neat tight3 sound display touch camera good4 piece bulky5 performance noticeably fast compared 1gbps screen guard cover included package
12,review-09f0e355-e67e-4064-961c-216840eda139,aashish kushwaha,5,Terrific,dolby doesnt require words appreciated feel sound tab overall works smooth 2gb ram makes tasks convenient 8 inch screen offers unique reading atmosphere blue light filter technology everything today available eformat supports pen technology read book format individual effort saving paper
13,review-00f3d65c-4ba8-43b7-9305-ca923e0ea67d,Flipkart Customer,5,Must buy!,couldnt believe product buy tab happy word saying product amazing fantabulousthe sound tab nice like theater sound becz dolby atmos sound fittedso point veri nice tab ever want buy product u buy without problems queriesand also good reading purpose besti happy full hd resolution camerread
14,review-e5f49cf2-9ad3-4917-86c2-fc39e8ce1901,shubham,4,Best tab with sim support.,hello lenovo yoga 3best things1 lte support possible every time wifi coverage use data sim2 otg support3 rotational camera front back take resolution pictures4 2gb ram enough tab5 battery also good6 8inch screen good carry use7 last least inbuilt steal stand
15,review-5c735500-2192-4278-9c8f-0741c5ff4dea,SUBASH S,5,A master piece from Lenovo,flipkart intime deliveryabout item dolby sound effects pretty good rotatable camera excellent job good light great feelings battery life lag hang far nice display good grip holding rugged constructiona bit heavy screen bit extra sensitive
16,review-6c80f7c2-93af-4a71-90b2-2b0544c3ee09,Kanaga Deepan N,5,Awesome 4G Tablet...,great product great price great battery life performance good enough price jio 4g data works volte ok price cant send messages via jio receives without issues suitable bank otp purposes calls networks 3g2g works without issue uses loudspeaker calls earpiece audio stereo speakers amazing great video consumption go guysupdate got one charging proread
17,review-c31c8798-d773-4ad5-8699-726cbc668698,Dhanesh,4,Good quality product,prosno need hold long time keep anywhere different positionsvery good displayyou rotate camera directionbattery back simply awesomevery easy holdworth 13krecommended home use travelconslittle bit heavy bulkyvery difficult carry yououtdated configurationnot recommended pro gamers
18,review-c6f47079-9e5a-4738-a7de-d7dd99ae3001,Mukesh Barnwal,3,Just okay,depending user product good bad ok requirement good camera video calling bigger screen battery backup longer time gifting father per requirement good product otherwise people whose priority super camera games dont go 2 gb ram 8 mp camera dont much
19,review-b416149c-abc5-48c5-9722-fd18543b05ca,Swati Gupta,4,Wonderful,got around 10k great buy optimal size performance camera good pro elite case best
20,review-8367c20e-7739-4476-a7c1-cb1e3864ee68,Dr C Madhavaraj Customer,4,Good quality product,worth buy got next day fabulous really great speed keep flip kartas tablet good one every inch way described websitei happy purchase
21,review-79046556-1723-46f0-83e5-7e66ec0a2e60,Yash Agrawal,5,Worth every penny,tablet fabulous writing review 4 months heavy usage tab gives awesome feedback lag find starts hanging sometimes battery backup superb literally works 26 hours even heavy usage dont play games reading purpose best want tablet reading watching stuff go
22,review-94c89371-6c94-4f50-bf05-3956891eb90d,Prashant Mirajkar,5,Super!,specifically got 2gb ram price available cheaper rate competitor website using 6 mts done inital update android marshmallowworks flawlessly happy product
23,review-ff762f0e-822c-4501-b4c0-538457e3db1c,Flipkart Customer,5,Best in the market!,already using lenovo tab got one sister superior quality offers big billion day superb toonow feel bit cheated first time bought phone got phone 23 price awesome
24,review-26f6893a-e7a3-4a7d-88c2-2f0fc5e060f1,Sumit Kumar,5,Great product,nice tab nice performance sound quality awesome recommend buy flipkart big billion days got product 11899
25,review-0cf489ed-8c1b-444b-bca1-f743b72690f8,Srikanth Tumuluri,4,Worth the money,flipkart delivered product good condition yoga 3 tablet good price touch sensitivity speed could better liked ergonomics tablet futuristic handy good buy 11k big billion sale
26,review-ce7bf116-d910-41fa-8532-ffca1036d69f,Utkarsh,4,Powerpack Media Tablet,powerful media device perform smoothly sounds powerful itthe tablet good battery backup rotating camera smart value additionthe dolby audio clear loud amazing stand also greatconsgaming preformance seen far poor major lags screen drops happen often even though 2gb ram onboardout box support 4g volte calling install jio app callingnot fan orange stickers read
27,review-e1b4ee96-6a71-400e-9c35-6c1a335406fe,Hitesh Sukhwani,5,Terrific,superb tablet big screen easy use working smoothly thanks flipkart quicker delivery
28,review-62b0624b-79f0-436e-a689-bf3068524eda,mk,5,Best Tab in this range,great tab day day usage best phablet present price rangepro8 inch big small2 gb ram go standard games16 gm internal memory 128gb micro sd store looooot thingsvoice feature big phone features tabgreat speakers dolbyyoga stand innovative gives tablet unique lookthe charger 15amps faster charging earlier 1ampsexcellent build qualityread
29,review-2d150937-bbcb-4035-a93d-9eec02faa59a,Sabarinath L,5,Awesome as New and good,product delivered neatly packed product really good features pricebut personal remark contains google edition ui disturbing since using htc one e9 htc sense uibut apart thisthe tablet really easy use1the rubberized back really protective2back stand useful3dolby atmos best watch fromeven playing games tooooo funcons1the company provided screen guard forread
