customer_id,user_name,ratings,review_head,review_body
review-3d9eb9a7-f348-4708-a9d8-e76c34c24f3e,Flipkart Customer,5,Must buy!,excellent dslr get free moto headset worth 6500 happy
review-c07b89eb-c3dd-484c-acfc-e53f8efe6b19,Prakash,5,Wonderful,good begginers
review-cd38984a-5400-4e0d-8734-25259883996c,Muhammed mirdas Pk,5,Great product,price good products
review-3e019484-0d19-4d7b-bdd1-a8b66c10d5fb,Flipkart Customer,4,Really Nice,good beginnersu see picture quality
review-0eef626d-725f-4f39-b049-6eba6151e027,Vivek Singh Bhardwaz,5,Just wow!,killer product price
review-b12fcf89-abe9-4c70-8759-fa2c30449227,Nitesh Singh,5,Terrific,really nice awesome camera beginners
review-2d721af5-0ccb-4046-b45e-794f6ab32c2e,Rahul Chakraborty,5,Brilliant,awsm im professional using lil bit xperience must say best dslr best budgetperfect beginnersimage quality goodthanx canon thanx flipkart also thanx ecom xpress perfect delivery
review-e7a0ea71-8589-4a85-bc2b-b7ec6b55c92e,Ruthesh M Pawar,5,Perfect product!,best product satisfied
review-e892a0aa-aec7-4db3-8fa3-b4593fc30265,Pavithran,4,Worth the money,camera simply awesomeand best budget dslr begginer dslr first time userauto focus mode works good daylight
review-2d64219b-e534-49b0-bb88-4abb47496486,Venkatesh E,4,Nice product,good value money
review-3ded9cd3-d96c-4e74-9213-f06e51d186f1,Lijo Jose,5,Great product,spr product
review-1456a0f8-997d-4874-8599-06f0265ae71f,KOUSHIK GHOSH,5,Fabulous!,nice cameramy first dslrvery happy
review-b5a0dc66-ea40-45eb-afce-6458fe240967,Antora Bannerjee,5,Worth every penny,everything perfect specially packaging good arrived got surprised carry case didnt expected thank much flipkart
review-458d9c74-4be3-4fe2-aff3-46528fc47c49,Aravind Pyarsani,5,Awesome,good camera love camera
review-212001c4-4676-4ea8-aa38-f8fa73b25350,Shahbaz Quazi,5,Worth every penny,great
review-c26aa2b5-19a3-4c0a-9dcd-abdebbaecd31,Soumik Chakraborty,4,Good quality product,budget dslr beginner
review-313a0c91-2a75-46b8-ac37-e2e3a3580a42,Flipkart Customer,5,Super!,nice camera good designsoft working great camera
review-bb601f39-e2fc-4462-90e1-0622a5a0b64f,Bimal Das,5,Just wow!,awesome
review-6d02f093-965b-41ef-b9d6-32131d89e65b,Flipkart Customer,3,Fair,good camera good quality best photo also videos
review-edc4580c-2188-4205-b1b1-fbb0ffdfd7c7,Flipkart Customer,5,Perfect product!,1st camera awesome
review-cd601004-4a68-4c1c-8f16-837133c7947f,NIKHIL SINGH Rajput,5,Excellent,awesome camera superb picture quality reasonable price
review-b988f33f-050c-47ed-8eb9-f08f97020b32,Haresh Matang,5,Excellent,amazing product beginnen photographer canon always best better dslrsamazing video shoot dslr
review-38e007b5-a0af-469c-9d11-9b37e9addb51,Flipkart Customer,4,Very Good,great cam beginners
review-2b52f407-8081-49aa-bd93-bb1c8bce812b,Kiran Aalvadiya,5,Highly recommended,parfect time delivery nice picture entry level cemera
review-8d7adc27-e2d5-4e16-990d-2ca6593e30f1,Nikhil Gaurav,5,Just wow!,good packed also good
review-219c1991-dce2-4337-a1cd-1714fee3ea9a,Kishore Kumar,4,Great buy at this price range ..good for entry lvl,didnt know much dslr owning would suggest buy touch screen model spending little always buy bundled lens offer else would cost lot buy 55250 lens separately 1855 lens comes along pretty basic
review-3ba14218-bbcc-4cac-9651-81e6b36112e9,Nitesh kamble,5,Super!,nice dslr first dslr best dslr osm
review-75f1f90e-fb3d-4a59-a97a-766585be3195,Flipkart Customer,4,Worth the money,fantastic camera
review-a6a5d132-3193-44e2-8d0b-21083f9419bf,Flipkart Customer,4,Nice product,got yesterday working fine till flipkart delivery awesome
review-7895acb4-1adf-47d8-9d28-758b402a05db,Sachin Cp,5,Best in the market!,good one beginners
review-0c0ffde0-4e54-4bc1-8750-65e39167f3e6,Qrishna,5,Excellent,best camera till personal use travellers
review-d68e7de1-5665-4b1d-b21b-9feee31d6713,Clement Khongsdam,5,Brilliant,camera good expected price thanks flipkart fast delivery
review-a77b8865-6ef1-4e0b-84d2-a451e3e96529,Flipkart Customer,4,Value-for-money,first dslr camara osm
review-67e5e798-9958-4afa-aa60-a6f8e7815a3b,Flipkart Customer,4,Wonderful,amazing product super fast delivery really happy thank flipkart
review-58849b08-b4b8-419b-9148-fe0ea4945385,Arpita Sarkar,5,Must buy!,good camera loved
review-44556ef1-5008-4892-8a3b-3c8a6c8934a8,Sathish Murugan,4,Delightful,hasam guys lets try
review-8db53a18-cbf3-469d-b463-b24b30bc09a0,Leena Nandi,5,Great product,1st camera love
review-6ee8b52f-db80-4d66-b8e2-5d5587eb9455,RAGHAVENDRA MAHENDRAKAR,5,Best in the market!,one word excellentone best dslr camera buy beginners canon never comprimise quality standardsthanks canon
review-7ac395d6-fdc0-4712-885e-75b6999c190e,Flipkart Customer,5,Simply awesome,awesome dslr hard difficult focus click pictures free night time low light conditions
review-a79eb8c6-9226-4e25-913b-8cfa91f8a777,kumaravelu s,4,Good choice,good budject camera bigners good body material plastic body need take care
review-a1cd905f-d347-41ad-a296-641e0c4986ea,Jitu Pradhan,5,Terrific,really canon dslr camera super super hd photo
review-f92623cf-c3ba-4b57-b663-324c6f60b193,shyam J,5,Super!,excellent
review-82d472fa-d71a-40c2-ada6-18dd281bc9e0,santhosh thogiti,5,Classy product,best camera price range beginners
review-f5f8b1ef-1264-41d2-8f96-3a702fdebc60,prashant Srivastava,5,Best in the market!,best beginners
review-a742819f-0bfc-40c7-aae9-d4e16f499c50,Flipkart Customer,5,Fabulous!,simply owesome beginners bought rs20990 n totally loved thank flipkart delivering time
review-f89ca54f-75f1-4521-b2b1-62d557f077ba,Siddhant Pant,5,Mind-blowing purchase,really good beginners like
review-37b8acf0-8816-40b6-ab75-73b271638690,AMBUJ KUSHWAHA,5,Terrific purchase,canon eos3000d beginners good image qulity good battery backup starting photography good
review-1c3bc8bb-53b9-4c13-aded-a9cd73a02618,Surojit Nag,5,Must buy!,best beginners
review-5ade90a1-ad74-4192-acba-23a101bb18ec,Anup Patil,5,Fabulous!,good beginners got 22k offers free motorola pulse bluetooth headset
review-2db19851-b234-408a-b92b-fbfdacc0edf5,Pranesh Balaji,5,Excellent,good camera beginners youve skill thrill
review-0e61665a-a194-42eb-97cf-0bd986b2abda,pankaj sharma,4,Good choice,entry level camera 3000 best camera good quality
review-06d19c34-5c3b-4d2d-8c09-a0fd5e383194,SARIF SEKH,4,Delightful,feature missing like remote pc connect available good camera got 1 year 8 months warranty
review-d0300698-e059-43a7-ab9d-2c86f7c562e7,Flipkart Customer,5,Terrific purchase,superb
review-17d88298-66d2-4415-b4a6-d65160f7f822,Roy,4,Very Good,nyc camera beginnersand delivery boy behavior gentlethanks flipkart
