,customer_id,user_name,ratings,review_head,review_body
0,review-8ea63087-4938-47a4-ba99-cd69bc3d79bc,Jaskaran Singh,4,Wonderful,best bass clear sound
1,review-2abf62a7-2faa-4dd2-aeb6-2fc7f75555fe,Ashhad Nizam,5,Highly recommended,nice product
2,review-504916bb-f9fa-4591-b123-1fede83e3428,Laksh Goyal,4,Wonderful,good sounds
3,review-bc1e27fa-6f51-44c6-9d58-509648cc1739,Rakesh Bepari,5,Just wow!,awesome
4,review-ba1e06b2-f587-49c5-ace0-67c10316dadf,Kumar Vivek,5,Highly recommended,im flipkart plus customer ordering speaker eagerly waiting delivered wanted play well took 7 days deliver product understand load billion sale well bought price tag 1999 im impressed design sound clarity really good got know played old song played bits hidden bass loud adjustable knob given use control pairinread
5,review-c1b0ff22-5652-4809-b21c-df9415d15ba1,Jishnu KS,4,Nice product,bought product big billion sale 18102018 1999 good deal fast delivery flipkartthis product good sound quality nice bass good price range dont compare price range 2k im talking 35k range mrp speaker 39k product worth 35k 35k time good dealpros1 good sound quality2 good bass expectation 3 good lookingcons1 minimum sread
6,review-6b604633-9ca0-4632-bfa4-88fe49a5a210,vineet sagar,5,Wonderful,one best product price range
7,review-4b33d36d-9bee-4b7b-a11b-34d69ba2eaa3,prinso xavier,5,Just wow!,amazing experience fdmy dream want fd home theater good price 2k damaka offerlove fd flipkartgood package tap sticker broken noting missingreally enjoyed itall want explore fdand great bass good quality soundreally amazingpower fullproblemfm clearother perfect mel love itby prinso
8,review-f50e0a76-66e3-4e1e-bc08-287df7158272,Akhil Krishna,4,Pretty good,good pricebass volume loudcreative inspire gives better sound quality
9,review-ca5c773e-456e-4d4b-90bb-c23bf15a2b04,Balaji Rao,4,Good choice,best home theatre 21 around 3k dont go intex othergood basssound quality goodbluetooth connectivity nice max 4mt range
10,review-e253d227-eeea-4378-afc5-bbaa6435f8ca,Vignesh sk,4,Very Good,good onebyt time turn speakers power itplus change volume sun dth setup channel changes
11,review-9c2b666a-f3ff-409b-af21-64dfb378420a,Amit Verma,5,Super!,bass awesome dikchik dikchik type resonating bass awesome audio clarityusb mode best comes bluetooth compared accordance sound qualitybest hostelitespros bass 910audio quality 1010built quality 1010looks 910connectivity 1010fm 910cons volume roker apart bass controller sub wooferconsider price segment
12,review-32c1c439-8466-4c04-b187-82f1806f104d,Goverdhan Singh Meena,4,Wonderful,gotjust rs1999full value moneyawesome product price
13,review-2a187861-8763-4657-b3a4-86a25756dd0b,Bongurala Darshan Kumar,4,Pretty good,nice product
14,review-b37c3126-cfed-43cc-a631-c7d119c5f6a0,RUPESH KUMAR,5,Great product,product good bass exellentflipkart fast deliveryi hayppy product
15,review-f92fc407-5917-4295-9944-730e26e96177,Shiv Kumar sharma,5,MIND BLOWING PRODUCT from FLIPKART!!!!!,awesome speakerssuperb bass qualityjust paisa wasool productgo must buy
16,review-07bb8128-c1c3-4e88-9029-67d620b43435,Mudit Pandey,5,Terrific purchase,nice sound best sony
17,review-5e312235-0fc8-4f68-9395-df5de6a418d6,sandeep kumar Shaw,5,Mind-blowing purchase,value money rs 2429awesome productfm bt usb spottedproduct 5 stars andcourier service 3 stars
18,review-f35fb4ee-848c-4040-99b8-44b9692d917f,Vijay Goswami,5,Terrific purchase,nice sound qualityamazingproduct fd
19,review-37017722-8a24-4357-b01c-7553eee91a61,Flipkart Customer,5,Terrific,nice product liked
20,review-01ec2849-83b7-4aeb-b0e0-8e3e8a137591,aapkamalay,4,Good quality product,excellent product price category
21,review-cedf32d4-2dee-4a0b-a789-2a27159e462b,Akshat Singh,5,Awesome,amazing sounds quality fabulous basevalue money product
22,review-42435217-b1a2-457c-8736-eea5038e4548,Lakshman Bera,5,Super!,super sounds super bass im happy
23,review-afea232d-e6a2-45ee-baa1-8eff01695bc5,Amar Upadhyay,4,Nice product,nice product good sound qualityau
24,review-d472d243-07e0-4fdd-a85d-cc3cce82e571,Sumit Kumar,5,Mind-blowing purchase,considering price definitely say one best option available market saying personally heard experienced quality sound many speaker based say right top among speaker around 2000 definitely much better speaker spend little extra
25,review-4510678c-4fa6-4f4d-9784-c333a5138d58,Suraj Ghitaure,5,Just wow!,home theater good roomand bass good compared price speakers
