,customer_id,user_name,ratings,review_head,review_body
0,review-1d8fc38f-127e-431c-8871-e4961ec549df,Varun Dedhia,4,Paisa Vasool,awesome speaker must buy bluetooth speaker reasonable price worth investment paisa vasool ps drawback volume adjustment button
1,review-f00edfef-373c-4004-8c67-3940a2fa0ebd,Romit Roy,5,Brilliant,stunning incredibly stylishphilips hats booms floor amazing equipmentoperationthe surface really smooth lets place anywhere everywherebest feature operated remotelychargejust charge 2 hours usb 30 else 3 hours unleash beastno compatibility issuesjust pair device enjoy moment
2,review-6525b709-1c02-4c97-b550-bbb1367f1559,Ashish S,2,Could be way better,quality expectedthe sound breaks reaching almost full volumealso bt connection goes itselfmight defective product casedidnt expect quality phillips flipkart
3,review-e08381b1-fce1-4c03-bcd6-d0122d67233a,Flipkart Customer,5,Fabulous!,say hello little friendsmall portable pocketsized speaker reasonable priceloved colour combination cola shaped designsound good enough small sized room
4,review-a1e0ded8-4f66-4322-86eb-861aba5703f2,ABHRA JYOTI ADHIKARY,5,Classy product,nice product nice sound
5,review-83effe9b-cb98-4506-8561-e4f595dd1668,Gaurav Arora,5,Nikke Speaker Da Vadda Dhamaka.... ATT,got 1259 big billion daysgreat sound quality clarity wellbluetooth connectivity goodamazing attaractive lookeasy handy
6,review-5260ee86-a445-47e8-9602-4cecc482b589,Deepanshu Dahiya,4,Really Nice,product got timei happythe quality product awesomein box got bluetooth speaker data cablethe company dont provide adapter
7,review-ee1e6c22-7af8-47d8-ad57-22b36072332e,Amresh Kumar,5,Highly recommended,working nice sound limited otherwise clear sound good bass like wireless blootooth
8,review-c72d1797-2025-4edb-bdbc-bf15557fb808,Ashish Singh Tomar,4,Good quality product,pros look battery size portabilitysound claritycons loudover 810 per price value
9,review-87a053e3-a6bd-46e7-884b-25e03a4f32b0,Kaustav Roy,5,Best in the market!,awesome sounds
10,review-ed202d54-e2ca-4fdf-ba20-28f1523a8987,Ranjeet Kumar,5,Just wow!,speaker uploaded picture 2years using feel buying superb sound quality battery backup must recommend dont think buy
11,review-a3a992d9-5e89-4e3e-ae49-612fcda64e80,Flipkart Customer,3,Faced minor issues,volume isnt loud
12,review-85eeec85-48a4-4553-8cfd-3d3527bfb079,Ankit Dalal,5,Worth every penny,small speaker amazing must go love itthankyou flipkart philips amazing product
13,review-eea1deb3-7178-4c20-9f34-ea53f5c0e725,Mohd. Rashid,4,Nice product,good producti thia product since year never problems product quality anything dont think twice go would disappointed trust way plastic built quality really premium recommended one
14,review-9d286756-a049-4e1f-b0a8-0eaabeae8bfc,anubha agrawal,5,Highly recommended,awesome speakers value money definitely buy confused choosing bluetooth speaker
15,review-534fd2bf-ef2d-41a3-82e1-31bc6bbf14f7,Rikash Choudhury,4,Liked it!,good price range
16,review-89ac0f8f-72ac-4d36-8e77-f60d6fca2966,Chimila Bhutia,5,Terrific purchase,nice
17,review-b6d26f85-8d36-4825-99e8-308378285b65,Aaaaa Mmmmm,1,Wonderful,soundloudness battery life everything fine may 20 uses devices detect hence cant connect didnt even send aux cable disappointed delivery time packing good though bad product
18,review-aa088309-0f88-4fff-b265-80e430051169,Laraib Baig,5,Just wow!,value money
19,review-d4b0545f-9901-41e1-a9a5-8f163f7ead14,Geetanjali D,3,not happy with battey,says 6 hrs plays two hrs fully charged happy battery performance
