,customer_id,user_name,ratings,review_head,review_body
0,review-7b1a05e5-32f8-4b3c-9f48-d96251980a19,Arun Augustine,5,Classy product,excellent sound quality
1,review-5ef889e7-d437-42eb-b626-ae30f2e99e30,Arun C,5,Simply awesome,always flipkart packaging great comes speaker dont expect muchits 3w speaker sound quality great bass good enough 3w speaker battery charging time around 15 hours got 5 hoursat 70 volume 330 hoursat 100 volume total 830 hours playback time single charge full volume u get playback time 5 hoursit depends 70 volume get 10 hours portronics sound drum price range aread
2,review-66056041-1c1d-41fb-96c8-036a791f3ecb,Flipkart Customer,5,Mind-blowing purchase,excellent doesnt expect anything price
3,review-1440c946-33be-40c5-b65a-adbea6e7968d,Flipkart Customer,2,Not good,good product big mistake bout thing 28 days nownow time working please careful everyone ok thank
4,review-9f759af9-b0fc-4fbd-98a8-556f782c59a5,Laxminarayan Rathore,5,Great product,superb sound qualitysuperb basssuperb battery back upawesomeness lookingsmart feeling
5,review-a62574cc-afce-4cc1-9c21-8ca8c27efe98,Akhil Madhu,4,Wonderful,nice product
6,review-dd354cc3-25cf-4437-a500-980d98111e75,sai nived,5,Must buy!,steal deal
7,review-268ebea4-9e4d-488f-8369-77a34f21dd17,Subham Hati,5,Classy product,amazing devicebass good sound clarity 910but price highbut price slightly higher
8,review-9dfed386-9b35-4f61-a25f-de80bbac2026,Godwin Tgn,5,Awesome,good sound clarity bass high compare size device high decent battery backup good design better portability
9,review-20b9dc3f-200b-4028-bc6e-b393b8271380,2GUD Customer,5,Terrific purchase,super amazing music bass
10,review-300cf823-b2e4-454d-8d39-abea207cd898,khagesh pandey,5,Simply awesome,really super gift flipkartlove designit give primium feel handslove jbl love flipkart tysm extra 10 discountlike
11,review-44316180-9544-4f5e-a755-016b9c47cc37,Binod Pandey,5,Excellent,awesome speaker compact size good sound quality
12,review-956e399c-79f7-4ede-b266-c5261b258c4e,Insaf Ali,5,Perfect product!,mind blowing purchasecrystal clear sound
13,review-f33ac28d-c8d1-420e-b72a-59912abd6a3f,Jomel Benny Thottiyil,4,Worth the money,super
14,review-cc3c86b5-dddc-4f91-9910-acf315439265,Ashish Saxena,4,Good choice,fits well room party
15,review-4c671c1c-4fd4-48a7-a975-4c1f27ea17aa,Jasnoor Singh Bedi,5,Highly recommended,awsmmm speakers need complimenting speaking worth got 700
16,review-cb829d23-f84a-44c4-bf70-f554e0350e3c,Ayush Parwal,1,Worst experience ever!,im relly disappointed youseller bass design fool us seriously man want refund denied
17,review-4f0ba781-5bc5-4060-bf9f-83a000549c16,ANKUR SINGH,5,Best in the market!,best bluetooth speaker budgetjbl sound quality best dont hope dj like bassit gives quality sounds enjoy songsperfect roombuilt quality goodbattery backup 45 hour 80 volumefull charge 25 hrbig jbl go
18,review-63965ffb-7787-49cf-a3a1-f7915643579e,GOKUL Pallath,5,Super!,sound experience terrficcrystal clear sound superb bass package
19,review-b82ae0f0-cec5-4bff-af86-d18b0debc528,Premkumar Kesavan,5,Just wow!,wow amazing sound clarity
20,review-79091869-60f6-4d2d-89a2-dea59aa983eb,Ritij Sharma,5,Awesome,brilliant product
21,review-c68412cf-3e76-4823-87a7-acbafa2c167f,Mohit Agarwal,5,Super!,fantabulously fantastic product got total genuine product
22,review-40c5430c-28cf-4eb5-b123-d0b0869c8c46,Nilima Bhute,5,Best in the market!,thnx flipkart nice sound quality nice device design
23,review-dd7e7423-e6ef-410d-9dba-8984188ce105,sen sunny,5,Must buy!,though first bluetooth speaker terrific area sound pumbs really clear voice make mood sense around really liked
24,review-2665f8b7-5f16-4e3c-bd9d-a604319a4512,Anantharjun K R,5,Terrific,omg jbl sufficient light room big loud clear beats booms small big cracker speaker arena value 110 money great quality product harman kardon thanks flipkart faster delivery
25,review-698e363a-1f87-40c6-9740-5c1bc2628755,Sarvjeet Yadav,5,Terrific purchase,awesome product jbl got rs700only
26,review-3d74322c-d70f-4dc6-b4f2-84946fb86768,arnab ghosh,5,Excellent,better expected seriously bestdimension 97 80 35 cmperfect carrying size small big pros1 size light weight2 sound quality3 small woofer right side led light visible net andthe velevet cover removed4 battery life5 simple controls6 jbl signature 7 long range connectivity8 simple design9 built microphone10 capable call via speakerconsread
27,review-58815999-8168-4c26-9386-c9733a938b5c,Flipkart Customer,5,Fabulous!,great sound quality expect form jbl base good consider size design compact easy hand
28,review-57f21a84-6b3a-4728-834e-da67171f54c2,Flipkart Customer,5,Just wow!,sound really good
29,review-239f8281-2ef1-4de8-9ee7-1b2381676309,Ashok Kumar,5,Wonderful,super speaker
30,review-fd7bf3de-34ca-43c7-a740-94ad3d534214,Tukay Debnath,3,Just okay,good product awausam bass sound
