,customer_id,user_name,ratings,review_head,review_body
0,review-be8a9a11-1bf4-4d20-b1c2-307627836fe9,Chirag Chatpar,5,Fabulous!,honest review speaker boombastic grenade blast sound doesnt crack 100 volumebest medium sized roomrs 1500 extremely underated price worth definitely builtin quality sound outputcheers boatlook forward exciting products
1,review-08b1cde4-4f4a-497b-9e82-4396665d3586,shhsh shshsh,5,Great product,super
2,review-2a65018a-0ce2-479b-b810-a149d1387dc7,Vijay Ingale,5,Perfect product!,nice productbass heart toch
3,review-32eddc62-d204-4243-8528-5174f402358a,Rishi Pratap Singh,5,Just wow!,used several bluetooth speakers one really great sound quality reach bass really dhamaka bass radiator mean time wont hurt ears grenade reality guys go need one
4,review-baf037f5-1f9c-401f-8fa6-c48ab4fddf9a,Flipkart Customer,5,Super!,best bluetooth speaker price range really granade music lovers
5,review-a0f0356a-7ede-4c66-9876-1ee595fa7a36,Ganesan Ganesan,5,Perfect product!,super
6,review-6a688adf-b199-4c5c-8166-4f282753d676,Sanjeev Guntha,5,Excellent,little granade
7,review-338f2c4c-b741-4498-bbf7-6d537d989876,Vivek Vivek,5,Excellent,premium built quality good sound quality exlnt bass pretty good battery backup 67 hrs
8,review-be3bde33-af0f-43ea-981f-bb0f6f99bdf4,Arun,4,Very Good,good big quality
9,review-4fb35124-ecd2-4d3a-b1e2-61b83c312bd3,Vaibhav Pokar,5,Classy product,4th boat bluetooth speaker earlier 3 boat stone 200 feel likes real grenade awesome sound quality much deeper bass boombastic worth price
10,review-6e44ee13-ee68-4a1a-8cc1-2fe1bf32169a,Aashish Sharma,5,Terrific purchase,ordered 2 great love
11,review-fad34354-b282-4d23-9d14-4586f228bb7f,Mohit jha,5,Wonderful,boombastic speaker bass big strong basssound like home theatre really impressed boat thanks flipkart
12,review-891727c3-1db7-42c0-9e35-8d5245a1a32f,vamsIKrishna,5,Must buy!,excellent product pricei cant imagine bass comesuperb build quality highlight product aux cable sd card supportbest speaker weekend parties
13,review-730b5268-c8bd-4569-96c4-d0d83e1cb04b,Tajinder AulAkh,5,Just wow!,audio quality good automatically button use change song single press increase vol need long press
14,review-94ba8333-9949-457f-af23-2624656c405f,Neel Thapa,5,Perfect product!,awesomeness bass
15,review-2e9e9ad8-cf47-4134-aaf3-d3da79d0956f,Sumit kr Barman,5,Brilliant,jst wowww
16,review-137d0cac-af43-4cb1-a7ec-6c74267d38ba,Soumen Bangal,5,Awesome,nice productgood sound good bassnice battery
17,review-90773cdb-aec7-4f66-b509-b56b70ec8213,Utkarsh Mahamune,5,Just wow!,best bluetooth speaker rangeearlier using sony speaker higher side terms cost compare one thought best speaker got speaker views changedthe build good strap useful specifically liked bass speakerworth money
18,review-91451095-94fe-4dbb-b3da-a15100176bba,Ramakrishna Reddy Kistipati,5,Terrific purchase,awesome quality loved great build
19,review-8d62d694-c07e-47e4-94e9-efdc0f7fc96c,Jeet Bhattacharjee,5,Brilliant,youre bass lover speaker good love speaker much much better sony xb10 jbl go go
20,review-0d574429-434b-4952-98a7-10e5757913bd,Vishal Kumar,5,Brilliant,simply owsm like
21,review-85ae1da0-0431-4a1c-a023-97cb0e040a97,Manish Kumar,3,Just okay,loud boat stone 200 3w louder also less battery backupbut one thing considerable speaker even highest sound clear sound doesnt get burst
22,review-298636fd-a06d-482f-b3c8-21aed175753d,HIMANSHU NAYAK,5,Just wow!,master piece still gorgeous looking one lots super sounds quality premium bass effect proper design carry hand strap makes easy aux memory card options cherry water protection ip x 6 days essential carry everywhere without tention
23,review-bfdcb99f-bdb3-403e-8082-42e462fd7b6e,Anirban Patra,3,Nice,experience great terms pricingbut looks like bottle bear gryllsbut bluetooth connectivity little bit issuesand aux cable shortvibration full volume
24,review-77d6a2e2-c589-4fbe-90fe-cbdf8f1da656,Flipkart Customer,4,Very Good,boomboat grenade masterpiecethough hv flawsbut look n price covers alot
25,review-8cd7b847-ce2b-4ed2-97a7-eb5216954633,Chetan Nayak,5,Excellent,used boat stone grenade 2 months huge clear sound clear bass nice productafter grenade gifted mom mom love product wellthis price range boat stone grenade excellent product
26,review-09c89424-af1f-4c50-9178-6d25656fe300,VIKASH SAWAIYAN,4,Value-for-money,compare price product quite impressive
27,review-5be90550-3134-4d46-a801-55bddaabace7,Amuthan SP,5,Worth every penny,nice speaker effective bass worth product price go
28,review-b93ebbbe-9098-4c27-b7b6-d7b2f9ac744d,Ramjan Ali,5,Awesome,nice product
29,review-ca23471a-7f92-46d4-ac1a-258eeacbb21c,Flipkart Customer,5,Best in the market!,super product
30,review-0e538a66-c916-4fd8-a2a5-fe08808f9646,Bisanka Mondal,5,Simply awesome,nice
31,review-74ca2459-ad70-4338-a748-5973cfa3436a,Himanshu Chanda,4,Very Good,good
32,review-3c5af90b-1ac9-48e7-944e-259c23107919,Flipkart Customer,5,Fabulous!,nice
33,review-64198668-6349-40c8-a2a7-735185f16af0,Flipkart Customer,5,Terrific purchase,best bluetooth speaker price
34,review-58a90e15-e4cf-4ae6-8705-0442e86f1292,Satyabrat Sahoo,5,Highly recommended,nice product go
35,review-0a5b0b01-a0ea-4846-a104-1f989bdd1224,Reifford Nongbri,1,Did not meet expectations,firstly hate voice appear turning cant even reduce volume disabled bluetooth connectivity poor one room another seller doesnt allow refundbut sound quality amazing
36,review-f996e81e-3074-43d6-8e20-ef99e8a36c55,bhai amit kumar,1,Did not meet expectations,provided old one used product
37,review-611084dd-b53f-4039-b939-a34ebce34955,Ansh Rajput,5,Just wow!,super mind blowing mini dj powerful bass buy boat stone speaker
38,review-10dc3866-32c8-4671-9de4-587a8183a3c4,Dr.Aniket S Shete,5,Terrific purchase,overall range best product less bluetooth connectivity compared jbl
39,review-5f073391-2313-441e-b672-e1f072f08b6a,firos kham,4,Worth the money,good products purches amound 1350
40,review-52063fcf-c4b7-4667-b5d2-cc062f8e3f2a,Pushpendra Bhadauria,5,Must buy!,damn good gadget medium roomits ok play open places tooin conclusion good gadget
41,review-4b3b59f3-4fe7-44d0-aeaa-241633fd627b,Vijay Rana,4,Good choice,good speaker bass qaulity osm
42,review-7d546a23-2a01-40f6-8cc3-d08f9a4b1ef1,Anilbhai vasava,4,Worth the money,good
43,review-3f6afbb7-7d79-40eb-b55f-97332890a384,Midhun Raj,5,Worth every penny,built quality sound clarity connectivity battery backup awesome bass normal best price
44,review-0dedc5e4-511f-4c4d-bcf3-ea23015e7f38,Neeraj Misra,5,Terrific,battery backup yet tested product good one nice build quality sound output loved
45,review-2b2db8bb-8e01-4e95-9077-30e5cd920d34,Palash Ghosh,5,Terrific purchase,simply boombastic
46,review-b8fc4ea4-6e0d-475a-aea7-35d25c66bb02,Flipkart Customer,5,Buy,good quality
47,review-96225010-74f5-4880-980f-1983d0eca6f0,Ashish Thegim,4,Worth the money,good product love
48,review-fc3ea30d-548d-42a8-a786-12406603f255,Shireen Lader,3,Decent product,bluetooth connectivity poor bass harsh voice clarity missing unlike iball lg sony
49,review-37249a86-3e84-4c1b-a390-e3e5e65d7996,Karan Kalra,3,Fair,bluetooth range mark overall product good looks good sound good much bass still ok bluetooth range pathetic
50,review-76d9316b-feaf-4dd5-b0a6-a5411639e86b,Anupam Deka,5,Wonderful,worth every penny good product price segment thanks boat
51,review-794c37fc-bfca-4616-a93b-1294f289b5da,Nabo Rava,3,Fair,using months memory card slot working
52,review-9a5e6da7-932f-42b0-9532-57f249b715ee,Abhay Chauhan,5,Perfect product!,best partner musicthe strip provided useful hang anywheredesign build quality good problem water use raining alsoloudness good comparision sizeso dont think muchjust order music buddy
53,review-eccf5b1f-e7f0-4d78-992b-1c831a6d952b,Rajesh Jangid,3,Does the job,volume tht much loud jst want return exchange go 10w speaker
54,review-7989c4fa-8da3-4b1f-ba7f-6b3175476d0e,Flipkart Customer,3,Nice,sound louder previously used logitech x50 far powerful bass quality battery back ok recommend logitech x50 1500 budget
55,review-e6b0c4f2-c95c-43be-a294-8c61f729338e,Mahesh Bhatt,5,Terrific purchase,nice sound good quality design
56,review-8f260b0d-54cd-4ba9-9d38-0bd6cfec8be7,Gagan Singh,3,Just okay,super product
57,review-f6dc2a60-1b1a-4573-9dc2-c7f67b75687c,Vikram singh Sigh,5,Mind-blowing purchase,nice product
58,review-bb03de78-5192-47d8-bca2-8db4d72b3daa,Shubha Debnath,4,Really Nice,sound quality pretty good best small room battery backup expectation
59,review-d2db3457-9808-4c52-9cf5-33bb17bd031b,Sachin Dhiman,5,Classy product,iys great nd aweosme prdct nice quality sound everthinh
60,review-b0d9f228-1b42-4c65-9864-829a564fa869,Flipkart Customer,5,Just wow!,speaker size small sound like cinema hall
61,review-44d57562-7c21-4905-8c67-152a0b7352e8,PRITAM TALUKDER,5,Worth every penny,nice sound worth bass awesome portable friendly
62,review-a4e44f4c-35cb-4fff-a6f9-c83018fbeef1,Tirtha Banrejee,4,Pretty good,good product
63,review-a59c6b91-97b5-4817-a9b1-869df6913179,Yashobanta Mahanta,5,Highly recommended,supper products 999
64,review-4e9ac185-e129-4e1c-b148-d480ec55f6ce,Indu Chaudhary,5,Classy product,dont know much technical supportbut sound quality awesome plus good battery backup
65,review-8dee161d-b664-4be2-8317-3c9980226020,Sabia Chowdhury,4,Worth the money,okbut problem volume buttons working properly instead regulating volume behaving like next previous buttons
66,review-39d61bfe-7ac5-4ff1-aca0-878342b79822,Flipkart Customer,5,Fabulous!,great productif u r thinkng buy 5 w speaker buy product without confusion bcoz deserve 5 star
67,review-782ff078-9a2a-4301-9c0d-6f34e9c94845,rakesh Adhikari,4,Wonderful,nice speakerlike mini home theateri loved
68,review-ea0c446f-2652-4969-80fc-1a8a5b0b77ac,Naran Dangar,5,Perfect product!,nice sound quality
69,review-6fb71ee0-c2ec-4730-bde7-89425b2462b0,Rahul Jindal,5,Great product,awesome prise
70,review-c9aa13de-fad1-48c0-a3e1-654a83328f84,Rashel Chowdhury,5,Worth every penny,good
71,review-6031a014-b6db-4bbf-a116-4b44ca476c93,Pralay Vasava,5,Classy product,good
72,review-6a4e7e77-d6d2-43d0-9d4a-50fcd2efb16d,rithu paran,4,Value-for-money,iam loving heavy bass cant believe seriously device sound iam hearing
73,review-15581761-81dd-4a6f-9a00-1f43484bb1ff,Flipkart Customer,4,Good quality product,connectivity nat goodrest excellent
74,review-c3ad2004-2bcf-49ee-8461-44de0e088679,Rupam Gogoi,4,Worth the money,good bluetooth range longwork perfectly around 5m 6m
75,review-ccac4d74-d26c-47c5-aff2-ca52175e14c8,Bikky kumar,5,Best in the market!,good product
76,review-03b54354-e90c-46ba-9a56-bb9ab773f985,Shivank Rana,5,Awesome design,bass boosted awesome soundbetter jbl sony
77,review-55e8f7d6-1d8c-4c4a-860c-08668e709085,Subhendu Dey,5,Just wow!,yes grenade sound quality superb awesome battery backup lucky
78,review-70b2cd7e-4ce0-45ba-a847-5008c76e6c38,Mohammad Shamsuddin,5,Super!,wow nice super
79,review-f141f0fe-786f-4e60-b796-3abc1041de54,Saubhagya Ranjan Barik,5,Highly recommended,wonderful productmost valuable product
80,review-40fe5008-6f34-4e8c-9393-87e034016f08,Flipkart Customer,4,Delightful,sound quality awesomebass averagevery loud
81,review-7ac6b029-3996-46b0-8781-4cf833623141,Sonu Verma,4,Very Good,unique qualities amazing sounds bass
82,review-29408812-4452-4021-b4e1-217a5c93659b,Rahul Saini,5,Highly recommended,superb amazing thanks boat
83,review-66b51b34-2a47-4d6c-aac2-d2de2e687e4c,Vishveshwer kumar,3,Just okay,bluetooth range good
84,review-6af8ec37-9430-4990-be91-e0bcf49c7ff8,Flipkart Customer,4,Nice product,buy 1400the speaker good
85,review-2327e289-3b91-41e8-a00b-fb401a6124fb,Shivam Bhushan Sharma,4,Good quality product,excellent product good mini parties
86,review-1df60181-cda3-447d-885e-f083cf6d600a,Punam Kumari,5,Awesome,best speaker
87,review-bfc13659-b7e4-4c0e-9fd7-3c16439467e2,rohit bora,5,Worth every penny,awesome sound good voicethanks flicpcart
88,review-5d8201f5-9fd1-4248-91ed-ff7483777658,Debranjan Mukharjee,5,Worth every penny,awesome thanks flipkart
89,review-ffabc5bf-71d1-48a8-b717-77807db9eee7,Flipkart Customer,5,Excellent,thanx flipkart
90,review-09ebbf98-5b44-4fbf-8af4-4afb81396a0d,Shubham Baranwal,5,Perfect product!,fabulous product nice sound quality battery back use approx 6 hrs complete charging 10 mts connectivity
91,review-d88296cb-8a76-46f3-9f4e-2128459dcf3a,Sibi Prakash,4,Wonderful,good sound bad
