,customer_id,user_name,ratings,review_head,review_body
0,review-f49ef97e-bfa4-4feb-8aa2-101227c9aab9,Thirumurthy G,3,Just okay,good broken one week
1,review-17f4d189-bc87-420a-a888-08851c0a4c76,Subash Sharma,5,Awesome,nice product
2,review-d39734fd-fe3f-43c0-91d2-b236e7fecab6,Mohammed Aejas,1,Not recommended at all,quality good
3,review-468985e0-6c89-4ce1-b27b-f7e26e2e98c7,Praveen Kumar,4,Wonderful,good item less money
4,review-5c2e7a92-fc28-4da4-8f85-6e4c67c895e4,Flipkart Customer,5,Perfect product!,good
5,review-9deeafaa-ca93-42f7-999b-27de66d7e3f7,Fathima Shahina,5,Perfect product!,good
6,review-5e6496fc-c312-4966-bee0-efe038bda5fd,Ravi Thapa,5,Best in the market!,good product
7,review-9d2e4b6b-9694-49b2-802c-e5a1e9d6c5a0,Sukhpal singh,1,Don't waste your money,bad low quality stand
8,review-616401b2-fe76-4585-af69-bb420b02eeb7,Flipkart Customer,1,Useless product,waste dnt purchase thisthis truly useless
9,review-4aef52d0-ff7e-4a93-a8d0-c335544f1bd6,Flipkart Customer,1,Absolute rubbish!,bad
10,review-2efff6fc-648c-45b3-bea2-94b7fb7ce893,Shanu Faris,5,Terrific purchase,sup
11,review-703153be-3235-4f06-9cb4-f88035c34251,Priya Sarkar,5,Classy product,nice products replacing
12,review-0529bd8a-d8e5-4f6b-b3b0-5e7ea9645ca6,Flipkart Customer,5,Best in the market!,mass
13,review-34bc452f-ac46-49d5-8f12-76090ed4ec61,Amar soni,3,Good,bad
14,review-73521275-c889-4510-b22a-3436e9578095,Debabrata Shit,5,Classy product,value money
15,review-f7208755-b042-429a-a0e6-09c564e08072,SWAMI ASHRUBA KHANDARE,1,Unsatisfactory,dont buy product
16,review-a0a22ad1-0bf7-44b4-8573-72c4c13b330f,KRISHNADAS CR,1,Horrible,loss money stability life minimum
17,review-38b8d54a-1287-4840-a896-ee9a6faa3d5b,Shashi Kant,4,Value-for-money,good product
18,review-481b4f9e-91e0-4aba-8a54-d3bb7b7aa587,Suri Bandi,1,Unsatisfactory,work low metirial
19,review-8064bfe8-bdaf-4e8a-99ea-b1e518ed455c,Siddharth Singh,1,Not recommended at all,light product weak tripod
20,review-68597fcd-1171-494f-ae3a-c8efda65f938,Devarani Perumalsamy,2,Bad quality,delicate product
21,review-639fc0c9-3518-4697-92d2-0bec5b34161c,Flipkart Customer,5,Terrific,good product worth money
22,review-e72e0c83-303a-47bb-b165-23d287150aef,Mayur Limbachiya,1,Absolute rubbish!,dont buylow quality product
23,review-2ef11d33-ed3d-4029-9e92-057630ab08bc,Flipkart Customer,1,Hated it!,worst product ever dont buy
24,review-3e81ad20-c648-46a5-8f33-ceb0145e34c4,Mudukanna,3,Nice,good product
25,review-7270c844-d98a-4db8-a39c-fc98a3bfa11e,Harsh Raj,4,Really Nice,good
26,review-d4c2e390-a12f-4692-8a8e-4b4beb7c4c9d,Sayantan Sen,5,Mind-blowing purchase,fantastic product
27,review-457064e5-9c8a-44c9-bcfc-f3019665c083,Narasimha .,5,Super!,nice tripod beginers
28,review-20f2bdde-f5c0-4ce2-b365-54ada20a65f3,Flipkart Customer,5,Highly recommended,osm products
29,review-f6f6dd82-ef63-4faf-8be7-1fe85927a89c,Flipkart Customer,4,Nice product,quality good
