,customer_id,user_name,ratings,review_head,review_body
0,review-4ddb6408-803b-4f3b-af6b-aa7ddb67d559,Ravi Sharma,4,Value-for-money,got 24000 salepackaging delivery good 45the camera performance great beginnerpicture quality great55it wifi inbuiltand want record videos one gonna help much focus tracking accurate fast unless dont moving object fram using tripod focus speed video slow35for taking portraits landscape photography work great every read
1,review-dfc205a2-90bb-459f-ac38-473530bb36b8,Charly K Jacob,5,Best in the market!,great salute nikon beautiful product d3500easy use buttons reachable settingsthanks flipkart shipping product mesnaps taken nikond3500 without editing
2,review-72172ef8-25f5-42b8-b9d7-7dcc5d1fd0ac,Chandra Bhanu Prakash,5,Classy product,great camera beginnersit function needed us create great memory clicking great shotsif u r looking new entry level dslr go itbut wifi way thing good
3,review-ccf6cbf3-4020-49a0-bbf5-68ae8ac4aaca,Agilan nva,5,Terrific,im reviewing 1 wk update long use since best ever entry level dslr first impression camera good performing well low lights coz high iso bit high noise good quality pictures better details wifi major issue quick sharing files however bluetooth available lower speed also get snap bridge android app moreover weather sealing carefull hread
4,review-0d37b12e-6036-46df-b8fc-7f469acf21f4,Flipkart Customer,5,Mind-blowing purchase,awesome camera
5,review-fd0543f7-01cb-407e-baae-61a873c41c05,Gaurav Sinha,5,Simply awesome,product good best budget dslr nikonim happy buy productall pix 1855mm lens
6,review-d7b73813-fd5f-4589-8320-c914375f98a2,Flipkart Customer,5,Terrific,awesome product nikon perfect delivery price tag flipkart best camera beginners want experiment learn exposure aperture go
7,review-b82644fa-d157-4b74-bf56-f1802c099b72,Flipkart Customer,5,Brilliant,best camera dslr beginnersbest photo qualitybest controlsbest features detailing guide modeit records video high definition autofocusingfor safety nikon provide bag worth itlowlight photography selective colour adorable featureim totally satisfied producteasy handle
8,review-777a6f31-ddd9-4290-a7a7-34cc6a2920d4,Mahfujur Rahman,5,Best in the market!,nikon d3500 entry level dslr budget 40k
9,review-4d7210a8-1f2a-49d4-8470-8bcad147ad07,Alisha Antony,5,Worth every penny,awesome camera
10,review-6d7db9bd-a936-4064-9ed0-d952d4465543,Shibotosh Sarkar,5,Worth every penny,nice camera
11,review-cdd3cb76-1069-4d51-a4e8-c60a5fba3c24,Vedansh Sharma,5,Wonderful,best frst dsrl cemara
12,review-374a8316-69c2-4d10-b2c6-49ff8546292a,Hanish Sharma,5,Terrific,beginner probably share experience point view really nice product liked body gives feeling well built material held lenses quality everything similarly good photography controls also pretty friendly terrific low light
13,review-27c5b7d3-6545-4e55-9de4-2f2918252160,Sumit Garai,5,Must buy!,love
14,review-274e23d7-d492-42f2-93a5-b0c84f912740,Prashant Bhati,5,Brilliant,awesome
15,review-d62cd088-0b6b-406a-ab29-ff8af403f1ad,Flipkart Customer,5,Brilliant,one best dslr nikon good lookingbest build quality lightweight battery backup impressive 31000 rs one best camera nikon
16,review-baf85d20-4773-40fa-8ed1-186bf089465b,Shubham Vishwakarma,5,Fabulous!,nice camera worth every single penny battery life amazing thing lack cross autofocus points
17,review-e184edda-4462-4bb2-98e5-c854e1180cac,Saurabh Gupta,5,Great product,awesome camera price range best entry level dslr
18,review-93857dd7-c786-41f9-b103-d650191474bc,Aminul Islam,5,Mind-blowing purchase,good jobsnice camera nikon d3500
19,review-e6a0bcf3-1fb6-419d-81f6-330f77e74c44,AVISHKAR MESHRAM,5,Highly recommended,good form factorthough sensor similar d3400 camera complete differentboth lenses superbcarrying bag given product goodbut u need buy big one ur purchasing addons cameranice zoom 300mm lensover built quality superbmust buy beginners
20,review-d2260007-edb9-40bb-a175-f8ab12c7236a,Sunil Rana,4,Pretty good,good camera beginerslove shots first dslr got good price
21,review-47a7d066-21de-4199-947c-83f237fd7d16,Aurelian Indwar,5,Perfect product!,love camera pretty cool easy carry small comfortable carry easy carry anywhere
22,review-f361c02f-a532-42a1-af05-a0dc9c4e6d0c,Rohit kumar,5,Awesome,mind blowingn gud producttrusted seller
23,review-56140fda-380d-41ab-853a-e34e023d08ca,Debayan Raha,5,Excellent,best entry level dslr go
24,review-c877671c-9c6a-4611-8fd9-ab44856d3a47,jithin A K,5,Worth every penny,nikon 3500 budget dslr camera camera big compact handy thus budget compromised build quality solid body speaking features nikon provide descent features camera also include camera bag ssd card camera tutorial guide disk box packing pictures quality great manual mode give us ability control camera take much better photosread
25,review-520cb7fe-9326-4152-befe-e3a823bb7923,Madhana Gopal,5,Worth for Rs.33999;,nikon stand name premium finish purchased retailnet seller guys always beware seller flipkart many products purchased flipkart one time cheated choosing wrong seller due negligenceany beginner excited get nikon d3500
26,review-25bd67b8-c16b-4bd6-84d5-2b362d2ab1e7,gokul,5,Highly recommended,nice camera well packed fast delivery
27,review-4d4b1c1c-5684-4c5e-af19-8c4225a7019f,Flipkart Customer,5,Terrific purchase,worth every penny box contains 16gb memory card camera bag dual lenses along essential kit charger lens cap camera take stunning photos got camera big billion days 30 831
28,review-3827c6c3-5656-42ac-98c0-b9602c45d3b9,Flipkart Customer,5,Wonderful,good camera beginners good overall use
29,review-a284ac6f-1816-4997-9cd8-767b03e9ec29,Flipkart Customer,5,Great product,budget segment best option u go dont go canon u want good sharp images specs stick nikon gives best image outputs lighting conditioni suddenly saw sale worth 23999 boom ordered entry level camera good price range u beginner like go totally value money product
30,review-d5645b1d-06cc-456d-a0e6-31932fc5cee6,Flipkart Customer,5,Best in the market!,captured auto mode u see pic quality 1855mm lens
31,review-3da0471d-d09b-4d55-bdbe-e70c1205e5e3,ATHUL S,5,Brilliant,really awesome delivery comes toshiba 16gb sdhc carry bag straps nikons color reproduction mind blowing review d3500 soon
32,review-ab49d024-50d0-45ac-aa72-199929fee62d,Koushik Bala,5,Worth every penny,great dslr beginners
33,review-d2a9e553-b877-4c2c-a74b-b62f34e2e972,Orion Xtream,5,Brilliant,excellent camera best ergonomics fast focus best performance
34,review-3d5f4c45-3a0f-43dc-ad14-05a0a5216592,Flipkart Customer,5,Great product,one day delivery good product nice camera
35,review-c8f44bc4-3008-431a-9a82-0127fa252c40,Flipkart Customer,4,Pretty good,timely delivery great product start professiononly shortcoming noticed absence iso control button camera compared 3400this less weighing camera iam currently using kit lense onlyplanning buy zoom lense better photography
36,review-d537c27e-86fb-46a8-8766-b9ecbd8388dc,Aravindhan M,5,Just wow!,good product start great entry level dslr
37,review-b47afa67-df46-49f8-b4c0-2c0bbd83e620,Flipkart Customer,5,Worth every penny,camera brilliant light weight flipkart provided within 2 days sayalso packaging good u guys willing buy 1st dlsr life recommend camera canon1300d lot features quality one flaw nikon lenses costly compare canon
38,review-dab77f4e-d832-4918-a140-c54e9c7e795c,kunal Dhaktode,3,Nice,awesome
39,review-1422dead-af87-41d5-becd-9f37f5711b09,Babar MnB,5,Great product,great entry level dslr go amazing performance really came bag mentioned 1855 great portraits landscape autofocus great best world impressed battery life clicked 10 four five minutes galaxy shots battery still peak pics uploading 1855mm uploaded insta decreases quality coursemy recommendation learn basics aread
40,review-af976ea9-c8fc-4ed0-b424-37e095372b98,Flipkart Customer,5,Simply awesome,excellent
41,review-d3e52d1e-2ae6-44f5-b7b6-46c0fc4b055e,Flipkart Customer,5,Wonderful,nice one
42,review-cf181cb4-a502-4f59-9669-0c8af0fc52fd,VIRAMDEVSINH RATHOD,5,Mind-blowing purchase,best camera mid range
43,review-16a11872-9476-421f-afea-584f72cd488b,Rakesh Roy,5,Must buy!,super camera
44,review-8fcf6a45-f90c-4eb5-adca-40505a79fffd,Progyadeep Moulik,5,Highly recommended,like good dslr one quite logical easy use modes self explanatory satisfied camera beginner photography serves perfect tool particularly impressed snapbridge feature instantly wirelessly transfer photos camera phone also nikon gives unlimited cloud storage nikon image space
45,review-c440abae-18fd-442b-89a7-2f37ea777cfc,pawan chaudhary,5,Super!,awesome product bigner
46,review-1de20957-e2e7-470e-b320-7866469cf6e0,vicky vikranth,5,Brilliant,good one
47,review-479a9197-71c2-4bba-8448-1e5407ce31ca,Flipkart Customer,5,Brilliant,good producti enjoying productthanks flipkart
48,review-fb87258d-abfa-4c15-9a54-080ef8b20dc8,Aasif Ahmed,5,Fabulous!,awesome productbest entry level dslr
49,review-a1f25766-985d-4444-a32c-f361fc5ed889,Nabajyoti Boro,5,Best in the market!,excelent camera great thanks flipkartgood delivery
50,review-59e1ace6-8964-4194-8532-e873d57029e2,Pradeep Kendre,5,Simply awesome,camera good canon 1300d image quality best delivery time lengthy think big billion days best offer flipkart got 29999 70300mm lens great deal
51,review-9e75f629-4fc9-46e2-a38d-62bf934edf05,Tumirsinh Darbar,4,Value-for-money,good product
52,review-850c6b77-70cd-4828-b84f-6702c5972841,Harsha R Poojary,5,Awesome,worth spending cam
