,customer_id,user_name,ratings,review_head,review_body
0,review-c19cfc79-0f6e-45ed-a38e-029303e791f5,Flipkart Customer,1,Very poor,peoples making fool innocent ones purchased tripod 3110 didnt received mobile holder without mobile holder supposed tripod returning product guess page opening showing anything mobile screen take legal action company going sue company im court
1,review-e81f3141-2fae-4f7c-bd7c-70a7de44aa22,Imra Khan,5,Terrific,goodi like
2,review-d7fa92b9-6c98-469d-81a4-b7cd6478f2e8,Sandeep Mandal,4,Very Good,nice prodect
3,review-e27212a9-3c93-467c-9323-163cbd69ae2a,Ravi Singh,5,Just wow!,hello good good product
4,review-02a4ad99-3bca-41cb-a92a-11f293edf0c3,Sonu Gupta,5,Wonderful,loved 5 5
5,review-e1e7c42d-8b22-4ada-b732-7e32ecef3c4a,Prabhash kumar Singh,4,Wonderful,best product range
6,review-3cd1ddbb-a6b8-4299-854b-105c38b6258a,Jagdish Kullu,5,Great product,looks awesome
7,review-4cd05428-4d23-4313-a4a0-4ed71b359c42,Flipkart Customer,5,Fabulous!,nice product
8,review-2bf3ef8c-10ed-4070-a50e-5f03b1696a5b,Flipkart Customer,5,Just wow!,value money product
9,review-d7bad73d-97d0-4333-b15f-1983abd7e311,Prakash kumar,5,Highly recommended,need tripod full filly need value money always buy
10,review-c6011454-8ab0-4bd6-9d3a-c196a37d5289,Flipkart Customer,5,Super!,buy tripod flipkart good thing built quality amazing love tripod
11,review-17d50647-848b-44e2-88e7-2bfb9139eaa7,RISHIKESH BEHERA,5,Mind-blowing purchase,outstanding product nice price also goodthank flipkart
12,review-3e4ed33a-4d79-41d5-88f5-0ff2725384f9,Rahul Tiwari,4,Wonderful,nice product purchased 265 rupees
13,review-478ebb27-1a91-46d1-aa56-5e4a7af229b8,Abhinav Jain,1,Unreliable! Do not risk putting your phone/camera on it.,flipkart delivered product good condition timethe product substandard quality mobile holder adapter hold redmi note 4 pro properly phone screen phone got cracked falling holder first day usetripod stable would risk using dslrconclusion stay away product
14,review-16a08222-0dcc-4f53-9965-29ac16a2b560,Umar Mukhthar,1,Absolute rubbish!,boys girls know want tripod please dont buy bad product damage 0ne week use things instead bloody tripod dont waste money
15,review-c858ea91-c72c-4353-a5d4-960e3404c353,SUPARNA KARAR,4,Good choice,bad also good
16,review-8d79509e-efeb-490b-bfb8-2f391b6ce430,sukanya ghosh,4,Pretty good,awesome one
17,review-3da6a592-6c95-4578-965b-e1be41949f65,Good p,3,Fair,good onesmoney valuebut quality 4th leg poor holder also low qualitybetter may yt beginnercreationsneeds
18,review-b43b3eb0-ea4e-4090-a1b5-2c56ce588ed1,Sujit Pradhan,2,Expected a better product,satisfied
19,review-e8cc190c-995c-4fec-a2b9-577ff50e0f1b,Dinesh Dalabehera,1,Terrible product,one time missing mobile clip
20,review-a63e87a9-1b85-47e7-b13c-dee304672b1d,Flipkart Customer,1,Hated it!,one leg totally came satisfied
21,review-b5f448f9-67ab-4f63-a8ad-c82a8aca28bf,SANJAY MAURYA,4,Very Good,good iran video recording photography
22,review-6105cc80-1052-413f-9ca3-34477a2ec5ee,Firoz Alam,4,Worth the money,received product delivery date thank flipkart
23,review-5a1c0787-cc7f-49b6-b84c-003419d5d15d,Ayan Dey,1,Terrible product,vary bad qualitythis vary badflipkart delivered crack productvary vary vary badtotally bad quality materials
24,review-ce997e2b-1b83-453b-9cd8-d6d4db4a7fb4,Munindra naidu,3,Good,plastic quality good
25,review-e05978bb-2675-4eda-a2de-9b1037adc423,Subhankar Dhar,5,Highly recommended,delivery goodproduct quality mediumlight weight
26,review-aa678508-bd18-474c-adde-33e19c0cafbe,Flipkart Customer,5,Perfect product!,osm good product
27,review-e253896a-6c14-41f1-8e32-4a8502182dbc,Krishnadhan Pramanick,1,Utterly Disappointed,broken
28,review-59da503b-cf14-4a54-b628-2c8fc4e2816c,Shouvik Roy,5,Best in the market!,value money
29,review-5a747478-4b0f-4d0a-8274-59880a699788,Kunal subhash Ponde,4,Good quality product,good quality price attracted
30,review-4b1511c9-2348-4031-8b93-769fab679dd6,Sunil Gorkhane,1,Waste of money!,bad poor quality
31,review-e4a387ff-4b6c-4948-8286-cfc10db9cc94,a krishna,1,Unsatisfactory,quality bad flipkart wont accepting return
32,review-83167055-76d8-4c9b-9e57-cb74209f22ba,Saifullah W,1,Worthless,really dissappointed product one part attached well guide book cannot increase length maximum length
33,review-fbb45a08-d34e-425d-8bc7-5e1a622bdae1,Shilpi Mallick,5,Fabulous!,amezing
34,review-1d788f9b-9770-4d12-aeeb-c0aff57454f5,Karan Mehta,5,Must buy!,good quality productnice product
35,review-37a97b32-0650-445e-8e31-23040c74c47d,Radhika Malakar,4,Very Good,good
36,review-1392d1fa-eff6-4f3b-aeb0-8443525ebd89,Janiram Brahma,1,Worthless,got broken product risky product tripod stand weak must see reviews buy
37,review-f8bc90a8-1c19-4279-b267-91bc5c5243bf,Flipkart Customer,5,Brilliant,fantastic
