,customer_id,user_name,ratings,review_head,review_body
0,review-f489bfb1-6afb-4d60-8eee-15926933e02a,pranay teja,5,Super!,awesome
1,review-98bd28da-9ff4-4550-a309-348b79c25c0f,Omkar Bonagiri,5,Worth every penny,super product buy product price
2,review-c3baa7df-c7fa-4ace-89ec-16740a2dba03,Reshab Basfor,5,Super!,awsmm product
3,review-4dd8e2bd-1f7f-443e-897f-b4a6ba8fa024,Akash Kumar Majhi,5,Terrific,nice product
4,review-f8ce0ae6-506c-4faf-8080-d551a886b211,Sachin Kumar,5,Terrific,good product
5,review-3807d394-10ab-40ef-a26d-65770a640061,Ankit Sony,4,Value-for-money,gjb tripod made china
6,review-f49b46c6-b792-4a3d-9cc9-d22659ab401b,Yogesh Raj,5,Awesome,vary good product
7,review-145a3656-56a2-4002-be5a-698557877209,Dhruv Kumar,4,Really Nice,exellent phones good cameras bcoz take load
8,review-424cc21b-2169-4f75-9021-791fcfa0604e,Rita Das,4,Good choice,nice product
9,review-9b18e5be-5bed-4c8e-b509-d09b58d2bb58,K sivakoteswararao Kanna,1,Useless product,bolt set screw
10,review-6163ecdc-b3df-4bc4-afc5-e985f9b3d532,Ram Babu,4,Nice product,product good per cost expect
11,review-f3cd79ff-c743-4c80-b6eb-59b5c2bc313f,NELLORE SAIKRISHNA,5,Just wow!,good sensitive
12,review-76ab7c9d-4903-4453-b04f-ce28dbd50af3,Riya Chowdhury,5,Classy product,nice
13,review-0c06c46d-b549-43e5-926d-5959aea1b690,Ramya RAMYA,5,Classy product,supr
14,review-bef49d06-d08e-443d-8c3e-e12090b187d2,Purushotham Purushu,5,Terrific,fantastic product
15,review-ef7866d6-ef1d-432a-9ace-d8cf064b84f6,Gaurav Solunke,4,Really Nice,nice
16,review-11c97496-d1e1-49ac-bd47-b01feb64647f,Ganesh Pradhan,5,Awesome,good product
17,review-bf032357-4494-43cf-aa9d-cfa8ff41df95,Shiva Shankar,4,Wonderful,good bad
18,review-831e1127-fcd6-4386-ac87-eb71dcdbbb66,Eshteyaque Ahmad,4,Good choice,rs359 really good aluminium quality much good plastic also aluminium used overall good tht price height much higjt upto west
19,review-77f31248-977b-4aaf-bfc3-c04db6270239,Flipkart Customer,4,Nice product,green chemicalhow use
20,review-cb128026-882b-4795-81ec-0d9d52052ec8,Sk. Saheb,4,Delightful,awesome
21,review-b1e1984e-3b47-4b63-a00d-f6df9f492b1e,Arun Sewak,5,Best in the market!,nice product amazing quality worth money
22,review-6bdc48b8-f4c3-4bf2-acb3-a72148c4de06,Vartul Pratap singh,5,Fabulous!,nice
23,review-6e42b5b3-383c-4c26-ad40-9405e79bf2b3,Prajakta Fulzele,4,Delightful,average productcould betterit doesnt fit properly
24,review-4fea2d8f-3955-4f18-a005-2a3f377c6bcd,Yogiraj Rathod,5,Fabulous!,nice one
25,review-8f15a52b-f1ce-4015-95c0-d270c883b264,Rahul Barman,5,Simply awesome,product really good
26,review-2e382bc1-eede-4b38-bb1d-8b524c1f7580,Shehbaz Sayyed,5,Awesome,awesome product impressed
27,review-1d38dfd1-56df-419e-a14a-e717ff3f25cf,Sekh Jamsed ali,5,Perfect product!,vary good
28,review-361cf769-7738-43e2-a4d7-300149872170,Vinod Gugrwal,1,Horrible,patch dhilllaa h
29,review-67208cbe-aa49-46b7-8e51-4a4e60047c69,Sagar Datta,4,Wonderful,nice product overall good
30,review-d430e3e1-6f24-4b23-bebb-26c545f904cf,Akash Rathod,1,Absolute rubbish!,bed product bases weak product made poor materials use long period 1 2 monts travelling vehicles 99 probability damaging poor quality
31,review-cc983330-aa05-433f-b948-a14a5f155b25,Sameer Ahmed,4,Worth the money,perfect beginners rare usersnot much good built qualitylight weight easily carried
32,review-446ea21c-8668-4735-89b8-80666c8c8204,Vijay Prabhat,3,Decent product,price ok received 365 rs dont expect toote much product light weight weak product
33,review-81dcc9eb-7c29-4b16-974d-03fc7edd40ee,MOHIT SHARMA,2,Not good,low quality product
34,review-1f8bc2ce-8084-49b6-b7ab-281f5e787ddd,Sakshi Jha,5,Terrific,good tripod price u must go
35,review-d8cda615-0731-4fef-bf3a-5712ff2a33a4,Raju Chaudhary,1,Utterly Disappointed,bad product
36,review-721c9a26-97d9-438c-9546-a384b22793fc,Flipkart Customer,4,Good choice,perfect tripod
37,review-b782b51b-ed12-47a4-8abe-f347b7d0d8d0,Himanshu Bhatt,4,Very Good,light weight fragile handle care height sufficient selfie standing pose
38,review-e6cddbf1-34b4-4912-934e-25b0d6ef3087,Flipkart Customer,3,Just okay,week product
39,review-6cced0dc-a482-47d2-889c-0294db6d5669,SAMEER ALI,4,Nice product,good product got tiny scratches
40,review-2647db51-8b10-4557-bdea-6143f10cf133,Sai Ram,4,Value-for-money,nice product
41,review-bc9b7714-fd49-4468-8e92-44fd6a3bf275,Flipkart Customer,5,Classy product,nice product value money cool
42,review-8d485430-816f-4b86-a4e6-e3698e4030f3,Aliya Naaz,5,Terrific,awesome
43,review-e6c3c13b-774e-430c-af31-76d9ccf909f9,SATRUGHAN SAHOO,5,Classy product,love looking awesome
44,review-e4ac3fdd-bff9-4106-a895-1acf9d238895,Ashis Chakroborty,3,Nice,expected mobile worth price ok ok
45,review-119ea7cc-d08f-4fec-9e90-6194db890364,Rishabh Mishra,1,Worst experience ever!,bad product
46,review-bb881cd8-49e6-4a91-8b69-423e08af3a56,Flipkart Customer,4,Pretty good,cheap perfect mobile photography
47,review-f66e1b1c-95c0-4855-a42b-bd8334a8d053,sunny kumar,5,Great product,using last 1015 daysit basically useful smartphones small weight camera etcit useful high weight camera like dslr pipe stand much strong caseoverall everything finemuch buyi loving itmust buy
48,review-00a8494f-5989-42a2-8456-ec9a68b4e0a6,Flipkart Customer,3,Good,good
49,review-757c2b1b-d04f-4966-a21d-ca6f869de383,Suman Biswas,5,Super!,good product picture
50,review-0abd9228-69f0-4a57-8519-0e0865a56dd9,Sai Ram,5,Perfect product!,nice super
51,review-54f9be8a-ddcf-4545-9aaa-7fe91a0343b5,Samir,4,Really Nice,nice
52,review-b480fc57-f902-409a-aeba-6847360864e6,sumit ghosh,3,Just okay,nice
53,review-84e167f1-dbe4-4d85-b288-9f761145befa,Mohd Mustafa,5,Awesome,nice product ypu get
54,review-8e447964-bbe9-4c63-a048-08435c0d937d,Prince Kumar,5,Simply awesome,got order
55,review-bf2456c2-370e-4985-9dd7-34ef80bd4340,Ketan Kothari,1,Horrible,worst product horrible locks completely loose cant open keep standing tripod even mobile holder blunder capable mobiles weight holding mobile much dissatisfied
56,review-374986fb-522b-48ec-9f72-6b37f896127e,Sastha Kumar,3,Decent product,greetings daythe tripod solid yet great review follow brief comparison productprosgood aluminium legsretractable legsa 360 rotatable headhaving mobile attachable headhave inbuilt spirit meter measures anglelocking mechanism legs thereeasy transport safe keepingconshead totally plasticmobile holder cannot bear much weightno locking mechanism head partcheap aluminiumthe legs thin endheight read
57,review-1f090eea-c971-44e6-9996-c78da7fbdd2b,ENUMULA CHINA PULLAIAH,5,Super!,good productit easy handleportable product easy carry anywhere
58,review-9cc0178c-7355-481c-9b90-9fdd752c863b,Flipkart Customer,5,Perfect product!,good product nice packing
59,review-de718f4f-d10c-4a09-a506-4208cf499bde,Flipkart Customer,5,Just wow!,favorite tripod phone best budget tripod
60,review-a736625b-341f-4e2c-9a73-3409d64ffea6,Flipkart Customer,5,Classy product,nice product
61,review-c4d17994-67c4-4059-a7c6-29415a699ecf,Swapan Mahata,5,Fabulous!,nice product
62,review-f9c588ec-ad5e-48ca-ad1a-4496d93ba796,Shiyas,1,Terrible product,bad product
63,review-116308e7-d8b6-421d-a664-06aa9793ca82,Flipkart Customer,1,Very poor,thinnot good
64,review-4053a287-8d7d-4f40-98fc-970d9a5ea9a5,Ramesh Unhale,2,Slightly disappointed,use
65,review-d795337d-a956-4608-b321-7c1b87360229,Ayush Shukla,5,Just wow!,nice product
66,review-bd62f553-27fa-4d0f-a905-2f68027f10e4,Flipkart Customer,5,Mind-blowing purchase,osm product
67,review-3337096e-2a30-4419-b962-4896402ef526,Amit Das,4,Very Good,awesome stand im happy
68,review-e8c2fb2e-2bfa-4ab3-9690-fffa02833aef,Aleena Joseph Jojo,1,Utterly Disappointed,quality wise okaybut doesnt fit mobile falling downit okay small size mobilesso please dont buy mobile would damage due thick forcefull cover
69,review-fd39888a-e917-419a-b7b9-57c73f932543,Vijay Gupta,4,Really Nice,look like infant professional tripod light delicate light use dont buy heavy use profesional use
70,review-65b5639b-62b7-47eb-aa01-1c379232d729,Sourav Dey,5,Super!,price product good
71,review-2aa5fee3-775c-449a-b498-2e418cc2cd25,Flipkart Customer,5,Must buy!,best
72,review-2842b07b-e47b-4326-b576-d93640c8ecab,Subodh Nakalgaonkar,5,Just wow!,extremely happy product price must type equipment thank flipkart wonderful device reasonable price
73,review-c162c2a9-bc40-42a9-a4d8-776f42e06ee1,Flipkart Customer,3,Just okay,price tag affordable built quality 2 badstand rubber dropping n cant laod weight dslr
74,review-8176bf71-cbc6-42f1-abf5-5ab31bc6f400,Flipkart Customer,4,Worth the money,good product price
75,review-83605f83-d00f-494b-b797-24852e1fd655,Bipasha Handique,5,Must buy!,cool must buy
76,review-b53fc60a-23d3-4952-9dfd-e1c1d4c3b577,Dip Sen,5,Wonderful,nice
77,review-26b1edca-7090-4e15-bdff-5c3bbda19f8c,Elina Banerjee,5,Highly recommended,ordered youtube channel name beautube elina os perfect phone camera also
78,review-99667923-51ac-4daa-9a9c-36c4c7d8f97b,Flipkart Customer,1,Absolute rubbish!,worst
