,customer_id,user_name,ratings,review_head,review_body
0,review-b65c9fe8-6ccd-42d4-8582-e0ead9bc6646,Sahil Kumar,4,Good quality product,bass sound quality awesome also wire quality gold plated audio jack fine build quality could improved
1,review-631e57f1-2075-454a-a062-bc47ffc66f72,Sukhwinder Singh,4,Very Good,sound good
2,review-cc40e2fc-af8f-4f04-8832-363753dd37c8,Rituraj Vishwakarma,5,Wonderful,best headphone
3,review-e52eaad9-e7ec-4c40-9f60-66a9ac8f694f,Devansh Hora,5,"Great Sound Quality, Worth the Price!",note got discounted price rs649pros 1 audio quality great sharp2 great bass treble headphones range3 superb built quality4 light fits great5 pricingcons volume updown switchconclusion expecting much costed rs 649 amazed sound producesits verread
4,review-d2da7deb-e6ad-4ded-a5ab-3ffd7127da5d,Sai Kumar,5,Great product,pure bassgood music loverscomfortable adjustableand fabulous experience
5,review-2d26c7de-8fd1-4173-80de-e8017f816c82,Flipkart Customer,5,Excellent,brought 29 sept 2 months headphones r working power bass power full noise controller lot u really experience sound branded hometheater help mindblowing product correct price loved
6,review-021e3fb9-660a-4245-81fb-b173b362ba79,Debdipta Bhunia,4,Worth the money,amazing product dont think buy product flipcart
7,review-28e0893f-1ed5-4d53-ac0e-0850ee2d52ea,raaj bhagat,5,Terrific,love flipkart product good features delivery fast costomer care services good delivery boy behaviour good good work guys
8,review-07bf10b3-10f0-4a45-a518-f35427bfa1f2,CA HD KINGAR,4,Delightful,range good oksound qualitygreatdurability bad made palstic breaks easily difficult carry foldablenot noise cancellingyet good price
9,review-bbd4367c-b0b1-4772-a53f-7c900d531447,Vishal Shriwardhankar,5,"Super Sound, Clarity and Bass...",got 699 onlyawesome headphones ive gotlove listen music itgood fx audio
10,review-7f71da5e-8123-454c-87bd-3b0677259fc2,Bappa Bera,5,Brilliant,headphone bass lover build quality headphone good interested sound quality go motorola headphones
11,review-cedc550f-a9d7-4086-8080-db3246eab3ab,Sanjeeb Sarmah,5,Simply awesome,got 499 super awesome product unbeatable price butthere butyes built quality could improvedas per sound issuebut wire good breaks downso cut wire half join another half car audio cablenow issue using product 2 years nowand issue soundstil quality baseits awesome
12,review-3e02a0f9-b0ee-4914-91a8-00ab30d0ae86,Sajid T H,4,Good quality product,excellent oneloved good sound qualitybut feels pain time
13,review-11a7bd8d-7ec9-4ce7-af3a-46bdad5047c4,Flipkart Customer,5,Best in the market!,buying confused sony nd jbl purchasing satisfied decision
14,review-477cac54-76e8-4ab8-8dfc-194694467a25,S MD Shah Nawaz,5,Brilliant,best range class apart headphones range trust im writing review one half years using headset still ears
15,review-e323afdd-a1d8-4a09-acaa-8c642644bc37,Flipkart Customer,2,Moderate,sound awesome material flimsy breaks easily dont keep bag stuffs
16,review-e131975e-a3e4-4a54-a17c-8b485fe9e0aa,Yogesh Sharma,5,Best in the market!,great soundgood product best price
17,review-a5763450-8b5f-4c9e-8f09-bd613866859e,Santanu Biswas,4,JBL T250SI,today received headphonei bought deal rs 649 thanks flipkart giving superb opportunityit far far better sony headphone really awesomepros 1 audio quality good ver sharp clear2 great bass treble mids also good price range compared others3 superb built quality light perfect fittings 4 dont produce type heatconsno volume upread
18,review-1667ad47-8e3d-42ff-af84-d1ade76a19cf,Flipkart Customer,4,Nice product,good quality
