,customer_id,user_name,ratings,review_head,review_body
0,review-067ce7cd-8d09-43ae-b446-f3d500d207ac,Shaikat Shil,5,Worth every penny,wowi must say earphone best earphone 600rs fell love looks ordered blue one bass earphone awsme sound clarity good enough things inside got 6 ear buds different sizes one clip one ear holderthe quality earphone outstanding price range u looking earphone long term purpose go fully paisa wasool earphone go without doubt
1,review-c1622bf6-10a2-4ea2-9c78-d908c348d8fd,Akhil c v,4,Very Good,awesome design powerful bass strongly recommend music lovers
2,review-2d0de149-eba8-4161-b20b-7daf6ec721b3,Mausumi Mandal,5,Fabulous!,loved
3,review-25a2c10d-410a-430d-8488-fcaf4cb6aa1b,Mahesh Chinna,5,Great product,super eadphones sound super
4,review-308a2d6b-4d9f-4f79-a815-a4d9977991ca,Pratik Manolkar,5,Fabulous!,undoubtedly best headphones price rangedelivers well balanced sound bass awesome crisp treble well definitely great buybuilt quality nice sturdy mesh like design gives headphones premium look
5,review-f43ce957-4d2b-4304-9c1a-87103312982d,Pratik S,4,Very Good,pros1 bass device dependent2 highs3 inbuilt mic multipurpose button4 wide range ear buds5 tangle free flat cablecons1 comfortable fitting2 earpiece feels cold wintermetal body3 average sound quality4 buds dont fit easily earpiecethose want better sound quality durability go soundmagic es18 100 bucks
6,review-104597a2-1a3a-4f06-b629-ffe7ac4e9288,Sunil Revankar,5,Fabulous!,stunning earphone loved
7,review-92a6e4d8-d215-4b1f-8e74-5f0961f1c2f3,Flipkart Customer,5,Super!,good product tq flipkart
8,review-4ee5e98c-efc0-4969-80b8-62d290d119a3,Azar Deen,5,Excellent,super extraaa bassreally amazing productbass effect goodbest budget earphone price
9,review-f9b03353-174a-43f1-8981-195d28faae5d,Flipkart Customer,5,Best in the market!,awesome product overall lovinng
10,review-42ef6f3d-a5c1-48be-a00f-07badebf1691,Sovan Biswas,5,Must buy!,awesome product previously used samsung sony sennheiser jbl bose nothing like price range beyond expectations highly recommendkhub valo
11,review-10676e38-1931-4079-a2fd-4a47da49915a,Dharmesh Patel,5,Classy product,un beatablei happy headphone better jbl t100abass extremely zakkas
12,review-2a9fc41d-c2b4-4baf-8c07-e0ebab1fd680,rahul saha,5,Worth every penny,excellent quality good base nice quality sound satisfying product value money
13,review-176321f3-1a95-4670-9536-7aa9c31e2002,Gursehaj Singh,5,Awesome,best earphones 600 audio quality awesome bass
14,review-512732c3-994a-4c56-8c5a-e6e7d5ba9af9,Chandram S,5,Highly recommended,nice ear phones 600 budget
15,review-9442e7ea-a4fb-475a-a60c-2a793361f1df,Mrudul M,5,Simply awesome,good one
16,review-11dfe436-ee1e-4445-a46f-9b5edefb1a8f,Akshay Kumar,5,Must buy!,nice one
17,review-4c310a2c-58f7-4d5e-803e-5b3546aa9051,Souvik De,5,Perfect product!,awesomevalue money
18,review-56538261-a0d3-45a1-8022-f4279910d502,Salah Usman,5,Fabulous!,awesome product box contain inear headphones 5 extra ear buds different sizes
19,review-4f2d1741-3abf-49ee-9abd-999e14d29f3c,Govind Rajput,5,Terrific,sounds great like name really produces superb bold bass please avoid negative reviews sound equalizer settings makes sound awesome adjust equalizer settings headphones definitely please perfect fit grip ears quality superb using samsung headphones working perfectly audio quality call also goodoverall must buy headphones 600flipkart delivered timread
20,review-aaf445d5-c11a-407f-9a7d-fa9705b6ae5e,Yash Jangid,5,Excellent,clean sound good bass best electronic music
21,review-9521c091-442c-4250-959d-b92838085ee1,Flipkart Customer,5,Perfect product!,best bass quality superb
22,review-ccb8762f-9148-402d-b5da-51ffd841ec7d,Tarun Sardar,4,Delightful,really good ear much fittingits fall many times sound quality best
23,review-1f9b0ddd-5a48-45db-8200-8ce3b295b962,Gautam Kumar,5,Best in the market!,awesomegood quality sound base awesomei like product bought product rs 549 rupees
24,review-d418b7cf-c110-46b9-8c82-f00245c2bda4,Flipkart Customer,5,Best in the market!,good product
25,review-d8224979-f4bb-43d0-9c9c-e82e8b28074c,Flipkart Customer,5,Terrific,omg headphone awesome superb bass clear sound better 2k headphone thank flipkart thank boat happy go guys
26,review-8431a0d3-070b-4927-b9f1-184ed7d27f1b,Amit Mandal,5,Classy product,good headphone price bass boost sound clear
27,review-8212afc8-fd17-49a7-97bf-7ff6a55eb061,Pankaj Bharti,4,Best in price.....,hi alli purchased product flipkartthe product loved bass loverssssyou fill bit noise disturbance full volume getting slight ecorest sound good go
28,review-6a7bd910-90f4-40f2-addf-9a85d9789c43,Jai Goutham,5,Just wow!,nice product 2 years heavy usage works well feels like premium
29,review-7da34e85-cab5-44d6-8209-bbd6940a90c4,Flipkart Customer,4,Good choice,good product
30,review-84aeef6d-07af-4c79-b98c-2d97eb520eb7,Akshat Sharma,5,Excellent,extremely good nice product price purchase definitely doubt detailed review methings good1 clear sound extra bass company claims sound quality equals 1000 rupee earphone2tangle free cable3 cable length also sufficient approx 1 metre4 comes 810 extra earplugs clip5 sound decent irritatenow come things bad cons fit read
31,review-879cd306-2c3a-4dec-be21-6c8d4a3a0580,vikram Sarathy Parthasarathy,4,Pretty good,happy sound quality buds difficulty fitting ears
32,review-f059b88d-7292-4f3b-8230-ed56963dc1a1,ankit arya,5,Terrific,sound quality bass crystal clear super performance
33,review-6191190c-7314-4b74-ad9e-074c4d0ab715,Muhammed Favas,5,Classy product,awesome sound clarity soo good bass also well
34,review-69e8f009-776d-494a-931f-dc2c6cfbbc3a,Jaivik panchal,5,Wonderful,decent sound quality clear bass gamers go
35,review-1837191a-7e37-40e4-bc00-780d5eb9c9b2,Tejaswi teju,5,Worth every penny,always feel great excellent bass sound love
36,review-de7ae9c2-fdc6-4618-a57c-3600ec012a55,Vidhi Gupta,1,Product stopped working within 6 months,6 month use product stopped working damage caused externally wires plugs intact still stopped working hard time reaching customer care product falls 1 years warranty hope get replacement money back
37,review-7a123cee-1c64-4774-9da5-1d18c4d5adfe,Velan M,1,Utterly Disappointed,sounds good price cant enjoy bad design doesnt stay ear 10 seconds tried sizes irritating dont know got much ratings
38,review-ddddadf8-c999-444d-acd5-f6fa46733cd0,Krishna Rupesh NAGUBANDI,1,it wont sit in ears.,issue design ear buds always falling ears
39,review-4ad43062-af3d-460a-b9e2-86018f06f9e8,Manas Tarun,5,Just wow!,awesome audio product boatsuper extra bass beautiful sound qualityinbuilt mic perfectly placed makes easy communicate via callextra different kind buds getting plugintonirvana
40,review-353449e2-2304-4122-911b-37403adcc346,Mandeep Singh sandhu,5,Best in the market!,one best headphones price rangei buyed rs 489i writing review using 7 dayspros build quality greatsound clarity 810bass 810making calls using problemlooks 810consyou get better bass quality skullcandy headphones price range used skullcandy earphone price range note people saying headphones heavy come ear usingjust use smaread
41,review-ad7b45d8-6da8-41e6-bac8-a028701b9dff,TANMAY NAGEPATIL,5,Classy product,fitting problems bass awesome great use black supporters fittingno problem buy one
42,review-61767707-a334-445c-b3d2-a9e4b670dd6e,Naveen Gopan,4,Very Good,standard sound qualityworth rupees
43,review-1f1a2033-75a1-4571-871b-1eb145c169b1,VEERENDRA PATIL A B,5,Wonderful,go awesomeu buy sd 449 rsreally good
44,review-84ec1db9-e312-481f-8949-c8a1b0382c33,Maheswaran Vengatesan,5,Excellent,worth money
45,review-2c9a536d-5bb7-4010-8bd3-e530721e76f1,Jyoti Sarmah,5,Terrific purchase,good quality product boat great base decent sound handsfree button used accepting calls hanging calls also work play pause next previous button playing music
46,review-c15dfe40-60a6-4642-923d-b50228b45b82,Saikrishna B,1,Unsatisfactory,uncomfortable
47,review-d1cf9280-9dbf-4f5b-b6a9-444504cd9ce4,Pratik jain,3,Good,problem product doent insert ear properly slipper material leading slip earplz tke care itremaing color voice quality execellenthope help
48,review-ac19661f-4733-4409-9f5f-9761d29d7e7a,Amesh A M,5,Awesome,hardly give 5 star rating cant resist earphones revealed entirely different zone music every detail clearly audiblei need say bass great noise cancellation good would recommend sennheiser cx180 slightly good considering mic price think best range
49,review-9e64e97a-f29c-4662-ae73-f67b2f1a2cf2,Siva T,1,Utterly Disappointed,sounds good suitable ear
50,review-c8f52613-b5f0-4d7e-b436-ac4353a71572,Jithin E V,1,"Quality is okay, but not fitting to my ears!",looking tangle free earphone microphone ended buying one seeing price reviewspros1 built quality good price range2 sound quality decent bestcons1 filter inside thin broken trying change ear bud2 tried ear buds 4 sizes none properly fitting ears happens falls easily ears issue reported lot peoples see otread
51,review-2f3d63cd-c519-4415-a3e0-4748469517c9,Sohel Khan,5,Just wow!,superb
52,review-dbbd3f00-aaf9-43a8-9cb3-bd79592f6e96,Bhaskar Sadhukhan,5,Worth every penny,superb
53,review-a63ce0a8-68e3-4154-adc4-ac5feb1014c5,Sourav Maji,5,Super!,love awesome sound quality really enjoyingjust little bit problem grip ears due designif u manage able fall u love
54,review-02ed56cd-95c0-4b02-b321-c812398f8b98,Vidyashri Hiremath,5,Just wow!,awesome bass heads sound good bass amazing
55,review-68abbfda-9463-4b9b-b200-9862c6aef654,Rahul Wagadre,4,More than Expectation But..,good quality product boatthe problem fit ear comfirtably side1 sound qualty 552 look 453 bass 454 nd statisfaction rs 529 55
56,review-cadee64f-6612-4266-b0c0-bec5570924dc,Pranav Bhandarwar,5,Wonderful,two days since im using earphones ive faced issues yet perfect use workouts sound produce wonderful years warranty seems good product available price range good brand name fully satisfied purchase also delivery quickestthankyou flipkart
57,review-556cf13f-7781-494d-bcd8-591de3369e08,Hari Haran,5,Mind-blowing purchase,osam product ever feel like good bass stereo dark room close ur eyes hear music one get feel like fly u must need one
58,review-e20de93b-8bb8-4c11-bb0d-af1097c7cfc3,Gandhar Mekha,5,Super!,omg bass awesomecompletely satisfiedbass good wont able hear full volumehighly recommended beginner
59,review-44125829-5d90-4802-ae90-84fa51f65381,Kaushik Mondal,2,Bad quality,comfort allunnecessary basssame time bought jbl headphonereally awesome feeling hear music jbl comfort toobut high rating bought boatbut gooduncomfort slipperydrop ear every 10 secand unnecessary bassuncontrollable bass
60,review-e2d09668-418b-46c0-9ab7-c4e891c5b3c3,surya aniketh,5,Excellent,simply bestbetter 2k earpiece prosexcellent basstoo goodgreat sound quality outputbest classpremium metal finishat 550 killer dealconsthe earpiece together bit heavy keeps pulling causes strain earsif use hours togetherthe earbuds keep slipping move fastly workout exercisesps good music playergood sound output else base splits
61,review-51d98597-6793-49a8-b613-8bb1e67efad4,Vipul Jain,5,Brilliant,awsome product1 bass wow2 treable good3 sound quality far better products prizejust go product man
62,review-5119eb42-20e7-4611-96cc-38921bc131c8,Vineet Kumar Singh,4,Nice Headphone,audio qualitybass good quality better jbl philips range
63,review-7c7a22df-fe6b-4fe7-a67d-dae0677c2af0,K18 creation,1,Hated it!,product good fit ear easily come
64,review-09597659-3f25-4657-8c3a-8c28cc9c2922,Hefsi Amoes,4,Worth the money,good one fully satisfied
65,review-9b985bf7-769d-48eb-9937-5705b2b79830,Priya mani,4,Not bad,sound quality look good got 5 sets additional ear bud ear fits ear perfectly otherwise ok
66,review-3c84dc47-ca22-4a4d-ab37-151ded656d79,Subhosmit Choudhury,5,Fabulous!,honestly speaking aftr bought kind dilemma earphone already jbl 150a jbl 200a sony desktop headphones friend mine suggested bought day electronic flash sale arrived day started comparing earphones possesstrully boat earphones masterpiece definitely way better 150a sony one quite similar jbl 200a definitely great choread
67,review-b9622364-dcd9-41b5-9602-49be53af317b,Rakesh Singh,5,Super,boat bassheads 220 best earphone ever loved
68,review-cc3ce337-06d9-4ad1-990c-ad7a34cd1f46,Raj,4,Worth the money,expectations fairly high bought bought bluetooth headset boat rockers 400 one meet expectationsprosclear soundhighs lows sound wellsound output high5 different sizes ear tipsconsnot bass heavy much marketedjust ok bassnot comfortable earsthe ear tips soft hard easily come ears
69,review-eb83d938-5b70-4b1e-aa10-e82a6cdb38a3,Amitava Talukdar,5,Terrific purchase,poor mens sennheiser could company manage deliver good quality earphone throw away price little demon totally astonished already model 200 boat basshead ordered received 220s colleague astonished well happy thank u boat flipkartfor crystal clear sounded productthank
70,review-92d2e878-2b62-4a03-b405-a34d8c556193,Shubham Rawat,5,Super!,wowsome amazing
71,review-b03dad52-cba5-4ae2-9585-78b716ba8ee9,Georgie Thomas Zachariah,5,Super!,excellentdescent bassquality soundcrystal clear experiencejust love new boat earphone
72,review-115aec87-cf0a-44b6-8a4d-e2e4a59984c0,vishnu,4,Delightful,sound quality good less stereo effect different size colour ear buds givenbut falls ear frequently
