,customer_id,user_name,ratings,review_head,review_body
0,review-9c2444f3-4e41-4028-b306-f9d59a47116c,Anshul Yadav,5,Brilliant,got 3799 only500 less normal pricelooks elegantread speed around 70120 mbpswrite speed around 5070mbpsgets little bit warm guess thats normaloverall great buy 3799comes hp india 2 year replacement warranty
1,review-07e06333-9eea-44fe-a6c9-4557c0961743,RAJESH KUMAR PRADHAN,5,Highly appreciated,using hp 1tb external hdd found much useful day day related job
2,review-ea12ab7c-f0d2-4560-b6d6-e00ac65caed4,Varun Aggrawal,5,Killer,superb performing hard drive price point better looks robust build faster data transfer
3,review-51b5217b-e523-40f5-b3c5-d6a5a6c19b7f,Sunny Azmi,5,HP 1TB HD,best service flipkart got product delivered 24 hourshp product good low price high performancefor hd rating 5 42flipkart service 5 5hp give international warranty
4,review-7115e1fa-7f50-4dc2-a7ec-c6454d9f612b,Ayush Sant,5,Perfect Choice...!,size hdd really compact really light weightit comes hp backup simplesave softwareoverall brand nails seagate wd
5,review-34083ce4-4441-4faf-a309-f1e7e5f4fefe,PRABA KARAN,5,Wonderful,awesome hp hard disk
6,review-d5ac7b26-a955-4575-b8e8-5c73760d3bcb,Flipkart Customer,1,Simply awesome,totally broken hardisk capacity changed 931 gb 63 gb 1 month use lost almost data upto 300 gb hp please give solution
7,review-af73f7eb-ad64-46c7-b819-193fb8854e8f,Karthi keyan,5,Mind-blowing purchase,fast delivery perfect packing product started using feeling pleasurable thanks flipkart ecom express good experience delivery person keep going best luck
8,review-c9d1b5fb-7515-4b0c-8fee-bd36812c2141,Flipkart Customer,5,Super!,awesome built quality good speed good size fast speedjust loved
9,review-b1df6334-8984-474e-affa-7bb3cd07b7db,Goutam,3,Slow Data Transfer,initially shows data transfer rate 60 mbps original data transfer rate 15 mbps 25mbpsotherwise nothing bad
10,review-0066721f-a4e4-44cb-b946-d1c1c12faf7a,Bharat Bidani,4,Amazing product,received time using mac format drive xfat format data transfer speed amazing 4 stars product selleronly one query somebody guide connect smart tv trying nothing happened tv model toshiba 55l5400 android version
