,customer_id,user_name,ratings,review_head,review_body
0,review-c11b251f-a2de-49f9-a13c-a38c45ee5a3f,Sankhadip Banerjee,1,Waste of money!,worst product place claim warranty flipkart executives rejected return twice provided incorrect brand customer care numbers connect total disgracedo even think claiming warranty ever use money wisely rather purchase genuine stores covers warranty
1,review-dcbcee04-6c25-4dda-9ba7-7bcfac064773,Pranta Biswas,4,Really Nice,good disk average transfer speed 3035 mbps noticed someheat issue
2,review-e661ed0e-44cc-402a-8104-130364b8d477,Sarosh Khan,5,Just wow!,nice built quality handy sizeand value money well
3,review-4b175f62-ae42-459b-9b72-e16c54bd14e2,Flipkart Customer,3,Fair,quality product nice write speed 15mbs heating issue high
4,review-9a882d33-165d-4da2-856b-467aeeb0de1a,Flipkart Customer,5,Awesome,good deal got 2999 big billion daysi saw reviews saying speed lessbut found gives writing speed 24 30 mbps usb 20and gives high speed 134 max 137 mbps usb 30 portvery fast speed data transferi got max speed 137 mbpsi loved productmake sure usb 30 portdelivery also fast nice
5,review-ae501c99-2d7a-4d84-99d7-665522dfb0b5,Abhishek Kumar,5,Brilliant,perfect hard disk price segmentgo
6,review-9b5bb060-54f9-4747-a174-097f4e8993b8,Flipkart Customer,4,Really Nice,good speed
7,review-adfcb65a-fbf6-41f3-b332-fe1924ef5a10,Ambika Sankar Guru,4,Worth the money,better expectedi got 2999speed better reviews heredelivered one day earlier expectednice product price range
8,review-8f981c65-700b-4112-8cab-e93b74012ae5,Govind Tyapi,5,Great product,super
9,review-133f7a8b-6bd1-4766-8cdd-34196642aa04,Akhil Prakash,5,Best in the market!,awesome give high speed transfer love give 55
10,review-b09ae440-e388-4f92-b27d-92b24b1c7bf3,Susankar Nandi,4,Nice product,get hand light weight handy fast data transfer rate doesnt support android tv usb port
11,review-7bb852b3-9bc6-4171-9df7-4ac05fa37e7b,Rohit Rai,5,Highly recommended,nice product work well
12,review-f77851ca-f2ad-481a-b68f-51dfbde14449,Narinderjit Singh Goraya,5,Fabulous!,highest performing device lowest price
13,review-c6706909-8568-4d4b-8ae9-709c2746a19d,Flipkart Customer,4,Very Good,nice product
14,review-f79bdbe7-9d20-4139-abdf-83fa735c644d,Flipkart Customer,3,Decent product,cheap quality cable speed 35 mbs let see much works
15,review-b401d4b4-48c0-4c3d-8ef8-ba7bc4c35b01,Prashant Sen,2,Expected a better product,speed slowly
16,review-143d0e2c-1d14-4919-b2a0-2b98b4c27004,Flipkart Customer,5,Terrific purchase,nice compact external hard drive resonably priced
17,review-d78da9be-4b12-4074-9388-dd9e03ad1acd,Harshit Kakkad,5,Just wow!,nice best 931 gb use data storagemust buy real user thank flipkart
18,review-d5148a81-8063-44f9-bf0a-a086d2120cbd,Alok Pradhan,5,Awesome,good quality copying file 80mbps
19,review-4bc7b8ff-9fc0-49e3-a9c5-b2a2c5a18214,Sajeev K K,3,Decent product,good product
20,review-84c34833-2f24-48e6-aa56-0dbc30154276,JOHN JOSEPH,5,Perfect product!,good hard disk price range working good conditioni purchased 2999rs big billion daythanks flipkartdata transfer rate fasti think best harddisk price range
21,review-29a6b6c5-befa-48b8-959e-106ab78a5f3f,Flipkart Customer,1,Utterly Disappointed,connectivity problem
22,review-b6e7f3f9-5d67-435c-91ac-d12b27e272b7,Kenneth John,4,Value-for-money,average good old wd cable quality doesnt look good looks cheap
23,review-a8ead436-5235-4efd-8914-9740691d5c80,GUNA .A,5,Wonderful,good hard disc
24,review-d0723661-ed05-4b57-83eb-cd468d3359e3,Subho Hassan,1,Useless product,password protection workedspeed 30 average 30speed 20 average 20heating 40castomer care availabledont buy product go product
25,review-7b8f90fe-19fb-4712-a546-d59969869a26,Bijendra kumar Ojha,1,Utterly Disappointed,pay 1 tb space hard disk correct space received 935 gb space
26,review-2943e0c1-f2ce-4b65-9023-e7e9010e0173,Gowtham Naidu,4,Nice product,nice look performance light weight
27,review-ece76c3f-53a4-4d38-a898-6e3c5cd92627,Hemanthkumar Sundarajan,5,Great product,good
28,review-f0f03b88-0b73-425e-bd34-b6afaba06d8c,binay kumar,4,Very Good,performance good usb 30 built quality could betterless heating effect
29,review-e3bb35ca-373e-47d2-86b0-deac42200f63,Flipkart Customer,4,Delightful,working good
30,review-bee684ac-d945-4617-ba13-7454b4d2686c,Dr.spandana A,4,Really Nice,good speed nice
31,review-caa8d7ad-2527-49b6-b0be-fe4251de60cf,Flipkart Customer,5,Excellent,good
32,review-e3f74584-ca18-4d4e-bf06-2fdd94743cae,Flipkart Customer,5,Must buy!,good
33,review-170e460b-d02f-4311-b702-4c4726a74c72,sanjay singla g,5,Just wow!,superb external hdd
34,review-4cb419f6-69c0-4ef0-a500-1ec937da3aca,Flipkart Customer,4,Worth the money,nice product
35,review-81bc14db-f225-4507-a2d3-9cbab53a1dc1,PRERNA RAIKWAR,5,Wonderful,got 1k works smooth must buy
36,review-71dfd987-fb75-4c67-8b8f-237d79d0a8ae,Siddheswar Mahata,4,Delightful,nice product
37,review-079890ba-96f6-451a-b6c0-9f5c9c9a3d80,Md Maaz,4,Wonderful,hione allthis feedback complain anyone personally feel im happy extent order delivered channels used flipkart appropriate request concern authority look proper channel least talk listen im targeting matter concernhope appropriate person may understand opinionregardsmohammed maazmba hr
38,review-9a070a84-0eb1-4c53-8d1d-8d8769357029,Khagendra pradhan,4,Very Good,nice
39,review-cbb776f0-db87-4403-9aa3-f38c91dbf9b3,Sanjith Kannan,4,Wonderful,good
40,review-6d7123b7-3e03-4c17-8a9b-1e2146d32022,MariMuthu Maya,1,Horrible,transferred speed slow
41,review-c1e5ad7e-9314-449e-a2cc-4ae58320d7e6,Flipkart Customer,1,Terrible product,dont buy toshiba basic cause connection problem laptops generally kindly go brand suffering 1 week
42,review-301e02a4-9c0f-4a59-85ff-15eec795e0ad,Flipkart Customer,3,Good,got 4 tb 5900 transfer speed low even usb 30
43,review-79fcb1a7-670a-4c75-84ab-e9fdda531b89,Sarad Sharma,4,Wonderful,good
44,review-04e40a9b-dcfd-40b0-b307-6d5137b6a627,Kiran Shivale,5,Classy product,nice
45,review-c8fd8110-a718-41fb-8a42-0eb3d7a019cb,debajyoti datta,4,Good choice,far issue transfer speed around 35m
46,review-1c3cfe1e-b081-41de-b0a1-1ddacd41a9ff,babu sankaran,5,Classy product,good product
47,review-29fd241e-ed7c-4051-a5d3-4f6ea9de3ff4,Rangaswamy C.,4,Good quality product,nice
48,review-ebd4de66-b60f-4b2b-8250-c8b8358fd5a5,PAYYAVULA RAJASEKHAR,5,Super!,good storage device transfer rate extremely fast got rs2700
49,review-3af84a75-d74f-4d57-bb94-fd677968a2c6,Doddappa r,3,Nice,avarage
50,review-f8106162-4cd8-4974-9048-7a0e4b8648ca,Flipkart Customer,5,Simply awesome,awesome product
51,review-24c12ce1-4006-4b21-aed5-f77d51b248ab,Abdul Rahim,1,Waste of money!,defective product working return got refund
52,review-07463d2f-16ba-4ad6-ae26-1b6c67455e72,Manish Pawan,5,Terrific,value money
53,review-41f954cb-f776-4fef-b78d-0497be1cffa4,RAJU SHINGANE,5,Terrific purchase,nice nice nighte
54,review-c52d1b70-b59f-4d82-95bf-d01457a40e7e,Flipkart Customer,5,Simply awesome,works fine heating problem 2nd toshiba hd used complaints
55,review-4d22b2df-7dbb-4245-a689-8d33bdfff232,Ahzaz Qureshi,2,Expected a better product,packing bad look like used one disappointing
