,customer_id,user_name,ratings,review_head,review_body
0,review-b744e1d7-c385-4083-b85e-4d85e61936a3,Flipkart Customer,1,Bad performance,worst hard disc evergot speed 70mbs first two transfer speed reduced 20mbsplzzz friend dont buy hard disktotal waste money
1,review-0f6f9f50-68b9-4163-bafc-9101d6985066,MoonFlowers,1,Kaput!,hello everyonebased reviews decided buy hard drive april stored data unfortunately trusted much drive readable gone kaputt wouldnt recommend hard drive anyoneplease cautiousthanksviolet
2,review-3569929f-18fb-4353-98c5-ae51808511e1,ABHISHEK VERMA,5,Thank You Thank You Thank You,another awesome job flipkart team hope guys continue quality workordered 3 july 1205 received 5 july 1205 pmcoincidence packaging nice second 2tb wd hd bought month earlier one good gifted someone special nice hd need external power source portable speed around 4050 mbps usb 30 sufficient concerned storage space speed little bit heavierread
3,review-23391a37-db31-4c96-ae70-f60138a69bbd,Suman AN,5,I bought Two of these,western digital 2tb186298 ntfs formatted capacitypart number wdbu6y0020bbk05model wdbu6y0020bbkbesnproduct thailandpart number cable 4064705107000usb cable proprietary product wd like double end type check part number commonly used usb cablei bought two create backup like raid 1i previously seagate 1tb failed meso time thought buying two capacity brandi noread
4,review-9766bc9d-e1e2-4163-8be3-79f795dcfb46,Flipkart Customer,5,Fabulous!,cheapest 2tb hard disk drives splendid quality performancefast shipping time great packaging
5,review-4155a4b9-4107-44e2-91f0-f6936fe4a222,Soumav Roy Choudhury,4,Good Product!,got good deal got rs5799 hdd quiet small handy keep anywhere carrying pocket device typeb 30 usb ports getting speed 60mbps 90mbps
6,review-8f1b4899-74ca-472e-b8a4-3253befbe687,Sudhanshu Chowdhary,1,crashed when it shouldn't,finished transferring backup seagate 1 tb hd format long ailing hd ailing functioning last 3 years newly purchased drive soon seagate drive completed format wd drive gave away banging head wall trusted wd data bitter experience past wd study everyone quoting may true industriallarge scale use personnel use please would recommend seagatread
7,review-cd5ee6bd-0f73-4d24-87d1-49de32673d6b,Neelesh Goyal,2,littleSatisfied but the transfer rate is not that great,using hard drive 15 days performance flowless heating problem easy handle operatebut transfer speed never greater 34mbps usb 20and biggest problem gets connected via usb 30
8,review-990bcbe3-5cf2-4b24-83ce-af207ca47c45,AshokKumar Rao,2,No 3.0 only 2.0,suppose work 30 speeds never works usb 30 speeds tried multiple laptops usb 30 standard ports never crosses max 18mbs speedi hell lot expectation turned disappointing flipkart retains best service product disaster rating
9,review-3303a20d-b93f-406a-b2f8-860eb9eb7387,Ananthu G,5,Best in the market!,first extetnal hddbut fastand like packagingbut thing would like better usb 30 isa little short feels little lower quality would prefered cable longer stiffer like ones comes new phoneother small matterthis great productbut one problemits exactly 2tb gives 18tb 17tb
10,review-47f96181-e8c0-40a7-bee3-61d83c9ca3ae,Vivek Mishra,1,Very poor,worst hard drive crashed two dayi never buy flipkart loyal customer 5 years time say goodbye
11,review-fea67722-0b65-4874-bd52-84d20fb33ef5,Deepak Motilal,3,Above-average product,slow copying data
12,review-73d270d5-e3d8-48c6-b665-18add23508a5,Manu Anand S,4,Good choice,far working fine good read write performance little bit heavy slippery
13,review-8a5f93f7-f403-48c7-b82b-32d278f49605,Arun Suresh,5,Perfect product!,got 45k worth price good speed product also looks cool
14,review-f6532da2-1e4e-4122-bd52-7866d72e15af,Lohith Raju,5,Super!,simply awesome worth price got 4700 bbd
15,review-931f63f1-5228-4ae6-9931-7fafce59e49d,Nishant Shah,5,Great Product!,wd elements 25 inch 2 tb external hard drive black compared price shopping portal found lowest flipkartcom product well packaged delivered sooner promised product brand new boxpacked original sealed box wd looks great comfortable carrying around storage calculation always 1000 bits instead 1024 2 tb would mean 2000000000000 bytes means 182 gb storage spacread
16,review-664c63d0-5ee3-4d62-825b-cd8434441b90,Rushi Desai,1,If You love your memories plz don't buy,initially product awesome enjoyed data transfer well suddenly 15 years able open hard drive pc however connection alive light blinking always use licences antivirus safely remove drive etc still today lost data including pics close family member already passed away checked wd website clearly mentioned responsible data lost priread
17,review-37632e2c-ceb0-4a1f-8102-80e5f2079c25,Flipkart Customer,1,Absolute rubbish!,product defect unable connect device tv port please help getting product replaced
18,review-099dedff-56cc-4024-bdd0-eefe3428efb4,Aayush Gupta,4,Worth the money,got flipkart sale 4999it little bit thick 2tbotherwise problem allyou buy cover though
19,review-df5fb2bd-0dc5-46ec-93c0-3e0dc9653469,guruprit singh sohal,1,Material Not Delivered reflecting on website as delivered strange,really strange material delivered yet reflecting delivered kind servicethis happened nokia lumia phone also
20,review-8d8812e5-7feb-4f3b-ae0f-d965fd857cdf,Hari Prasad Anala,5,Great Deal from Flipkart......,product running goodand price unbeatable
21,review-b4c86f51-27e8-4813-8dab-515420f7bca2,Tarun Kumar,5,Awesome,good original wd element hard disk really appreciate packing quality product surely tell others buy flipkart
22,review-24014118-540c-4b34-bbce-db8fc98e9c14,Chethan R,4,Great value for money,looking external hard drive transfer heaps data aging notebook wanted something wireless well popped absolutely fantastic design actually smaller looks images cable supplied along product equally good conveniently sized transfer rates snappy uses usb 30 youve got cash go
23,review-2eab61fe-f116-425b-8354-3374a007958f,Shivam Singh,5,Mind-blowing purchase,got big billion dayat 4500rsat price 1 tb got 2 tbthnks flipkart awesome saleand regarding driveits simply awsom2tb storagespeed goodim lovin
24,review-df8028c2-d5e5-47f2-9e7a-50ef06d3c498,Vinay MC,5,Just what the doctor ordered!,wd elements 25 inch 2 tb external hard drive absolute delight use compact size light weight
25,review-45828e31-fe3f-4340-a411-4b4f94e4974f,Anand Pandya,4,WD Harddisk Review,hardware quality wd ext hard drive good used earlier read write speed hard drive good varies upon type file transferring os using port ie usb 20 30the drawback found using time gets hot earlier used hardware quality droppedso better copy data hard drive use use stored oread
26,review-ed249cf7-3ab4-4162-9f87-de0e29839177,Sreenath Malamal Gopinathan,5,Good Product,order delivered one day packing goodwd elements 25 inch 2 tb works well gnulinux without reformatting transfer speed good even usb 20its better register product wd website clear instructions available wd site
27,review-01b3fe8a-49ae-44f8-81d8-aac2e2386c90,rashmi dabral,5,Worth every penny,excellent value money prompt delivery flipcart
28,review-b50a13e5-3056-4bc9-af4e-147029bdd05e,Rishi Sengupta,5,Awesome Product,3rd wd 2tb external one running great happy user perfect 6500 price eer best
29,review-c402fcaf-df71-44b8-aa52-98ae31ae9f4f,Vishesh Jain,5,Simply awesome,anyone writing getting influenced negative reviews product remember electronic device may manufacturing defects defects transit please refrain using backup storage least 1 month data important invest cloud storage instead physical hard disks check tips youre speed issues time usingas review great hard drive data backup well pread
30,review-49bfdeb0-0d8e-46be-aab4-4b8e4a6544a5,Rajendra Singh Rajpoot,5,Fabulous!,overall fine
31,review-2d342a00-4670-4f30-bc59-1a363ef64652,Sinha,5,Must buy!,best
32,review-e12b94c3-2c27-4f08-b6b1-b148db955ae0,Atul Verma,4,Worth the money,satisfied completely using one year days use gave 5 star product completing 1 year reduced 4 star connectivity comes goes right beginning dont know whether problem particular product model
33,review-5a4e87a4-82f7-464d-a0de-8a561bcd8f02,Souvik Deb Roy,4,Delightful,works greatgetting 4070 mbps usb 30 portthe problem gets disconnected ever moved little
34,review-0d7dcba8-919d-41a6-bac8-c7a24dcdc055,Somen Das,4,Nice product,passed 11 hrs product handed delivery happened time driver consumes data max observed 80mbps fulfilled requirement security option available protect driver unauthorised uses since wd doesnt provide one except chose download website complying hundreds wd laws anyway oerall found good moment
35,review-925d57fb-57ec-4512-afa0-399e82714983,Avinash Varma,5,Must buy!,nice product great companion media lovers saved 800 gb movies still plenty storage left must travelers students especially bachelors
36,review-3d356617-b277-4108-bf45-cb8dd33d440f,Sailesh Sourabh,5,Highly recommended,great complain even using 1year
37,review-94e6444e-82d2-406a-9e1e-38dd9399de7d,Ronak Soni,4,Best in this price.,product good genuine one con transfer speed slow 14mbs
38,review-c497b93c-161b-47ef-b215-5b18a37b4d73,Bhavik Parikh,1,Absolute rubbish!,low speed
39,review-51c7c639-511d-4311-938a-b644ba5accd7,Deepak Tiwari,2,Not good,best
40,review-41cd4e12-db64-4b8d-a640-6daf33f62914,Srijeet Burman,5,Classy product,nice compact design high speed data transfer given problems till 4 months passed since bought
41,review-ea65e1bd-4674-490c-9179-2fe062d38c30,Pranoy Roy,5,Excellent product at excellent price!,3rd wd external hard drive wd drives reliable hard drives among companies ive used also great service flipkart got within two days
42,review-3af20a71-22fd-4992-a324-6de2682c3450,Uday Aditya,3,Met Expectations,ok den passport
43,review-bbf52c17-271b-4e5a-8be5-ff6d1e9cc0ca,Mrugesh Mahale,1,flipkart is providing pathetic packaging,packaging pathetic deal product brokenhope product work fine
44,review-8d02fd51-25a7-455b-a603-9dc4bcf60632,GAURAV KUMAR MEENA,1,Terrific,hard disk doesnt work properly
45,review-52266a6f-f64a-457f-9f9f-d6991c733e4a,Pritesh Ahire,5,Excellent Product *****,got 5599rs 30 usb2tb capacityfast delivery budget hard drive
46,review-c0396fe4-7203-4401-9842-25d22ddda2e2,sanjay sahani,4,Nice hdd,good product expected
47,review-8bb93162-4fcb-48ae-9bde-1c9c0d5f038d,Sandip Pramanik,5,Highly recommended,amazing product go hdd 100 mbps highest transfer rate klit small thin productusb 30 anout 25 30 inch
48,review-5ab159e8-7fa0-43b9-bc7f-a9f3235cdfab,Gaurav Bhagat,5,Wonderful,great hard drive write speed around 60 mbps usb 20 double 125 mbps usb 30
49,review-49b9dc2b-563f-4317-80fa-c4e2ed3482d5,Flipkart Customer,5,BEST product with this price!!!!!!,got delivered within one day got 4960 offers10 discountits worth itpackaging also fine exquisite experience flipkart
50,review-6d7b550f-6daf-41c2-9650-e5632d1e1b5c,Manoranjan Das,5,Wonderful,thanks
51,review-f6338f83-35e3-41d2-ac17-f8d848ed1fb6,ANIL JOSE,5,Fabulous!,verygood product decent delivery flipkart
52,review-116e07bc-ea87-4de9-ac14-c73211b0def7,Amit Pandya,5,Small and Handy to use,best product speed also fine around 6080 mbps usb 30 product best price finishing also smooth
53,review-79ba4d58-77da-4579-aca2-83efe1255836,Rahul Sarkar,5,Good Stuff. Delivers whats promised,needed external portable storage could easily fit jeans pocket carry around loads movies tv series games books music etcwd elements 25 inch 2tb external hard drive suits needs perfectly compact gives around 19 tb usable space copy speed decent enough easily run hd movies directly hd without choppinessi pleased product also another western digital passport 1 gb external hdd thats read
54,review-9a80b177-ab3d-4a92-bf55-988baaff2a21,Gajendra Meena,5,5 STAR FOR WESTERN DIGITAL BUT...!!!,guys best hard drives manfacturing company ammong wd element series quiet technology less sugget go fo sections wd ultra wd essentian passport bcz securityor lock feature available elelemnt software wch u secure ur hard drive go bucks u hv spend nd u get gud feature give 5 flipkart service wd bt reseller
55,review-d5ce47d2-d455-413c-ac65-d3882af65737,Manish Mishra,5,WD Elements 2.5 inch 2 TB External Hard Drive,great external drive delivered week ago take 300gb worth space system use bite matter whatworks smooth butter warm toast worth every penny id recommend 1 tb one day
56,review-b2b7b9c5-b0df-46ef-a759-3ccf9148229a,Flipkart Customer,4,Good quality product,nice product got steal deal rs 4999 flipkart mega sale felt bit filmsy hand outer casing strong bends easily good read writing speed 90100 mbps though speed differs different file tipes best part sony bravia tv easily ditects plays videos smoothly
57,review-1f8e29b5-bb0b-4741-836e-8cd8425080be,Kalpesh Vyas,5,Great product and overall buying experience,back 2010 bought wd tv media player 320 gb wd passport till problem faced sticking wd added 1 tb elements back 2013 buying 2 tb time problem faced wd productsand flipkart delivery period superb ordered 22nd april estimated delivery 26th april well got delivered next day ie 23rd april perfect packing expect buyeras first time buyer extremely read
58,review-a5a92ef6-5a4d-4801-9b05-b06c4de44d36,Mukunda Nath,5,Great Product,got hdd flipkart days ago using since usb 30 cable average speed connected 20 usb 10 mbps around 2050 mbps connected 30 usb hub speed depends computer configuration guess pretty goodedit1when connected usb 30 hub i5 based processor speed varies 65110 mbpsdelivered two days sooner promised completely satisfied flipkart service
59,review-f406408b-0b8b-480a-bf01-8a9ad2a17ca6,Navodit Verma,4,Good choice,bang buck using wd hard drives long know one trust blindfoldedly bought hdd use xbox one hard drive really job well also registering product wd website u get extended warranty
60,review-dff98805-de19-4b75-8b1e-70c5b71fee5f,Austrio Vaz,5,Classy product,honest pandabasically elements wds answer seagate expansion drive lowcost highcapacity easy use usb 30 external hard drivesit houses lowpower standard laptop hard drive spins 5400rpm slower drives spin 7200rpm generally translates slower performance drive doesnt support encryption security either meaning shouldnt put sensitive data itthe elements comes standard footlong micread
61,review-9430de39-90c4-49ff-bcc2-5cc5ce8276f1,Ashok Kumar Parmar,5,Highly recommended,one best market got product amazon 5599 believe guys worth every penny well built good transfer speed registered product wed website got 2 yrs warranty 1 yrs extra warranty cloudtail seller amazon 100 satisfied
62,review-01305c96-d132-4f8e-ba76-74d5670dcbe8,Vishal Verma,5,Nice product,good product best portable hard drive 3 year replacement warranty writing speed 60 mb enough got rs 5000 bbb sale
63,review-f8097f85-af80-4fe2-bf8c-dfe493b29d5a,Azhagu Raj,4,Really Nice,readable speed 90mbs onlyy
64,review-da6f1205-ff56-4bd7-bc46-f3045d56fba6,Ritwick Chakraborty,5,Brilliant,know brands external hdd doesnt make much difference 5th wd hdd somehow im partial brand love compact sleek look wd elements hdd series nothing say flipkart delivery par excellent
65,review-2a8d26a6-802d-4c10-839d-eb61dc216b06,Gopi Palanisamy,1,Unsatisfactory,world worest hard disk dont buy 100 waste money
66,review-71621fd9-e204-48cc-8b30-50642dc76064,Rohit Arora,4,Pretty good,good
67,review-d1b7a0cb-e409-4981-8aa5-ced84b86faa3,Himank Pandey,4,Value-for-money,one best hard disk marketthis one second hard diskcustomer service wd awesome got hard disk replaced 4 days courier charge asked
