,customer_id,user_name,ratings,review_head,review_body
0,review-fa236dcf-8763-44a8-acdb-defdd6a7f955,Flipkart Customer,4,Value-for-money,alert guys message fir really going buy laptopat time delivery dont get excited open package get ur camera record u open first package done flipkart record entire unboxing please make sure u get bill clearly recordingthe seal already broken laptop boxi recorded n clearly shows already openupvote ket know abt itlaptop working fine though nice delivread
1,review-f89d946c-ad7e-4296-9d2d-da0d7d9f34e5,Shrivatsa S Gowda,5,"why god , why do you hate me ?",1 week bought product price reduced 62k 53k really good laptop 62k 53k steal
2,review-1ef67502-e0d8-4ff1-a398-0663d8a57668,Surya Karnan,5,Excellent,excellent productgood gaming performancei upgraded 16gb ram massive performance pricegta 5ultra playablenfs paybackultra playablewatchdogs 2high playablebattlefield 3ultra playablecrysis 3medium playablerise tomb raiderhigh playableprototype 2ultra playabletitanfall 2ultra full anisotropic filtering ambient oclusion playabledon bradman 17ultra playablesekiromedium playable average frame ratesplinter cell blacklistmedium playablealien vread
3,review-10dd1785-124c-4bdb-ae6e-5a9190c9df47,Karthik s kateel,5,Just wow!,writing review 1 half month usagepros observedgreat displaygreat designgreat backlit keyboardupgraded 16gb ram performance good editing photos videos adobe photoshop premier prographics processor great much cheaper good nvidia core i5battery good normal use gaming price rangecons faced problemsseal brokenno damage scratches foundwifi doesnt connect charead
4,review-ef04de67-8248-4b4b-9763-dd04d9e573eb,Arun Kumar,4,Good choice,prosdisplay really goodvery less noisekeyboard better backlight auto sensingtough build qualitygrpahic card fan speed controlling optiongreat deal 49kcan easiky add ssd extra ramconsif think speed like less boot time speedily application loading u definitely need add ssdits working fine pre installed window 10 home try install urself really hard get proper drivers display nd graphic card amd website read
5,review-b0394041-1948-413d-8626-18c76653b53c,Deepika Upadhyay,5,Classy product,best budget gaming laptop
6,review-5a4c7aef-0c97-4dbe-bbb5-86007ed321d1,Sushrut Pawar,5,Highly recommended,used 10 days design brilliant top surface carbon fibre like finish led backlit keyboard also looks good full size keyboard good although buttons bit small full hd screen nice view angles bright enough good quality viewing full brightness acer bundled nitro sense software good easily switching performance profiles monitor health laptop havent played garead
7,review-300ff592-8a1c-493e-b575-72ae6cd1215c,Shomendra Pradhan,1,Worst experience ever!,contacted multiple times customer service poor raised complain cant provide complain number try escalate disconnect placing hold word acer customer support said havent received complain gonna go consumer forum dont roesolve issue
8,review-c00c4f79-0237-47f2-b665-52206e440edb,Nikeet Keshari,5,Awesome,laptop good ventilation cooling makes gaming efficient graphics better 1050gtx playing games without lag goto radeon settings gaming add game goto systemswitchable graphics change running apps installed apps select game icon present browse use high performance make laptop use rx560 graphics processor integrated one games run without lag also use fans max read
9,review-1356edb6-25e5-401f-99fe-954d70405df6,Sachinkumar Suthar,5,Worth every penny,updated review usage one month good display nice color reproduction good audio quality due dolby speakers headphones good cpu performance ease multitasking awesome gaming performance played tomb raider survival edition 60 fps ultra settings average battery backup around 3 hours normal usage cant complain looking amazing features worth every penny go without hesitation
10,review-f7878a90-14aa-4eb1-8e88-9a352fec9ade,Pema namgay,1,Did not meet expectations,first product defectivei noticed defect usb porti asked replacement technician visit done time wastedi dont know whether fault technician acer company flipkart problem yet replacedso sorry see iti asked called last day told canthaha sorry see
11,review-676e6ad6-7295-4198-9d4b-7bc80c8d520e,Flipkart Customer,5,Fabulous!,thing superb everything good need sort switch dedicated graphics
12,review-2625f035-a5f2-4f16-8ac9-fc7ed4ec6cdf,emil jacob skaria,5,Wonderful,great laptop price rangefor complete performance plug power supply play gameson battery get 14th performanceyou play many aaa titles like quantum break battlefield fortnite played epic plugged inoverall satisfied
13,review-8feb6748-251b-470c-b2be-6a9f65ff3be3,priyansh tiwari,4,Really Nice,hello everyone let start telling use pc gamer came hostel needed something powerful enough handle gaming needs well started searching laptops locally vadodarabaroda online tried variants laptop ie intel one nvidia one actually wanted install try game obviously local store reliance digital croma speed bugs 810 stores went didnt alread
14,review-e985ce3f-fab0-4f45-94e9-f4f8fdf629c4,Gorky Shaw,5,Hands down the best budget gaming laptop around,first flipkart order processing delivery topnotch looking budget gaming laptop look everything great except long boot time ssd free m2 slot supports sata ssd adding ssd rocks
15,review-6fc0670c-9730-450f-8558-f158d7c930e5,Sunny Raj,4,Value-for-money,first thing first problem 1803 windows update updating go device manager update integrated graphics choose search online drivers windows automatically download install respective driversthis make colors fine driver issues go updatepricing definitely cheapest gaming laptop video editing board amd ryzen vega efficient i5 8th gen graphics performance also parread
16,review-f312ec83-daa4-4925-a369-fa995ed94dc8,Ghostlyessence Ghost,5,Super!,awesome productdesign material finish goodamd ryzen 5 par intel i5 7300hqand amd rx 560x better dx12 performance nvidia gtx 1050laptop heats playing game nothing seriousbattery could better considering gaming laptop acceptableoverall great productgo thanx acer flipkart
17,review-cba6b6fd-a395-4598-840e-412ec231e51f,Hamza Malik,4,Delightful,headache figuring switch dedicated graphics integrated graphics rest works fine
18,review-aeed3788-4e09-4322-8bd4-9b6fa4cd54ca,Shaurya Singh,5,Fabulous!,one first ones buy even review laptop amazing compared laptops 6070k price range terms performanceit actually launched 69990 officially dont think low quality parts somethingi play csgo 200 fps medium temps always 65
19,review-c36b1e7e-026f-4b05-aed0-56f01525a412,Flipkart Customer,5,Just wow!,nice laptop played pubg pcmedium pubg mobilehd works real smooth charger attached nitro sense laptop temperature exceeding 45c battery going charger gaming rather going upnow charger played nfs rivals high ssao fan 5800 rpm 1hr 30min 34 battery still remaining could gaming laptops tough build thats fine
20,review-260c1875-61db-4e97-8407-53fc64a5c361,Rashmi Ranjan Samal,5,Just wow!,anybody guide change integrated graphics radeon rx560x
21,review-6b038bbd-eaa7-47f9-8818-f8a6de5ced8d,ram krishnan rk,5,100% PURE GAMING DNA.,works produal gpuone systemamd vega 8 integrated graphics 2gbfrom ramanother one gaming amd rx560x 4gbram 8gb69gb usebale due integrated graphicsbattery average 4hrs depends usagesound display protip buy less 60k wait offers
22,review-cdddd678-986c-4357-994d-5c07a378d653,Mouli prasadh,5,Awesome,yesterday flipkart delivered laptop acer nitro 5 ryzen 5 got sale last week first thing checked whether seal broken fine checked model n serial number matches bill product yes wasthe packing awesome flipkart laptop stunning performance display pretty goodi updated extra ram 8gb m2 ssdppl find problem changing os laptop boot os image usingread
23,review-447018be-25bf-497f-88ea-92054f72051e,Flipkart Customer,4,Decent product,hey everyone detailed review overall view experience product purchase flipkart might vary others purchase probably wish buy decent productquick product reviewpros1 screen good2 keyboard excellent3 trackpad good excellent rating issue trackpad right click sensitivity good3 processing multitasking experience good experienced slight lag multiplread
24,review-cdf9651d-2ebd-44e2-a73f-dccaabcd387f,Vishal Urkude,4,Pretty good,product good problem ryzen display really cool body laptop also nicei received 3 days early problem flipkartbut courier service inconvenient rude way talking calls go courier service centre personally receive parcel
25,review-4de82e31-1c15-4392-b83c-c11e8668dd1f,Sohail Ansari,5,Simply awesome,nice designe best entry level gaming laptop play games medium settings old game high setting little bit heat cooling system decent keyboard good aswell
26,review-fe89c907-25ee-4937-b4b9-9de75d1f2c14,Ajit Dixit,5,Just wow!,im giving personal review using iti got laptop rs 49990 bb sale price range laptop beastmany people complaining getting high fps gaming laptop comes apuvega 8 dedicated rx 560x graphics card default vega 8 u need turn dedicated graphics manually im getting 60fps almost every games talking display quality ill give 6 5 best display quread
27,review-8b0d0677-51d5-4c2c-af4f-4f14d1e3454a,ANKIT RAJ,1,Did not meet expectations,seal tampered hadnt expected flipkart
28,review-1e8393de-628c-46fa-9ba0-362c18bdd291,Manan Trivedi,5,Best in the market!,caution android developersthe laptop comes windows home edition even though laptop capable running hyper v still due limited features windows os home editionit run hyper v due unable setup android virtual device debugging purposefinal verdictlaptop powerful capable everythingbut os faultchangingupdating os fix problemthanks reading
