,customer_id,user_name,ratings,review_head,review_body
0,review-b5955819-8223-4389-ab58-72dbdaa9fe8f,Mani Kandan S,5,Just wow!,amazing product gives lot happiness full happy totally differ windows
1,review-c60fe7e2-28b3-4d55-9824-0fb0be7529d0,Ankit Kumar,5,Terrific,word
2,review-868c1127-bd7f-4eba-b136-1137935b71f1,Harsh K,5,Very Good.,good deliveryvery good product per expectation
3,review-0ba09ac9-e491-4e48-b85b-33b79017de64,Ashish Singh,5,Best in the market!,good guinuine product well done apple
4,review-d09207c5-3f98-41c0-84e1-00c65a3997ee,Abhay Kumar,5,Hated it!,macbook pro user last 2 years came across new macbook air got chance put hands brief review first impressions basically comparing regular laptop similar price range macbook proair benefits compared non apple laptop slim light weight daily travel 1011 hours battery backup normal usage apple touch pads awesome smooth responsive compared premium laptop audio qualityread
5,review-cfe38976-e298-44cd-9a29-516ce97b0f2b,keshav aggarwal,5,Perfect product!,awesome productfast deliverygenuine product thanks retailnet
6,review-64b37150-66ce-4f0c-94b0-a74f71bc9b08,Paras Arya,5,Terrific,bought 2 years backstill amazing
7,review-d1061508-6f56-48df-8dce-ff2c656fc675,sandeep soni,5,Worth every penny,1st product apple nice product thank u apple nd thank u flipkart
8,review-1c2d0253-cc20-48e7-aac5-b86a1ce2d6a4,Mridul Baishya,5,Simply awesome,message wants learn develop mobile appsi bought macbook november 2019 first installed android atudio yes im android developer tried running android studio beauty handles smoothly didnt faced lag hang fired android emulator know handle surprisingly machine handled amazed theres lag emulator still handles doesnt sread
9,review-997b0fdb-08c6-4b02-8496-2e6753356133,Lagnajita Roy,5,Super!,wonderful product helpless fan apple products say anyone acquire product never lament lives please buy experience flawless apple
10,review-3acfab4f-564f-439c-86a4-8f095c4fe139,Gautham Krishnan,5,Fabulous!,bit skeptical buying laptop first laptop first earnings didnt want regretful purchase although many powerful windows laptops beefed specs category wanted one could last quite sometime decent battery lifeand since laptop able use lap take along traveling ease requirements pc user last 10 years still going whetread
11,review-a7ed7943-34d6-4b49-80f2-7054735e68dc,Sudip Sahoo,1,Very poor,rating given based experience bought product big billion day oct19 within week take service center issues faced 1 heating2 booting showing black screen3 finally stopped working able switch
12,review-c8d3182e-e277-4d6f-9af8-5bf15cdb84bb,Ashmit Pathak,5,Worth every penny,awesome product loved performance macos best one get operating system
13,review-4ebc293a-a64e-4367-88a7-96beb53a74ee,Anjali Kudva,4,Good choice,wanted buy laptoo fir mild use serve smoothly atleast 45 years im student parents use browse listen music facetime basic things dont technical aspects ill give review thats informal side os smooth easy use rhe best thing macbook like iphone download apps make gestures touchpad would iphone read
14,review-e651cb84-3dd9-4d54-8c5b-eb391b890319,ritesh tiwary tiwary,5,Terrific purchase,awsm go nd buy stuff
15,review-ecd293b7-014c-416e-9f61-50088283ee49,Arghadeep Hore,5,Simply awesome,best laptop ever usedgot delivery late beast performanceand looks gorgeousand flooring apple logo
16,review-1cdbbdc0-add4-4622-8c0d-eff248cb2c3f,Arpit Gupta,1,Useless product,worth buy overly priced overy hyped device repairing costs actual cp horrible shed another 45000 repairing logic board
17,review-891e3633-6a96-403e-b819-4f9e44cfd04f,Flipkart Customer,1,Very poor,2nd time facing exchange orders inspite giving description got harresed time delivery hope body give brand new piece exchange simple 1no scratch mark discount amount reduced rs3800i paid full amount didnt opt exchangefrom next time onwards opt item exchange becoz felt cheated also think twice place orders flipkarthonestly dissatisfied service gread
18,review-da65cdbf-b3fa-4e18-902b-dbabf5913112,Karan Raj,4,Value-for-money,mac u know dont say something simply awesome mind blowingand secondly thanks flipkart great offer providing us
19,review-66555426-bc6d-4cc1-be77-39bcbb23eed6,Vaibhav Chauhan,5,Terrific purchase,perfect partner
20,review-91657fb3-7dc7-4792-92b1-bfbd9550356e,Chandra Thapa,5,Highly recommended,thanks flipkart good time deliveryanother apple brand classic elegant beautifulall rumours wastefullawesome build quality look screen work absolutely flowlessswitching window macbookgreat product apple price five star
21,review-b9ec5c5c-3814-40ef-8f73-84f253ee09ce,Abhishek Kumar,5,Fabulous!,excellent performance expectedcamera quality good compare othersbattery life nightmare laptopsthis mac best users whose idea empowers towards multitaskingcharging point magnetic protected coverlong charging wire classic designoverall good choice multitaskersfinally great delivery flipkart everything okay inside box packaging terrific
22,review-df5ed8a5-264a-4c40-a0dd-4e2a8190d105,Samif Ahmed Mondal,4,Best deal,bought 40363 awesome product thanks flipkart dont like display good average 40k found best deal ever
23,review-0a314b12-39d2-4511-a9c5-ce60a8707e77,Anurag Gulati,5,Just wow!,purchased macbook air flipkart great festive discount inexpensive option available market shopping sites must say completely satisfied purchase quality laptop performance machine brilliant best advise give anybody willing purchase laptop invest little go best macbook air one best machines perspective quality display wread
24,review-6232382c-daa3-4ea5-a23b-08899d57b0fa,Goutam Kumar,3,Just okay,got product happy got product time
25,review-a2d52aae-303e-4d2c-9721-10d24f3a463b,Gaurav Albert,5,Mind-blowing purchase,highly recommended packing fantastic macbook feels rich doubt fluidity gr8 experience beauty switching windows pc awesome product love u mac
26,review-8d903e3d-f04e-40d6-879b-698a0facf6bd,Supriya T,1,Terrible,laptop crashed within less 8 months purchase would recommend apple anyone gave enough number chances doesnt deserve anything laptop crashed twice engineer service center says motherboard faulty apple better refund money piece
