,customer_id,user_name,ratings,review_head,review_body
0,review-6c3d5ba7-6661-40fb-bc1e-da0ceb41dd30,NIKHIL KUMAR,5,Terrific,detailed review one month usei bought big billion day 2019 amazing price rs 36090 awesome deal mefirst things first1 boot time less compared 4 5 sec2 fingerprint sensor nice3 backup good4 display beautiful vivid5 lot storage including ssd6 highly portable7 asus provide extended warranty rs 99 two years8 brilliant product asus dailread
1,review-7148beaa-a20a-4f75-a525-77abf28bc140,Nikhil Tak,5,Awesome,best laptop get rangeso lets talk laptopi bought whole n sole programming base laptop andi see laptop performance ssd hard driveno one taking sleek stylish laptop isyou never able take eye thisso ill go pros n consbut blazing fast laptop rangeand dont worry displayits best rangefinger print work like charmscamera ok oread
2,review-8940f2f6-3331-460e-b83e-2b58d1e6c508,Nitish Mishra,5,Perfect product!,got laptop 36090 bbdbest classgood battery lifegood soundif silence around yousome people complain viewing angles good far concernelse everything know specs
3,review-d960b19f-eff1-44ed-baa9-7c4969066ac1,SUMAN SAURABH,5,Just wow!,superbi got 36k
4,review-35b55d74-4629-4888-be4d-ecae7e3b185a,Robin Jaison,5,Excellent,great lap almost everything light gaming possible tooamazing display pricelooks greatsmall compactbattery amazing finein shorta great product anything less 50k offers
5,review-7b9a35b0-0fd7-4ff7-8a62-e5a52f820d32,Arnab Kundu,4,Good quality product,must buy deal
6,review-295499d9-6e1b-401b-8795-11b19136ae8c,Rohit Gulia,5,Excellent,1 great display great screen body ratio along good viewing angles2 fast boot thanks onboard ssd3 battery life close 5 6 hrs regular usage brand claims dont know people reviewing based expectations rather product actually is4 fingerprint scanner added bonus5 smooth performance handling multiple tasks6 great keyboard typing keys optimum travel backlit7 trackparead
7,review-5f104989-92bc-4e7a-808c-5a38087e8de0,Jayanta Mondal,5,Classy product,got got 38k bbd sale divided laptop pros conspros1 slim2 nice display night mode well bright3very smooth performance fast4 fast fingerprint sensor smooth touch pad5 compact keyboard light6cool body texturescons1 nonremoval battery2 battery backup good 35 hours 4 hours3 weight 145 kg4 usb ports tight5 average speaker
8,review-2043d8c8-65bb-4c00-b4d0-1bf604dccf09,Jude Paul,4,Very Good,stylish lap good specsits battery upto description sound quality could better otherwise performance good category
9,review-ada07fac-5278-420f-99e3-39f189b8bd29,Arun Balasubramanian,5,Must buy!,terrific purchase
10,review-7edf8af6-d650-4889-a3bc-92a174141b7c,Lohit Jain,5,Worth every penny,excellent product performancedesignstylebattery backupdisplayprosbought icicle gold color 36k metal finish body ergolift hinge design gives sober looks laptophybrid storage ssdhdd giving ultrafast startup shutdown 810 seconds lots storagepretty good battery backup price point 6 hrs used official workmails browsing ms officethin bezel antiglare matte display ghosting viewing angle read
11,review-0421d29b-9a1f-4599-953d-3f6379a732f3,Prince Pathak,5,Mind-blowing purchase,good laptop bought 36090 help axis bank card 20002000 extra discount bbd price laptop 40090performance fast compared gaming laptop hdd ssd support good laptop
12,review-2a5e2c9d-ac91-43d6-9d50-e04a8076435f,Deep Thumar,5,Highly recommended,perfect product want portabilityssd makes laptop accurate takes less 10 seconds open laptop heavy gaming would prefer pc anyone wants play games gaming pc made around 30kbattery life good give almost 4 hour power multitasking last till 5 hours per usagei purchased 46500 think company give specifications design priceread
13,review-62536d22-d7b3-49be-b47a-a6183400ac0d,Flipkart Customer,1,Did not meet expectations,wireless card detect network ever disabling enabling trouble shooting card function need replacement product
