,customer_id,user_name,ratings,review_head,review_body
0,review-04ef4630-acca-4e07-a882-30ad52e0aafb,dilip jain,5,Great product,laptop good slow workif dell company reading review sir please increase performance otherwise things laptop goodplease sir accept request
1,review-53d15d47-4f91-46f3-9ec2-bd6433fac50a,Kartikey Yadav,1,Very poor,warning dont buy laptop extremely slow hangsdont waste money also frimware update fails time get frustrated using simple uses like making excel sheet using power pointoverall dont buy buy laptop better clock speed ssd installed
2,review-aa26bb8c-37a8-4d69-acdf-ea7cae7c8a4c,Pavithra Rajan,4,Pretty good,overall good little heating problem
3,review-ad1ed71d-f458-47f5-9cd7-bb65dee62c3b,Ajay Sharma,5,Must buy!,laptop awesome performance boost task fast way hassle free experiencethis perfect piece price rangeover packages given antivirus absolutely free costso use need expectations bring togetherlove laptop
4,review-be4735ab-3a52-4b81-87fd-72ccbbf57439,Flipkart Customer,1,Absolute rubbish!,worth penny piece junkit insanely slow simple webpage take 2030seconds load task manager would freeze stop responding got todaycannot imagine horrible performance dell laptopi want money back
5,review-64ca137c-c214-4b39-80fc-20ca058b5575,Mamatha R,1,Horrible,windows r also working taking ages open brand new laptop work really getting irritated shouldnt purchased flipkart replacement refund never purchase laptop guys
6,review-ac775122-1d15-42c1-a95a-839900066917,Anshul Kunwar,5,Highly recommended,amazing product functions work properly fully satisfied
7,review-5ab61a9f-dff1-4bf9-97cb-d17bcb50a050,Ramnik Panesar,4,Good choice,install additonal ssd andinstall win10 notice speed laptop speed turns like rocket super happy performance
8,review-59bad0bc-0ec1-407a-a524-6569a22018b3,Flipkart Customer,1,Very poor,worst laptop ever seen brand lost values providing disgusting productit hangs works slowly
9,review-d5067f10-5e37-4847-bd07-829932ffd59e,ABHISHEK RANJAN,4,Really Nice,laptop good look wise good disappointed flipkart delivered laptop 2nd time 1st time delivered defective item poor service provided flipkart
10,review-a3bd3005-982f-426c-a14e-7666fc76a880,Flipkart Customer,5,Super!,good one best daily use
11,review-808ec811-d50a-4d86-899f-7b0a2ec4fee2,Munishwari Munish,5,Great product,good quality really happy thank flipkart fast delivery best laptop
12,review-4e47209d-08a2-4157-a298-fb4a91b3970a,Vatsal Shah,3,Fair,material used quite low quality also keyboard upto minimum mark good thing light weight value money light work okay
13,review-89bde9f6-4487-4657-9022-43eb463e7dbe,Flipkart Customer,1,Terrible product,extremely slow horrible experience battery also awful
14,review-ddb1075c-7e85-44ad-bd9b-d01b925a335a,Flipkart Customer,1,Horrible,slow dont problem system
15,review-d16fb63b-abe3-4daf-b4f0-3da5d19a118c,Shishir Singh,5,Awesome,well
16,review-3a55fa06-37aa-4bfb-b77f-98c858bd7da2,Seetharam Reddy P,5,Perfect product!,superb laptop
17,review-e631ca02-5691-4339-83e6-057360aa7252,dibyaprasad parida,4,Pretty good,laptop thin looks good little bit slow
18,review-1bb3db90-680c-4c9b-b952-e1dd4dc8af7b,Harjinder Saini,4,Delightful,happy product
19,review-e53a26ca-0088-46e0-b1d3-14c8b952761e,Amit Kumar,5,Just wow!,gd laptop
20,review-c60cc7fa-8d10-4422-a9d5-1ee82a464954,Rakesh Ghosh,1,Did not meet expectations,slow speed laptop
21,review-92b0b5d0-c28a-4d37-b145-7dd3d560db93,Navnath Chavirpatil,5,Excellent,dell nice product thanks flipkart genuine buyer deliveries fast flipkart compare app good thanks
22,review-e584429c-dbaa-468e-b4fb-0c8bf2923714,Shubham Chopra,5,Wonderful,awesome product impressive performance best one price must buy got 26k big billion day sale
23,review-9269465a-9f17-4ea0-8dc4-d9b693ffd71d,Harsh Trivedi,5,Excellent,according reviews system slowbut u update activate window perform good fastthis process takes around 2 hours
24,review-c01ed443-b2ac-466d-ae70-fb7a228c9bf2,Dhananjay Rai,5,Super!,nice laptop design performance good
25,review-b66fe277-75ae-4731-bfe0-a6b8f4c0aae9,Flipkart Customer,1,Hated it!,worst logistics partner ekartand laptop slow
26,review-ff17862a-3e95-470c-bf26-b00d25d25163,Sooraj Suresh,5,Just wow!,nice good
27,review-b1e030b8-4966-4614-9d1d-5bb13b0f1de5,Flipkart Customer,5,Brilliant,nice
28,review-9cf7acda-ab2c-43e8-9773-7c34a64920ad,Hussain Khan,5,Terrific purchase,value money
29,review-32e90044-7c7f-4d6f-b335-6d60a655ae08,Yuvaraj Chandran,5,Highly recommended,worth buying
30,review-0d87c464-ebb1-4ec1-8699-7c948e1d56ed,Setu Singh,5,Worth every penny,nice product delivery slow flipkart even plus member
31,review-8801cb73-1e48-44b2-ac49-8d23f9ad1d92,Amit Golechha,4,Pretty good,bit slow used 34 days feel win10 need ram rest ok
32,review-3a28da21-59dc-4962-b24f-20f7a49f6a12,Saurabh kumar,5,Fabulous!,nice product
33,review-c1bb4829-a1ab-40e8-9e1f-34253978b912,Venu,5,Simply awesome,arrived time working fine
34,review-c95fda81-2275-4b12-8e56-83a29b6f6ce3,Ajay Kumar,4,Pretty good,good quality laptop camera perfect
35,review-c80c81ba-232f-4b07-b8d3-d8f4248d3170,Amar Shiral,5,Fabulous!,really good product
36,review-0709cef9-0763-461e-b6c5-0882ae6b6ccb,Rahul Vishwa,5,Awesome,laptop really great
37,review-798ab75f-cfe0-477b-831f-bcf15ed93772,Ajay kumar,5,Best in the market!,really goodim happy dis product
38,review-8d27255f-5bc0-49ec-a01e-f42bae9ec06e,amol shinde,5,Super!,super product awsome
39,review-713eda38-d320-400e-9196-104825ea370f,BISWAJIT MALAKAR,5,Excellent,nice prompt delivery flipkart working nicely
40,review-eecd9261-c5a0-436c-938d-fb35278cc0f9,Shanawaz Alam,1,Don't waste your money,slow
41,review-f51c4ce8-e6ae-42a9-ac74-dfcde33bcab9,Abhi abhilash,1,Hated it!,system veryvery slow
42,review-e34a7882-24a6-452c-bb95-b46629449eb3,Shekhar Kr,1,Waste of money!,bad product dont buy guys
43,review-8d9c72c7-f22b-41b8-a59c-345709890b62,Flipkart Customer,4,Good choice,laptop fulfills basic requirements need buy ms office provided little slow i3 processor 1 2 weeks usage months problem edit review one looking simple good bramd laptop minimum price good option go
44,review-9ed26f8d-8acc-44a3-9ba4-8dfed4ed4443,karan lodhi,1,Waste of money!,camera quality bad
45,review-bdae12af-26d2-4f29-a217-7f66cff00d24,MOHD TOUFIQ,1,Hated it!,performance poor updated window still getting hang issue even surfing
46,review-bfced0b8-f586-4c8f-b1b1-7ba50b6221c6,Bhushan wankhade,1,Hated it!,slow laptophangs hell
47,review-2e26ad6f-4f58-4339-b17d-733693b4dd1c,Chirag Goyal,5,Mind-blowing purchase,recieved good condition without damagedesign good colour also baaki performance wagarh ab use kr ke pata chlega
48,review-a2e1d51c-7ba7-4752-a5cb-2ef538aaa3f2,SOMYARANJAN PANDA,1,Worthless,bad items slow
49,review-449e0a6e-e1f7-4ff9-a547-226eef0de848,Vaibhav Gupta,4,Value-for-money,good laptop nominal pricingthough speed bit slow however affected normal official usageoverall best get price across brands configuration course dell brand value reputationdesign battery absolutely fine 3 months usage
50,review-c56ecaae-35b5-453f-93bd-5072adb742c6,Anandhan Tamilselvan,1,Not recommended at all,worst performance reach customer support approach bad please dont go
51,review-aa9666ea-72f5-40f3-883d-4562c5b5dac2,Nish ika,1,Unsatisfactory,bad product bad performancei worst experience mah lifenot working prperly
52,review-869ada21-4f92-4f85-ade1-97e0b1e87936,Sahil Lekawale,4,Very Good,awesome laptopthis educational usenot gaming
53,review-87f4cd74-1bca-46b6-808c-8ce2f08de2ed,Flipkart Customer,5,Wonderful,worth buy nice product
54,review-21ff42e7-6a50-43c2-a0f1-de41bdf396bd,Suhel Ahmad,4,Pretty good,okayish price speed less
55,review-3239dfc8-231a-4dc3-8563-8362831cd492,Govardhan Reddy,3,We cont receive product key with this,product goodit working windows pre installationbut product cont receive product key
56,review-ea2695c2-820d-4741-ab10-39c61d20338f,Nitish Sandham,4,Worth the money,decent laptop
57,review-c9252843-27d2-48e6-9520-94b948c693b1,Flipkart Customer,1,Not recommended at all,slow pc
58,review-09559ed6-1a3a-4cfa-98ee-3aebd3f0f528,Flipkart Customer,5,Fabulous!,great quick delivery flipkart
59,review-370caa7f-1c28-4a0a-a78c-76174dd1ba68,KIRAN VIJAY,4,Worth the money,good
60,review-5e0eeef9-a0e0-4bd0-a537-1ed4944510c5,sunil kumar,5,Terrific purchase,almost good according price
61,review-d29b27bb-545e-490d-836f-212a712cc29f,Parag Kayat,3,Decent product,want purchase go 8 gb ram buy 4 gb ram slow
62,review-d2acf0f8-cf99-447f-8617-f5999641af75,Flipkart Customer,4,Wonderful,good
63,review-045001a6-cf52-429a-a264-6e344910eb08,Muhsin PP,3,Nice,performance laptop worsei previously used acer aspire 3 pentium quard core laptopit performance even though dell comes intel core i3other performance fine
64,review-828aa928-9b54-43b5-baf8-647b11e3bc34,Ram,3,Does the job,slow processer
65,review-6ffc1313-ebc4-4777-8e46-5cdfb4ba360a,Biplab Bhuyan,4,Wonderful,okkk
66,review-0340fafc-1098-4f71-9a63-d80aa35bd59a,Arun Mehta,3,Good,value money
67,review-96a8508b-181a-4e99-88b1-cccb4b5293f5,umashankr ojha,4,Delightful,good
68,review-1f20464f-e922-4a8b-9073-d1d70793b489,ramanareddygaddam,4,Delightful,bad
69,review-50efcb4a-bfa8-48c5-8410-891b59ebf29e,Akash Saha,3,Fair,device working slow may problem operating system satisfiedlaptop lagging much expecting little better
70,review-ab1e2b7b-5820-4cfb-ab28-4b5674e49ef5,Sanjay Singh,1,Did not meet expectations,slow hangs alottno worth moneyits simply disgusting
71,review-f93dc174-cad3-46a0-a83f-048d95849e0a,Nvs venky,4,Worth the money,good
72,review-d3dd5343-1858-47b3-a2c7-4839684b0119,Flipkart Customer,1,Absolute rubbish!,average laptop
73,review-68090e0d-7629-4707-8852-790eab7f100a,ELANGOVAN P,3,Does the job,good
74,review-30617d44-a5ae-4430-83b6-8983ea2747d0,pankaj rautela,1,Very poor,slow performancehanging problem
75,review-159a040f-e786-4c86-8745-568c779aa928,Flipkart Customer,3,Nice,runs slow
76,review-f88ee94d-d5c2-4427-a2ea-1103f87ebb23,Shyam Sankar Mandal,3,Decent product,delivery good laptop slow
77,review-3b1ced4b-b254-4ce7-92ff-32bb4410462b,deepak dhakar,1,Absolute rubbish!,verry bad
78,review-1418f2e2-de0d-48cf-8df0-e8674f9aacc8,Tannu Arora,5,Perfect product!,awesome laptop
79,review-e20b2170-315f-42b0-beb3-dbb12e2d7fb0,Jhankar Sharma,1,Useless product,slow processing started hanging
80,review-597c2375-e6f8-4d3f-8d28-35653bba9c4d,raghav rathore,2,Bad quality,slow processing compare another i3 processor 7 generation laptop
81,review-62a630ce-de6c-4ce5-b34e-8ae4a3428a2a,Flipkart Customer,2,Expected a better product,laptop slow even though i3 7th generation
