,customer_id,user_name,ratings,review_head,review_body
0,review-13ded8aa-3ec8-480f-b6d5-f7b034848742,Srimanta Bera,5,Classy product,hp laptop price beta rs17990
1,review-685d2d3b-b94d-4a8d-b4f3-57e7ac70a028,Virendra Gangwar,5,Fabulous!,best laptop priceaudio quality goodand good delivery flipkart next day booking
2,review-47dc03b6-1ad4-43ef-97c9-c0c01184a73e,shubham jain,5,Must buy!,value money laptop better screen performance design best ever sound quality mean sound quality awesome touch pad smooth responsive easily handel office browsing normal games gaming laptop easily play asphalt 8 without issues compare data transfer speed good due ddr4 ram delivered within 54 hours good compared manufacturing date myread
3,review-b65701f6-f64e-4542-a99d-ade38916ca98,Aman Taneja,4,Good choice,awesome lappy great product reasonable pricespeedy performance even better previous core i5 laptoplight weight laptop must buy
4,review-7b422552-642e-4b55-a698-6894d8ede965,Kamraan Anwar,4,Pretty good,best laptop ever purchased rangei bought sale rs 21990
5,review-dfb2e320-f6dd-4155-9396-6cb3ced95b93,Flipkart Customer,5,Terrific purchase,awesome laptop excellent performance speaker sounds good happy laptop thanks flipkart
6,review-24a53d05-e1d5-4196-a6c9-6246c6b0b332,Shivdatta Patil,5,Budget King,processorthis laptop latest pentium quadcore n5000 gives equals performance 6th gen i3 processor compared processors thinking processor less powerful i36th gen wrong battery backup usage 6 hours charging time 2hr good display design loud clear sound need install windows dont know install windows search youtube drivers use hp official website value moneread
7,review-38242a3b-ea01-4493-b86d-03dd770312ce,Romen Amom,3,Just okay,thanks flipkart seller fast delivery
8,review-98a4aa2f-b683-473c-ab14-f7e5087bd822,Manjunatha M,4,Delightful,hp 15qds0004tu 4tt03pa laptop pentium quad core4 gb1 tbdos laptop display daily needs laptop powered processor coupled 4 gb gb ram 1 tb hdd storage price point far graphics card concerned notebook graphics card manage graphical functions keep alive battery weighs
9,review-62c95d03-0837-4e64-b4fd-a8c0fbdfb23d,shanoj v,5,Just wow!,laptop good battery packup mentioned even though getting upto 45 hours battery backup told dos installed operating system installing windows 10 working perfectly good product price thanks flipkart
10,review-de507ebb-a1c3-497f-a3d4-24f515746b59,SURYANATH DAS,4,Nice product,product excellent packaging poor given 4 star picture packaging attached herewith packaging need huge improvement
11,review-7e7e284d-9775-45e5-99ea-1b72584e17c2,Rajib Das,5,Fabulous!,good product affordable pricei got 18990 speed normal
12,review-1ae58def-a7a7-40d5-8cdf-e84d14596bea,sharlet lazar,4,Wonderful,nice laptop price range everything good mentioned 8th gen pentium processor faster i3 processorsand ram good 2400 frequency gives nice speed laptop sound output amaizing dust easily get inside gap keypad touch pad cheap plastic quality also wonder made hewlett packard hp gest impoter think
13,review-12682229-0f07-4d6e-9ba1-797febbbc53e,Flipkart Customer,4,Pretty good,laptop god laptop packing bad
14,review-01f61f1a-2578-4793-a41e-d53bb335e117,Lakhveer Singh,5,Highly recommended,nice laptop good shine 6 months screen blinking shows normal time screen blinking tell solution problem please
15,review-3741ed86-42f0-47ce-b86b-ebaacb29e5e9,Mukesh Chauhan,5,Must buy!,nice laptops
16,review-fd4bafa0-78ac-4b54-a38e-513c70d1a183,Nithin Thomas,5,Simply awesome,short best value money laptopdetailed reviewi bought 16490 hp laptop dos preinstalledat first installed windows 10 using bootable usb none drivers hp official site worked everthing working optimal performance noticed windows version 1709 1803 like reasearched came understand drivers support windows 10 fall creators version ie build version 1709 higherthen downloread
17,review-a889a47a-30ce-45ca-beeb-4882e6b91295,Prashant Singhania,5,Best in the market!,product awesome delivery delayed
18,review-f78cdacc-17f7-448b-86e0-006e8aa1f04f,Flipkart Customer,2,Expected a better product,quite good product people going heavy stuff like programming gaming ok daily use hangs littlebut fine worth money
19,review-61e257b8-e841-4e99-b725-91e28291116f,ARNAV SINGH,5,Must buy!,mind blowing purchase thanks flipkart
20,review-cb29677b-51d8-4b0e-b700-1f434beba5a4,sankalp meshram,5,Perfect product!,good laptop 18600
21,review-2fb518ca-31bb-4378-b63e-6d1974a39ce6,Raj Kishore Acharya,4,Worth the money,got 17540 price product superb pentium silver processor sound clarity best little bit hang issue bt ok playing games soo cant say abt gaming issues bt didnt find heating issues battery goes 5 hour internet use touch pad smooth nd look decentbut time flipkarts packing bad seal break product good price range packing bad
22,review-467daead-0065-478a-88c8-623fc587c81f,Saroj Kumar Sahoo,5,Classy product,awesome lappy
23,review-b20a0fab-9d97-4f6a-b425-c9a8ecc7da45,SUKHVINDER SINGH,5,Best in the market!,awesome productbest performance good battery backupit play even 4k videos quick responsivei love itthanx flipcart fot amazing product
24,review-427c21d0-072b-45fb-845b-70ed344c4207,Flipkart Customer,5,Great product,superb
25,review-9cd19c11-c3fe-44c5-97a8-c55656b2ceed,Tanveer Shaikh,5,Terrific,good performance budget
